t,l,x,y,z
0,1,-0.96,-0.17,-0.01
1,1,-0.96,-0.17,-0.01
3,1,-0.96,-0.17,-0.01
5,1,-0.96,-0.17,-0.01
6,1,-0.96,-0.17,-0.01
8,1,-0.96,-0.17,-0.01
10,1,-0.97,-0.18,-0.01
11,1,-0.97,-0.18,-0.01
13,1,-0.97,-0.18,-0.01
15,1,-0.97,-0.18,-0.01
16,1,-0.97,-0.18,-0.01
18,1,-0.97,-0.18,-0.01
20,1,-0.97,-0.17,-0.01
21,1,-0.97,-0.17,-0.01
23,1,-0.97,-0.17,-0.01
25,1,-0.97,-0.17,-0.01
26,1,-0.97,-0.17,-0.01
28,1,-0.97,-0.17,-0.01
30,1,-0.97,-0.17,-0.01
32,1,-0.97,-0.17,-0.01
33,1,-0.97,-0.17,-0.01
35,1,-0.97,-0.17,-0.01
37,1,-0.97,-0.17,-0.01
38,1,-0.95,-0.16,-0.02
40,1,-0.95,-0.16,-0.02
42,1,-0.95,-0.16,-0.02
43,1,-0.95,-0.16,-0.02
45,1,-0.95,-0.16,-0.02
47,1,-0.95,-0.16,-0.02
48,1,-0.96,-0.17,-0.01
50,1,-0.96,-0.17,-0.01
52,1,-0.96,-0.17,-0.01
53,1,-0.96,-0.17,-0.01
55,1,-0.96,-0.17,-0.01
57,1,-0.96,-0.17,-0.01
58,1,-0.96,-0.17,-0.02
60,1,-0.96,-0.17,-0.02
62,1,-0.96,-0.17,-0.02
63,1,-0.96,-0.17,-0.02
65,1,-0.96,-0.17,-0.02
67,1,-0.96,-0.17,-0.02
68,1,-0.96,-0.17,-0.02
70,1,-0.96,-0.17,-0.02
72,1,-0.96,-0.17,-0.02
73,1,-0.96,-0.17,-0.02
75,1,-0.96,-0.17,-0.02
77,1,-0.96,-0.18,-0.02
78,1,-0.96,-0.18,-0.02
80,1,-0.96,-0.18,-0.02
82,1,-0.96,-0.18,-0.02
83,1,-0.96,-0.18,-0.02
85,1,-0.96,-0.18,-0.02
87,1,-0.97,-0.18,-0.01
89,1,-0.97,-0.18,-0.01
90,1,-0.97,-0.18,-0.01
92,1,-0.97,-0.18,-0.01
94,1,-0.97,-0.18,-0.01
95,1,-0.97,-0.18,-0.01
97,1,-0.97,-0.18,-0.01
99,1,-0.97,-0.18,-0.01
100,1,-0.97,-0.18,-0.01
102,1,-0.97,-0.18,-0.01
104,1,-0.97,-0.18,-0.01
105,1,-0.97,-0.18,-0.01
107,1,-0.96,-0.18,-0.01
109,1,-0.96,-0.18,-0.01
110,1,-0.96,-0.18,-0.01
112,1,-0.96,-0.18,-0.01
114,1,-0.96,-0.18,-0.01
115,1,-0.96,-0.18,-0.01
117,1,-0.97,-0.18,-0.01
119,1,-0.97,-0.18,-0.01
120,1,-0.97,-0.18,-0.01
122,1,-0.97,-0.18,-0.01
124,1,-0.97,-0.18,-0.01
125,1,-0.97,-0.18,-0.01
127,1,-0.97,-0.17,-0.01
129,1,-0.97,-0.17,-0.01
130,1,-0.97,-0.17,-0.01
132,1,-0.97,-0.17,-0.01
134,1,-0.97,-0.17,-0.01
135,1,-0.97,-0.17,-0.01
137,1,-0.97,-0.17,-0.01
139,1,-0.97,-0.17,-0.01
141,1,-0.97,-0.17,-0.01
142,1,-0.97,-0.17,-0.01
144,1,-0.97,-0.17,-0.01
146,1,-0.96,-0.17,-0.01
147,1,-0.96,-0.17,-0.01
149,1,-0.96,-0.17,-0.01
151,1,-0.96,-0.17,-0.01
152,1,-0.96,-0.17,-0.01
154,1,-0.96,-0.17,-0.01
156,1,-0.97,-0.17,-0.01
157,1,-0.97,-0.17,-0.01
159,1,-0.97,-0.17,-0.01
161,1,-0.97,-0.17,-0.01
162,1,-0.97,-0.17,-0.01
164,1,-0.97,-0.17,-0.01
166,1,-0.96,-0.17,-0.02
167,1,-0.96,-0.17,-0.02
169,1,-0.96,-0.17,-0.02
171,1,-0.96,-0.17,-0.02
172,1,-0.96,-0.17,-0.02
174,1,-0.96,-0.17,-0.02
176,1,-0.96,-0.17,-0.02
177,1,-0.96,-0.17,-0.02
179,1,-0.96,-0.17,-0.02
181,1,-0.96,-0.17,-0.02
182,1,-0.96,-0.17,-0.02
184,1,-0.96,-0.17,-0.02
186,1,-0.96,-0.17,-0.02
187,1,-0.96,-0.17,-0.02
189,1,-0.96,-0.17,-0.02
191,1,-0.96,-0.17,-0.02
192,1,-0.96,-0.17,-0.02
194,1,-0.96,-0.17,-0.01
196,1,-0.96,-0.17,-0.01
197,1,-0.96,-0.17,-0.01
199,1,-0.96,-0.17,-0.01
201,1,-0.96,-0.17,-0.01
202,1,-0.96,-0.17,-0.01
204,1,-0.96,-0.17,-0.01
206,1,-0.96,-0.17,-0.01
208,1,-0.96,-0.17,-0.01
209,1,-0.96,-0.17,-0.01
211,1,-0.96,-0.17,-0.01
213,1,-0.96,-0.17,-0.01
214,1,-0.96,-0.17,-0.01
216,1,-0.96,-0.17,-0.01
218,1,-0.96,-0.17,-0.01
219,1,-0.96,-0.17,-0.01
221,1,-0.96,-0.17,-0.01
223,1,-0.96,-0.17,-0.01
224,1,-0.96,-0.18,-0.01
226,1,-0.96,-0.18,-0.01
228,1,-0.96,-0.18,-0.01
229,1,-0.96,-0.18,-0.01
231,1,-0.96,-0.18,-0.01
233,1,-0.96,-0.18,-0.01
234,1,-0.97,-0.18,-0.02
236,1,-0.97,-0.18,-0.02
238,1,-0.97,-0.18,-0.02
240,1,-0.97,-0.18,-0.02
241,1,-0.97,-0.18,-0.02
243,1,-0.97,-0.18,-0.01
245,1,-0.97,-0.18,-0.01
246,1,-0.97,-0.18,-0.01
248,1,-0.97,-0.18,-0.01
250,1,-0.97,-0.18,-0.01
251,1,-0.97,-0.18,-0.01
253,1,-0.96,-0.18,-0.01
255,1,-0.96,-0.18,-0.01
256,1,-0.96,-0.18,-0.01
258,1,-0.96,-0.18,-0.01
260,1,-0.96,-0.18,-0.01
261,1,-0.96,-0.18,-0.01
263,1,-0.96,-0.18,-0.02
265,1,-0.96,-0.18,-0.02
266,1,-0.96,-0.18,-0.02
268,1,-0.96,-0.18,-0.02
270,1,-0.96,-0.18,-0.02
271,1,-0.96,-0.18,-0.02
273,1,-0.96,-0.17,-0.02
275,1,-0.96,-0.17,-0.02
276,1,-0.96,-0.17,-0.02
278,1,-0.96,-0.17,-0.02
280,1,-0.96,-0.17,-0.02
281,1,-0.96,-0.17,-0.02
283,1,-0.96,-0.17,-0.03
285,1,-0.96,-0.17,-0.03
286,1,-0.96,-0.17,-0.03
288,1,-0.96,-0.17,-0.03
290,1,-0.96,-0.17,-0.03
291,1,-0.96,-0.17,-0.03
293,1,-0.96,-0.16,-0.02
