t,l,x,y,z
0,1,-0.97,-0.08,0.14
2,1,-0.97,-0.08,0.14
3,1,-0.97,-0.08,0.14
5,1,-0.97,-0.08,0.14
7,1,-0.97,-0.08,0.14
9,1,-0.96,-0.08,0.13
10,1,-0.96,-0.08,0.13
12,1,-0.96,-0.08,0.13
14,1,-0.96,-0.08,0.13
15,1,-0.96,-0.08,0.13
17,1,-0.96,-0.08,0.13
19,1,-0.96,-0.08,0.13
20,1,-0.96,-0.08,0.13
22,1,-0.96,-0.08,0.13
24,1,-0.96,-0.08,0.13
25,1,-0.96,-0.08,0.13
27,1,-0.96,-0.08,0.13
29,1,-0.97,-0.08,0.14
30,1,-0.97,-0.08,0.14
32,1,-0.97,-0.08,0.14
34,1,-0.97,-0.08,0.14
35,1,-0.97,-0.08,0.14
37,1,-0.97,-0.08,0.14
39,1,-0.96,-0.08,0.12
40,1,-0.96,-0.08,0.12
42,1,-0.96,-0.08,0.12
44,1,-0.96,-0.08,0.12
45,1,-0.96,-0.08,0.12
47,1,-0.96,-0.08,0.25
49,1,-0.97,-0.08,0.13
50,1,-0.97,-0.08,0.13
52,1,-0.97,-0.08,0.13
54,1,-0.97,-0.08,0.13
55,1,-0.97,-0.08,0.13
57,1,-0.97,-0.08,0.14
59,1,-0.97,-0.08,0.14
60,1,-0.97,-0.08,0.14
62,1,-0.97,-0.08,0.14
64,1,-0.97,-0.08,0.14
65,1,-0.97,-0.08,0.14
67,1,-0.97,-0.08,0.14
69,1,-0.97,-0.08,0.14
70,1,-0.97,-0.08,0.14
72,1,-0.97,-0.08,0.14
74,1,-0.97,-0.08,0.14
75,1,-0.97,-0.08,0.14
77,1,-0.97,-0.08,0.14
79,1,-0.97,-0.08,0.14
80,1,-0.97,-0.08,0.14
82,1,-0.97,-0.08,0.14
84,1,-0.97,-0.08,0.14
85,1,-0.97,-0.08,0.14
87,1,-0.97,-0.07,0.13
89,1,-0.97,-0.07,0.13
90,1,-0.97,-0.07,0.13
92,1,-0.97,-0.07,0.13
94,1,-0.97,-0.07,0.13
96,1,-0.97,-0.07,0.13
97,1,-0.97,-0.08,0.14
99,1,-0.97,-0.08,0.14
101,1,-0.97,-0.08,0.14
102,1,-0.97,-0.08,0.14
104,1,-0.97,-0.08,0.14
106,1,-0.97,-0.08,0.14
107,1,-0.97,-0.09,0.13
109,1,-0.97,-0.09,0.13
111,1,-0.97,-0.09,0.13
112,1,-0.97,-0.09,0.13
114,1,-0.97,-0.09,0.13
116,1,-0.97,-0.08,0.13
117,1,-0.97,-0.08,0.13
119,1,-0.97,-0.08,0.13
121,1,-0.97,-0.08,0.13
122,1,-0.97,-0.08,0.13
124,1,-0.97,-0.08,0.13
126,1,-0.97,-0.08,0.13
127,1,-0.97,-0.08,0.13
129,1,-0.97,-0.08,0.13
131,1,-0.97,-0.08,0.13
132,1,-0.97,-0.08,0.13
134,1,-0.97,-0.08,0.13
136,1,-0.97,-0.08,0.13
137,1,-0.97,-0.08,0.13
139,1,-0.97,-0.08,0.13
141,1,-0.97,-0.08,0.13
142,1,-0.97,-0.08,0.13
144,1,-0.97,-0.08,0.13
146,1,-0.97,-0.09,0.14
147,1,-0.97,-0.09,0.14
149,1,-0.97,-0.09,0.14
151,1,-0.97,-0.09,0.14
152,1,-0.97,-0.09,0.14
154,1,-0.97,-0.09,0.14
156,1,-0.96,-0.09,0.15
157,1,-0.96,-0.09,0.15
159,1,-0.96,-0.09,0.15
161,1,-0.96,-0.09,0.15
162,1,-0.96,-0.09,0.15
164,1,-0.96,-0.09,0.15
166,1,-0.96,-0.09,0.15
167,1,-0.96,-0.09,0.15
169,1,-0.96,-0.09,0.15
171,1,-0.96,-0.09,0.15
172,1,-0.96,-0.09,0.15
174,1,-0.96,-0.09,0.15
176,1,-0.97,-0.08,0.14
177,1,-0.97,-0.08,0.14
179,1,-0.97,-0.08,0.14
181,1,-0.97,-0.08,0.14
182,1,-0.97,-0.08,0.14
184,1,-0.97,-0.09,0.13
186,1,-0.96,-0.09,0.13
187,1,-0.96,-0.09,0.13
189,1,-0.96,-0.09,0.13
191,1,-0.96,-0.09,0.13
192,1,-0.96,-0.09,0.13
194,1,-0.97,-0.1,0.14
196,1,-0.97,-0.1,0.14
197,1,-0.97,-0.1,0.14
199,1,-0.97,-0.1,0.14
201,1,-0.97,-0.1,0.14
202,1,-0.97,-0.1,0.14
204,1,-0.97,-0.08,0.15
206,1,-0.97,-0.08,0.15
208,1,-0.97,-0.08,0.15
209,1,-0.97,-0.08,0.15
211,1,-0.97,-0.08,0.15
213,1,-0.97,-0.08,0.15
214,1,-0.97,-0.06,0.17
216,1,-0.97,-0.06,0.17
218,1,-0.97,-0.06,0.17
219,1,-0.97,-0.06,0.17
221,1,-0.97,-0.06,0.17
223,1,-0.97,-0.06,0.17
224,1,-0.97,-0.02,0.19
226,1,-0.97,-0.02,0.19
228,1,-0.97,-0.02,0.19
229,1,-0.97,-0.02,0.19
231,1,-0.97,-0.02,0.19
233,1,-0.97,-0.02,0.23
234,1,-0.98,0.04,0.23
236,1,-0.98,0.04,0.23
238,1,-0.98,0.04,0.23
239,1,-0.98,0.04,0.23
241,1,-0.98,0.04,0.23
243,1,-0.98,0.06,0.3
244,1,-1.01,0.06,0.3
246,1,-1.01,0.06,0.3
248,1,-1.01,0.06,0.3
249,1,-1.01,0.06,0.3
251,1,-1.01,0.06,0.3
253,1,-1.01,0.07,0.37
254,1,-1.05,0.07,0.37
256,1,-1.05,0.07,0.37
258,1,-1.05,0.07,0.37
259,1,-1.05,0.07,0.37
261,1,-1.05,0.07,0.37
263,1,-1.08,0.05,0.28
264,1,-1.08,0.05,0.28
266,1,-1.08,0.05,0.28
268,1,-1.08,0.05,0.28
269,1,-1.08,0.05,0.28
271,1,-1.08,0.05,0.28
273,1,-1.13,-0.0,-0.02
274,1,-1.13,-0.0,-0.02
276,1,-1.13,-0.0,-0.02
278,1,-1.13,-0.0,-0.02
279,1,-1.13,-0.0,-0.02
281,1,-1.13,-0.0,-0.02
283,1,-1.37,-0.18,-0.49
284,1,-1.37,-0.18,-0.49
286,1,-1.37,-0.18,-0.49
288,1,-1.37,-0.18,-0.49
290,1,-1.37,-0.18,-0.49
291,1,-1.37,-0.18,-0.49
293,1,-1.79,-0.49,-1.1
295,1,-1.79,-0.49,-1.1
296,1,-1.79,-0.49,-1.1
298,1,-1.79,-0.49,-1.1
300,1,-1.79,-0.49,-1.1
301,1,-2.04,-0.72,-1.84
303,1,-2.03,-0.72,-1.84
305,1,-2.03,-0.72,-1.84
306,1,-2.03,-0.72,-1.84
308,1,-2.03,-0.72,-1.84
310,1,-2.03,-0.72,-1.84
312,1,-2.0,-0.77,-2.62
313,1,-2.0,-0.77,-2.62
315,1,-2.0,-0.77,-2.62
317,1,-2.0,-0.77,-2.62
318,1,-2.0,-0.77,-2.62
320,1,-2.0,-0.77,-2.62
322,1,-1.84,-0.78,-3.06
323,1,-1.84,-0.78,-3.06
325,1,-1.84,-0.78,-3.06
327,1,-1.84,-0.78,-3.06
328,1,-1.84,-0.78,-3.06
330,1,-1.84,-0.78,-3.06
332,1,-1.46,-0.6,-3.47
333,1,-1.46,-0.6,-3.47
335,1,-1.46,-0.6,-3.47
337,1,-1.46,-0.6,-3.47
338,1,-1.46,-0.6,-3.47
340,1,-1.46,-0.6,-3.47
342,1,-1.08,-0.46,-3.61
343,1,-1.08,-0.46,-3.61
345,1,-1.08,-0.46,-3.61
347,1,-1.08,-0.46,-3.61
348,1,-1.08,-0.46,-3.61
350,1,-1.08,-0.58,-3.44
352,1,-0.91,-0.5,-3.44
353,1,-0.91,-0.5,-3.44
355,1,-0.91,-0.5,-3.44
357,1,-0.91,-0.5,-3.44
358,1,-0.91,-0.5,-3.44
360,1,-0.89,-0.68,-3.1
362,1,-0.89,-0.68,-3.1
363,1,-0.89,-0.68,-3.1
365,1,-0.89,-0.68,-3.1
367,1,-0.89,-0.68,-3.1
369,1,-0.89,-0.68,-3.1
370,1,-0.84,-0.91,-2.74
372,1,-0.84,-0.91,-2.74
374,1,-0.84,-0.91,-2.74
375,1,-0.84,-0.91,-2.74
377,1,-0.84,-0.91,-2.74
379,1,-0.84,-0.91,-2.74
380,1,-0.74,-1.13,-2.36
382,1,-0.74,-1.13,-2.36
384,1,-0.74,-1.13,-2.36
385,1,-0.74,-1.13,-2.36
387,1,-0.74,-1.13,-2.36
389,1,-0.74,-1.13,-2.36
390,1,-0.55,-1.29,-1.98
392,1,-0.55,-1.29,-1.98
394,1,-0.55,-1.29,-1.98
395,1,-0.55,-1.29,-1.98
397,1,-0.55,-1.29,-1.98
399,1,-0.55,-1.41,-1.58
401,1,-0.28,-1.38,-1.58
402,1,-0.28,-1.38,-1.58
404,1,-0.28,-1.38,-1.58
406,1,-0.28,-1.38,-1.58
407,1,-0.28,-1.38,-1.58
409,1,0.03,-1.39,-0.95
411,1,0.03,-1.39,-0.95
412,1,0.03,-1.39,-0.95
414,1,0.03,-1.39,-0.95
416,1,0.03,-1.39,-0.95
417,1,0.03,-1.39,-0.95
419,1,0.32,-1.28,-0.16
421,1,0.32,-1.28,-0.16
423,1,0.32,-1.28,-0.16
424,1,0.32,-1.28,-0.16
426,1,0.32,-1.28,-0.16
428,1,0.32,-1.28,-0.16
429,1,0.52,-1.12,0.79
431,1,0.52,-1.12,0.79
433,1,0.52,-1.12,0.79
434,1,0.52,-1.12,0.79
436,1,0.52,-1.12,0.79
438,1,0.52,-1.12,0.79
439,1,0.7,-0.9,1.74
441,1,0.7,-0.9,1.74
443,1,0.7,-0.9,1.74
444,1,0.7,-0.9,1.74
446,1,0.7,-0.9,1.74
448,1,0.7,-0.65,2.65
449,1,0.7,-0.65,2.65
451,1,0.7,-0.65,2.65
453,1,0.7,-0.65,2.65
454,1,0.7,-0.65,2.65
456,1,0.7,-0.65,2.65
458,1,0.54,-0.62,3.28
459,1,0.54,-0.62,3.28
461,1,0.54,-0.62,3.28
463,1,0.54,-0.62,3.28
464,1,0.54,-0.62,3.28
466,1,0.54,-0.62,3.28
468,1,0.17,-0.6,3.58
469,1,0.17,-0.6,3.58
471,1,0.17,-0.6,3.58
473,1,0.17,-0.6,3.58
474,1,0.17,-0.6,3.58
476,1,0.17,-0.6,3.58
478,1,-0.11,-0.63,3.51
479,1,-0.11,-0.63,3.51
481,1,-0.11,-0.63,3.51
483,1,-0.11,-0.63,3.51
484,1,-0.11,-0.63,3.51
486,1,-0.11,-0.63,3.51
488,1,-0.45,-0.8,3.5
489,1,-0.45,-0.8,3.5
491,1,-0.45,-0.8,3.5
493,1,-0.45,-0.8,3.5
494,1,-0.45,-0.8,3.5
496,1,-0.45,-0.8,3.5
498,1,-0.54,-0.79,3.08
499,1,-0.54,-0.79,3.08
501,1,-0.54,-0.79,3.08
503,1,-0.54,-0.79,3.08
504,1,-0.54,-0.79,3.08
506,1,-0.54,-0.79,3.08
508,1,-0.72,-0.87,2.41
509,1,-0.72,-0.87,2.41
511,1,-0.72,-0.87,2.41
513,1,-0.72,-0.87,2.41
514,1,-0.72,-0.87,2.41
516,1,-0.72,-0.87,2.99
518,1,-9.91,-2.42,2.99
519,1,-9.91,-2.42,2.99
521,1,-9.91,-2.42,2.99
523,1,-9.91,-2.42,2.99
524,1,-9.91,-2.42,2.99
526,1,-2.96,-0.75,1.88
528,1,-2.96,-0.75,1.88
530,1,-2.96,-0.75,1.88
531,1,-2.96,-0.75,1.88
533,1,-2.96,-0.75,1.88
534,1,-2.96,-0.75,1.88
536,1,0.34,0.14,1.27
538,1,0.34,0.14,1.27
539,1,0.34,0.14,1.27
541,1,0.34,0.14,1.27
543,1,0.34,0.14,1.27
544,1,0.34,0.14,1.27
546,1,0.12,0.47,0.57
548,1,0.12,0.47,0.57
549,1,0.12,0.47,0.57
551,1,0.12,0.47,0.57
553,1,0.12,0.47,0.57
554,1,0.12,0.47,0.57
556,1,-0.06,0.08,0.47
558,1,-0.06,0.08,0.47
559,1,-0.06,0.08,0.47
561,1,-0.06,0.08,0.47
563,1,-0.06,0.08,0.47
564,1,-0.06,0.08,0.47
566,1,-0.05,0.13,0.7
568,1,-0.05,0.13,0.7
569,1,-0.05,0.13,0.7
571,1,-0.05,0.13,0.7
573,1,-0.05,0.13,0.7
574,1,-0.05,0.13,0.7
576,1,-0.54,-0.04,0.78
578,1,-0.54,-0.04,0.78
579,1,-0.54,-0.04,0.78
581,1,-0.54,-0.04,0.78
583,1,-0.54,-0.04,0.78
584,1,-0.54,-0.04,0.64
586,1,-1.48,-0.49,0.64
588,1,-1.48,-0.49,0.64
590,1,-1.48,-0.49,0.64
591,1,-1.48,-0.49,0.64
593,1,-1.48,-0.49,0.64
595,1,-2.16,-0.7,0.57
596,1,-2.16,-0.7,0.57
598,1,-2.16,-0.7,0.57
600,1,-2.16,-0.7,0.57
601,1,-2.16,-0.7,0.57
603,1,-2.16,-0.7,0.57
605,1,-1.13,-0.31,0.41
606,1,-1.13,-0.31,0.41
608,1,-1.13,-0.31,0.41
610,1,-1.13,-0.31,0.41
611,1,-1.13,-0.31,0.41
613,1,-1.13,-0.31,0.41
615,1,-0.45,-0.03,0.16
616,1,-0.45,-0.03,0.16
618,1,-0.45,-0.03,0.16
620,1,-0.45,-0.03,0.16
621,1,-0.45,-0.03,0.16
623,1,-0.45,-0.03,0.16
625,1,-0.6,-0.19,-0.16
626,1,-0.6,-0.19,-0.16
628,1,-0.6,-0.19,-0.16
630,1,-0.6,-0.19,-0.16
632,1,-0.6,-0.19,-0.16
633,1,-0.6,-0.19,-0.28
635,1,-1.11,-0.45,-0.26
637,1,-1.11,-0.45,-0.26
638,1,-1.11,-0.45,-0.26
640,1,-1.11,-0.45,-0.26
642,1,-1.11,-0.45,-0.26
643,1,-1.11,-0.45,-0.32
645,1,-1.22,-0.45,-0.32
647,1,-1.22,-0.45,-0.32
648,1,-1.22,-0.45,-0.32
650,1,-1.22,-0.45,-0.32
652,1,-1.22,-0.45,-0.32
653,1,-0.89,-0.31,-0.39
655,1,-0.89,-0.31,-0.39
657,1,-0.89,-0.31,-0.39
659,1,-0.89,-0.31,-0.39
660,1,-0.89,-0.31,-0.39
662,1,-0.89,-0.31,-0.39
664,1,-0.81,-0.24,-0.29
665,1,-0.81,-0.24,-0.29
667,1,-0.81,-0.24,-0.29
669,1,-0.81,-0.24,-0.29
670,1,-0.81,-0.24,-0.29
672,1,-0.81,-0.24,-0.29
674,1,-0.95,-0.24,-0.18
675,1,-0.95,-0.24,-0.18
677,1,-0.95,-0.24,-0.18
679,1,-0.95,-0.24,-0.18
680,1,-0.95,-0.24,-0.18
682,1,-0.95,-0.24,-0.08
684,1,-1.0,-0.22,-0.08
686,1,-1.0,-0.22,-0.08
687,1,-1.0,-0.22,-0.08
689,1,-1.0,-0.22,-0.08
691,1,-1.0,-0.22,-0.08
692,1,-0.98,-0.19,0.02
694,1,-0.98,-0.19,0.02
695,1,-0.98,-0.19,0.02
697,1,-0.98,-0.19,0.02
699,1,-0.98,-0.19,0.02
700,1,-0.98,-0.19,0.02
702,1,-0.95,-0.15,0.09
704,1,-0.95,-0.15,0.09
705,1,-0.95,-0.15,0.09
707,1,-0.95,-0.15,0.09
709,1,-0.95,-0.15,0.09
710,1,-0.95,-0.15,0.09
712,1,-0.95,-0.11,0.15
714,1,-0.95,-0.11,0.15
715,1,-0.95,-0.11,0.15
717,1,-0.95,-0.11,0.15
719,1,-0.95,-0.11,0.15
720,1,-0.95,-0.11,0.15
722,1,-0.97,-0.08,0.21
724,1,-0.97,-0.08,0.21
725,1,-0.97,-0.08,0.21
727,1,-0.97,-0.08,0.21
729,1,-0.97,-0.08,0.21
730,1,-0.97,-0.08,0.21
732,1,-0.97,-0.06,0.26
734,1,-0.97,-0.06,0.26
735,1,-0.97,-0.06,0.26
737,1,-0.97,-0.06,0.26
739,1,-0.97,-0.06,0.26
740,1,-0.97,-0.06,0.26
742,1,-0.95,-0.05,0.3
744,1,-0.95,-0.05,0.3
745,1,-0.95,-0.05,0.3
747,1,-0.95,-0.05,0.3
749,1,-0.95,-0.05,0.3
750,1,-0.95,-0.05,0.3
752,1,-0.96,-0.04,0.32
754,1,-0.96,-0.04,0.32
755,1,-0.96,-0.04,0.32
757,1,-0.96,-0.04,0.32
759,1,-0.96,-0.04,0.32
760,1,-0.96,-0.06,0.32
762,1,-0.99,-0.06,0.32
764,1,-0.99,-0.06,0.32
765,1,-0.99,-0.06,0.32
767,1,-0.99,-0.06,0.32
769,1,-0.99,-0.06,0.32
770,1,-0.99,-0.09,0.28
772,1,-0.99,-0.09,0.28
774,1,-0.99,-0.09,0.28
775,1,-0.99,-0.09,0.28
777,1,-0.99,-0.09,0.28
779,1,-0.99,-0.09,0.28
780,1,-0.97,-0.11,0.23
782,1,-0.97,-0.11,0.23
784,1,-0.97,-0.11,0.23
785,1,-0.97,-0.11,0.23
787,1,-0.97,-0.11,0.23
789,1,-0.97,-0.11,0.23
790,1,-0.96,-0.13,0.15
792,1,-0.96,-0.13,0.15
794,1,-0.96,-0.13,0.15
795,1,-0.96,-0.13,0.15
797,1,-0.96,-0.13,0.15
799,1,-0.96,-0.13,0.15
800,1,-0.97,-0.15,0.07
802,1,-0.97,-0.15,0.07
804,1,-0.97,-0.15,0.07
805,1,-0.97,-0.15,0.07
807,1,-0.97,-0.15,0.07
809,1,-0.97,-0.15,0.07
810,1,-0.96,-0.16,0.02
812,1,-0.96,-0.16,0.02
814,1,-0.96,-0.16,0.02
815,1,-0.96,-0.16,0.02
817,1,-0.96,-0.16,0.02
819,1,-0.96,-0.16,-0.11
820,1,-0.96,-0.15,-0.01
822,1,-0.96,-0.15,-0.01
824,1,-0.96,-0.15,-0.01
826,1,-0.96,-0.15,-0.01
827,1,-0.96,-0.15,-0.01
829,1,-0.96,-0.13,-0.02
831,1,-0.96,-0.13,-0.02
832,1,-0.96,-0.13,-0.02
834,1,-0.96,-0.13,-0.02
836,1,-0.96,-0.13,-0.02
837,1,-0.96,-0.13,-0.02
839,1,-0.97,-0.09,-0.02
840,1,-0.97,-0.09,-0.02
842,1,-0.97,-0.09,-0.02
844,1,-0.97,-0.09,-0.02
845,1,-0.97,-0.09,-0.02
847,1,-0.97,-0.09,-0.02
849,1,-0.98,-0.07,-0.0
850,1,-0.98,-0.07,-0.0
852,1,-0.98,-0.07,-0.0
854,1,-0.98,-0.07,-0.0
855,1,-0.98,-0.07,-0.0
857,1,-0.98,-0.07,-0.0
859,1,-0.98,-0.06,0.03
860,1,-0.98,-0.06,0.03
862,1,-0.98,-0.06,0.03
864,1,-0.98,-0.06,0.03
865,1,-0.98,-0.06,0.03
867,1,-0.98,-0.06,0.03
869,1,-0.98,-0.04,0.08
870,1,-0.98,-0.04,0.08
872,1,-0.98,-0.04,0.08
874,1,-0.98,-0.04,0.08
875,1,-0.98,-0.04,0.08
877,1,-0.98,-0.04,0.08
879,1,-0.97,-0.05,0.13
880,1,-0.97,-0.05,0.13
882,1,-0.97,-0.05,0.13
884,1,-0.97,-0.05,0.13
885,1,-0.97,-0.05,0.13
887,1,-0.97,-0.05,0.13
889,1,-0.97,-0.08,0.13
890,1,-0.97,-0.08,0.13
892,1,-0.97,-0.08,0.13
894,1,-0.97,-0.08,0.13
895,1,-0.97,-0.08,0.13
897,1,-0.97,-0.11,0.13
899,1,-0.98,-0.11,0.13
900,1,-0.98,-0.11,0.13
902,1,-0.98,-0.11,0.13
904,1,-0.98,-0.11,0.13
905,1,-0.98,-0.11,0.13
907,1,-0.98,-0.13,0.1
909,1,-0.98,-0.13,0.1
910,1,-0.98,-0.13,0.1
912,1,-0.98,-0.13,0.1
914,1,-0.98,-0.13,0.1
915,1,-0.98,-0.13,0.1
917,1,-0.97,-0.14,0.08
919,1,-0.97,-0.14,0.08
920,1,-0.97,-0.14,0.08
922,1,-0.97,-0.14,0.08
924,1,-0.97,-0.14,0.08
925,1,-0.97,-0.14,0.08
927,1,-0.97,-0.14,0.06
929,1,-0.97,-0.14,0.06
930,1,-0.97,-0.14,0.06
932,1,-0.97,-0.14,0.06
934,1,-0.97,-0.14,0.06
935,1,-0.97,-0.14,0.06
937,1,-0.97,-0.13,0.04
939,1,-0.97,-0.13,0.04
940,1,-0.97,-0.13,0.04
942,1,-0.97,-0.13,0.04
944,1,-0.97,-0.13,0.04
945,1,-0.97,-0.13,0.04
947,1,-0.96,-0.13,0.04
949,1,-0.96,-0.13,0.04
950,1,-0.96,-0.13,0.04
952,1,-0.96,-0.13,0.04
954,1,-0.96,-0.13,0.04
955,1,-0.96,-0.13,0.04
957,1,-0.96,-0.12,0.04
959,1,-0.96,-0.12,0.04
960,1,-0.96,-0.12,0.04
962,1,-0.96,-0.12,0.04
964,1,-0.96,-0.12,0.04
965,1,-0.96,-0.12,0.06
967,1,-0.97,-0.11,0.06
969,1,-0.97,-0.11,0.06
970,1,-0.97,-0.11,0.06
972,1,-0.97,-0.11,0.06
974,1,-0.97,-0.11,0.06
975,1,-0.98,-0.09,0.08
977,1,-0.98,-0.09,0.08
979,1,-0.98,-0.09,0.08
980,1,-0.98,-0.09,0.08
982,1,-0.98,-0.09,0.08
984,1,-0.98,-0.09,0.08
985,1,-0.97,-0.1,0.1
987,1,-0.97,-0.1,0.1
989,1,-0.97,-0.1,0.1
990,1,-0.97,-0.1,0.1
992,1,-0.97,-0.1,0.1
994,1,-0.97,-0.1,0.1
995,1,-0.97,-0.09,0.11
997,1,-0.97,-0.09,0.11
999,1,-0.97,-0.09,0.11
1000,1,-0.97,-0.09,0.11
1002,1,-0.97,-0.09,0.11
1004,1,-0.97,-0.09,0.11
1006,1,-0.96,-0.1,0.12
1007,1,-0.96,-0.1,0.12
1009,1,-0.96,-0.1,0.12
1011,1,-0.96,-0.1,0.12
1012,1,-0.96,-0.1,0.12
1014,1,-0.96,-0.1,0.12
1016,1,-0.97,-0.12,0.12
1017,1,-0.97,-0.12,0.12
1019,1,-0.97,-0.12,0.12
1021,1,-0.97,-0.12,0.12
1022,1,-0.97,-0.12,0.12
1024,1,-0.97,-0.12,0.12
1026,1,-0.97,-0.12,0.1
1027,1,-0.97,-0.12,0.1
1029,1,-0.97,-0.12,0.1
1030,1,-0.97,-0.12,0.1
1032,1,-0.97,-0.12,0.1
1034,1,-0.97,-0.25,0.09
1035,1,-0.97,-0.13,0.09
1037,1,-0.97,-0.13,0.09
1039,1,-0.97,-0.13,0.09
1040,1,-0.97,-0.13,0.09
1042,1,-0.97,-0.13,0.09
1044,1,-0.97,-0.16,0.07
1045,1,-0.96,-0.16,0.07
1047,1,-0.96,-0.16,0.07
1049,1,-0.96,-0.16,0.07
1050,1,-0.96,-0.16,0.07
1052,1,-0.96,-0.16,0.07
1054,1,-0.96,-0.16,0.04
1055,1,-0.96,-0.16,0.04
1057,1,-0.96,-0.16,0.04
1059,1,-0.96,-0.16,0.04
1060,1,-0.96,-0.16,0.04
1062,1,-0.96,-0.16,0.04
1064,1,-0.96,-0.16,0.03
1065,1,-0.96,-0.16,0.03
1067,1,-0.96,-0.16,0.03
1069,1,-0.96,-0.16,0.03
1070,1,-0.96,-0.16,0.03
1072,1,-0.96,-0.16,0.03
1074,1,-0.96,-0.16,0.04
1075,1,-0.96,-0.16,0.04
1077,1,-0.96,-0.16,0.04
1079,1,-0.96,-0.16,0.04
1080,1,-0.96,-0.16,0.04
1082,1,-0.96,-0.16,0.04
1084,1,-0.97,-0.16,0.05
1085,1,-0.97,-0.16,0.05
1087,1,-0.97,-0.16,0.05
1089,1,-0.97,-0.16,0.05
1090,1,-0.97,-0.16,0.05
1092,1,-0.97,-0.16,0.05
1094,1,-0.96,-0.15,0.08
1095,1,-0.96,-0.15,0.08
1097,1,-0.96,-0.15,0.08
1099,1,-0.96,-0.15,0.08
1100,1,-0.96,-0.15,0.08
1102,1,-0.96,-0.15,0.11
1104,1,-0.98,-0.14,0.11
1105,1,-0.98,-0.14,0.11
1107,1,-0.98,-0.14,0.11
1109,1,-0.98,-0.14,0.11
1111,1,-0.98,-0.14,0.11
1112,1,-0.97,-0.12,0.12
1114,1,-0.97,-0.12,0.12
1116,1,-0.97,-0.12,0.12
1117,1,-0.97,-0.12,0.12
1119,1,-0.97,-0.12,0.12
1121,1,-0.97,-0.12,0.12
1122,1,-0.97,-0.11,0.12
1124,1,-0.97,-0.11,0.12
1126,1,-0.97,-0.11,0.12
1127,1,-0.97,-0.11,0.12
1129,1,-0.97,-0.11,0.12
1131,1,-0.97,-0.11,0.12
1132,1,-0.96,-0.09,0.12
1134,1,-0.96,-0.09,0.12
1136,1,-0.96,-0.09,0.12
1137,1,-0.96,-0.09,0.12
1139,1,-0.96,-0.09,0.12
1141,1,-0.96,-0.09,0.12
1142,1,-0.96,-0.09,0.11
1144,1,-0.96,-0.09,0.11
1146,1,-0.96,-0.09,0.11
1147,1,-0.96,-0.09,0.11
1149,1,-0.96,-0.09,0.11
1151,1,-0.96,-0.09,0.11
1152,1,-0.98,-0.1,0.11
1154,1,-0.98,-0.1,0.11
1156,1,-0.98,-0.1,0.11
1157,1,-0.98,-0.1,0.11
1159,1,-0.98,-0.1,0.11
1161,1,-0.98,-0.1,0.09
1162,1,-0.98,-0.11,0.09
1164,1,-0.98,-0.11,0.09
1166,1,-0.98,-0.11,0.09
1167,1,-0.98,-0.11,0.09
1169,1,-0.98,-0.11,0.09
1171,1,-0.97,-0.13,0.07
1172,1,-0.97,-0.13,0.07
1174,1,-0.97,-0.13,0.07
1176,1,-0.97,-0.13,0.07
1177,1,-0.97,-0.13,0.07
1179,1,-0.97,-0.13,0.07
1181,1,-0.96,-0.14,0.07
1182,1,-0.96,-0.14,0.07
1184,1,-0.96,-0.14,0.07
1186,1,-0.96,-0.14,0.07
1187,1,-0.96,-0.14,0.07
1189,1,-0.96,-0.14,0.07
1191,1,-0.97,-0.14,0.08
1192,1,-0.97,-0.14,0.08
1194,1,-0.97,-0.14,0.08
1196,1,-0.97,-0.14,0.08
1197,1,-0.97,-0.14,0.08
1199,1,-0.97,-0.14,0.08
1201,1,-0.96,-0.13,0.08
1202,1,-0.96,-0.13,0.08
1204,1,-0.96,-0.13,0.08
1206,1,-0.96,-0.13,0.08
1207,1,-0.96,-0.13,0.08
1209,1,-0.96,-0.13,0.08
1211,1,-0.97,-0.14,0.1
1212,1,-0.97,-0.14,0.1
1214,1,-0.97,-0.14,0.1
1216,1,-0.97,-0.14,0.1
1217,1,-0.97,-0.14,0.1
1219,1,-0.97,-0.14,0.1
1221,1,-0.96,-0.14,0.1
1222,1,-0.96,-0.14,0.1
1224,1,-0.96,-0.14,0.1
1226,1,-0.96,-0.14,0.1
1227,1,-0.96,-0.14,0.1
1229,1,-0.96,-0.14,0.11
1231,1,-0.97,-0.13,0.11
1232,1,-0.97,-0.13,0.11
1234,1,-0.97,-0.13,0.11
1236,1,-0.97,-0.13,0.11
1237,1,-0.97,-0.13,0.11
1239,1,-0.96,-0.13,0.1
1241,1,-0.96,-0.13,0.1
1242,1,-0.96,-0.13,0.1
1244,1,-0.96,-0.13,0.1
1246,1,-0.96,-0.13,0.1
1247,1,-0.96,-0.13,0.1
1249,1,-0.97,-0.12,0.08
1251,1,-0.97,-0.12,0.08
1252,1,-0.97,-0.12,0.08
1254,1,-0.97,-0.12,0.08
1256,1,-0.97,-0.12,0.08
1257,1,-0.97,-0.12,0.08
1259,1,-0.97,-0.13,0.08
1261,1,-0.97,-0.13,0.08
