t,l,x,y,z
0,1,-0.98,0.02,0.0
2,1,-0.98,0.02,0.0
3,1,-0.98,0.02,0.0
5,1,-0.98,0.02,0.0
7,1,-0.98,0.02,0.0
8,1,-0.99,0.02,0.0
10,1,-0.99,0.02,0.0
12,1,-0.99,0.02,0.0
13,1,-0.99,0.02,0.0
15,1,-0.99,0.02,0.0
17,1,-0.99,0.02,0.01
18,1,-0.98,0.01,0.01
20,1,-0.98,0.01,0.01
22,1,-0.98,0.01,0.01
23,1,-0.98,0.01,0.01
25,1,-0.98,0.01,0.01
27,1,-0.98,0.02,0.0
28,1,-0.98,0.02,0.0
30,1,-0.98,0.02,0.0
32,1,-0.98,0.02,0.0
33,1,-0.98,0.02,0.0
35,1,-0.98,0.02,0.0
37,1,-0.98,0.02,0.0
38,1,-0.98,0.02,0.0
40,1,-0.98,0.02,0.0
42,1,-0.98,0.02,0.0
43,1,-0.98,0.02,0.0
45,1,-0.98,0.02,0.0
47,1,-0.98,0.02,0.01
48,1,-0.98,0.02,0.01
50,1,-0.98,0.02,0.01
52,1,-0.98,0.02,0.01
53,1,-0.98,0.02,0.01
55,1,-0.98,0.02,0.01
57,1,-0.98,0.02,0.0
58,1,-0.98,0.02,0.0
60,1,-0.98,0.02,0.0
62,1,-0.98,0.02,0.0
63,1,-0.98,0.02,0.0
65,1,-0.98,0.02,0.0
67,1,-0.98,0.02,0.0
68,1,-0.98,0.02,0.0
70,1,-0.98,0.02,0.0
72,1,-0.98,0.02,0.0
73,1,-0.98,0.02,0.0
75,1,-0.98,0.02,0.0
77,1,-0.98,0.01,0.0
78,1,-0.98,0.01,0.0
80,1,-0.98,0.01,0.0
82,1,-0.98,0.01,0.0
83,1,-0.98,0.01,0.0
85,1,-0.98,0.01,0.0
87,1,-0.98,0.01,0.01
88,1,-0.98,0.01,0.01
90,1,-0.98,0.01,0.01
92,1,-0.98,0.01,0.01
93,1,-0.98,0.01,0.01
95,1,-0.98,0.01,0.01
97,1,-0.98,0.01,0.01
98,1,-0.98,0.01,0.01
100,1,-0.98,0.01,0.01
102,1,-0.98,0.01,0.01
103,1,-0.98,0.01,0.01
105,1,-0.97,0.02,0.01
107,1,-0.97,0.02,0.01
108,1,-0.97,0.02,0.01
110,1,-0.97,0.02,0.01
112,1,-0.97,0.02,0.01
113,1,-0.97,0.02,0.01
115,1,-0.98,0.02,0.0
117,1,-0.98,0.02,0.0
118,1,-0.98,0.02,0.0
120,1,-0.98,0.02,0.0
122,1,-0.98,0.02,0.0
123,1,-0.98,0.02,0.0
125,1,-0.99,0.02,0.0
127,1,-0.99,0.02,0.0
128,1,-0.99,0.02,0.0
130,1,-0.99,0.02,0.0
132,1,-0.99,0.02,0.0
133,1,-0.99,0.02,0.0
135,1,-0.99,0.03,0.01
137,1,-0.99,0.03,0.01
138,1,-0.99,0.03,0.01
140,1,-0.99,0.03,0.01
142,1,-0.99,0.03,0.01
143,1,-0.99,0.03,0.01
145,1,-0.98,0.02,0.0
147,1,-0.98,0.02,0.0
148,1,-0.98,0.02,0.0
150,1,-0.98,0.02,0.0
152,1,-0.98,0.02,0.0
153,1,-0.98,0.02,0.0
155,1,-0.98,0.01,-0.0
156,1,-0.98,0.01,-0.0
158,1,-0.98,0.01,-0.0
160,1,-0.98,0.01,-0.0
161,1,-0.98,0.01,-0.0
163,1,-0.98,0.01,0.12
165,1,-0.98,0.01,0.0
166,1,-0.98,0.01,0.0
168,1,-0.98,0.01,0.0
170,1,-0.98,0.01,0.0
171,1,-0.98,0.01,0.0
173,1,-0.98,0.01,0.01
175,1,-0.99,0.02,0.01
176,1,-0.99,0.02,0.01
178,1,-0.99,0.02,0.01
180,1,-0.99,0.02,0.01
181,1,-0.99,0.02,0.01
183,1,-0.98,0.01,0.01
185,1,-0.98,0.01,0.01
186,1,-0.98,0.01,0.01
188,1,-0.98,0.01,0.01
190,1,-0.98,0.01,0.01
191,1,-0.98,0.01,0.01
193,1,-0.98,0.02,0.01
195,1,-0.98,0.02,0.01
196,1,-0.98,0.02,0.01
198,1,-0.98,0.02,0.01
200,1,-0.98,0.02,0.01
202,1,-0.98,0.02,0.01
203,1,-0.98,0.02,0.01
205,1,-0.98,0.02,0.01
207,1,-0.98,0.02,0.01
208,1,-0.98,0.02,0.01
210,1,-0.98,0.02,0.01
212,1,-0.98,0.02,0.01
213,1,-0.98,0.02,0.01
215,1,-0.98,0.02,0.01
217,1,-0.98,0.02,0.01
218,1,-0.98,0.02,0.01
220,1,-0.98,0.02,0.01
