t,l,x,y,z
0,1,-0.97,-0.0,0.07
2,1,-0.97,-0.01,0.08
3,1,-0.97,-0.01,0.08
5,1,-0.97,-0.01,0.08
7,1,-0.97,-0.01,0.08
8,1,-0.97,-0.01,0.08
10,1,-0.97,-0.01,0.08
12,1,-0.98,-0.01,0.08
13,1,-0.98,-0.01,0.08
15,1,-0.98,-0.01,0.08
17,1,-0.98,-0.01,0.08
18,1,-0.98,-0.01,0.08
20,1,-0.98,-0.01,0.08
22,1,-0.98,-0.01,0.07
23,1,-0.98,-0.01,0.07
25,1,-0.98,-0.01,0.07
27,1,-0.98,-0.01,0.07
28,1,-0.98,-0.01,0.07
30,1,-0.98,-0.01,0.07
32,1,-0.98,-0.01,0.08
33,1,-0.98,-0.01,0.08
35,1,-0.98,-0.01,0.08
37,1,-0.98,-0.01,0.08
38,1,-0.98,-0.01,0.08
40,1,-0.98,-0.01,0.08
42,1,-0.98,-0.01,0.07
43,1,-0.98,-0.01,0.07
45,1,-0.98,-0.01,0.07
47,1,-0.98,-0.01,0.07
48,1,-0.98,-0.01,0.07
50,1,-0.98,-0.01,0.07
52,1,-0.98,-0.01,0.07
53,1,-0.98,-0.01,0.07
55,1,-0.98,-0.01,0.07
57,1,-0.98,-0.01,0.07
58,1,-0.98,-0.01,0.07
60,1,-0.98,-0.01,0.07
62,1,-0.98,-0.01,0.07
63,1,-0.98,-0.01,0.07
65,1,-0.98,-0.01,0.07
67,1,-0.98,-0.01,0.07
68,1,-0.98,-0.01,0.07
70,1,-0.99,-0.02,0.08
72,1,-0.99,-0.02,0.08
73,1,-0.99,-0.02,0.08
75,1,-0.99,-0.02,0.08
77,1,-0.99,-0.02,0.08
78,1,-0.99,-0.02,0.08
80,1,-0.98,-0.01,0.08
82,1,-0.98,-0.01,0.08
83,1,-0.98,-0.01,0.08
85,1,-0.98,-0.01,0.08
87,1,-0.98,-0.01,0.08
88,1,-0.98,-0.01,0.08
90,1,-0.97,-0.01,0.08
92,1,-0.97,-0.01,0.08
93,1,-0.97,-0.01,0.08
95,1,-0.97,-0.01,0.08
97,1,-0.97,-0.01,0.08
98,1,-0.97,-0.01,0.08
100,1,-0.97,-0.01,0.07
102,1,-0.97,-0.01,0.07
103,1,-0.97,-0.01,0.07
105,1,-0.97,-0.01,0.07
107,1,-0.97,-0.01,0.07
108,1,-0.97,-0.01,0.07
110,1,-0.98,-0.0,0.08
112,1,-0.98,-0.0,0.08
113,1,-0.98,-0.0,0.08
115,1,-0.98,-0.0,0.08
117,1,-0.98,-0.0,0.08
118,1,-0.98,-0.0,0.08
120,1,-0.98,-0.01,0.08
122,1,-0.98,-0.01,0.08
123,1,-0.98,-0.01,0.08
125,1,-0.98,-0.01,0.08
126,1,-0.98,-0.01,0.08
128,1,-0.98,-0.01,0.08
130,1,-0.98,-0.01,0.08
131,1,-0.98,-0.01,0.08
133,1,-0.98,-0.01,0.08
135,1,-0.98,-0.01,0.08
136,1,-0.98,-0.01,0.08
138,1,-0.98,-0.01,0.08
140,1,-0.99,-0.01,0.08
141,1,-0.99,-0.01,0.08
143,1,-0.99,-0.01,0.08
145,1,-0.99,-0.01,0.08
146,1,-0.99,-0.01,0.08
148,1,-0.99,-0.02,0.08
150,1,-0.99,-0.02,0.08
151,1,-0.99,-0.02,0.08
153,1,-0.99,-0.02,0.08
155,1,-0.99,-0.02,0.08
156,1,-0.99,-0.02,0.08
158,1,-0.99,-0.02,0.08
160,1,-0.99,-0.02,0.08
161,1,-0.99,-0.02,0.08
163,1,-0.99,-0.02,0.08
165,1,-0.99,-0.02,0.08
166,1,-0.99,-0.02,0.08
168,1,-0.98,-0.02,0.07
170,1,-0.98,-0.02,0.07
171,1,-0.98,-0.02,0.07
173,1,-0.98,-0.02,0.07
175,1,-0.98,-0.02,0.07
176,1,-0.98,-0.02,0.07
178,1,-0.98,-0.02,0.08
180,1,-0.98,-0.02,0.08
181,1,-0.98,-0.02,0.08
183,1,-0.98,-0.02,0.08
185,1,-0.98,-0.02,0.08
186,1,-0.98,-0.02,0.08
188,1,-0.98,-0.02,0.08
190,1,-0.98,-0.02,0.08
191,1,-0.98,-0.02,0.08
193,1,-0.98,-0.02,0.08
195,1,-0.98,-0.02,0.08
196,1,-0.98,-0.02,0.08
198,1,-0.98,-0.01,0.08
200,1,-0.98,-0.01,0.08
201,1,-0.98,-0.01,0.08
203,1,-0.98,-0.01,0.08
205,1,-0.98,-0.01,0.08
206,1,-0.98,-0.01,0.07
208,1,-0.97,-0.01,0.07
210,1,-0.97,-0.01,0.07
211,1,-0.97,-0.01,0.07
213,1,-0.97,-0.01,0.07
215,1,-0.97,-0.01,0.07
216,1,-0.98,-0.01,0.07
218,1,-0.98,-0.01,0.07
220,1,-0.98,-0.01,0.07
221,1,-0.98,-0.01,0.07
223,1,-0.98,-0.01,0.07
225,1,-0.98,-0.01,0.07
226,1,-0.98,-0.01,0.07
228,1,-0.98,-0.01,0.07
230,1,-0.98,-0.01,0.07
231,1,-0.98,-0.01,0.07
233,1,-0.98,-0.01,0.07
235,1,-0.98,-0.01,0.07
236,1,-0.98,-0.01,0.08
238,1,-0.98,-0.01,0.08
240,1,-0.98,-0.01,0.08
241,1,-0.98,-0.01,0.08
