t,l,x,y,z
0,1,-0.97,0.17,-0.04
2,1,-0.97,0.17,-0.04
3,1,-0.97,0.17,-0.04
5,1,-0.97,0.17,-0.04
7,1,-0.96,0.18,-0.05
8,1,-0.96,0.18,-0.05
10,1,-0.96,0.18,-0.05
12,1,-0.96,0.18,-0.05
13,1,-0.96,0.18,-0.05
15,1,-0.96,0.18,-0.05
17,1,-0.97,0.18,-0.05
18,1,-0.97,0.18,-0.05
20,1,-0.97,0.18,-0.05
22,1,-0.97,0.18,-0.05
23,1,-0.97,0.18,-0.05
25,1,-0.97,0.18,-0.05
27,1,-0.96,0.18,-0.05
28,1,-0.96,0.18,-0.05
30,1,-0.96,0.18,-0.05
32,1,-0.96,0.18,-0.05
33,1,-0.96,0.18,-0.05
35,1,-0.96,0.18,-0.05
37,1,-0.97,0.18,-0.05
38,1,-0.97,0.18,-0.05
40,1,-0.97,0.18,-0.05
42,1,-0.97,0.18,-0.05
43,1,-0.97,0.18,-0.05
45,1,-0.97,0.18,-0.05
47,1,-0.97,0.18,-0.05
48,1,-0.97,0.18,-0.05
50,1,-0.97,0.18,-0.05
52,1,-0.97,0.18,-0.05
53,1,-0.97,0.18,-0.05
55,1,-0.97,0.17,-0.05
57,1,-0.97,0.17,-0.05
58,1,-0.97,0.17,-0.05
60,1,-0.97,0.17,-0.05
62,1,-0.97,0.17,-0.05
63,1,-0.97,0.17,-0.05
65,1,-0.97,0.17,-0.04
67,1,-0.97,0.17,-0.04
68,1,-0.97,0.17,-0.04
70,1,-0.97,0.17,-0.04
72,1,-0.97,0.17,-0.04
73,1,-0.97,0.17,-0.04
75,1,-0.97,0.17,-0.04
77,1,-0.97,0.17,-0.04
78,1,-0.97,0.17,-0.04
80,1,-0.97,0.17,-0.04
81,1,-0.97,0.17,-0.04
83,1,-0.97,0.17,-0.04
85,1,-0.97,0.17,-0.04
86,1,-0.97,0.17,-0.04
88,1,-0.97,0.17,-0.04
90,1,-0.97,0.17,-0.04
92,1,-0.97,0.17,-0.04
93,1,-0.97,0.17,-0.04
95,1,-0.97,0.17,-0.04
97,1,-0.97,0.17,-0.04
98,1,-0.97,0.17,-0.04
100,1,-0.97,0.17,-0.04
102,1,-0.97,0.17,-0.04
103,1,-0.97,0.17,-0.04
105,1,-0.97,0.17,-0.04
107,1,-0.97,0.17,-0.04
108,1,-0.97,0.17,-0.04
110,1,-0.97,0.17,-0.04
112,1,-0.97,0.17,-0.04
113,1,-0.97,0.17,-0.04
115,1,-0.97,0.17,-0.04
117,1,-0.97,0.17,-0.04
118,1,-0.97,0.17,-0.04
120,1,-0.97,0.17,-0.04
122,1,-0.97,0.17,-0.04
123,1,-0.97,0.17,-0.04
125,1,-0.97,0.17,-0.04
127,1,-0.97,0.17,-0.04
128,1,-0.97,0.17,-0.04
130,1,-0.97,0.17,-0.04
132,1,-0.97,0.17,-0.04
133,1,-0.97,0.18,-0.04
135,1,-0.97,0.18,-0.04
137,1,-0.97,0.18,-0.04
138,1,-0.97,0.18,-0.04
140,1,-0.97,0.18,-0.04
142,1,-0.97,0.18,-0.04
143,1,-0.98,0.18,-0.04
145,1,-0.98,0.18,-0.04
147,1,-0.98,0.18,-0.04
148,1,-0.98,0.18,-0.04
