t,l,x,y,z
0,1,-0.97,-0.07,0.18
1,1,-0.97,-0.07,0.18
3,1,-0.97,-0.07,0.18
5,1,-0.97,-0.07,0.18
6,1,-0.97,-0.07,0.18
8,1,-0.97,-0.07,0.18
10,1,-0.96,-0.08,0.19
11,1,-0.96,-0.08,0.19
13,1,-0.96,-0.08,0.19
15,1,-0.96,-0.08,0.19
16,1,-0.96,-0.08,0.19
18,1,-0.96,-0.08,0.19
20,1,-0.97,-0.08,0.18
21,1,-0.97,-0.08,0.18
23,1,-0.97,-0.08,0.18
25,1,-0.97,-0.08,0.18
26,1,-0.97,-0.08,0.18
28,1,-0.97,-0.08,0.18
30,1,-0.97,-0.08,0.17
31,1,-0.97,-0.08,0.17
33,1,-0.97,-0.08,0.17
35,1,-0.97,-0.08,0.17
36,1,-0.97,-0.08,0.17
38,1,-0.97,-0.08,0.16
39,1,-0.96,-0.08,0.16
41,1,-0.96,-0.08,0.16
43,1,-0.96,-0.08,0.16
45,1,-0.96,-0.08,0.16
46,1,-0.96,-0.08,0.16
48,1,-0.96,-0.08,0.16
50,1,-0.96,-0.08,0.16
51,1,-0.96,-0.08,0.16
53,1,-0.96,-0.08,0.16
54,1,-0.96,-0.08,0.16
56,1,-0.96,-0.08,0.16
58,1,-0.96,-0.08,0.15
59,1,-0.96,-0.08,0.15
61,1,-0.96,-0.08,0.15
63,1,-0.96,-0.08,0.15
64,1,-0.96,-0.08,0.15
66,1,-0.96,-0.08,0.15
68,1,-0.96,-0.09,0.14
70,1,-0.96,-0.09,0.14
71,1,-0.96,-0.09,0.14
73,1,-0.96,-0.09,0.14
75,1,-0.96,-0.09,0.14
76,1,-0.96,-0.09,0.14
78,1,-0.96,-0.09,0.14
80,1,-0.96,-0.09,0.14
81,1,-0.96,-0.09,0.14
83,1,-0.96,-0.09,0.14
85,1,-0.96,-0.09,0.14
86,1,-0.96,-0.09,0.14
88,1,-0.96,-0.09,0.14
90,1,-0.96,-0.09,0.14
91,1,-0.96,-0.09,0.14
93,1,-0.96,-0.09,0.14
95,1,-0.96,-0.09,0.14
96,1,-0.96,-0.09,0.14
98,1,-0.97,-0.1,0.13
100,1,-0.97,-0.1,0.13
101,1,-0.97,-0.1,0.13
103,1,-0.97,-0.1,0.13
105,1,-0.97,-0.1,0.13
106,1,-0.97,-0.1,0.14
108,1,-0.97,-0.1,0.14
110,1,-0.97,-0.1,0.14
111,1,-0.97,-0.1,0.14
113,1,-0.97,-0.1,0.14
115,1,-0.97,-0.1,0.14
116,1,-0.97,-0.09,0.17
118,1,-0.97,-0.09,0.17
120,1,-0.97,-0.09,0.17
121,1,-0.97,-0.09,0.17
123,1,-0.97,-0.09,0.17
125,1,-0.97,-0.09,0.17
126,1,-0.97,-0.09,0.18
128,1,-0.97,-0.09,0.18
130,1,-0.97,-0.09,0.18
131,1,-0.97,-0.09,0.18
133,1,-0.97,-0.09,0.18
135,1,-0.97,-0.09,0.18
136,1,-0.97,-0.07,0.18
138,1,-0.97,-0.07,0.18
140,1,-0.97,-0.07,0.18
141,1,-0.97,-0.07,0.18
143,1,-0.97,-0.07,0.18
145,1,-0.97,-0.07,0.18
147,1,-0.97,-0.08,0.18
148,1,-0.97,-0.08,0.18
150,1,-0.97,-0.08,0.18
152,1,-0.97,-0.08,0.18
153,1,-0.97,-0.08,0.18
155,1,-0.97,-0.08,0.18
157,1,-0.96,-0.08,0.17
158,1,-0.96,-0.08,0.17
160,1,-0.96,-0.08,0.17
