t,l,x,y,z
0,1,-0.98,0.11,-0.02
1,1,-0.98,0.11,-0.02
3,1,-0.98,0.11,-0.02
5,1,-0.98,0.11,-0.02
6,1,-0.98,0.11,-0.02
8,1,-0.98,0.12,-0.02
10,1,-0.98,0.12,-0.02
11,1,-0.98,0.12,-0.02
13,1,-0.98,0.12,-0.02
15,1,-0.98,0.12,-0.02
16,1,-0.98,0.12,-0.02
18,1,-0.98,0.12,-0.02
20,1,-0.98,0.12,-0.02
21,1,-0.98,0.12,-0.02
23,1,-0.98,0.12,-0.02
25,1,-0.98,0.12,-0.02
26,1,-0.98,0.12,-0.02
28,1,-0.98,0.12,-0.02
30,1,-0.98,0.12,-0.02
31,1,-0.98,0.12,-0.02
33,1,-0.98,0.12,-0.02
35,1,-0.98,0.12,-0.02
36,1,-0.98,0.12,-0.02
38,1,-0.98,0.11,-0.01
40,1,-0.98,0.11,-0.01
41,1,-0.98,0.11,-0.01
43,1,-0.98,0.11,-0.01
45,1,-0.98,0.11,-0.01
46,1,-0.98,0.11,-0.01
48,1,-0.98,0.1,-0.01
50,1,-0.98,0.1,-0.01
51,1,-0.98,0.1,-0.01
53,1,-0.98,0.1,-0.01
55,1,-0.98,0.1,-0.01
56,1,-0.98,0.11,-0.01
58,1,-0.98,0.11,-0.01
60,1,-0.98,0.11,-0.01
61,1,-0.98,0.11,-0.01
63,1,-0.98,0.11,-0.01
65,1,-0.98,0.11,-0.01
66,1,-0.98,0.1,-0.02
68,1,-0.98,0.1,-0.02
70,1,-0.98,0.1,-0.02
71,1,-0.98,0.1,-0.02
73,1,-0.98,0.1,-0.02
75,1,-0.98,0.1,-0.02
76,1,-0.98,0.11,-0.02
78,1,-0.98,0.11,-0.02
80,1,-0.98,0.11,-0.02
81,1,-0.98,0.11,-0.02
83,1,-0.98,0.11,-0.02
85,1,-0.98,0.11,-0.02
87,1,-0.98,0.1,-0.02
88,1,-0.98,0.1,-0.02
90,1,-0.98,0.1,-0.02
92,1,-0.98,0.1,-0.02
93,1,-0.98,0.1,-0.02
95,1,-0.98,0.1,-0.02
96,1,-0.97,0.11,-0.02
98,1,-0.97,0.11,-0.02
100,1,-0.97,0.11,-0.02
101,1,-0.97,0.11,-0.02
103,1,-0.97,0.11,-0.02
105,1,-0.97,0.11,-0.02
107,1,-0.98,0.11,-0.02
108,1,-0.98,0.11,-0.02
110,1,-0.98,0.11,-0.02
111,1,-0.98,0.11,-0.02
113,1,-0.98,0.11,-0.02
115,1,-0.98,0.11,-0.02
116,1,-0.98,0.12,-0.02
118,1,-0.98,0.12,-0.02
120,1,-0.98,0.12,-0.02
121,1,-0.98,0.12,-0.02
123,1,-0.98,0.12,-0.02
125,1,-0.98,0.12,-0.01
126,1,-0.98,0.11,-0.01
128,1,-0.98,0.11,-0.01
130,1,-0.98,0.11,-0.01
131,1,-0.98,0.11,-0.01
133,1,-0.98,0.11,-0.01
135,1,-0.98,0.1,-0.01
136,1,-0.98,0.1,-0.01
138,1,-0.98,0.1,-0.01
140,1,-0.98,0.1,-0.01
141,1,-0.98,0.1,-0.01
143,1,-0.98,0.1,-0.01
145,1,-0.98,0.1,-0.01
146,1,-0.98,0.1,-0.01
148,1,-0.98,0.1,-0.01
150,1,-0.98,0.1,-0.01
151,1,-0.98,0.1,-0.01
153,1,-0.98,0.1,-0.01
155,1,-0.98,0.09,-0.01
156,1,-0.98,0.09,-0.01
158,1,-0.98,0.09,-0.01
160,1,-0.98,0.09,-0.01
161,1,-0.98,0.09,-0.01
163,1,-0.98,0.09,-0.01
165,1,-0.98,0.1,-0.01
166,1,-0.98,0.1,-0.01
168,1,-0.98,0.1,-0.01
170,1,-0.98,0.1,-0.01
171,1,-0.98,0.1,-0.01
173,1,-0.98,0.1,-0.01
175,1,-0.98,0.1,-0.02
176,1,-0.98,0.1,-0.02
178,1,-0.98,0.1,-0.02
180,1,-0.98,0.1,-0.02
181,1,-0.98,0.1,-0.02
183,1,-0.98,0.1,-0.02
185,1,-0.98,0.1,-0.02
186,1,-0.98,0.1,-0.02
188,1,-0.98,0.1,-0.02
190,1,-0.98,0.1,-0.02
191,1,-0.98,0.1,-0.02
193,1,-0.98,0.1,-0.01
195,1,-0.98,0.1,-0.01
196,1,-0.98,0.1,-0.01
198,1,-0.98,0.1,-0.01
200,1,-0.98,0.1,-0.01
202,1,-0.98,0.1,-0.01
203,1,-0.98,0.11,-0.02
205,1,-0.98,0.11,-0.02
206,1,-0.98,0.11,-0.02
208,1,-0.98,0.11,-0.02
210,1,-0.98,0.11,-0.02
211,1,-0.98,0.11,-0.02
213,1,-0.98,0.11,-0.02
215,1,-0.98,0.11,-0.02
216,1,-0.98,0.11,-0.02
218,1,-0.98,0.11,-0.02
220,1,-0.98,0.11,-0.02
221,1,-0.98,0.11,-0.02
223,1,-0.98,0.11,-0.02
225,1,-0.98,0.11,-0.02
226,1,-0.98,0.11,-0.02
228,1,-0.98,0.11,-0.02
230,1,-0.98,0.11,-0.02
231,1,-0.98,0.11,-0.02
233,1,-0.98,0.11,-0.02
235,1,-0.98,0.11,-0.02
236,1,-0.98,0.11,-0.02
238,1,-0.98,0.11,-0.02
240,1,-0.98,0.11,-0.02
241,1,-0.98,0.11,-0.02
243,1,-0.98,0.11,-0.02
245,1,-0.98,0.11,-0.02
246,1,-0.98,0.11,-0.02
248,1,-0.98,0.11,-0.02
250,1,-0.98,0.11,-0.02
251,1,-0.98,0.11,-0.02
253,1,-0.98,0.1,-0.02
255,1,-0.98,0.1,-0.02
256,1,-0.98,0.1,-0.02
258,1,-0.98,0.1,-0.02
