t,l,x,y,z
0,1,-0.96,-0.16,0.02
1,1,-0.96,-0.16,0.02
3,1,-0.97,-0.15,0.02
5,1,-0.97,-0.15,0.02
6,1,-0.97,-0.15,0.02
8,1,-0.97,-0.15,0.02
10,1,-0.97,-0.15,0.02
12,1,-0.97,-0.15,0.02
13,1,-0.97,-0.16,0.03
15,1,-0.97,-0.16,0.03
17,1,-0.97,-0.16,0.03
18,1,-0.97,-0.16,0.03
20,1,-0.97,-0.16,0.03
22,1,-0.97,-0.16,0.03
23,1,-0.96,-0.16,0.02
25,1,-0.96,-0.16,0.02
27,1,-0.96,-0.16,0.02
28,1,-0.96,-0.16,0.02
30,1,-0.96,-0.16,0.02
32,1,-0.96,-0.16,0.02
33,1,-0.97,-0.15,0.03
35,1,-0.97,-0.15,0.03
37,1,-0.97,-0.15,0.03
38,1,-0.97,-0.15,0.03
40,1,-0.97,-0.15,0.03
42,1,-0.97,-0.15,0.03
43,1,-0.97,-0.15,0.02
45,1,-0.97,-0.15,0.02
47,1,-0.97,-0.15,0.02
48,1,-0.97,-0.15,0.02
50,1,-0.97,-0.15,0.02
51,1,-0.97,-0.15,0.02
53,1,-0.96,-0.14,0.03
55,1,-0.96,-0.14,0.03
56,1,-0.96,-0.14,0.03
58,1,-0.96,-0.14,0.03
60,1,-0.96,-0.14,0.03
61,1,-0.96,-0.15,0.03
63,1,-0.96,-0.15,0.03
65,1,-0.96,-0.15,0.03
66,1,-0.96,-0.15,0.03
68,1,-0.96,-0.15,0.03
70,1,-0.96,-0.15,0.03
72,1,-0.97,-0.15,0.02
73,1,-0.97,-0.15,0.02
75,1,-0.97,-0.15,0.02
77,1,-0.97,-0.15,0.02
78,1,-0.97,-0.15,0.02
80,1,-0.97,-0.15,0.02
82,1,-0.96,-0.15,0.01
83,1,-0.96,-0.15,0.01
85,1,-0.96,-0.15,0.01
87,1,-0.96,-0.15,0.01
88,1,-0.96,-0.15,0.01
90,1,-0.96,-0.15,0.01
91,1,-0.97,-0.15,0.0
93,1,-0.97,-0.15,0.0
95,1,-0.97,-0.15,0.0
96,1,-0.97,-0.15,0.0
98,1,-0.97,-0.15,0.0
100,1,-0.97,-0.15,0.0
101,1,-0.97,-0.15,0.0
103,1,-0.97,-0.15,0.0
105,1,-0.97,-0.15,0.0
106,1,-0.97,-0.15,0.0
108,1,-0.97,-0.15,0.0
110,1,-0.97,-0.15,0.0
111,1,-0.96,-0.15,0.01
113,1,-0.96,-0.15,0.01
115,1,-0.96,-0.15,0.01
116,1,-0.96,-0.15,0.01
118,1,-0.96,-0.15,0.01
120,1,-0.96,-0.15,0.01
121,1,-0.96,-0.15,0.02
123,1,-0.96,-0.15,0.02
125,1,-0.96,-0.15,0.02
126,1,-0.96,-0.15,0.02
128,1,-0.96,-0.15,0.02
130,1,-0.96,-0.15,0.02
131,1,-0.96,-0.15,0.03
133,1,-0.96,-0.15,0.03
135,1,-0.96,-0.15,0.03
136,1,-0.96,-0.15,0.03
138,1,-0.96,-0.15,0.03
140,1,-0.96,-0.15,0.04
141,1,-0.96,-0.15,0.04
143,1,-0.96,-0.15,0.04
145,1,-0.96,-0.15,0.04
147,1,-0.96,-0.15,0.04
148,1,-0.96,-0.15,0.04
150,1,-0.96,-0.14,0.03
152,1,-0.96,-0.14,0.03
153,1,-0.96,-0.14,0.03
155,1,-0.96,-0.14,0.03
157,1,-0.96,-0.14,0.03
158,1,-0.96,-0.14,0.03
160,1,-0.96,-0.15,0.03
162,1,-0.96,-0.15,0.03
163,1,-0.96,-0.15,0.03
165,1,-0.96,-0.15,0.03
166,1,-0.96,-0.15,0.03
168,1,-0.96,-0.15,0.03
170,1,-0.96,-0.15,0.02
171,1,-0.96,-0.15,0.02
173,1,-0.96,-0.15,0.02
175,1,-0.96,-0.15,0.02
177,1,-0.96,-0.15,0.02
178,1,-0.96,-0.15,0.02
180,1,-0.97,-0.15,0.03
181,1,-0.97,-0.15,0.03
183,1,-0.97,-0.15,0.03
185,1,-0.97,-0.15,0.03
187,1,-0.97,-0.15,0.03
188,1,-0.97,-0.15,0.03
190,1,-0.97,-0.15,0.02
192,1,-0.97,-0.15,0.02
193,1,-0.97,-0.15,0.02
195,1,-0.97,-0.15,0.02
197,1,-0.97,-0.15,0.02
198,1,-0.97,-0.15,0.02
200,1,-0.96,-0.15,0.02
202,1,-0.96,-0.15,0.02
203,1,-0.96,-0.15,0.02
205,1,-0.96,-0.15,0.02
207,1,-0.96,-0.15,0.02
208,1,-0.96,-0.14,0.02
210,1,-0.96,-0.14,0.02
212,1,-0.96,-0.14,0.02
213,1,-0.96,-0.14,0.02
215,1,-0.96,-0.14,0.02
217,1,-0.96,-0.14,0.02
218,1,-0.96,-0.14,0.01
220,1,-0.96,-0.14,0.01
222,1,-0.96,-0.14,0.01
223,1,-0.96,-0.14,0.01
225,1,-0.96,-0.14,0.01
226,1,-0.96,-0.14,0.01
228,1,-0.96,-0.14,0.02
230,1,-0.96,-0.14,0.02
231,1,-0.96,-0.14,0.02
233,1,-0.96,-0.14,0.02
235,1,-0.96,-0.14,0.02
236,1,-0.96,-0.14,0.02
238,1,-0.97,-0.14,0.02
240,1,-0.97,-0.14,0.02
242,1,-0.97,-0.14,0.02
243,1,-0.97,-0.14,0.02
245,1,-0.97,-0.14,0.02
