t,l,x,y,z
0,1,-0.97,-0.07,0.07
2,1,-0.97,-0.07,0.07
3,1,-0.97,-0.07,0.07
5,1,-0.97,-0.07,0.07
7,1,-0.97,-0.07,0.07
8,1,-0.97,-0.08,0.07
10,1,-0.97,-0.08,0.07
12,1,-0.97,-0.08,0.07
13,1,-0.97,-0.08,0.07
15,1,-0.97,-0.08,0.07
17,1,-0.97,-0.08,0.07
18,1,-0.97,-0.08,0.07
20,1,-0.97,-0.08,0.07
22,1,-0.97,-0.08,0.07
23,1,-0.97,-0.08,0.07
25,1,-0.97,-0.08,0.07
27,1,-0.97,-0.09,0.07
28,1,-0.98,-0.09,0.07
30,1,-0.98,-0.09,0.07
32,1,-0.98,-0.09,0.07
33,1,-0.98,-0.09,0.07
35,1,-0.98,-0.09,0.07
37,1,-0.97,-0.08,0.07
38,1,-0.97,-0.08,0.07
40,1,-0.97,-0.08,0.07
42,1,-0.97,-0.08,0.07
43,1,-0.97,-0.08,0.07
45,1,-0.97,-0.08,0.07
47,1,-0.97,-0.08,0.07
48,1,-0.97,-0.08,0.07
50,1,-0.97,-0.08,0.07
52,1,-0.97,-0.08,0.07
53,1,-0.97,-0.08,0.07
55,1,-0.97,-0.08,0.07
57,1,-0.97,-0.08,0.07
58,1,-0.97,-0.08,0.07
60,1,-0.97,-0.08,0.07
62,1,-0.97,-0.08,0.07
63,1,-0.97,-0.08,0.07
65,1,-0.97,-0.08,0.07
67,1,-0.97,-0.08,0.07
68,1,-0.97,-0.08,0.07
70,1,-0.97,-0.08,0.07
72,1,-0.97,-0.08,0.07
73,1,-0.97,-0.08,0.07
75,1,-0.97,-0.08,0.07
77,1,-0.98,-0.07,0.07
78,1,-0.98,-0.07,0.07
80,1,-0.98,-0.07,0.07
82,1,-0.98,-0.07,0.07
83,1,-0.98,-0.07,0.07
85,1,-0.98,-0.07,0.07
87,1,-0.97,-0.07,0.07
88,1,-0.97,-0.07,0.07
90,1,-0.97,-0.07,0.07
92,1,-0.97,-0.07,0.07
93,1,-0.97,-0.07,0.07
95,1,-0.97,-0.07,0.06
97,1,-0.97,-0.07,0.06
98,1,-0.97,-0.07,0.06
100,1,-0.97,-0.07,0.06
102,1,-0.97,-0.07,0.06
103,1,-0.97,-0.07,0.06
105,1,-0.97,-0.08,0.06
107,1,-0.98,-0.08,0.06
108,1,-0.98,-0.08,0.06
110,1,-0.98,-0.08,0.06
111,1,-0.98,-0.08,0.06
113,1,-0.98,-0.08,0.06
115,1,-0.98,-0.08,0.06
116,1,-0.98,-0.08,0.06
118,1,-0.98,-0.08,0.06
120,1,-0.98,-0.08,0.06
122,1,-0.98,-0.08,0.06
123,1,-0.98,-0.08,0.06
125,1,-0.98,-0.07,0.06
126,1,-0.98,-0.07,0.06
128,1,-0.98,-0.07,0.06
130,1,-0.98,-0.07,0.06
131,1,-0.98,-0.07,0.06
