t,l,x,y,z
0,1,-0.97,-0.17,-0.04
2,1,-0.97,-0.17,-0.04
4,1,-0.97,-0.17,-0.04
5,1,-0.97,-0.18,-0.02
7,1,-0.98,-0.18,-0.02
9,1,-0.98,-0.18,-0.02
10,1,-0.98,-0.18,-0.02
12,1,-0.98,-0.18,-0.02
14,1,-0.98,-0.18,-0.02
15,1,-0.99,-0.18,-0.0
17,1,-0.99,-0.18,-0.0
19,1,-0.99,-0.18,-0.0
20,1,-0.99,-0.18,-0.0
22,1,-0.99,-0.18,-0.0
24,1,-0.99,-0.18,-0.0
25,1,-0.97,-0.18,0.02
27,1,-0.97,-0.18,0.02
29,1,-0.97,-0.18,0.02
30,1,-0.97,-0.18,0.02
32,1,-0.97,-0.18,0.02
34,1,-0.97,-0.18,0.02
35,1,-0.97,-0.18,0.04
37,1,-0.97,-0.18,0.04
39,1,-0.97,-0.18,0.04
40,1,-0.97,-0.18,0.04
42,1,-0.97,-0.18,0.04
43,1,-0.97,-0.18,0.04
45,1,-0.98,-0.17,0.05
47,1,-0.98,-0.17,0.05
48,1,-0.98,-0.17,0.05
50,1,-0.98,-0.17,0.05
52,1,-0.98,-0.17,0.05
53,1,-0.98,-0.17,0.05
55,1,-0.98,-0.15,0.06
57,1,-0.98,-0.15,0.06
58,1,-0.98,-0.15,0.06
60,1,-0.98,-0.15,0.06
62,1,-0.98,-0.15,0.06
63,1,-0.98,-0.15,0.06
65,1,-0.96,-0.13,0.09
67,1,-0.96,-0.13,0.09
68,1,-0.96,-0.13,0.09
70,1,-0.96,-0.13,0.09
72,1,-0.96,-0.13,0.09
73,1,-0.96,-0.13,0.09
75,1,-0.93,-0.1,0.1
77,1,-0.93,-0.1,0.1
78,1,-0.93,-0.1,0.1
80,1,-0.93,-0.1,0.1
82,1,-0.93,-0.1,0.1
84,1,-0.93,-0.1,0.09
85,1,-0.93,-0.1,0.09
87,1,-0.93,-0.1,0.09
89,1,-0.93,-0.1,0.09
90,1,-0.93,-0.1,0.09
92,1,-0.93,-0.1,0.09
94,1,-0.95,-0.1,0.06
95,1,-0.95,-0.1,0.06
97,1,-0.95,-0.1,0.06
99,1,-0.95,-0.1,0.06
100,1,-0.95,-0.1,0.06
102,1,-0.95,-0.1,0.06
104,1,-0.96,-0.11,0.04
105,1,-0.96,-0.11,0.04
107,1,-0.96,-0.11,0.04
109,1,-0.96,-0.11,0.04
110,1,-0.96,-0.11,0.04
112,1,-0.96,-0.11,0.04
114,1,-0.96,-0.11,0.02
115,1,-0.96,-0.11,0.02
117,1,-0.96,-0.11,0.02
119,1,-0.96,-0.11,0.02
120,1,-0.96,-0.11,0.02
122,1,-0.96,-0.11,0.02
124,1,-0.97,-0.11,-0.0
125,1,-0.97,-0.11,-0.0
127,1,-0.97,-0.11,-0.0
129,1,-0.97,-0.11,-0.0
130,1,-0.97,-0.11,-0.0
132,1,-0.97,-0.11,-0.0
134,1,-0.97,-0.12,-0.02
135,1,-0.97,-0.12,-0.02
137,1,-0.97,-0.12,-0.02
139,1,-0.97,-0.12,-0.02
140,1,-0.97,-0.12,-0.02
142,1,-0.97,-0.12,-0.03
144,1,-0.97,-0.12,-0.03
145,1,-0.97,-0.12,-0.03
147,1,-0.97,-0.12,-0.03
