t,l,x,y,z
0,1,-0.97,-0.07,-0.08
2,1,-0.97,-0.07,-0.08
4,1,-0.97,-0.07,-0.08
5,1,-0.97,-0.07,-0.08
7,1,-0.97,-0.07,-0.08
9,1,-0.97,-0.07,-0.08
10,1,-0.98,-0.07,-0.07
12,1,-0.98,-0.07,-0.07
14,1,-0.98,-0.07,-0.07
15,1,-0.98,-0.07,-0.07
17,1,-0.98,-0.07,-0.07
19,1,-0.98,-0.07,-0.08
20,1,-0.98,-0.07,-0.08
22,1,-0.98,-0.07,-0.08
24,1,-0.98,-0.07,-0.08
25,1,-0.98,-0.07,-0.08
27,1,-0.98,-0.07,-0.08
29,1,-0.98,-0.06,-0.07
30,1,-0.98,-0.06,-0.07
32,1,-0.98,-0.06,-0.07
34,1,-0.98,-0.06,-0.07
35,1,-0.98,-0.06,-0.07
37,1,-0.98,-0.06,-0.07
39,1,-0.98,-0.06,-0.08
40,1,-0.98,-0.06,-0.08
42,1,-0.98,-0.06,-0.08
44,1,-0.98,-0.06,-0.08
45,1,-0.98,-0.06,-0.08
47,1,-0.98,-0.06,-0.08
49,1,-0.98,-0.07,-0.07
50,1,-0.98,-0.07,-0.07
52,1,-0.98,-0.07,-0.07
54,1,-0.98,-0.07,-0.07
55,1,-0.98,-0.07,-0.07
57,1,-0.98,-0.07,-0.07
59,1,-0.97,-0.07,-0.07
60,1,-0.97,-0.07,-0.07
62,1,-0.97,-0.07,-0.07
64,1,-0.97,-0.07,-0.07
65,1,-0.97,-0.07,-0.07
67,1,-0.97,-0.07,-0.07
69,1,-0.97,-0.07,-0.07
70,1,-0.97,-0.07,-0.07
72,1,-0.97,-0.07,-0.07
74,1,-0.97,-0.07,-0.07
75,1,-0.97,-0.07,-0.07
77,1,-0.97,-0.07,-0.07
79,1,-0.98,-0.07,-0.07
80,1,-0.98,-0.07,-0.07
82,1,-0.98,-0.07,-0.07
84,1,-0.98,-0.07,-0.07
85,1,-0.98,-0.07,-0.07
87,1,-0.98,-0.07,-0.07
89,1,-0.98,-0.07,-0.07
90,1,-0.98,-0.07,-0.07
92,1,-0.98,-0.07,-0.07
94,1,-0.98,-0.07,-0.07
95,1,-0.98,-0.07,-0.07
97,1,-0.98,-0.07,-0.07
99,1,-0.98,-0.07,-0.07
100,1,-0.98,-0.07,-0.07
102,1,-0.98,-0.07,-0.07
104,1,-0.98,-0.07,-0.07
105,1,-0.98,-0.07,-0.07
107,1,-0.98,-0.07,-0.08
109,1,-0.98,-0.07,-0.08
110,1,-0.98,-0.07,-0.08
112,1,-0.98,-0.07,-0.08
114,1,-0.98,-0.07,-0.08
115,1,-0.98,-0.07,-0.08
117,1,-0.97,-0.06,-0.08
119,1,-0.97,-0.06,-0.08
120,1,-0.97,-0.06,-0.08
122,1,-0.97,-0.06,-0.08
124,1,-0.97,-0.06,-0.08
125,1,-0.97,-0.06,-0.08
127,1,-0.97,-0.06,-0.08
129,1,-0.97,-0.06,-0.08
130,1,-0.97,-0.06,-0.08
132,1,-0.97,-0.06,-0.08
134,1,-0.97,-0.06,-0.08
135,1,-0.97,-0.06,-0.08
137,1,-0.97,-0.05,-0.08
139,1,-0.97,-0.05,-0.08
140,1,-0.97,-0.05,-0.08
142,1,-0.97,-0.05,-0.08
144,1,-0.97,-0.05,-0.08
145,1,-0.97,-0.05,-0.08
147,1,-0.97,-0.06,-0.09
149,1,-0.97,-0.06,-0.09
150,1,-0.97,-0.06,-0.09
152,1,-0.97,-0.06,-0.09
154,1,-0.97,-0.06,-0.09
155,1,-0.97,-0.06,-0.08
157,1,-0.97,-0.06,-0.08
159,1,-0.97,-0.06,-0.08
160,1,-0.97,-0.06,-0.08
162,1,-0.97,-0.06,-0.08
164,1,-0.97,-0.06,-0.08
165,1,-0.97,-0.06,-0.08
167,1,-0.98,-0.06,-0.08
169,1,-0.98,-0.06,-0.08
170,1,-0.98,-0.06,-0.08
172,1,-0.98,-0.06,-0.08
174,1,-0.98,-0.06,-0.08
175,1,-0.98,-0.07,-0.08
177,1,-0.98,-0.07,-0.08
179,1,-0.98,-0.07,-0.08
180,1,-0.98,-0.07,-0.08
182,1,-0.98,-0.07,-0.08
184,1,-0.98,-0.07,-0.08
185,1,-0.98,-0.07,-0.07
187,1,-0.98,-0.07,-0.07
189,1,-0.98,-0.07,-0.07
190,1,-0.98,-0.07,-0.07
192,1,-0.98,-0.07,-0.07
194,1,-0.98,-0.07,-0.07
195,1,-0.98,-0.08,-0.07
197,1,-0.98,-0.08,-0.07
199,1,-0.98,-0.08,-0.07
200,1,-0.98,-0.08,-0.07
202,1,-0.98,-0.08,-0.07
204,1,-0.98,-0.08,-0.07
205,1,-0.97,-0.07,-0.07
207,1,-0.97,-0.07,-0.07
209,1,-0.97,-0.07,-0.07
210,1,-0.97,-0.07,-0.07
212,1,-0.97,-0.07,-0.07
214,1,-0.97,-0.07,-0.07
215,1,-0.98,-0.08,-0.07
217,1,-0.98,-0.08,-0.07
219,1,-0.98,-0.08,-0.07
220,1,-0.98,-0.08,-0.07
222,1,-0.98,-0.08,-0.07
224,1,-0.98,-0.08,-0.07
225,1,-0.98,-0.07,-0.07
227,1,-0.98,-0.07,-0.07
229,1,-0.98,-0.07,-0.07
230,1,-0.98,-0.07,-0.07
232,1,-0.98,-0.07,-0.07
234,1,-0.98,-0.06,-0.07
