t,l,x,y,z
0,1,-0.96,-0.21,0.09
2,1,-0.96,-0.24,0.15
3,1,-0.97,-0.24,0.15
5,1,-0.97,-0.24,0.15
7,1,-0.97,-0.24,0.15
8,1,-0.97,-0.24,0.15
10,1,-0.97,-0.24,0.15
12,1,-0.97,-0.25,0.16
13,1,-0.97,-0.25,0.16
15,1,-0.97,-0.25,0.16
17,1,-0.97,-0.25,0.16
18,1,-0.97,-0.25,0.16
20,1,-0.97,-0.25,0.16
22,1,-0.94,-0.26,0.2
23,1,-0.94,-0.26,0.2
25,1,-0.94,-0.26,0.2
27,1,-0.94,-0.26,0.2
28,1,-0.94,-0.26,0.2
30,1,-0.94,-0.26,0.2
32,1,-0.95,-0.26,0.2
33,1,-0.95,-0.26,0.2
35,1,-0.95,-0.26,0.2
37,1,-0.95,-0.26,0.2
38,1,-0.95,-0.26,0.2
40,1,-0.95,-0.26,0.2
42,1,-0.99,-0.27,0.15
43,1,-0.99,-0.27,0.15
45,1,-0.99,-0.27,0.15
47,1,-0.99,-0.27,0.15
48,1,-0.99,-0.27,0.15
50,1,-0.99,-0.27,0.15
52,1,-0.97,-0.25,0.12
53,1,-0.97,-0.25,0.12
55,1,-0.97,-0.25,0.12
57,1,-0.97,-0.25,0.12
58,1,-0.97,-0.25,0.12
60,1,-0.97,-0.25,0.05
62,1,-0.97,-0.21,0.05
63,1,-0.97,-0.21,0.05
65,1,-0.97,-0.21,0.05
67,1,-0.97,-0.21,0.05
68,1,-0.97,-0.21,0.05
70,1,-0.97,-0.2,0.0
72,1,-0.98,-0.2,0.0
73,1,-0.98,-0.2,0.0
75,1,-0.98,-0.2,0.0
77,1,-0.98,-0.2,0.0
78,1,-0.98,-0.2,0.0
80,1,-0.96,-0.17,-0.06
82,1,-0.96,-0.17,-0.06
83,1,-0.96,-0.17,-0.06
85,1,-0.96,-0.17,-0.06
87,1,-0.96,-0.17,-0.06
88,1,-0.96,-0.17,-0.06
90,1,-0.96,-0.15,-0.12
