t,l,x,y,z
0,1,-0.97,0.16,0.09
1,1,-0.97,0.16,0.09
3,1,-0.97,0.16,0.09
5,1,-0.97,0.16,0.09
6,1,-0.97,0.16,0.09
8,1,-0.97,0.16,0.08
10,1,-0.97,0.16,0.08
11,1,-0.97,0.16,0.08
13,1,-0.97,0.16,0.08
15,1,-0.97,0.16,0.08
16,1,-0.97,0.16,0.08
18,1,-0.97,0.16,0.08
20,1,-0.97,0.16,0.08
21,1,-0.97,0.16,0.08
23,1,-0.97,0.16,0.08
25,1,-0.97,0.16,0.08
26,1,-0.97,0.16,0.08
28,1,-0.97,0.16,0.08
30,1,-0.97,0.16,0.08
31,1,-0.97,0.16,0.08
33,1,-0.97,0.16,0.08
35,1,-0.97,0.16,0.08
36,1,-0.97,0.16,0.08
38,1,-0.97,0.16,0.08
40,1,-0.97,0.16,0.08
41,1,-0.97,0.16,0.08
43,1,-0.97,0.16,0.08
45,1,-0.97,0.16,0.08
46,1,-0.97,0.15,0.08
48,1,-0.97,0.15,0.08
50,1,-0.97,0.15,0.08
51,1,-0.97,0.15,0.08
53,1,-0.97,0.15,0.08
55,1,-0.97,0.15,0.08
56,1,-0.96,0.15,0.09
58,1,-0.96,0.15,0.09
60,1,-0.96,0.15,0.09
61,1,-0.96,0.15,0.09
63,1,-0.96,0.15,0.09
64,1,-0.96,0.15,0.09
66,1,-0.97,0.15,0.1
68,1,-0.97,0.15,0.1
70,1,-0.97,0.15,0.1
71,1,-0.97,0.15,0.1
73,1,-0.97,0.15,0.1
75,1,-0.97,0.15,0.1
76,1,-0.97,0.15,0.11
78,1,-0.97,0.15,0.11
80,1,-0.97,0.15,0.11
81,1,-0.97,0.15,0.11
83,1,-0.97,0.15,0.11
85,1,-0.97,0.15,0.1
86,1,-0.97,0.15,0.1
88,1,-0.97,0.15,0.1
90,1,-0.97,0.15,0.1
91,1,-0.97,0.15,0.1
93,1,-0.97,0.15,0.1
95,1,-0.97,0.16,0.1
96,1,-0.97,0.16,0.1
98,1,-0.97,0.16,0.1
100,1,-0.97,0.16,0.1
101,1,-0.97,0.16,0.1
103,1,-0.97,0.16,0.1
105,1,-0.97,0.16,0.12
106,1,-0.97,0.16,0.12
108,1,-0.97,0.16,0.12
110,1,-0.97,0.16,0.12
111,1,-0.97,0.16,0.12
113,1,-0.97,0.16,0.12
115,1,-0.97,0.15,0.11
116,1,-0.97,0.15,0.11
118,1,-0.97,0.15,0.11
120,1,-0.97,0.15,0.11
121,1,-0.97,0.15,0.11
123,1,-0.97,0.15,0.11
125,1,-0.97,0.15,0.1
126,1,-0.97,0.15,0.1
128,1,-0.97,0.15,0.1
130,1,-0.97,0.15,0.1
131,1,-0.97,0.15,0.1
133,1,-0.97,0.15,0.1
135,1,-0.96,0.15,0.09
136,1,-0.96,0.15,0.09
138,1,-0.96,0.15,0.09
140,1,-0.96,0.15,0.09
141,1,-0.96,0.15,0.09
143,1,-0.96,0.15,0.09
145,1,-0.97,0.16,0.09
146,1,-0.97,0.16,0.09
148,1,-0.97,0.16,0.09
150,1,-0.97,0.16,0.09
151,1,-0.97,0.16,0.09
153,1,-0.97,0.16,0.09
155,1,-0.97,0.16,0.09
156,1,-0.97,0.16,0.09
158,1,-0.97,0.16,0.09
159,1,-0.97,0.16,0.09
161,1,-0.97,0.16,0.09
163,1,-0.97,0.16,0.07
164,1,-0.96,0.16,0.07
166,1,-0.96,0.16,0.07
168,1,-0.96,0.16,0.07
169,1,-0.96,0.16,0.07
171,1,-0.96,0.16,0.07
173,1,-0.96,0.16,0.07
174,1,-0.97,0.16,0.07
176,1,-0.97,0.16,0.07
178,1,-0.97,0.16,0.07
179,1,-0.97,0.16,0.07
181,1,-0.97,0.16,0.07
183,1,-0.97,0.16,0.08
184,1,-0.97,0.16,0.08
186,1,-0.97,0.16,0.08
188,1,-0.97,0.16,0.08
189,1,-0.97,0.16,0.08
191,1,-0.97,0.16,0.08
193,1,-0.97,0.15,0.09
194,1,-0.97,0.15,0.09
196,1,-0.97,0.15,0.09
198,1,-0.97,0.15,0.09
199,1,-0.97,0.15,0.09
201,1,-0.97,0.15,0.09
203,1,-0.97,0.15,0.09
204,1,-0.97,0.15,0.09
206,1,-0.97,0.15,0.09
208,1,-0.97,0.15,0.09
209,1,-0.97,0.15,0.09
211,1,-0.97,0.15,0.09
212,1,-0.97,0.16,0.09
214,1,-0.97,0.16,0.09
216,1,-0.97,0.16,0.09
217,1,-0.97,0.16,0.09
219,1,-0.97,0.16,0.09
221,1,-0.97,0.16,0.09
222,1,-0.97,0.16,0.09
224,1,-0.97,0.16,0.09
226,1,-0.97,0.16,0.09
227,1,-0.97,0.16,0.09
229,1,-0.97,0.16,0.09
231,1,-0.97,0.16,0.09
232,1,-0.97,0.16,0.09
234,1,-0.97,0.16,0.09
236,1,-0.97,0.16,0.09
237,1,-0.97,0.16,0.09
239,1,-0.97,0.16,0.09
241,1,-0.97,0.16,0.09
242,1,-0.99,0.17,0.09
244,1,-0.99,0.17,0.09
246,1,-0.99,0.17,0.09
247,1,-0.99,0.17,0.09
249,1,-0.99,0.17,0.09
251,1,-0.99,0.17,0.09
252,1,-1.0,0.18,0.08
254,1,-1.0,0.18,0.08
255,1,-1.0,0.18,0.08
257,1,-1.0,0.18,0.08
259,1,-1.0,0.18,0.08
260,1,-1.0,0.18,0.08
262,1,-1.03,0.24,0.11
264,1,-1.03,0.24,0.11
265,1,-1.03,0.24,0.11
267,1,-1.03,0.24,0.11
269,1,-1.03,0.24,0.11
270,1,-1.03,0.39,0.16
272,1,-0.95,0.39,0.16
274,1,-0.95,0.39,0.16
275,1,-0.95,0.39,0.16
277,1,-0.95,0.39,0.16
279,1,-0.95,0.39,0.16
280,1,-0.93,0.43,0.19
282,1,-0.93,0.43,0.19
284,1,-0.93,0.43,0.19
285,1,-0.93,0.43,0.19
287,1,-0.93,0.43,0.19
289,1,-0.93,0.43,0.19
291,1,-0.92,0.51,0.26
292,1,-0.92,0.51,0.26
294,1,-0.92,0.51,0.26
296,1,-0.92,0.51,0.26
297,1,-0.92,0.51,0.26
299,1,-0.92,0.51,0.26
301,1,-0.93,0.48,0.4
302,1,-0.93,0.48,0.4
304,1,-0.93,0.48,0.4
306,1,-0.93,0.48,0.4
307,1,-0.93,0.48,0.4
309,1,-0.93,0.48,0.4
311,1,-1.01,0.39,0.61
312,1,-1.01,0.39,0.61
314,1,-1.01,0.39,0.61
316,1,-1.01,0.39,0.61
317,1,-1.01,0.39,0.61
319,1,-1.01,0.39,0.86
321,1,-0.99,0.24,0.76
322,1,-0.99,0.24,0.76
324,1,-0.99,0.24,0.76
326,1,-0.99,0.24,0.76
327,1,-0.99,0.24,0.76
329,1,-0.99,0.12,0.91
331,1,-0.97,0.08,0.91
332,1,-0.97,0.08,0.91
334,1,-0.97,0.08,0.91
336,1,-0.97,0.08,0.91
337,1,-0.97,0.08,0.91
339,1,-1.03,-0.03,1.09
341,1,-1.03,-0.03,1.09
342,1,-1.03,-0.03,1.09
344,1,-1.03,-0.03,1.09
346,1,-1.03,-0.03,1.09
347,1,-1.03,-0.03,1.09
349,1,-1.08,-0.11,1.24
351,1,-1.08,-0.11,1.24
352,1,-1.08,-0.11,1.24
354,1,-1.08,-0.11,1.24
356,1,-1.08,-0.11,1.24
357,1,-1.08,-0.11,1.24
