t,l,x,y,z
0,1,-0.96,-0.15,0.04
2,1,-0.96,-0.15,0.04
4,1,-0.96,-0.15,0.04
5,1,-0.96,-0.15,0.04
7,1,-0.96,-0.15,0.05
9,1,-0.96,-0.15,0.05
10,1,-0.96,-0.15,0.05
12,1,-0.96,-0.15,0.05
14,1,-0.96,-0.15,0.05
15,1,-0.96,-0.15,0.05
17,1,-0.96,-0.15,0.07
19,1,-0.96,-0.15,0.07
20,1,-0.96,-0.15,0.07
22,1,-0.96,-0.15,0.07
24,1,-0.96,-0.15,0.07
25,1,-0.96,-0.15,0.07
27,1,-0.97,-0.15,0.07
29,1,-0.97,-0.15,0.07
30,1,-0.97,-0.15,0.07
32,1,-0.97,-0.15,0.07
34,1,-0.97,-0.15,0.07
35,1,-0.96,-0.15,0.07
37,1,-0.96,-0.15,0.07
39,1,-0.96,-0.15,0.07
40,1,-0.96,-0.15,0.07
42,1,-0.96,-0.15,0.07
44,1,-0.96,-0.15,0.07
45,1,-0.96,-0.16,0.07
47,1,-0.96,-0.16,0.07
49,1,-0.96,-0.16,0.07
50,1,-0.96,-0.16,0.07
52,1,-0.96,-0.16,0.07
54,1,-0.96,-0.16,0.07
55,1,-0.96,-0.16,0.07
57,1,-0.96,-0.16,0.07
59,1,-0.96,-0.16,0.07
60,1,-0.96,-0.16,0.07
62,1,-0.96,-0.16,0.07
64,1,-0.96,-0.16,0.07
65,1,-0.96,-0.15,0.06
67,1,-0.96,-0.15,0.06
69,1,-0.96,-0.15,0.06
70,1,-0.96,-0.15,0.06
72,1,-0.96,-0.15,0.06
74,1,-0.96,-0.15,0.06
75,1,-0.96,-0.15,0.06
77,1,-0.96,-0.15,0.06
79,1,-0.96,-0.15,0.06
80,1,-0.96,-0.15,0.06
82,1,-0.96,-0.15,0.06
84,1,-0.96,-0.15,0.06
85,1,-0.96,-0.16,0.06
87,1,-0.96,-0.16,0.06
89,1,-0.96,-0.16,0.06
90,1,-0.96,-0.16,0.06
92,1,-0.96,-0.16,0.06
94,1,-0.96,-0.16,0.06
95,1,-0.96,-0.16,0.06
97,1,-0.96,-0.16,0.06
99,1,-0.96,-0.16,0.06
100,1,-0.96,-0.16,0.06
102,1,-0.96,-0.16,0.06
104,1,-0.96,-0.16,0.05
105,1,-0.96,-0.16,0.05
107,1,-0.96,-0.16,0.05
109,1,-0.96,-0.16,0.05
110,1,-0.96,-0.16,0.05
112,1,-0.96,-0.16,0.05
114,1,-0.97,-0.16,0.06
115,1,-0.97,-0.16,0.06
117,1,-0.97,-0.16,0.06
119,1,-0.97,-0.16,0.06
120,1,-0.97,-0.16,0.06
122,1,-0.97,-0.16,0.06
124,1,-0.97,-0.16,0.07
125,1,-0.97,-0.16,0.07
127,1,-0.97,-0.16,0.07
129,1,-0.97,-0.16,0.07
130,1,-0.97,-0.16,0.07
132,1,-0.97,-0.16,0.07
134,1,-0.96,-0.16,0.07
135,1,-0.96,-0.16,0.07
137,1,-0.96,-0.16,0.07
139,1,-0.96,-0.16,0.07
140,1,-0.96,-0.16,0.07
142,1,-0.96,-0.16,0.07
144,1,-0.96,-0.15,0.07
145,1,-0.96,-0.15,0.07
147,1,-0.96,-0.15,0.07
149,1,-0.96,-0.15,0.07
150,1,-0.96,-0.15,0.07
152,1,-0.96,-0.15,0.07
154,1,-0.95,-0.13,0.07
155,1,-0.95,-0.13,0.07
157,1,-0.95,-0.13,0.07
159,1,-0.95,-0.13,0.07
160,1,-0.95,-0.13,0.07
162,1,-0.95,-0.13,0.07
164,1,-0.96,-0.15,0.07
165,1,-0.96,-0.15,0.07
167,1,-0.96,-0.15,0.07
169,1,-0.96,-0.15,0.07
170,1,-0.96,-0.15,0.07
172,1,-0.97,-0.16,0.05
174,1,-0.97,-0.16,0.05
175,1,-0.97,-0.16,0.05
177,1,-0.97,-0.16,0.05
179,1,-0.97,-0.16,0.05
180,1,-0.97,-0.16,0.05
182,1,-0.96,-0.17,0.03
184,1,-0.96,-0.17,0.03
185,1,-0.96,-0.17,0.03
187,1,-0.96,-0.17,0.03
189,1,-0.96,-0.17,0.03
190,1,-0.96,-0.17,0.03
192,1,-0.96,-0.18,0.02
194,1,-0.96,-0.18,0.02
195,1,-0.96,-0.18,0.02
197,1,-0.96,-0.18,0.02
199,1,-0.96,-0.18,0.02
200,1,-0.96,-0.18,0.02
202,1,-0.96,-0.17,-0.0
204,1,-0.96,-0.17,-0.0
205,1,-0.96,-0.17,-0.0
207,1,-0.96,-0.17,-0.0
209,1,-0.96,-0.17,-0.0
210,1,-0.96,-0.17,-0.0
212,1,-0.95,-0.16,-0.02
214,1,-0.95,-0.16,-0.02
215,1,-0.95,-0.16,-0.02
217,1,-0.95,-0.16,-0.02
219,1,-0.95,-0.16,-0.02
220,1,-0.95,-0.16,-0.02
222,1,-0.96,-0.15,-0.02
224,1,-0.96,-0.15,-0.02
225,1,-0.96,-0.15,-0.02
227,1,-0.96,-0.15,-0.02
229,1,-0.96,-0.15,-0.02
230,1,-0.96,-0.15,0.01
232,1,-0.97,-0.15,0.01
234,1,-0.97,-0.15,0.01
235,1,-0.97,-0.15,0.01
237,1,-0.97,-0.15,0.01
239,1,-0.97,-0.15,0.01
240,1,-1.02,-0.2,0.0
242,1,-1.02,-0.2,0.0
244,1,-1.02,-0.2,0.0
245,1,-1.02,-0.2,0.0
247,1,-1.02,-0.2,0.0
249,1,-1.02,-0.2,0.0
250,1,-1.1,-0.28,-0.09
252,1,-1.1,-0.28,-0.09
254,1,-1.1,-0.28,-0.09
255,1,-1.1,-0.28,-0.09
257,1,-1.1,-0.28,-0.09
259,1,-1.1,-0.28,-0.09
260,1,-1.19,-0.37,-0.29
