t,l,x,y,z
0,1,-0.98,0.07,0.05
2,1,-0.98,0.07,0.05
3,1,-0.98,0.07,0.05
5,1,-0.98,0.07,0.05
7,1,-0.98,0.07,0.05
8,1,-0.98,0.07,0.05
10,1,-0.98,0.07,0.05
12,1,-0.98,0.07,0.05
13,1,-0.98,0.07,0.05
15,1,-0.98,0.07,0.05
17,1,-0.98,0.07,0.05
18,1,-0.98,0.07,0.05
20,1,-0.98,0.07,0.05
22,1,-0.98,0.07,0.05
23,1,-0.98,0.07,0.05
25,1,-0.98,0.07,0.05
27,1,-0.98,0.07,0.05
28,1,-0.98,0.07,0.05
30,1,-0.98,0.07,0.05
32,1,-0.98,0.07,0.05
33,1,-0.98,0.07,0.05
35,1,-0.98,0.08,0.04
36,1,-0.98,0.08,0.04
38,1,-0.98,0.08,0.04
40,1,-0.98,0.08,0.04
41,1,-0.98,0.08,0.04
43,1,-0.98,0.08,0.04
45,1,-0.98,0.08,0.04
46,1,-0.98,0.08,0.04
48,1,-0.98,0.08,0.04
50,1,-0.98,0.08,0.04
51,1,-0.98,0.08,0.04
53,1,-0.98,0.08,0.04
55,1,-0.98,0.08,0.04
56,1,-0.98,0.08,0.04
58,1,-0.98,0.08,0.04
60,1,-0.98,0.08,0.04
61,1,-0.98,0.08,0.04
63,1,-0.98,0.08,0.04
65,1,-0.98,0.08,0.04
66,1,-0.98,0.08,0.04
68,1,-0.98,0.08,0.04
70,1,-0.98,0.08,0.04
71,1,-0.98,0.08,0.04
73,1,-0.98,0.07,0.05
75,1,-0.98,0.07,0.05
76,1,-0.98,0.07,0.05
78,1,-0.98,0.07,0.05
80,1,-0.98,0.07,0.05
81,1,-0.98,0.07,0.05
83,1,-0.98,0.07,0.05
85,1,-0.98,0.07,0.05
86,1,-0.98,0.07,0.05
88,1,-0.98,0.07,0.05
89,1,-0.98,0.07,0.05
91,1,-0.98,0.07,0.05
93,1,-0.98,0.07,0.04
94,1,-0.98,0.07,0.04
96,1,-0.98,0.07,0.04
98,1,-0.98,0.07,0.04
99,1,-0.98,0.07,0.04
101,1,-0.98,0.07,0.04
103,1,-0.98,0.07,0.05
104,1,-0.98,0.07,0.05
106,1,-0.98,0.07,0.05
107,1,-0.98,0.07,0.05
109,1,-0.98,0.07,0.05
111,1,-0.98,0.07,0.05
112,1,-0.98,0.07,0.05
114,1,-0.98,0.07,0.05
116,1,-0.98,0.07,0.05
117,1,-0.98,0.07,0.05
119,1,-0.98,0.07,0.05
121,1,-0.98,0.07,0.05
122,1,-0.98,0.07,0.04
124,1,-0.98,0.07,0.04
126,1,-0.98,0.07,0.04
127,1,-0.98,0.07,0.04
129,1,-0.98,0.07,0.04
131,1,-0.98,0.07,0.04
132,1,-0.98,0.07,0.04
134,1,-0.98,0.07,0.04
136,1,-0.98,0.07,0.04
137,1,-0.98,0.07,0.04
139,1,-0.98,0.07,0.04
141,1,-0.98,0.07,0.04
142,1,-0.98,0.07,0.05
144,1,-0.98,0.07,0.05
145,1,-0.98,0.07,0.05
147,1,-0.98,0.07,0.05
149,1,-0.98,0.07,0.05
150,1,-0.98,0.07,0.05
152,1,-0.98,0.08,0.06
154,1,-0.98,0.08,0.06
155,1,-0.98,0.08,0.06
