t,l,x,y,z
0,1,-0.96,-0.07,0.09
2,1,-0.96,-0.07,0.09
3,1,-0.96,-0.07,0.09
5,1,-0.97,-0.07,0.09
7,1,-0.97,-0.07,0.09
8,1,-0.97,-0.07,0.09
10,1,-0.97,-0.07,0.09
12,1,-0.97,-0.07,0.09
13,1,-0.97,-0.07,0.09
15,1,-0.97,-0.08,0.09
17,1,-0.97,-0.08,0.09
18,1,-0.97,-0.08,0.09
20,1,-0.97,-0.08,0.09
22,1,-0.97,-0.08,0.09
23,1,-0.97,-0.08,0.09
25,1,-0.97,-0.09,0.09
27,1,-0.97,-0.09,0.09
28,1,-0.97,-0.09,0.09
30,1,-0.97,-0.09,0.09
32,1,-0.97,-0.09,0.09
33,1,-0.97,-0.09,0.09
35,1,-0.98,-0.1,0.07
37,1,-0.98,-0.1,0.07
38,1,-0.98,-0.1,0.07
40,1,-0.98,-0.1,0.07
42,1,-0.98,-0.1,0.07
43,1,-0.98,-0.1,0.07
45,1,-0.97,-0.08,0.05
47,1,-0.97,-0.08,0.05
48,1,-0.97,-0.08,0.05
50,1,-0.97,-0.08,0.05
52,1,-0.97,-0.08,0.05
53,1,-0.97,-0.08,0.05
55,1,-0.96,-0.08,0.04
57,1,-0.96,-0.08,0.04
58,1,-0.96,-0.08,0.04
60,1,-0.96,-0.08,0.04
62,1,-0.96,-0.08,0.04
63,1,-0.96,-0.08,0.05
65,1,-0.98,-0.09,0.05
67,1,-0.98,-0.09,0.05
68,1,-0.98,-0.09,0.05
70,1,-0.98,-0.09,0.05
72,1,-0.98,-0.09,0.05
73,1,-0.98,-0.09,0.06
75,1,-0.98,-0.09,0.06
77,1,-0.98,-0.09,0.06
78,1,-0.98,-0.09,0.06
80,1,-0.98,-0.09,0.06
82,1,-0.98,-0.09,0.06
83,1,-0.97,-0.08,0.07
85,1,-0.97,-0.08,0.07
87,1,-0.97,-0.08,0.07
88,1,-0.97,-0.08,0.07
90,1,-0.97,-0.08,0.07
92,1,-0.97,-0.08,0.07
93,1,-0.98,-0.09,0.09
95,1,-0.98,-0.09,0.09
97,1,-0.98,-0.09,0.09
98,1,-0.98,-0.09,0.09
100,1,-0.98,-0.09,0.09
102,1,-0.98,-0.09,0.09
103,1,-0.98,-0.09,0.09
105,1,-0.98,-0.09,0.09
107,1,-0.98,-0.09,0.09
108,1,-0.98,-0.09,0.09
110,1,-0.98,-0.09,0.09
112,1,-0.98,-0.09,0.09
113,1,-0.98,-0.09,0.1
115,1,-0.98,-0.09,0.1
117,1,-0.98,-0.09,0.1
118,1,-0.98,-0.09,0.1
120,1,-0.98,-0.09,0.1
122,1,-0.98,-0.09,0.1
123,1,-0.97,-0.08,0.09
125,1,-0.97,-0.08,0.09
127,1,-0.97,-0.08,0.09
128,1,-0.97,-0.08,0.09
130,1,-0.97,-0.08,0.09
132,1,-0.97,-0.08,0.07
133,1,-0.96,-0.07,0.07
135,1,-0.96,-0.07,0.07
137,1,-0.96,-0.07,0.07
138,1,-0.96,-0.07,0.07
140,1,-0.96,-0.07,0.07
142,1,-0.96,-0.08,0.06
143,1,-0.97,-0.08,0.06
145,1,-0.97,-0.08,0.06
147,1,-0.97,-0.08,0.06
148,1,-0.97,-0.08,0.06
150,1,-0.97,-0.08,0.06
152,1,-0.98,-0.1,0.06
153,1,-0.98,-0.1,0.06
155,1,-0.98,-0.1,0.06
157,1,-0.98,-0.1,0.06
158,1,-0.98,-0.1,0.06
160,1,-0.98,-0.1,0.06
162,1,-0.98,-0.1,0.05
163,1,-0.98,-0.1,0.05
165,1,-0.98,-0.1,0.05
167,1,-0.98,-0.1,0.05
168,1,-0.98,-0.1,0.05
170,1,-0.98,-0.1,0.05
171,1,-0.97,-0.1,0.03
173,1,-0.97,-0.1,0.03
175,1,-0.97,-0.1,0.03
176,1,-0.97,-0.1,0.03
178,1,-0.97,-0.1,0.03
180,1,-0.97,-0.1,0.03
181,1,-0.97,-0.08,0.01
183,1,-0.97,-0.08,0.01
185,1,-0.97,-0.08,0.01
186,1,-0.97,-0.08,0.01
188,1,-0.97,-0.08,0.01
190,1,-0.97,-0.08,0.01
191,1,-0.96,-0.06,0.0
193,1,-0.96,-0.06,0.0
195,1,-0.96,-0.06,0.0
196,1,-0.96,-0.06,0.0
198,1,-0.96,-0.06,0.0
200,1,-0.96,-0.06,0.0
201,1,-0.96,-0.06,0.02
203,1,-0.96,-0.06,0.02
204,1,-0.96,-0.06,0.02
206,1,-0.96,-0.06,0.02
208,1,-0.96,-0.06,0.02
209,1,-0.96,-0.06,0.02
211,1,-0.94,-0.04,0.04
213,1,-0.94,-0.04,0.04
214,1,-0.94,-0.04,0.04
216,1,-0.94,-0.04,0.04
218,1,-0.94,-0.04,0.04
219,1,-0.94,-0.04,0.04
221,1,-0.96,-0.04,0.06
223,1,-0.96,-0.04,0.06
224,1,-0.96,-0.04,0.06
226,1,-0.96,-0.04,0.06
228,1,-0.96,-0.04,0.06
229,1,-0.96,-0.04,0.04
231,1,-0.98,-0.05,0.04
233,1,-0.98,-0.05,0.04
234,1,-0.98,-0.05,0.04
236,1,-0.98,-0.05,0.04
238,1,-0.98,-0.05,0.04
239,1,-0.98,-0.09,0.0
241,1,-0.99,-0.09,0.0
243,1,-0.99,-0.09,0.0
244,1,-0.99,-0.09,0.0
246,1,-0.99,-0.09,0.0
248,1,-0.99,-0.09,0.0
249,1,-1.07,-0.24,-0.09
251,1,-1.07,-0.24,-0.09
253,1,-1.07,-0.24,-0.09
254,1,-1.07,-0.24,-0.09
256,1,-1.07,-0.24,-0.09
258,1,-1.07,-0.24,-0.09
259,1,-1.17,-0.4,-0.27
261,1,-1.17,-0.4,-0.27
263,1,-1.17,-0.4,-0.27
264,1,-1.17,-0.4,-0.27
266,1,-1.17,-0.4,-0.27
268,1,-1.17,-0.4,-0.27
269,1,-1.13,-0.5,-0.51
271,1,-1.13,-0.5,-0.51
273,1,-1.13,-0.5,-0.51
274,1,-1.13,-0.5,-0.51
276,1,-1.13,-0.5,-0.51
278,1,-1.13,-0.5,-0.51
279,1,-1.18,-0.55,-0.73
281,1,-1.18,-0.55,-0.73
283,1,-1.18,-0.55,-0.73
284,1,-1.18,-0.55,-0.73
286,1,-1.18,-0.55,-0.73
288,1,-1.18,-0.55,-0.73
289,1,-1.15,-0.5,-1.04
291,1,-1.15,-0.5,-1.04
293,1,-1.15,-0.5,-1.04
294,1,-1.15,-0.5,-1.04
296,1,-1.15,-0.5,-1.04
298,1,-1.15,-0.5,-1.42
299,1,-0.92,-0.4,-1.42
301,1,-0.92,-0.4,-1.42
303,1,-0.92,-0.4,-1.42
304,1,-0.92,-0.4,-1.42
306,1,-0.92,-0.4,-1.42
308,1,-0.93,-0.35,-1.63
309,1,-0.93,-0.35,-1.63
311,1,-0.93,-0.35,-1.63
313,1,-0.93,-0.35,-1.63
315,1,-0.93,-0.35,-1.63
316,1,-0.93,-0.35,-1.63
318,1,-1.19,-0.36,-1.58
320,1,-1.19,-0.36,-1.58
321,1,-1.19,-0.36,-1.58
323,1,-1.19,-0.36,-1.58
325,1,-1.19,-0.36,-1.58
326,1,-1.19,-0.36,-1.58
328,1,-1.37,-0.35,-1.26
330,1,-1.37,-0.35,-1.26
331,1,-1.37,-0.35,-1.26
333,1,-1.37,-0.35,-1.26
335,1,-1.37,-0.35,-1.26
337,1,-1.37,-0.35,-0.76
338,1,-1.31,-0.24,-0.86
340,1,-1.31,-0.24,-0.86
342,1,-1.31,-0.24,-0.86
343,1,-1.31,-0.24,-0.86
345,1,-1.31,-0.24,-0.86
347,1,-1.19,-0.14,-0.47
348,1,-1.2,-0.14,-0.47
350,1,-1.2,-0.14,-0.47
352,1,-1.2,-0.14,-0.47
354,1,-1.2,-0.14,-0.47
355,1,-1.2,-0.14,-0.47
357,1,-1.06,-0.03,-0.25
359,1,-1.06,-0.03,-0.25
360,1,-1.06,-0.03,-0.25
362,1,-1.06,-0.03,-0.25
363,1,-1.06,-0.03,-0.25
365,1,-1.06,-0.03,-0.25
367,1,-0.97,0.11,-0.2
368,1,-0.97,0.11,-0.2
370,1,-0.97,0.11,-0.2
372,1,-0.97,0.11,-0.2
373,1,-0.97,0.11,-0.2
375,1,-0.97,0.11,-0.2
377,1,-0.98,0.12,-0.15
378,1,-0.98,0.12,-0.15
380,1,-0.98,0.12,-0.15
382,1,-0.98,0.12,-0.15
383,1,-0.98,0.12,-0.15
385,1,-0.98,0.12,-0.15
387,1,-1.05,0.08,-0.15
388,1,-1.05,0.08,-0.15
390,1,-1.05,0.08,-0.15
392,1,-1.05,0.08,-0.15
393,1,-1.05,0.08,-0.15
395,1,-1.05,0.08,-0.15
397,1,-1.08,0.04,-0.16
398,1,-1.08,0.04,-0.16
400,1,-1.08,0.04,-0.16
402,1,-1.08,0.04,-0.16
403,1,-1.08,0.04,-0.16
405,1,-1.08,0.04,-0.16
407,1,-1.06,0.02,-0.18
408,1,-1.06,0.02,-0.18
410,1,-1.06,0.02,-0.18
412,1,-1.06,0.02,-0.18
413,1,-1.06,0.02,-0.18
415,1,-1.06,-0.11,-0.11
417,1,-1.14,-0.07,-0.11
418,1,-1.14,-0.07,-0.11
420,1,-1.14,-0.07,-0.11
422,1,-1.14,-0.07,-0.11
423,1,-1.14,-0.07,-0.11
425,1,-1.14,-0.16,0.02
426,1,-1.22,-0.16,0.02
428,1,-1.22,-0.16,0.02
430,1,-1.22,-0.16,0.02
431,1,-1.22,-0.16,0.02
433,1,-1.22,-0.16,0.02
435,1,-1.24,-0.19,0.11
436,1,-1.24,-0.19,0.11
438,1,-1.24,-0.19,0.11
440,1,-1.24,-0.19,0.11
442,1,-1.24,-0.19,0.11
443,1,-1.24,-0.19,0.11
445,1,-1.23,-0.21,0.15
446,1,-1.23,-0.21,0.15
448,1,-1.23,-0.21,0.15
450,1,-1.23,-0.21,0.15
451,1,-1.23,-0.21,0.15
453,1,-1.23,-0.21,0.15
455,1,-1.18,-0.19,0.2
457,1,-1.18,-0.19,0.2
458,1,-1.18,-0.19,0.2
460,1,-1.18,-0.19,0.2
462,1,-1.18,-0.19,0.2
463,1,-1.18,-0.19,0.2
465,1,-1.08,-0.13,0.23
467,1,-1.08,-0.13,0.23
468,1,-1.08,-0.13,0.23
470,1,-1.08,-0.13,0.23
472,1,-1.08,-0.13,0.23
473,1,-1.08,-0.13,0.23
475,1,-0.93,-0.03,0.27
477,1,-0.93,-0.03,0.27
478,1,-0.93,-0.03,0.27
480,1,-0.93,-0.03,0.27
482,1,-0.93,-0.03,0.27
483,1,-0.93,-0.03,0.34
485,1,-0.76,0.08,0.34
487,1,-0.76,0.08,0.34
488,1,-0.76,0.08,0.34
490,1,-0.76,0.08,0.34
492,1,-0.76,0.08,0.34
493,1,-0.76,0.17,0.4
495,1,-0.61,0.17,0.4
497,1,-0.61,0.17,0.4
498,1,-0.61,0.17,0.4
500,1,-0.61,0.17,0.4
502,1,-0.61,0.17,0.4
503,1,-0.5,0.22,0.46
505,1,-0.5,0.22,0.46
507,1,-0.5,0.22,0.46
508,1,-0.5,0.22,0.46
510,1,-0.5,0.22,0.46
512,1,-0.5,0.22,0.46
513,1,-0.48,0.23,0.52
515,1,-0.48,0.23,0.52
517,1,-0.48,0.23,0.52
518,1,-0.48,0.23,0.52
520,1,-0.48,0.23,0.52
522,1,-0.48,0.23,0.52
523,1,-0.5,0.16,0.56
525,1,-0.5,0.16,0.56
527,1,-0.5,0.16,0.56
528,1,-0.5,0.16,0.56
530,1,-0.5,0.16,0.56
532,1,-0.5,0.16,0.56
533,1,-0.57,0.03,0.65
535,1,-0.57,0.03,0.65
537,1,-0.57,0.03,0.65
538,1,-0.57,0.03,0.65
540,1,-0.57,0.03,0.65
542,1,-0.57,0.03,0.65
543,1,-0.62,-0.11,0.71
545,1,-0.62,-0.11,0.71
547,1,-0.62,-0.11,0.71
548,1,-0.62,-0.11,0.71
550,1,-0.62,-0.11,0.71
552,1,-0.62,-0.11,0.74
553,1,-0.72,-0.28,0.74
555,1,-0.72,-0.28,0.74
557,1,-0.72,-0.28,0.74
558,1,-0.72,-0.28,0.74
560,1,-0.72,-0.28,0.74
562,1,-0.72,-0.35,0.66
563,1,-0.75,-0.35,0.66
565,1,-0.75,-0.35,0.66
567,1,-0.75,-0.35,0.66
568,1,-0.75,-0.35,0.66
570,1,-0.75,-0.35,0.66
572,1,-0.71,-0.36,0.53
573,1,-0.71,-0.36,0.53
575,1,-0.71,-0.36,0.53
577,1,-0.71,-0.36,0.53
578,1,-0.71,-0.36,0.53
580,1,-0.71,-0.36,0.53
582,1,-0.64,-0.44,0.43
583,1,-0.64,-0.44,0.43
585,1,-0.64,-0.44,0.43
587,1,-0.64,-0.44,0.43
588,1,-0.64,-0.44,0.43
590,1,-0.64,-0.44,0.43
591,1,-0.52,-0.42,0.38
593,1,-0.52,-0.42,0.38
595,1,-0.52,-0.42,0.38
597,1,-0.52,-0.42,0.38
598,1,-0.52,-0.42,0.38
600,1,-0.52,-0.42,0.38
602,1,-0.39,-0.45,0.35
603,1,-0.39,-0.45,0.35
605,1,-0.39,-0.45,0.35
606,1,-0.39,-0.45,0.35
608,1,-0.39,-0.45,0.35
610,1,-0.39,-0.45,0.35
612,1,-0.23,-0.38,0.29
613,1,-0.23,-0.38,0.29
615,1,-0.23,-0.38,0.29
617,1,-0.23,-0.38,0.29
618,1,-0.23,-0.38,0.29
620,1,-0.23,-0.38,0.29
622,1,-0.06,-0.35,0.31
623,1,-0.06,-0.35,0.31
625,1,-0.06,-0.35,0.31
627,1,-0.06,-0.35,0.31
628,1,-0.06,-0.35,0.31
630,1,-0.06,-0.39,0.34
632,1,0.03,-0.39,0.34
633,1,0.03,-0.39,0.34
635,1,0.03,-0.39,0.34
637,1,0.03,-0.39,0.34
638,1,0.03,-0.39,0.34
640,1,0.03,-0.49,0.4
641,1,0.03,-0.49,0.4
643,1,0.03,-0.49,0.4
645,1,0.03,-0.49,0.4
646,1,0.03,-0.49,0.4
648,1,0.03,-0.49,0.4
650,1,-0.48,-0.78,0.55
651,1,-0.48,-0.78,0.55
653,1,-0.48,-0.78,0.55
655,1,-0.48,-0.78,0.55
657,1,-0.48,-0.78,0.55
658,1,-0.48,-0.78,0.55
660,1,-4.72,-1.68,1.03
662,1,-4.72,-1.68,1.03
663,1,-4.72,-1.68,1.03
665,1,-4.72,-1.68,1.03
667,1,-4.72,-1.68,1.03
668,1,-4.72,-1.68,1.03
670,1,-3.79,-2.32,1.82
672,1,-3.79,-2.32,1.82
673,1,-3.79,-2.32,1.82
675,1,-3.79,-2.32,1.82
677,1,-3.79,-2.32,1.82
678,1,-3.79,-2.32,1.82
680,1,0.41,0.37,0.64
682,1,0.41,0.37,0.64
683,1,0.41,0.37,0.64
685,1,0.41,0.37,0.64
687,1,0.41,0.37,0.64
688,1,0.41,0.37,0.64
690,1,1.06,1.42,0.4
691,1,1.06,1.42,0.4
693,1,1.06,1.42,0.4
695,1,1.06,1.42,0.4
696,1,1.06,1.42,0.4
698,1,1.06,1.42,1.78
700,1,-1.72,-0.17,1.75
701,1,-1.72,-0.17,1.75
703,1,-1.72,-0.17,1.75
705,1,-1.72,-0.17,1.75
706,1,-1.72,-0.17,1.75
708,1,-1.72,-0.42,1.63
710,1,-1.57,-0.45,1.63
711,1,-1.57,-0.45,1.63
713,1,-1.57,-0.45,1.63
715,1,-1.57,-0.45,1.63
716,1,-1.57,-0.45,1.63
718,1,-0.2,0.58,1.05
720,1,-0.2,0.58,1.05
721,1,-0.2,0.58,1.05
723,1,-0.2,0.58,1.05
725,1,-0.2,0.58,1.05
726,1,-0.2,0.58,1.05
728,1,-0.72,0.07,1.2
730,1,-0.72,0.07,1.2
731,1,-0.72,0.07,1.2
733,1,-0.72,0.07,1.2
735,1,-0.72,0.07,1.2
736,1,-0.72,0.07,1.2
738,1,-1.17,-0.64,1.02
740,1,-1.17,-0.64,1.02
741,1,-1.17,-0.64,1.02
743,1,-1.17,-0.64,1.02
745,1,-1.17,-0.64,1.02
746,1,-1.17,-0.64,1.02
748,1,-0.78,-0.22,0.45
750,1,-0.78,-0.22,0.45
751,1,-0.78,-0.22,0.45
753,1,-0.78,-0.22,0.45
754,1,-0.78,-0.22,0.45
756,1,-0.78,-0.22,0.45
758,1,-0.8,-0.32,0.01
760,1,-0.8,-0.32,0.01
761,1,-0.8,-0.32,0.01
763,1,-0.8,-0.32,0.01
765,1,-0.8,-0.32,0.01
766,1,-0.8,-0.32,0.01
768,1,-1.04,-0.58,-0.28
770,1,-1.04,-0.58,-0.28
771,1,-1.04,-0.58,-0.28
773,1,-1.04,-0.58,-0.28
775,1,-1.04,-0.58,-0.28
776,1,-1.04,-0.58,-0.42
778,1,-0.93,-0.52,-0.42
780,1,-0.93,-0.52,-0.42
781,1,-0.93,-0.52,-0.42
783,1,-0.93,-0.52,-0.42
785,1,-0.93,-0.52,-0.42
786,1,-0.93,-0.59,-0.33
788,1,-0.93,-0.59,-0.33
790,1,-0.93,-0.59,-0.33
791,1,-0.93,-0.59,-0.33
793,1,-0.93,-0.59,-0.33
795,1,-0.93,-0.59,-0.33
796,1,-0.94,-0.59,-0.32
798,1,-0.94,-0.59,-0.32
800,1,-0.94,-0.59,-0.32
801,1,-0.94,-0.59,-0.32
803,1,-0.94,-0.59,-0.32
805,1,-0.94,-0.59,-0.32
806,1,-0.93,-0.59,-0.36
808,1,-0.93,-0.59,-0.36
810,1,-0.93,-0.59,-0.36
811,1,-0.93,-0.59,-0.36
813,1,-0.93,-0.59,-0.36
815,1,-0.93,-0.59,-0.36
816,1,-0.91,-0.59,-0.32
818,1,-0.91,-0.59,-0.32
820,1,-0.91,-0.59,-0.32
821,1,-0.91,-0.59,-0.32
823,1,-0.91,-0.59,-0.32
825,1,-0.91,-0.59,-0.32
826,1,-0.83,-0.5,-0.27
828,1,-0.83,-0.5,-0.27
830,1,-0.83,-0.5,-0.27
831,1,-0.83,-0.5,-0.27
833,1,-0.83,-0.5,-0.27
835,1,-0.83,-0.5,-0.14
837,1,-0.8,-0.43,-0.14
838,1,-0.8,-0.43,-0.14
840,1,-0.8,-0.43,-0.14
842,1,-0.8,-0.43,-0.14
843,1,-0.8,-0.43,-0.14
845,1,-0.89,-0.44,-0.0
847,1,-0.89,-0.44,-0.0
848,1,-0.89,-0.44,-0.0
850,1,-0.89,-0.44,-0.0
852,1,-0.89,-0.44,-0.0
853,1,-0.89,-0.44,-0.0
855,1,-0.92,-0.41,-0.01
857,1,-0.92,-0.41,-0.01
858,1,-0.92,-0.41,-0.01
860,1,-0.92,-0.41,-0.01
862,1,-0.92,-0.41,-0.01
863,1,-0.92,-0.41,-0.01
865,1,-0.9,-0.35,0.0
867,1,-0.9,-0.35,0.0
868,1,-0.9,-0.35,0.0
870,1,-0.9,-0.35,0.0
871,1,-0.9,-0.35,0.0
873,1,-0.9,-0.35,0.0
875,1,-0.92,-0.26,0.06
876,1,-0.92,-0.26,0.06
878,1,-0.92,-0.26,0.06
880,1,-0.92,-0.26,0.06
881,1,-0.92,-0.26,0.06
883,1,-0.92,-0.26,0.06
885,1,-0.95,-0.23,0.12
886,1,-0.95,-0.23,0.12
888,1,-0.95,-0.23,0.12
890,1,-0.95,-0.23,0.12
891,1,-0.95,-0.23,0.12
893,1,-0.95,-0.23,0.12
895,1,-0.96,-0.19,0.02
896,1,-0.96,-0.19,0.02
898,1,-0.96,-0.19,0.02
900,1,-0.96,-0.19,0.02
901,1,-0.96,-0.19,0.02
903,1,-0.96,-0.19,0.02
905,1,-0.98,-0.23,-0.03
