t,l,x,y,z
0,1,-0.98,0.13,0.08
2,1,-0.98,0.13,0.08
3,1,-0.98,0.13,0.08
5,1,-0.98,0.13,0.08
7,1,-0.96,0.13,0.08
8,1,-0.96,0.13,0.08
10,1,-0.96,0.13,0.08
12,1,-0.96,0.13,0.08
13,1,-0.96,0.13,0.08
15,1,-0.96,0.13,0.09
17,1,-0.97,0.13,0.09
18,1,-0.97,0.13,0.09
20,1,-0.97,0.13,0.09
22,1,-0.97,0.13,0.09
23,1,-0.97,0.13,0.09
25,1,-0.98,0.13,0.09
27,1,-0.98,0.13,0.09
28,1,-0.98,0.13,0.09
30,1,-0.98,0.13,0.09
32,1,-0.98,0.13,0.09
33,1,-0.98,0.13,0.09
35,1,-0.97,0.12,0.09
37,1,-0.97,0.12,0.09
38,1,-0.97,0.12,0.09
40,1,-0.97,0.12,0.09
42,1,-0.97,0.12,0.09
43,1,-0.97,0.12,0.09
45,1,-0.97,0.12,0.09
46,1,-0.97,0.12,0.09
48,1,-0.97,0.12,0.09
50,1,-0.97,0.12,0.09
51,1,-0.97,0.12,0.09
53,1,-0.97,0.12,0.09
55,1,-0.97,0.12,0.09
56,1,-0.97,0.12,0.09
58,1,-0.97,0.12,0.09
59,1,-0.97,0.12,0.09
61,1,-0.97,0.12,0.09
63,1,-0.97,0.12,0.09
64,1,-0.98,0.13,0.09
66,1,-0.98,0.13,0.09
68,1,-0.98,0.13,0.09
69,1,-0.98,0.13,0.09
71,1,-0.98,0.13,0.09
73,1,-0.98,0.13,0.09
74,1,-0.97,0.13,0.08
76,1,-0.97,0.13,0.08
78,1,-0.97,0.13,0.08
79,1,-0.97,0.13,0.08
81,1,-0.97,0.13,0.08
83,1,-0.97,0.13,0.08
84,1,-0.97,0.13,0.08
86,1,-0.97,0.13,0.08
88,1,-0.97,0.13,0.08
89,1,-0.97,0.13,0.08
91,1,-0.97,0.13,0.08
93,1,-0.97,0.13,0.08
94,1,-0.97,0.12,0.09
96,1,-0.97,0.12,0.09
97,1,-0.97,0.12,0.09
99,1,-0.97,0.12,0.09
101,1,-0.97,0.12,0.09
102,1,-0.97,0.12,0.09
104,1,-0.98,0.12,0.09
106,1,-0.98,0.12,0.09
107,1,-0.98,0.12,0.09
109,1,-0.98,0.12,0.09
111,1,-0.98,0.12,0.09
112,1,-0.98,0.12,0.09
114,1,-0.97,0.12,0.09
116,1,-0.97,0.12,0.09
117,1,-0.97,0.12,0.09
119,1,-0.97,0.12,0.09
121,1,-0.97,0.12,0.09
122,1,-0.97,0.12,0.09
124,1,-0.97,0.12,0.09
126,1,-0.97,0.12,0.09
127,1,-0.97,0.12,0.09
129,1,-0.97,0.12,0.09
131,1,-0.97,0.12,0.09
132,1,-0.97,0.13,0.09
134,1,-0.97,0.13,0.09
136,1,-0.97,0.13,0.09
137,1,-0.97,0.13,0.09
139,1,-0.97,0.13,0.09
141,1,-0.97,0.13,0.09
142,1,-0.97,0.12,0.08
144,1,-0.97,0.12,0.08
146,1,-0.97,0.12,0.08
147,1,-0.97,0.12,0.08
149,1,-0.97,0.12,0.08
151,1,-0.97,0.12,0.08
152,1,-0.97,0.13,0.09
154,1,-0.97,0.13,0.09
156,1,-0.97,0.13,0.09
157,1,-0.97,0.13,0.09
159,1,-0.97,0.13,0.09
161,1,-0.97,0.13,0.09
162,1,-0.98,0.13,0.08
164,1,-0.98,0.13,0.08
165,1,-0.98,0.13,0.08
167,1,-0.98,0.13,0.08
169,1,-0.98,0.13,0.08
170,1,-0.98,0.13,0.08
172,1,-0.98,0.13,0.09
174,1,-0.98,0.13,0.09
175,1,-0.98,0.13,0.09
177,1,-0.98,0.13,0.09
179,1,-0.98,0.13,0.09
180,1,-0.98,0.13,0.09
182,1,-0.98,0.13,0.08
184,1,-0.98,0.13,0.08
185,1,-0.98,0.13,0.08
187,1,-0.98,0.13,0.08
189,1,-0.98,0.13,0.08
190,1,-0.98,0.13,0.08
192,1,-0.97,0.12,0.08
194,1,-0.97,0.12,0.08
195,1,-0.97,0.12,0.08
197,1,-0.97,0.12,0.08
198,1,-0.97,0.12,0.08
200,1,-0.97,0.12,0.08
202,1,-0.97,0.13,0.09
203,1,-0.97,0.13,0.09
205,1,-0.97,0.13,0.09
207,1,-0.97,0.13,0.09
208,1,-0.97,0.13,0.09
210,1,-0.97,0.13,0.09
212,1,-0.97,0.13,0.09
213,1,-0.97,0.13,0.09
215,1,-0.97,0.13,0.09
217,1,-0.97,0.13,0.09
218,1,-0.97,0.13,0.09
220,1,-0.97,0.13,0.09
222,1,-0.97,0.13,0.09
223,1,-0.97,0.13,0.09
225,1,-0.97,0.13,0.09
227,1,-0.97,0.13,0.09
228,1,-0.97,0.13,0.09
230,1,-0.97,0.12,0.09
232,1,-0.97,0.12,0.09
233,1,-0.97,0.12,0.09
235,1,-0.97,0.12,0.09
236,1,-0.97,0.12,0.09
238,1,-0.97,0.12,0.09
240,1,-0.97,0.12,0.09
241,1,-0.97,0.12,0.09
243,1,-0.97,0.12,0.09
245,1,-0.97,0.12,0.09
246,1,-0.97,0.12,0.09
248,1,-0.97,0.12,0.09
250,1,-0.97,0.12,0.09
251,1,-0.97,0.12,0.09
253,1,-0.97,0.12,0.09
254,1,-0.97,0.12,0.09
256,1,-0.97,0.12,0.09
258,1,-0.97,0.12,0.09
260,1,-0.97,0.12,0.08
261,1,-0.97,0.12,0.08
263,1,-0.97,0.12,0.08
265,1,-0.97,0.12,0.08
266,1,-0.97,0.12,0.08
268,1,-0.97,0.12,0.08
270,1,-0.98,0.13,0.09
271,1,-0.98,0.13,0.09
273,1,-0.98,0.13,0.09
274,1,-0.98,0.13,0.09
276,1,-0.98,0.13,0.09
278,1,-0.98,0.13,0.09
280,1,-0.98,0.13,0.09
281,1,-0.98,0.13,0.09
283,1,-0.98,0.13,0.09
285,1,-0.98,0.13,0.09
286,1,-0.98,0.13,0.09
288,1,-0.98,0.13,0.09
290,1,-0.97,0.13,0.1
291,1,-0.97,0.13,0.1
293,1,-0.97,0.13,0.1
295,1,-0.97,0.13,0.1
296,1,-0.97,0.13,0.1
298,1,-0.97,0.13,0.09
300,1,-0.97,0.13,0.09
301,1,-0.97,0.13,0.09
303,1,-0.97,0.13,0.09
305,1,-0.97,0.13,0.09
306,1,-0.97,0.13,0.09
308,1,-0.97,0.13,0.09
310,1,-0.97,0.13,0.09
311,1,-0.97,0.13,0.09
313,1,-0.97,0.13,0.09
315,1,-0.97,0.13,0.09
316,1,-0.97,0.13,0.09
318,1,-0.97,0.12,0.08
320,1,-0.97,0.12,0.08
321,1,-0.97,0.12,0.08
323,1,-0.97,0.12,0.08
324,1,-0.97,0.12,0.08
326,1,-0.97,0.12,0.08
328,1,-0.97,0.11,0.08
329,1,-0.97,0.11,0.08
331,1,-0.97,0.11,0.08
333,1,-0.97,0.11,0.08
334,1,-0.97,0.11,0.08
336,1,-0.97,0.11,0.08
338,1,-0.97,0.11,0.07
339,1,-0.97,0.11,0.07
341,1,-0.97,0.11,0.07
343,1,-0.97,0.11,0.07
344,1,-0.97,0.11,0.07
346,1,-0.97,0.11,0.07
348,1,-0.97,0.11,0.08
349,1,-0.97,0.11,0.08
351,1,-0.97,0.11,0.08
353,1,-0.97,0.11,0.08
354,1,-0.97,0.11,0.08
356,1,-0.97,0.11,0.08
358,1,-0.97,0.12,0.09
359,1,-0.97,0.12,0.09
361,1,-0.97,0.12,0.09
363,1,-0.97,0.12,0.09
364,1,-0.97,0.12,0.09
366,1,-0.97,0.12,0.09
368,1,-0.97,0.12,0.1
369,1,-0.97,0.12,0.1
371,1,-0.97,0.12,0.1
373,1,-0.97,0.12,0.1
374,1,-0.97,0.12,0.1
376,1,-0.97,0.12,0.1
378,1,-0.97,0.12,0.1
379,1,-0.97,0.12,0.1
381,1,-0.97,0.12,0.1
383,1,-0.97,0.12,0.1
384,1,-0.97,0.12,0.1
