t,l,x,y,z
0,1,-0.94,-0.22,0.16
2,1,-0.94,-0.22,0.16
4,1,-0.94,-0.22,0.16
5,1,-0.94,-0.22,0.15
7,1,-0.94,-0.22,0.15
9,1,-0.94,-0.22,0.15
10,1,-0.94,-0.22,0.15
12,1,-0.94,-0.22,0.15
14,1,-0.94,-0.22,0.15
15,1,-0.94,-0.22,0.14
17,1,-0.94,-0.22,0.14
19,1,-0.94,-0.22,0.14
20,1,-0.94,-0.22,0.14
22,1,-0.94,-0.22,0.14
24,1,-0.94,-0.22,0.14
25,1,-0.94,-0.22,0.13
27,1,-0.94,-0.22,0.13
29,1,-0.94,-0.22,0.13
30,1,-0.94,-0.22,0.13
32,1,-0.94,-0.22,0.13
34,1,-0.94,-0.22,0.13
35,1,-0.94,-0.21,0.12
37,1,-0.94,-0.21,0.12
39,1,-0.94,-0.21,0.12
40,1,-0.94,-0.21,0.12
42,1,-0.94,-0.21,0.12
44,1,-0.94,-0.21,0.12
45,1,-0.94,-0.21,0.12
47,1,-0.94,-0.21,0.12
49,1,-0.94,-0.21,0.12
50,1,-0.94,-0.21,0.12
52,1,-0.94,-0.21,0.12
54,1,-0.94,-0.21,0.13
55,1,-0.94,-0.22,0.13
57,1,-0.94,-0.22,0.13
59,1,-0.94,-0.22,0.13
60,1,-0.94,-0.22,0.13
62,1,-0.94,-0.22,0.13
64,1,-0.94,-0.22,0.14
65,1,-0.94,-0.22,0.14
67,1,-0.94,-0.22,0.14
69,1,-0.94,-0.22,0.14
70,1,-0.94,-0.22,0.14
72,1,-0.94,-0.22,0.14
74,1,-0.94,-0.22,0.15
76,1,-0.94,-0.22,0.15
77,1,-0.94,-0.22,0.15
79,1,-0.94,-0.22,0.15
81,1,-0.94,-0.22,0.15
82,1,-0.94,-0.22,0.15
84,1,-0.94,-0.22,0.15
85,1,-0.94,-0.22,0.15
87,1,-0.94,-0.22,0.15
89,1,-0.94,-0.22,0.15
90,1,-0.94,-0.22,0.15
92,1,-0.94,-0.22,0.15
94,1,-0.94,-0.22,0.15
95,1,-0.94,-0.22,0.15
97,1,-0.94,-0.22,0.15
99,1,-0.94,-0.22,0.15
101,1,-0.94,-0.22,0.15
102,1,-0.94,-0.22,0.15
104,1,-0.95,-0.23,0.15
106,1,-0.95,-0.23,0.15
107,1,-0.95,-0.23,0.15
109,1,-0.95,-0.23,0.15
111,1,-0.95,-0.23,0.15
112,1,-0.95,-0.23,0.15
114,1,-0.94,-0.22,0.15
116,1,-0.94,-0.22,0.15
117,1,-0.94,-0.22,0.15
119,1,-0.94,-0.22,0.15
121,1,-0.94,-0.22,0.15
122,1,-0.94,-0.22,0.14
124,1,-0.94,-0.22,0.14
126,1,-0.94,-0.22,0.14
127,1,-0.94,-0.22,0.14
129,1,-0.94,-0.22,0.14
131,1,-0.94,-0.22,0.14
132,1,-0.94,-0.22,0.15
134,1,-0.94,-0.22,0.15
136,1,-0.94,-0.22,0.15
137,1,-0.94,-0.22,0.15
139,1,-0.94,-0.22,0.15
141,1,-0.94,-0.22,0.15
142,1,-0.94,-0.22,0.15
144,1,-0.94,-0.22,0.15
146,1,-0.94,-0.22,0.15
147,1,-0.94,-0.22,0.15
149,1,-0.94,-0.22,0.15
151,1,-0.94,-0.22,0.15
152,1,-0.94,-0.22,0.16
154,1,-0.94,-0.22,0.16
156,1,-0.94,-0.22,0.16
157,1,-0.94,-0.22,0.16
159,1,-0.94,-0.22,0.16
161,1,-0.94,-0.22,0.16
162,1,-0.94,-0.22,0.16
164,1,-0.94,-0.22,0.16
166,1,-0.94,-0.22,0.16
167,1,-0.94,-0.22,0.16
169,1,-0.94,-0.22,0.16
171,1,-0.94,-0.22,0.16
172,1,-0.94,-0.22,0.15
174,1,-0.94,-0.22,0.15
176,1,-0.94,-0.22,0.15
177,1,-0.94,-0.22,0.15
179,1,-0.94,-0.22,0.15
181,1,-0.94,-0.22,0.15
182,1,-0.94,-0.22,0.15
184,1,-0.94,-0.22,0.15
186,1,-0.94,-0.22,0.15
187,1,-0.94,-0.22,0.15
189,1,-0.94,-0.22,0.15
191,1,-0.94,-0.22,0.14
192,1,-0.94,-0.22,0.14
194,1,-0.94,-0.22,0.14
196,1,-0.94,-0.22,0.14
197,1,-0.94,-0.22,0.14
199,1,-0.94,-0.22,0.14
201,1,-0.94,-0.22,0.14
202,1,-0.94,-0.22,0.14
204,1,-0.94,-0.22,0.14
206,1,-0.94,-0.22,0.14
207,1,-0.94,-0.22,0.14
209,1,-0.94,-0.22,0.14
211,1,-0.94,-0.22,0.14
212,1,-0.94,-0.22,0.14
214,1,-0.94,-0.22,0.14
216,1,-0.94,-0.22,0.14
217,1,-0.94,-0.22,0.14
219,1,-0.94,-0.22,0.14
221,1,-0.94,-0.21,0.15
222,1,-0.94,-0.21,0.15
224,1,-0.94,-0.21,0.15
226,1,-0.94,-0.21,0.15
227,1,-0.94,-0.21,0.15
229,1,-0.94,-0.21,0.15
231,1,-0.94,-0.21,0.15
232,1,-0.94,-0.21,0.15
234,1,-0.94,-0.21,0.15
236,1,-0.94,-0.21,0.15
238,1,-0.94,-0.21,0.15
239,1,-0.94,-0.21,0.15
241,1,-0.94,-0.22,0.15
243,1,-0.94,-0.22,0.15
244,1,-0.94,-0.22,0.15
246,1,-0.94,-0.22,0.15
248,1,-0.94,-0.22,0.15
249,1,-0.94,-0.23,0.14
251,1,-0.94,-0.23,0.14
253,1,-0.94,-0.23,0.14
254,1,-0.94,-0.23,0.14
256,1,-0.94,-0.23,0.14
258,1,-0.94,-0.23,0.14
260,1,-0.94,-0.23,0.13
261,1,-0.94,-0.23,0.13
263,1,-0.94,-0.23,0.13
265,1,-0.94,-0.23,0.13
266,1,-0.94,-0.23,0.13
268,1,-0.94,-0.23,0.13
270,1,-0.94,-0.21,0.13
271,1,-0.94,-0.21,0.13
273,1,-0.94,-0.21,0.13
275,1,-0.94,-0.21,0.13
276,1,-0.94,-0.21,0.13
278,1,-0.94,-0.21,0.13
280,1,-0.94,-0.22,0.13
281,1,-0.94,-0.22,0.13
283,1,-0.94,-0.22,0.13
285,1,-0.94,-0.22,0.13
286,1,-0.94,-0.22,0.13
288,1,-0.94,-0.22,0.13
290,1,-0.95,-0.23,0.13
291,1,-0.95,-0.23,0.13
293,1,-0.95,-0.23,0.13
295,1,-0.95,-0.23,0.13
296,1,-0.95,-0.23,0.13
298,1,-0.95,-0.23,0.15
300,1,-0.96,-0.22,0.15
301,1,-0.96,-0.22,0.15
303,1,-0.96,-0.22,0.15
305,1,-0.96,-0.22,0.15
306,1,-0.96,-0.22,0.15
308,1,-0.95,-0.22,0.16
310,1,-0.95,-0.22,0.16
311,1,-0.95,-0.22,0.16
313,1,-0.95,-0.22,0.16
315,1,-0.95,-0.22,0.16
316,1,-0.95,-0.22,0.16
318,1,-0.94,-0.22,0.16
