t,l,x,y,z
0,1,-0.97,0.2,0.04
1,1,-0.97,0.2,0.04
3,1,-0.97,0.2,0.04
5,1,-0.97,0.2,0.04
6,1,-0.97,0.2,0.04
8,1,-0.97,0.2,0.04
9,1,-0.97,0.2,0.04
11,1,-0.97,0.2,0.04
13,1,-0.97,0.2,0.04
14,1,-0.97,0.2,0.03
16,1,-0.97,0.2,0.03
18,1,-0.97,0.2,0.03
19,1,-0.97,0.2,0.03
21,1,-0.97,0.2,0.03
23,1,-0.97,0.2,0.03
24,1,-0.97,0.2,0.04
26,1,-0.97,0.2,0.04
28,1,-0.97,0.2,0.04
29,1,-0.97,0.2,0.04
31,1,-0.97,0.2,0.04
33,1,-0.97,0.2,0.04
34,1,-0.97,0.21,0.04
36,1,-0.97,0.21,0.04
38,1,-0.97,0.21,0.04
39,1,-0.97,0.21,0.04
41,1,-0.97,0.21,0.04
43,1,-0.97,0.21,0.04
44,1,-0.97,0.21,0.04
46,1,-0.97,0.21,0.04
48,1,-0.97,0.21,0.04
49,1,-0.97,0.21,0.04
51,1,-0.97,0.21,0.04
53,1,-0.97,0.21,0.04
54,1,-0.97,0.21,0.04
56,1,-0.97,0.21,0.04
58,1,-0.97,0.21,0.04
59,1,-0.97,0.21,0.04
61,1,-0.97,0.21,0.04
62,1,-0.96,0.22,0.05
64,1,-0.96,0.22,0.05
66,1,-0.96,0.22,0.05
67,1,-0.96,0.22,0.05
69,1,-0.96,0.22,0.05
71,1,-0.96,0.22,0.05
72,1,-0.97,0.21,0.06
74,1,-0.97,0.21,0.06
76,1,-0.97,0.21,0.06
77,1,-0.97,0.21,0.06
79,1,-0.97,0.21,0.06
81,1,-0.97,0.21,0.06
82,1,-0.96,0.21,0.07
84,1,-0.96,0.21,0.07
86,1,-0.96,0.21,0.07
87,1,-0.96,0.21,0.07
89,1,-0.96,0.21,0.07
91,1,-0.96,0.21,0.07
92,1,-0.97,0.21,0.07
94,1,-0.97,0.21,0.07
96,1,-0.97,0.21,0.07
97,1,-0.97,0.21,0.07
99,1,-0.97,0.21,0.07
101,1,-0.97,0.21,0.07
102,1,-0.97,0.21,0.06
104,1,-0.97,0.21,0.06
106,1,-0.97,0.21,0.06
107,1,-0.97,0.21,0.06
109,1,-0.97,0.21,0.06
