t,l,x,y,z
0,1,-0.96,-0.18,0.07
1,1,-0.96,-0.18,0.07
3,1,-0.96,-0.18,0.07
5,1,-0.96,-0.18,0.07
6,1,-0.96,-0.18,0.06
8,1,-0.96,-0.19,0.06
10,1,-0.96,-0.19,0.06
11,1,-0.96,-0.19,0.06
13,1,-0.96,-0.19,0.06
15,1,-0.96,-0.19,0.06
16,1,-0.96,-0.19,0.06
18,1,-0.96,-0.19,0.06
20,1,-0.96,-0.19,0.06
21,1,-0.96,-0.19,0.06
23,1,-0.96,-0.19,0.06
25,1,-0.96,-0.19,0.06
26,1,-0.97,-0.18,0.06
28,1,-0.97,-0.18,0.06
30,1,-0.97,-0.18,0.06
31,1,-0.97,-0.18,0.06
33,1,-0.97,-0.18,0.06
35,1,-0.97,-0.18,0.06
36,1,-0.97,-0.18,0.08
38,1,-0.97,-0.18,0.08
40,1,-0.97,-0.18,0.08
41,1,-0.97,-0.18,0.08
43,1,-0.97,-0.18,0.08
45,1,-0.97,-0.18,0.08
46,1,-0.97,-0.17,0.09
48,1,-0.97,-0.17,0.09
50,1,-0.97,-0.17,0.09
51,1,-0.97,-0.17,0.09
53,1,-0.97,-0.17,0.09
55,1,-0.97,-0.17,0.09
56,1,-0.97,-0.16,0.1
58,1,-0.97,-0.16,0.1
60,1,-0.97,-0.16,0.1
61,1,-0.97,-0.16,0.1
63,1,-0.97,-0.16,0.1
65,1,-0.97,-0.16,0.1
66,1,-0.96,-0.16,0.11
68,1,-0.96,-0.16,0.11
70,1,-0.96,-0.16,0.11
71,1,-0.96,-0.16,0.11
73,1,-0.96,-0.16,0.11
75,1,-0.96,-0.16,0.11
76,1,-0.96,-0.16,0.11
78,1,-0.96,-0.16,0.11
80,1,-0.96,-0.16,0.11
81,1,-0.96,-0.16,0.11
83,1,-0.96,-0.16,0.11
85,1,-0.96,-0.16,0.1
86,1,-0.96,-0.16,0.1
88,1,-0.96,-0.16,0.1
90,1,-0.96,-0.16,0.1
91,1,-0.96,-0.16,0.1
93,1,-0.96,-0.16,0.1
95,1,-0.96,-0.17,0.09
96,1,-0.96,-0.17,0.09
98,1,-0.96,-0.17,0.09
100,1,-0.96,-0.17,0.09
101,1,-0.96,-0.17,0.09
103,1,-0.96,-0.17,0.09
105,1,-0.97,-0.18,0.08
106,1,-0.97,-0.18,0.08
108,1,-0.97,-0.18,0.08
110,1,-0.97,-0.18,0.08
111,1,-0.97,-0.18,0.08
113,1,-0.97,-0.18,0.08
115,1,-0.96,-0.18,0.08
116,1,-0.96,-0.18,0.08
118,1,-0.96,-0.18,0.08
120,1,-0.96,-0.18,0.08
121,1,-0.96,-0.18,0.08
123,1,-0.96,-0.18,0.08
125,1,-0.96,-0.18,0.08
126,1,-0.96,-0.18,0.08
128,1,-0.96,-0.18,0.08
130,1,-0.96,-0.18,0.08
131,1,-0.96,-0.18,0.08
133,1,-0.96,-0.18,0.08
135,1,-0.96,-0.18,0.07
136,1,-0.96,-0.18,0.07
138,1,-0.96,-0.18,0.07
140,1,-0.96,-0.18,0.07
141,1,-0.96,-0.18,0.07
143,1,-0.96,-0.18,0.07
145,1,-0.96,-0.17,0.07
146,1,-0.96,-0.17,0.07
148,1,-0.96,-0.17,0.07
150,1,-0.96,-0.17,0.07
151,1,-0.96,-0.17,0.07
153,1,-0.96,-0.17,0.07
155,1,-0.96,-0.17,0.07
156,1,-0.96,-0.17,0.07
158,1,-0.96,-0.17,0.07
160,1,-0.96,-0.17,0.07
161,1,-0.96,-0.17,0.07
163,1,-0.96,-0.17,0.07
165,1,-0.96,-0.17,0.07
166,1,-0.96,-0.17,0.07
168,1,-0.96,-0.17,0.07
170,1,-0.96,-0.17,0.07
171,1,-0.96,-0.17,0.07
173,1,-0.97,-0.18,0.08
175,1,-0.97,-0.18,0.08
176,1,-0.97,-0.18,0.08
178,1,-0.97,-0.18,0.08
180,1,-0.97,-0.18,0.08
181,1,-0.97,-0.18,0.08
183,1,-0.96,-0.18,0.08
185,1,-0.96,-0.18,0.08
186,1,-0.96,-0.18,0.08
188,1,-0.96,-0.18,0.08
190,1,-0.96,-0.18,0.08
191,1,-0.96,-0.18,0.08
193,1,-0.96,-0.18,0.08
195,1,-0.96,-0.18,0.08
196,1,-0.96,-0.18,0.08
198,1,-0.96,-0.18,0.08
200,1,-0.96,-0.18,0.08
201,1,-0.96,-0.18,0.08
203,1,-0.97,-0.16,0.1
205,1,-0.97,-0.16,0.1
206,1,-0.97,-0.16,0.1
208,1,-0.97,-0.16,0.1
210,1,-0.97,-0.16,0.1
211,1,-0.97,-0.16,0.1
213,1,-0.96,-0.15,0.11
215,1,-0.96,-0.15,0.11
216,1,-0.96,-0.15,0.11
218,1,-0.96,-0.15,0.11
220,1,-0.96,-0.15,0.11
221,1,-0.96,-0.15,0.11
223,1,-0.96,-0.15,0.11
225,1,-0.96,-0.15,0.11
226,1,-0.96,-0.15,0.11
228,1,-0.96,-0.15,0.11
230,1,-0.96,-0.15,0.11
231,1,-0.97,-0.15,0.13
233,1,-0.97,-0.15,0.13
235,1,-0.97,-0.15,0.13
236,1,-0.97,-0.15,0.13
238,1,-0.97,-0.15,0.13
240,1,-0.97,-0.15,0.13
241,1,-0.97,-0.16,0.12
243,1,-0.97,-0.16,0.12
245,1,-0.97,-0.16,0.12
246,1,-0.97,-0.16,0.12
248,1,-0.97,-0.16,0.12
250,1,-0.97,-0.16,0.12
251,1,-0.96,-0.17,0.1
253,1,-0.96,-0.17,0.1
255,1,-0.96,-0.17,0.1
256,1,-0.96,-0.17,0.1
258,1,-0.96,-0.17,0.1
260,1,-0.96,-0.17,0.1
262,1,-0.96,-0.19,0.08
263,1,-0.96,-0.19,0.08
265,1,-0.96,-0.19,0.08
267,1,-0.96,-0.19,0.08
268,1,-0.96,-0.19,0.08
270,1,-0.96,-0.19,0.08
271,1,-0.95,-0.2,0.04
273,1,-0.95,-0.2,0.04
275,1,-0.95,-0.2,0.04
276,1,-0.95,-0.2,0.04
278,1,-0.95,-0.2,0.04
280,1,-0.95,-0.2,-0.09
281,1,-0.93,-0.25,-0.01
283,1,-0.93,-0.25,-0.01
285,1,-0.93,-0.25,-0.01
286,1,-0.93,-0.25,-0.01
288,1,-0.93,-0.25,-0.01
290,1,-0.93,-0.28,-0.08
291,1,-0.91,-0.28,-0.08
293,1,-0.91,-0.28,-0.08
295,1,-0.91,-0.28,-0.08
296,1,-0.91,-0.28,-0.08
298,1,-0.91,-0.28,-0.08
300,1,-0.94,-0.34,-0.11
301,1,-0.94,-0.34,-0.11
303,1,-0.94,-0.34,-0.11
305,1,-0.94,-0.34,-0.11
306,1,-0.94,-0.34,-0.11
308,1,-0.94,-0.34,-0.11
310,1,-0.98,-0.36,-0.11
311,1,-0.98,-0.36,-0.11
313,1,-0.98,-0.36,-0.11
315,1,-0.98,-0.36,-0.11
316,1,-0.98,-0.36,-0.11
318,1,-0.98,-0.36,-0.11
320,1,-0.96,-0.31,-0.11
321,1,-0.96,-0.31,-0.11
323,1,-0.96,-0.31,-0.11
325,1,-0.96,-0.31,-0.11
327,1,-0.96,-0.31,-0.11
328,1,-0.96,-0.31,-0.11
330,1,-0.91,-0.29,-0.13
332,1,-0.91,-0.29,-0.13
333,1,-0.91,-0.29,-0.13
335,1,-0.91,-0.29,-0.13
337,1,-0.91,-0.29,-0.13
338,1,-0.91,-0.29,-0.01
340,1,-0.97,-0.29,-0.12
342,1,-0.97,-0.29,-0.12
343,1,-0.97,-0.29,-0.12
345,1,-0.97,-0.29,-0.12
347,1,-0.97,-0.29,-0.12
349,1,-0.99,-0.32,-0.1
350,1,-0.99,-0.32,-0.1
352,1,-0.99,-0.32,-0.1
354,1,-0.99,-0.32,-0.1
355,1,-0.99,-0.32,-0.1
357,1,-0.99,-0.32,-0.1
359,1,-0.93,-0.36,-0.2
360,1,-0.93,-0.36,-0.2
362,1,-0.93,-0.36,-0.2
364,1,-0.93,-0.36,-0.2
365,1,-0.93,-0.36,-0.2
367,1,-0.93,-0.36,-0.2
369,1,-0.93,-0.45,-0.34
371,1,-0.93,-0.45,-0.34
372,1,-0.93,-0.45,-0.34
374,1,-0.93,-0.45,-0.34
376,1,-0.93,-0.45,-0.34
377,1,-0.93,-0.45,-0.34
379,1,-0.94,-0.51,-0.54
