t,l,x,y,z
0,1,-0.98,0.05,0.04
2,1,-0.98,0.05,0.04
3,1,-0.98,0.06,0.04
5,1,-0.98,0.06,0.04
7,1,-0.98,0.06,0.04
8,1,-0.98,0.06,0.04
10,1,-0.98,0.06,0.04
12,1,-0.98,0.06,0.04
13,1,-0.98,0.06,0.04
15,1,-0.98,0.06,0.04
17,1,-0.98,0.06,0.04
18,1,-0.98,0.06,0.04
20,1,-0.98,0.06,0.04
22,1,-0.98,0.06,0.04
23,1,-0.98,0.07,0.05
25,1,-0.98,0.07,0.05
27,1,-0.98,0.07,0.05
28,1,-0.98,0.07,0.05
30,1,-0.98,0.07,0.05
32,1,-0.98,0.07,0.05
33,1,-0.98,0.05,0.05
35,1,-0.98,0.05,0.05
37,1,-0.98,0.05,0.05
38,1,-0.98,0.05,0.05
40,1,-0.98,0.05,0.05
42,1,-0.98,0.05,0.05
43,1,-0.98,0.05,0.06
45,1,-0.98,0.05,0.06
46,1,-0.98,0.05,0.06
48,1,-0.98,0.05,0.06
50,1,-0.98,0.05,0.06
51,1,-0.98,0.05,0.06
53,1,-0.98,0.05,0.07
55,1,-0.98,0.05,0.07
56,1,-0.98,0.05,0.07
58,1,-0.98,0.05,0.07
60,1,-0.98,0.05,0.07
61,1,-0.98,0.05,0.07
63,1,-0.99,0.04,0.08
65,1,-0.99,0.04,0.08
66,1,-0.99,0.04,0.08
68,1,-0.99,0.04,0.08
70,1,-0.99,0.04,0.08
71,1,-0.99,0.04,0.08
73,1,-0.98,0.04,0.08
75,1,-0.98,0.04,0.08
76,1,-0.98,0.04,0.08
78,1,-0.98,0.04,0.08
79,1,-0.98,0.04,0.08
81,1,-0.98,0.04,0.08
83,1,-0.99,0.04,0.08
84,1,-0.99,0.04,0.08
86,1,-0.99,0.04,0.08
88,1,-0.99,0.04,0.08
89,1,-0.99,0.04,0.08
91,1,-0.99,0.04,0.08
93,1,-0.98,0.04,0.08
94,1,-0.98,0.04,0.08
96,1,-0.98,0.04,0.08
98,1,-0.98,0.04,0.08
99,1,-0.98,0.04,0.08
101,1,-0.98,0.04,0.07
103,1,-0.98,0.05,0.07
104,1,-0.98,0.05,0.07
106,1,-0.98,0.05,0.07
108,1,-0.98,0.05,0.07
109,1,-0.98,0.05,0.07
111,1,-0.98,0.05,0.07
113,1,-0.98,0.05,0.07
114,1,-0.98,0.05,0.07
116,1,-0.98,0.05,0.07
118,1,-0.98,0.05,0.07
119,1,-0.98,0.05,0.07
121,1,-0.98,0.04,0.06
123,1,-0.98,0.04,0.06
124,1,-0.98,0.04,0.06
126,1,-0.98,0.04,0.06
128,1,-0.98,0.04,0.06
129,1,-0.98,0.04,0.06
131,1,-0.98,0.04,0.06
133,1,-0.98,0.04,0.06
134,1,-0.98,0.04,0.06
136,1,-0.98,0.04,0.06
138,1,-0.98,0.04,0.06
139,1,-0.98,0.04,0.06
141,1,-0.99,0.03,0.06
143,1,-0.99,0.03,0.06
144,1,-0.99,0.03,0.06
146,1,-0.99,0.03,0.06
148,1,-0.99,0.03,0.06
149,1,-0.99,0.03,0.06
151,1,-0.98,0.04,0.07
153,1,-0.98,0.04,0.07
154,1,-0.98,0.04,0.07
156,1,-0.98,0.04,0.07
158,1,-0.98,0.04,0.07
159,1,-0.98,0.04,0.07
161,1,-0.99,0.04,0.06
163,1,-0.99,0.04,0.06
164,1,-0.99,0.04,0.06
166,1,-0.99,0.04,0.06
168,1,-0.99,0.04,0.06
169,1,-0.99,0.04,0.06
171,1,-0.99,0.04,0.06
173,1,-0.99,0.04,0.06
174,1,-0.99,0.04,0.06
176,1,-0.99,0.04,0.06
178,1,-0.99,0.04,0.06
179,1,-0.99,0.05,0.05
181,1,-0.98,0.05,0.05
183,1,-0.98,0.05,0.05
184,1,-0.98,0.05,0.05
186,1,-0.98,0.05,0.05
187,1,-0.98,0.05,0.05
189,1,-0.98,0.05,0.06
191,1,-0.98,0.05,0.06
192,1,-0.98,0.05,0.06
194,1,-0.98,0.05,0.06
196,1,-0.98,0.05,0.06
197,1,-0.98,0.05,0.06
199,1,-0.98,0.06,0.05
201,1,-0.98,0.06,0.05
202,1,-0.98,0.06,0.05
204,1,-0.98,0.06,0.05
206,1,-0.98,0.06,0.05
207,1,-0.98,0.06,0.05
209,1,-0.98,0.05,0.05
211,1,-0.98,0.05,0.05
212,1,-0.98,0.05,0.05
214,1,-0.98,0.05,0.05
216,1,-0.98,0.05,0.05
217,1,-0.98,0.05,0.05
219,1,-0.99,0.05,0.05
221,1,-0.99,0.05,0.05
222,1,-0.99,0.05,0.05
224,1,-0.99,0.05,0.05
226,1,-0.99,0.05,0.05
227,1,-0.99,0.05,0.05
229,1,-0.98,0.04,0.05
231,1,-0.98,0.04,0.05
232,1,-0.98,0.04,0.05
234,1,-0.98,0.04,0.05
236,1,-0.98,0.04,0.05
237,1,-0.98,0.04,0.05
239,1,-0.98,0.03,0.07
241,1,-0.98,0.03,0.07
242,1,-0.98,0.03,0.07
244,1,-0.98,0.03,0.07
246,1,-0.98,0.03,0.07
247,1,-0.98,0.03,0.07
249,1,-0.99,0.02,0.08
251,1,-0.99,0.02,0.08
252,1,-0.99,0.02,0.08
254,1,-0.99,0.02,0.08
256,1,-0.99,0.02,0.08
257,1,-0.99,0.02,0.09
259,1,-1.0,0.01,0.09
261,1,-1.0,0.01,0.09
262,1,-1.0,0.01,0.09
264,1,-1.0,0.01,0.09
265,1,-1.0,0.01,0.09
267,1,-1.0,0.01,0.1
269,1,-0.99,0.0,0.1
270,1,-0.99,0.0,0.1
272,1,-0.99,0.0,0.1
274,1,-0.99,0.0,0.1
275,1,-0.99,0.0,0.1
277,1,-0.99,-0.0,0.1
279,1,-1.0,-0.0,0.1
280,1,-1.0,-0.0,0.1
282,1,-1.0,-0.0,0.1
284,1,-1.0,-0.0,0.1
285,1,-1.0,-0.0,0.1
287,1,-1.01,-0.01,0.1
289,1,-1.01,-0.01,0.1
290,1,-1.01,-0.01,0.1
292,1,-1.01,-0.01,0.1
294,1,-1.01,-0.01,0.1
295,1,-1.01,-0.01,0.1
297,1,-1.06,-0.04,0.17
299,1,-1.06,-0.04,0.17
300,1,-1.06,-0.04,0.17
302,1,-1.06,-0.04,0.17
304,1,-1.06,-0.04,0.17
305,1,-1.06,-0.04,0.17
307,1,-1.11,-0.08,0.26
309,1,-1.11,-0.08,0.26
310,1,-1.11,-0.08,0.26
312,1,-1.11,-0.08,0.26
314,1,-1.11,-0.08,0.26
315,1,-1.11,-0.08,0.26
317,1,-1.18,-0.16,0.33
319,1,-1.18,-0.16,0.33
320,1,-1.18,-0.16,0.33
322,1,-1.18,-0.16,0.33
324,1,-1.18,-0.16,0.33
325,1,-1.18,-0.16,0.33
327,1,-1.31,-0.19,0.45
329,1,-1.31,-0.19,0.45
331,1,-1.31,-0.19,0.45
332,1,-1.31,-0.19,0.45
334,1,-1.31,-0.19,0.45
336,1,-1.31,-0.18,0.44
337,1,-1.37,-0.18,0.44
339,1,-1.37,-0.18,0.44
341,1,-1.37,-0.18,0.44
342,1,-1.37,-0.18,0.44
344,1,-1.37,-0.18,0.44
346,1,-1.38,-0.07,0.48
347,1,-1.38,-0.07,0.48
349,1,-1.38,-0.07,0.48
351,1,-1.38,-0.07,0.48
352,1,-1.38,-0.07,0.48
354,1,-1.38,-0.07,0.48
356,1,-1.35,0.17,0.4
357,1,-1.35,0.17,0.4
359,1,-1.35,0.17,0.4
361,1,-1.35,0.17,0.4
363,1,-1.35,0.17,0.4
364,1,-1.35,0.17,0.4
366,1,-1.14,0.28,0.26
368,1,-1.14,0.28,0.26
369,1,-1.14,0.28,0.26
371,1,-1.14,0.28,0.26
373,1,-1.14,0.28,0.26
374,1,-1.14,0.28,0.26
376,1,-0.84,0.39,0.06
378,1,-0.84,0.39,0.06
379,1,-0.84,0.39,0.06
381,1,-0.84,0.39,0.06
383,1,-0.84,0.39,0.06
384,1,-0.84,0.39,0.04
386,1,-0.67,0.54,0.04
388,1,-0.67,0.54,0.04
389,1,-0.67,0.54,0.04
