t,l,x,y,z
0,1,-0.96,-0.21,0.08
1,1,-0.96,-0.21,0.08
3,1,-0.96,-0.21,0.08
5,1,-0.97,-0.21,0.08
6,1,-0.97,-0.21,0.08
8,1,-0.97,-0.21,0.08
10,1,-0.97,-0.21,0.08
11,1,-0.97,-0.21,0.08
13,1,-0.97,-0.19,0.08
15,1,-0.96,-0.19,0.08
16,1,-0.96,-0.19,0.08
18,1,-0.96,-0.19,0.08
20,1,-0.96,-0.19,0.08
21,1,-0.96,-0.19,0.08
23,1,-0.95,-0.18,0.08
25,1,-0.95,-0.18,0.08
26,1,-0.95,-0.18,0.08
28,1,-0.95,-0.18,0.08
30,1,-0.95,-0.18,0.08
31,1,-0.95,-0.18,0.08
33,1,-0.94,-0.17,0.07
35,1,-0.94,-0.17,0.07
36,1,-0.94,-0.17,0.07
38,1,-0.94,-0.17,0.07
40,1,-0.94,-0.17,0.07
41,1,-0.94,-0.17,0.07
43,1,-0.96,-0.18,0.06
45,1,-0.96,-0.18,0.06
46,1,-0.96,-0.18,0.06
48,1,-0.96,-0.18,0.06
50,1,-0.96,-0.18,0.06
51,1,-0.96,-0.18,0.06
53,1,-0.97,-0.19,0.05
55,1,-0.97,-0.19,0.05
56,1,-0.97,-0.19,0.05
58,1,-0.97,-0.19,0.05
60,1,-0.97,-0.19,0.05
61,1,-0.97,-0.19,0.05
63,1,-0.98,-0.2,0.06
65,1,-0.98,-0.2,0.06
66,1,-0.98,-0.2,0.06
68,1,-0.98,-0.2,0.06
70,1,-0.98,-0.2,0.06
71,1,-0.98,-0.2,0.06
73,1,-0.96,-0.18,0.06
75,1,-0.96,-0.18,0.06
76,1,-0.96,-0.18,0.06
78,1,-0.96,-0.18,0.06
80,1,-0.96,-0.18,0.06
81,1,-0.96,-0.18,0.05
83,1,-0.95,-0.18,0.05
85,1,-0.95,-0.18,0.05
86,1,-0.95,-0.18,0.05
88,1,-0.95,-0.18,0.05
90,1,-0.95,-0.18,0.05
91,1,-0.95,-0.18,0.05
93,1,-0.95,-0.18,0.05
95,1,-0.95,-0.18,0.05
96,1,-0.95,-0.18,0.05
98,1,-0.95,-0.18,0.05
100,1,-0.95,-0.18,0.05
101,1,-0.95,-0.18,0.05
103,1,-0.95,-0.18,0.05
105,1,-0.95,-0.18,0.05
106,1,-0.95,-0.18,0.05
108,1,-0.95,-0.18,0.05
110,1,-0.95,-0.18,0.05
111,1,-0.96,-0.18,0.09
113,1,-0.96,-0.18,0.09
115,1,-0.96,-0.18,0.09
116,1,-0.96,-0.18,0.09
118,1,-0.96,-0.18,0.09
120,1,-0.96,-0.18,0.09
121,1,-0.97,-0.2,0.1
123,1,-0.97,-0.2,0.1
125,1,-0.97,-0.2,0.1
126,1,-0.97,-0.2,0.1
128,1,-0.97,-0.2,0.1
130,1,-0.97,-0.2,0.1
131,1,-0.97,-0.21,0.11
133,1,-0.97,-0.21,0.11
135,1,-0.97,-0.21,0.11
136,1,-0.97,-0.21,0.11
138,1,-0.97,-0.21,0.11
140,1,-0.97,-0.21,0.11
141,1,-0.97,-0.21,0.12
143,1,-0.97,-0.21,0.12
145,1,-0.97,-0.21,0.12
146,1,-0.97,-0.21,0.12
148,1,-0.97,-0.21,0.12
150,1,-0.97,-0.21,0.11
151,1,-0.97,-0.21,0.11
153,1,-0.97,-0.21,0.11
155,1,-0.97,-0.21,0.11
156,1,-0.97,-0.21,0.11
158,1,-0.97,-0.21,0.11
160,1,-0.96,-0.2,0.1
161,1,-0.96,-0.2,0.1
163,1,-0.96,-0.2,0.1
165,1,-0.96,-0.2,0.1
166,1,-0.96,-0.2,0.1
168,1,-0.96,-0.2,0.1
170,1,-0.96,-0.2,0.1
171,1,-0.96,-0.2,0.1
173,1,-0.96,-0.2,0.1
175,1,-0.96,-0.2,0.1
176,1,-0.96,-0.2,0.1
178,1,-0.96,-0.2,0.1
180,1,-0.96,-0.19,0.09
181,1,-0.96,-0.19,0.09
183,1,-0.96,-0.19,0.09
185,1,-0.96,-0.19,0.09
186,1,-0.96,-0.19,0.09
188,1,-0.96,-0.19,0.09
190,1,-0.96,-0.17,0.09
191,1,-0.96,-0.17,0.09
193,1,-0.96,-0.17,0.09
195,1,-0.96,-0.17,0.09
196,1,-0.96,-0.17,0.09
198,1,-0.96,-0.17,0.09
200,1,-0.96,-0.17,0.08
201,1,-0.96,-0.17,0.08
203,1,-0.96,-0.17,0.08
205,1,-0.96,-0.17,0.08
206,1,-0.96,-0.17,0.08
208,1,-0.96,-0.17,0.08
210,1,-0.96,-0.18,0.07
211,1,-0.96,-0.18,0.07
213,1,-0.96,-0.18,0.07
215,1,-0.96,-0.18,0.07
216,1,-0.96,-0.18,0.07
218,1,-0.96,-0.18,0.08
220,1,-0.96,-0.18,0.08
221,1,-0.96,-0.18,0.08
223,1,-0.96,-0.18,0.08
225,1,-0.96,-0.18,0.08
226,1,-0.96,-0.18,0.08
228,1,-0.96,-0.2,0.08
230,1,-0.96,-0.2,0.08
231,1,-0.96,-0.2,0.08
233,1,-0.96,-0.2,0.08
235,1,-0.96,-0.2,0.08
236,1,-0.96,-0.2,0.08
238,1,-0.96,-0.19,0.08
240,1,-0.96,-0.19,0.08
241,1,-0.96,-0.19,0.08
243,1,-0.96,-0.19,0.08
245,1,-0.96,-0.19,0.08
246,1,-0.96,-0.19,0.08
248,1,-0.96,-0.19,0.09
250,1,-0.96,-0.19,0.09
251,1,-0.96,-0.19,0.09
253,1,-0.96,-0.19,0.09
255,1,-0.96,-0.19,0.09
256,1,-0.96,-0.19,0.09
258,1,-0.96,-0.18,0.1
260,1,-0.96,-0.18,0.1
261,1,-0.96,-0.18,0.1
263,1,-0.96,-0.18,0.1
265,1,-0.96,-0.18,0.1
266,1,-0.96,-0.18,0.1
268,1,-0.95,-0.19,0.13
270,1,-0.95,-0.19,0.13
271,1,-0.95,-0.19,0.13
273,1,-0.95,-0.19,0.13
275,1,-0.95,-0.19,0.13
276,1,-0.95,-0.19,0.13
278,1,-0.96,-0.19,0.14
280,1,-0.96,-0.19,0.14
281,1,-0.96,-0.19,0.14
283,1,-0.96,-0.19,0.14
285,1,-0.96,-0.19,0.14
287,1,-0.95,-0.19,0.13
288,1,-0.95,-0.19,0.13
290,1,-0.95,-0.19,0.13
292,1,-0.95,-0.19,0.13
293,1,-0.95,-0.19,0.13
295,1,-0.95,-0.19,0.13
297,1,-0.95,-0.2,0.11
298,1,-0.95,-0.2,0.11
300,1,-0.95,-0.2,0.11
302,1,-0.95,-0.2,0.11
303,1,-0.95,-0.2,0.11
305,1,-0.95,-0.2,0.11
307,1,-0.97,-0.2,0.09
308,1,-0.97,-0.2,0.09
310,1,-0.97,-0.2,0.09
312,1,-0.97,-0.2,0.09
313,1,-0.97,-0.2,0.09
315,1,-0.97,-0.2,0.09
317,1,-0.97,-0.2,0.09
318,1,-0.97,-0.2,0.09
320,1,-0.97,-0.2,0.09
322,1,-0.97,-0.2,0.09
323,1,-0.97,-0.2,0.09
325,1,-0.97,-0.2,0.09
327,1,-0.96,-0.2,0.08
328,1,-0.96,-0.2,0.08
330,1,-0.96,-0.2,0.08
332,1,-0.96,-0.2,0.08
333,1,-0.96,-0.2,0.08
335,1,-0.96,-0.2,0.08
337,1,-0.97,-0.21,0.07
338,1,-0.97,-0.21,0.07
340,1,-0.97,-0.21,0.07
342,1,-0.97,-0.21,0.07
343,1,-0.97,-0.21,0.07
345,1,-0.97,-0.21,0.07
347,1,-0.96,-0.19,0.07
348,1,-0.96,-0.19,0.07
350,1,-0.96,-0.19,0.07
352,1,-0.96,-0.19,0.07
353,1,-0.96,-0.19,0.07
355,1,-0.96,-0.2,0.08
357,1,-0.96,-0.2,0.08
358,1,-0.96,-0.2,0.08
360,1,-0.96,-0.2,0.08
362,1,-0.96,-0.2,0.08
363,1,-0.96,-0.2,0.08
365,1,-0.97,-0.19,0.08
367,1,-0.97,-0.19,0.08
368,1,-0.97,-0.19,0.08
370,1,-0.97,-0.19,0.08
372,1,-0.97,-0.19,0.08
373,1,-0.97,-0.19,0.08
375,1,-0.95,-0.19,0.08
377,1,-0.95,-0.19,0.08
378,1,-0.95,-0.19,0.08
380,1,-0.95,-0.19,0.08
382,1,-0.95,-0.19,0.08
383,1,-0.95,-0.19,0.08
385,1,-0.95,-0.19,0.09
387,1,-0.95,-0.19,0.09
388,1,-0.95,-0.19,0.09
390,1,-0.95,-0.19,0.09
392,1,-0.95,-0.19,0.09
393,1,-0.95,-0.19,0.09
395,1,-0.96,-0.19,0.09
397,1,-0.96,-0.19,0.09
398,1,-0.96,-0.19,0.09
400,1,-0.96,-0.19,0.09
402,1,-0.96,-0.19,0.09
403,1,-0.96,-0.19,0.09
405,1,-0.96,-0.17,0.08
407,1,-0.96,-0.17,0.08
408,1,-0.96,-0.17,0.08
410,1,-0.96,-0.17,0.08
412,1,-0.96,-0.17,0.08
413,1,-0.96,-0.17,0.08
415,1,-0.94,-0.15,0.08
417,1,-0.94,-0.15,0.08
418,1,-0.94,-0.15,0.08
420,1,-0.94,-0.15,0.08
422,1,-0.94,-0.15,0.08
423,1,-0.97,-0.14,0.11
425,1,-0.97,-0.14,0.11
427,1,-0.97,-0.14,0.11
428,1,-0.97,-0.14,0.11
430,1,-0.97,-0.14,0.11
432,1,-0.97,-0.14,0.11
433,1,-0.99,-0.12,0.11
435,1,-0.99,-0.12,0.11
437,1,-0.99,-0.12,0.11
439,1,-0.99,-0.12,0.11
440,1,-0.99,-0.12,0.11
442,1,-0.99,-0.12,0.11
444,1,-0.98,-0.09,0.1
445,1,-0.98,-0.09,0.1
447,1,-0.98,-0.09,0.1
449,1,-0.98,-0.09,0.1
450,1,-0.98,-0.09,0.1
452,1,-0.98,-0.09,0.1
454,1,-1.0,-0.09,0.1
455,1,-1.0,-0.09,0.1
457,1,-1.0,-0.09,0.1
459,1,-1.0,-0.09,0.1
460,1,-1.0,-0.09,0.1
462,1,-1.0,-0.09,0.1
464,1,-1.05,-0.11,0.06
465,1,-1.05,-0.11,0.06
467,1,-1.05,-0.11,0.06
469,1,-1.05,-0.11,0.06
470,1,-1.05,-0.11,0.06
472,1,-1.05,-0.24,-0.06
474,1,-1.14,-0.19,-0.06
475,1,-1.14,-0.19,-0.06
477,1,-1.14,-0.19,-0.06
479,1,-1.14,-0.19,-0.06
480,1,-1.14,-0.19,-0.06
482,1,-1.23,-0.24,-0.22
484,1,-1.23,-0.24,-0.22
485,1,-1.23,-0.24,-0.22
487,1,-1.23,-0.24,-0.22
489,1,-1.23,-0.24,-0.22
490,1,-1.23,-0.24,-0.22
492,1,-1.45,-0.32,-0.37
494,1,-1.45,-0.32,-0.37
496,1,-1.45,-0.32,-0.37
497,1,-1.45,-0.32,-0.37
499,1,-1.45,-0.32,-0.37
501,1,-1.45,-0.32,-0.37
502,1,-1.79,-0.43,-0.55
504,1,-1.79,-0.43,-0.55
506,1,-1.79,-0.43,-0.55
507,1,-1.79,-0.43,-0.55
509,1,-1.79,-0.43,-0.55
511,1,-1.79,-0.43,-0.9
513,1,-2.18,-0.46,-0.9
514,1,-2.18,-0.46,-0.9
516,1,-2.18,-0.46,-0.9
518,1,-2.18,-0.46,-0.9
519,1,-2.18,-0.46,-0.9
521,1,-2.55,-0.64,-1.23
523,1,-2.55,-0.64,-1.23
524,1,-2.55,-0.64,-1.23
526,1,-2.55,-0.64,-1.23
528,1,-2.55,-0.64,-1.23
529,1,-2.55,-0.64,-1.23
531,1,-2.67,-0.72,-1.53
533,1,-2.67,-0.72,-1.53
535,1,-2.67,-0.72,-1.53
536,1,-2.67,-0.72,-1.53
538,1,-2.67,-0.72,-1.53
540,1,-2.67,-0.72,-1.53
541,1,-2.51,-0.59,-1.76
543,1,-2.51,-0.59,-1.76
545,1,-2.51,-0.59,-1.76
546,1,-2.51,-0.59,-1.76
548,1,-2.51,-0.59,-1.76
550,1,-2.51,-0.59,-1.76
552,1,-2.2,-0.37,-1.79
553,1,-2.2,-0.37,-1.79
555,1,-2.2,-0.37,-1.79
557,1,-2.2,-0.37,-1.79
558,1,-2.2,-0.37,-1.79
560,1,-1.79,-0.15,-1.7
562,1,-1.79,-0.15,-1.7
563,1,-1.79,-0.15,-1.7
565,1,-1.79,-0.15,-1.7
567,1,-1.79,-0.15,-1.7
569,1,-1.79,-0.15,-1.7
570,1,-1.37,0.08,-1.5
572,1,-1.37,0.08,-1.5
574,1,-1.37,0.08,-1.5
575,1,-1.37,0.08,-1.5
577,1,-1.37,0.08,-1.5
579,1,-1.37,0.08,-1.5
580,1,-0.94,0.28,-1.22
582,1,-0.94,0.28,-1.22
584,1,-0.94,0.28,-1.22
585,1,-0.94,0.28,-1.22
587,1,-0.94,0.28,-1.22
589,1,-0.94,0.28,-1.22
590,1,-0.63,0.41,-0.89
592,1,-0.63,0.41,-0.89
594,1,-0.63,0.41,-0.89
595,1,-0.63,0.41,-0.89
597,1,-0.63,0.41,-0.89
599,1,-0.63,0.41,-0.52
600,1,-0.39,0.43,-0.57
602,1,-0.39,0.43,-0.57
604,1,-0.39,0.43,-0.57
605,1,-0.39,0.43,-0.57
607,1,-0.39,0.43,-0.57
609,1,-0.26,0.37,-0.37
610,1,-0.28,0.37,-0.37
612,1,-0.28,0.37,-0.37
614,1,-0.28,0.37,-0.37
616,1,-0.28,0.37,-0.37
617,1,-0.28,0.37,-0.37
619,1,-0.27,0.38,-0.17
621,1,-0.27,0.38,-0.17
622,1,-0.27,0.38,-0.17
624,1,-0.27,0.38,-0.17
626,1,-0.27,0.38,-0.17
627,1,-0.27,0.38,-0.17
629,1,-0.24,0.36,-0.01
631,1,-0.24,0.36,-0.01
632,1,-0.24,0.36,-0.01
634,1,-0.24,0.36,-0.01
636,1,-0.24,0.36,-0.01
637,1,-0.24,0.36,-0.01
639,1,-0.24,0.29,0.09
641,1,-0.24,0.29,0.09
642,1,-0.24,0.29,0.09
644,1,-0.24,0.29,0.09
645,1,-0.24,0.29,0.09
647,1,-0.24,0.29,0.09
649,1,-0.16,0.21,0.19
650,1,-0.16,0.21,0.19
652,1,-0.16,0.21,0.19
654,1,-0.16,0.21,0.19
656,1,-0.16,0.21,0.19
657,1,-0.16,0.21,0.19
659,1,-0.07,0.18,0.24
661,1,-0.07,0.18,0.24
662,1,-0.07,0.18,0.24
664,1,-0.07,0.18,0.24
666,1,-0.07,0.18,0.24
667,1,-0.07,0.16,0.28
669,1,0.02,0.16,0.28
671,1,0.02,0.16,0.28
672,1,0.02,0.16,0.28
674,1,0.02,0.16,0.28
676,1,0.02,0.16,0.28
677,1,0.11,0.19,0.31
679,1,0.11,0.19,0.31
681,1,0.11,0.19,0.31
682,1,0.11,0.19,0.31
684,1,0.11,0.19,0.31
686,1,0.11,0.19,0.31
687,1,0.24,0.23,0.36
689,1,0.24,0.23,0.36
691,1,0.24,0.23,0.36
692,1,0.24,0.23,0.36
694,1,0.24,0.23,0.36
696,1,0.24,0.23,0.36
697,1,0.46,0.27,0.46
699,1,0.46,0.27,0.46
701,1,0.46,0.27,0.46
702,1,0.46,0.27,0.46
704,1,0.46,0.27,0.46
706,1,0.46,0.27,0.46
707,1,0.78,0.31,0.66
709,1,0.78,0.31,0.66
711,1,0.78,0.31,0.66
712,1,0.78,0.31,0.66
714,1,0.78,0.31,0.66
