t,l,x,y,z
0,1,-0.98,0.09,0.05
1,1,-0.98,0.09,0.05
3,1,-0.98,0.09,0.05
5,1,-0.98,0.09,0.05
6,1,-0.99,0.08,0.06
8,1,-0.99,0.08,0.06
9,1,-0.99,0.08,0.06
11,1,-0.99,0.08,0.06
13,1,-0.99,0.08,0.06
14,1,-0.99,0.08,0.06
16,1,-0.99,0.07,0.07
18,1,-0.99,0.07,0.07
19,1,-0.99,0.07,0.07
21,1,-0.99,0.07,0.07
23,1,-0.99,0.07,0.07
24,1,-0.99,0.07,0.07
26,1,-0.98,0.07,0.06
28,1,-0.98,0.07,0.06
29,1,-0.98,0.07,0.06
31,1,-0.98,0.07,0.06
33,1,-0.98,0.07,0.06
34,1,-0.98,0.07,0.06
36,1,-0.98,0.09,0.05
38,1,-0.98,0.09,0.05
39,1,-0.98,0.09,0.05
41,1,-0.98,0.09,0.05
43,1,-0.98,0.09,0.05
44,1,-0.98,0.09,0.05
46,1,-0.98,0.1,0.04
48,1,-0.98,0.1,0.04
49,1,-0.98,0.1,0.04
51,1,-0.98,0.1,0.04
53,1,-0.98,0.1,0.04
54,1,-0.98,0.11,0.03
56,1,-0.97,0.11,0.03
57,1,-0.97,0.11,0.03
59,1,-0.97,0.11,0.03
61,1,-0.97,0.11,0.03
62,1,-0.97,0.11,0.03
64,1,-0.97,0.12,0.02
66,1,-0.98,0.12,0.02
67,1,-0.98,0.12,0.02
69,1,-0.98,0.12,0.02
71,1,-0.98,0.12,0.02
72,1,-0.98,0.12,0.02
74,1,-0.98,0.13,0.02
75,1,-0.96,0.13,0.02
77,1,-0.96,0.13,0.02
79,1,-0.96,0.13,0.02
81,1,-0.96,0.13,0.02
82,1,-0.96,0.13,0.02
84,1,-0.97,0.13,0.01
85,1,-0.97,0.13,0.01
87,1,-0.97,0.13,0.01
89,1,-0.97,0.13,0.01
90,1,-0.97,0.13,0.01
92,1,-0.97,0.13,0.01
94,1,-0.96,0.13,0.01
95,1,-0.96,0.13,0.01
97,1,-0.96,0.13,0.01
99,1,-0.96,0.13,0.01
100,1,-0.96,0.13,0.01
102,1,-0.96,0.13,0.01
104,1,-0.96,0.14,0.01
105,1,-0.96,0.14,0.01
107,1,-0.96,0.14,0.01
109,1,-0.96,0.14,0.01
110,1,-0.96,0.14,0.01
112,1,-0.96,0.14,0.01
113,1,-0.97,0.14,0.02
115,1,-0.97,0.14,0.02
117,1,-0.97,0.14,0.02
118,1,-0.97,0.14,0.02
120,1,-0.97,0.14,0.02
122,1,-0.97,0.14,0.02
123,1,-0.97,0.12,0.02
125,1,-0.97,0.12,0.02
127,1,-0.97,0.12,0.02
128,1,-0.97,0.12,0.02
130,1,-0.97,0.12,0.02
132,1,-0.97,0.12,0.02
133,1,-0.97,0.11,0.03
135,1,-0.97,0.11,0.03
137,1,-0.97,0.11,0.03
138,1,-0.97,0.11,0.03
140,1,-0.97,0.11,0.03
142,1,-0.97,0.11,0.03
143,1,-0.99,0.1,0.04
145,1,-0.99,0.1,0.04
147,1,-0.99,0.1,0.04
148,1,-0.99,0.1,0.04
150,1,-0.99,0.1,0.04
152,1,-0.99,0.1,0.04
153,1,-0.98,0.1,0.04
155,1,-0.98,0.1,0.04
157,1,-0.98,0.1,0.04
158,1,-0.98,0.1,0.04
160,1,-0.98,0.1,0.04
161,1,-0.98,0.1,0.04
163,1,-0.98,0.1,0.04
165,1,-0.98,0.1,0.04
167,1,-0.98,0.1,0.04
168,1,-0.98,0.1,0.04
170,1,-0.98,0.1,0.04
171,1,-0.98,0.09,0.05
173,1,-0.99,0.09,0.05
175,1,-0.99,0.09,0.05
177,1,-0.99,0.09,0.05
178,1,-0.99,0.09,0.05
180,1,-0.99,0.09,0.05
182,1,-0.98,0.09,0.06
183,1,-0.98,0.09,0.06
185,1,-0.98,0.09,0.06
187,1,-0.98,0.09,0.06
188,1,-0.98,0.09,0.06
