t,l,x,y,z
0,1,-0.98,-0.06,0.07
1,1,-0.98,-0.06,0.07
3,1,-0.98,-0.06,0.07
5,1,-0.99,-0.06,0.09
6,1,-0.99,-0.06,0.09
8,1,-0.99,-0.06,0.09
10,1,-0.99,-0.06,0.09
11,1,-0.99,-0.06,0.09
13,1,-0.99,-0.06,0.09
15,1,-0.98,-0.05,0.09
16,1,-0.98,-0.05,0.09
18,1,-0.98,-0.05,0.09
20,1,-0.98,-0.05,0.09
21,1,-0.98,-0.05,0.09
23,1,-0.98,-0.05,0.09
25,1,-0.98,-0.04,0.11
26,1,-0.98,-0.04,0.11
28,1,-0.98,-0.04,0.11
30,1,-0.98,-0.04,0.11
31,1,-0.98,-0.04,0.11
33,1,-0.98,-0.04,0.11
35,1,-0.98,-0.02,0.12
36,1,-0.98,-0.02,0.12
38,1,-0.98,-0.02,0.12
40,1,-0.98,-0.02,0.12
41,1,-0.98,-0.02,0.12
43,1,-0.98,-0.02,0.15
45,1,-0.99,0.0,0.15
46,1,-0.99,0.0,0.15
48,1,-0.99,0.0,0.15
50,1,-0.99,0.0,0.15
51,1,-0.99,0.0,0.15
53,1,-1.12,0.01,0.17
55,1,-1.0,0.01,0.17
56,1,-1.0,0.01,0.17
58,1,-1.0,0.01,0.17
60,1,-1.0,0.01,0.17
61,1,-1.0,0.01,0.17
63,1,-1.01,0.01,0.18
65,1,-1.01,0.01,0.18
66,1,-1.01,0.01,0.18
68,1,-1.01,0.01,0.18
70,1,-1.01,0.01,0.18
71,1,-1.01,0.01,0.18
73,1,-0.98,0.02,0.18
75,1,-0.98,0.02,0.18
76,1,-0.98,0.02,0.18
78,1,-0.98,0.02,0.18
80,1,-0.98,0.02,0.18
81,1,-0.98,0.02,0.18
83,1,-0.95,0.05,0.18
85,1,-0.95,0.05,0.18
86,1,-0.95,0.05,0.18
88,1,-0.95,0.05,0.18
90,1,-0.95,0.05,0.18
92,1,-0.95,0.05,0.18
93,1,-0.94,0.06,0.19
95,1,-0.94,0.06,0.19
96,1,-0.94,0.06,0.19
98,1,-0.94,0.06,0.19
100,1,-0.94,0.06,0.19
102,1,-0.94,0.06,0.19
103,1,-0.95,0.05,0.19
105,1,-0.95,0.05,0.19
107,1,-0.95,0.05,0.19
108,1,-0.95,0.05,0.19
110,1,-0.95,0.05,0.19
112,1,-0.95,0.02,0.16
113,1,-0.95,0.02,0.16
115,1,-0.95,0.02,0.16
117,1,-0.95,0.02,0.16
118,1,-0.95,0.02,0.16
120,1,-0.95,0.02,0.16
122,1,-0.96,0.01,0.14
123,1,-0.96,0.01,0.14
125,1,-0.96,0.01,0.14
127,1,-0.96,0.01,0.14
128,1,-0.96,0.01,0.14
130,1,-0.96,0.01,0.14
132,1,-0.97,-0.02,0.13
133,1,-0.97,-0.02,0.13
135,1,-0.97,-0.02,0.13
137,1,-0.97,-0.02,0.13
138,1,-0.97,-0.02,0.13
140,1,-0.97,-0.02,0.13
142,1,-0.96,-0.05,0.13
143,1,-0.96,-0.05,0.13
145,1,-0.96,-0.05,0.13
147,1,-0.96,-0.05,0.13
148,1,-0.96,-0.05,0.13
150,1,-0.96,-0.05,0.13
152,1,-0.98,-0.06,0.13
153,1,-0.98,-0.06,0.13
155,1,-0.98,-0.06,0.13
157,1,-0.98,-0.06,0.13
158,1,-0.98,-0.06,0.13
160,1,-0.98,-0.06,0.13
162,1,-0.99,-0.07,0.13
163,1,-0.99,-0.07,0.13
165,1,-0.99,-0.07,0.13
167,1,-0.99,-0.07,0.13
168,1,-0.99,-0.07,0.13
170,1,-0.99,-0.07,0.13
172,1,-0.99,-0.08,0.13
173,1,-0.99,-0.08,0.13
175,1,-0.99,-0.08,0.13
177,1,-0.99,-0.08,0.13
178,1,-0.99,-0.08,0.13
180,1,-1.12,-0.07,0.15
182,1,-1.0,-0.07,0.15
183,1,-1.0,-0.07,0.15
185,1,-1.0,-0.07,0.15
187,1,-1.0,-0.07,0.15
188,1,-1.0,-0.07,0.15
190,1,-0.98,-0.08,0.16
192,1,-0.98,-0.08,0.16
193,1,-0.98,-0.08,0.16
195,1,-0.98,-0.08,0.16
197,1,-0.98,-0.08,0.16
198,1,-0.98,-0.08,0.16
200,1,-0.94,-0.05,0.14
202,1,-0.94,-0.05,0.14
203,1,-0.94,-0.05,0.14
205,1,-0.94,-0.05,0.14
207,1,-0.94,-0.05,0.14
208,1,-0.94,-0.05,0.14
210,1,-0.95,-0.06,0.15
212,1,-0.95,-0.06,0.15
213,1,-0.95,-0.06,0.15
215,1,-0.95,-0.06,0.15
217,1,-0.95,-0.06,0.15
218,1,-0.95,-0.06,0.15
220,1,-0.95,-0.08,0.13
222,1,-0.95,-0.08,0.13
223,1,-0.95,-0.08,0.13
225,1,-0.95,-0.08,0.13
227,1,-0.95,-0.08,0.13
228,1,-0.95,-0.08,0.13
230,1,-0.96,-0.08,0.1
232,1,-0.96,-0.08,0.1
233,1,-0.96,-0.08,0.1
235,1,-0.96,-0.08,0.1
237,1,-0.96,-0.08,0.1
238,1,-0.96,-0.08,0.1
240,1,-0.96,-0.09,0.09
242,1,-0.96,-0.09,0.09
243,1,-0.96,-0.09,0.09
245,1,-0.96,-0.09,0.09
247,1,-0.96,-0.09,0.09
248,1,-0.96,-0.09,0.08
250,1,-0.96,-0.1,0.08
252,1,-0.96,-0.1,0.08
253,1,-0.96,-0.1,0.08
255,1,-0.96,-0.1,0.08
257,1,-0.96,-0.1,0.08
258,1,-0.97,-0.11,0.08
260,1,-0.97,-0.11,0.08
262,1,-0.97,-0.11,0.08
263,1,-0.97,-0.11,0.08
265,1,-0.97,-0.11,0.08
267,1,-0.97,-0.11,0.08
268,1,-0.99,-0.13,0.09
270,1,-0.99,-0.13,0.09
272,1,-0.99,-0.13,0.09
273,1,-0.99,-0.13,0.09
275,1,-0.99,-0.13,0.09
277,1,-0.99,-0.13,0.09
278,1,-0.98,-0.12,0.12
280,1,-0.98,-0.12,0.12
282,1,-0.98,-0.12,0.12
283,1,-0.98,-0.12,0.12
285,1,-0.98,-0.12,0.12
287,1,-0.98,-0.12,0.12
288,1,-0.98,-0.1,0.14
290,1,-0.98,-0.1,0.14
292,1,-0.98,-0.1,0.14
293,1,-0.98,-0.1,0.14
295,1,-0.98,-0.1,0.14
297,1,-0.98,-0.1,0.14
299,1,-0.97,-0.09,0.14
300,1,-0.97,-0.09,0.14
302,1,-0.97,-0.09,0.14
304,1,-0.97,-0.09,0.14
305,1,-0.97,-0.09,0.14
307,1,-0.97,-0.09,0.15
309,1,-0.97,-0.09,0.15
310,1,-0.97,-0.09,0.15
312,1,-0.97,-0.09,0.15
314,1,-0.97,-0.09,0.15
315,1,-0.97,-0.09,0.15
317,1,-0.97,-0.08,0.16
318,1,-0.97,-0.08,0.16
320,1,-0.97,-0.08,0.16
322,1,-0.97,-0.08,0.16
323,1,-0.97,-0.08,0.16
325,1,-0.97,-0.08,0.16
327,1,-0.97,-0.08,0.16
329,1,-0.97,-0.08,0.16
330,1,-0.97,-0.08,0.16
332,1,-0.97,-0.08,0.16
334,1,-0.97,-0.08,0.16
335,1,-0.97,-0.08,0.16
337,1,-0.98,-0.08,0.15
339,1,-0.98,-0.08,0.15
340,1,-0.98,-0.08,0.15
342,1,-0.98,-0.08,0.15
344,1,-0.98,-0.08,0.15
345,1,-0.98,-0.08,0.15
347,1,-0.98,-0.07,0.14
349,1,-0.98,-0.07,0.14
350,1,-0.98,-0.07,0.14
352,1,-0.98,-0.07,0.14
354,1,-0.98,-0.07,0.14
355,1,-0.98,-0.07,0.14
