t,l,x,y,z
0,1,-0.98,-0.04,0.03
1,1,-0.98,-0.04,0.03
3,1,-0.98,-0.04,0.03
5,1,-0.98,-0.03,0.03
6,1,-0.98,-0.03,0.03
8,1,-0.98,-0.03,0.03
10,1,-0.98,-0.03,0.03
11,1,-0.98,-0.03,0.03
13,1,-0.98,-0.03,0.03
15,1,-0.98,-0.03,0.02
16,1,-0.98,-0.03,0.02
18,1,-0.98,-0.03,0.02
20,1,-0.98,-0.03,0.02
21,1,-0.98,-0.03,0.02
23,1,-0.98,-0.03,0.02
25,1,-0.98,-0.01,0.02
27,1,-0.98,-0.01,0.02
28,1,-0.98,-0.01,0.02
30,1,-0.98,-0.01,0.02
31,1,-0.98,-0.01,0.02
33,1,-0.98,-0.01,0.02
35,1,-0.99,-0.0,0.02
36,1,-0.99,-0.0,0.02
38,1,-0.99,-0.0,0.02
40,1,-0.99,-0.0,0.02
41,1,-0.99,-0.0,0.02
43,1,-0.99,-0.0,0.02
45,1,-0.99,-0.01,0.02
47,1,-0.99,-0.01,0.02
48,1,-0.99,-0.01,0.02
50,1,-0.99,-0.01,0.02
52,1,-0.99,-0.01,0.02
53,1,-0.99,-0.01,0.02
55,1,-0.98,-0.0,0.02
57,1,-0.98,-0.0,0.02
58,1,-0.98,-0.0,0.02
60,1,-0.98,-0.0,0.02
61,1,-0.98,-0.0,0.02
63,1,-0.98,-0.0,0.02
65,1,-0.97,-0.01,0.02
66,1,-0.97,-0.01,0.02
68,1,-0.97,-0.01,0.02
70,1,-0.97,-0.01,0.02
71,1,-0.97,-0.01,0.02
73,1,-0.97,-0.02,0.02
75,1,-0.97,-0.02,0.02
77,1,-0.97,-0.02,0.02
78,1,-0.97,-0.02,0.02
80,1,-0.97,-0.02,0.02
82,1,-0.97,-0.02,0.02
83,1,-0.97,-0.02,0.03
85,1,-0.97,-0.02,0.03
86,1,-0.97,-0.02,0.03
88,1,-0.97,-0.02,0.03
90,1,-0.97,-0.02,0.03
91,1,-0.97,-0.02,0.03
93,1,-0.97,-0.02,0.03
95,1,-0.97,-0.02,0.03
96,1,-0.97,-0.02,0.03
98,1,-0.97,-0.02,0.03
100,1,-0.97,-0.02,0.03
101,1,-0.97,-0.02,0.03
103,1,-0.98,-0.02,0.03
105,1,-0.98,-0.02,0.03
106,1,-0.98,-0.02,0.03
108,1,-0.98,-0.02,0.03
110,1,-0.98,-0.02,0.03
111,1,-0.98,-0.02,0.03
113,1,-0.98,-0.02,0.03
115,1,-0.98,-0.02,0.03
116,1,-0.98,-0.02,0.03
118,1,-0.98,-0.02,0.03
120,1,-0.98,-0.02,0.03
122,1,-0.98,-0.02,0.03
123,1,-0.99,-0.02,0.04
125,1,-0.99,-0.02,0.04
127,1,-0.99,-0.02,0.04
128,1,-0.99,-0.02,0.04
130,1,-0.99,-0.02,0.04
132,1,-0.99,-0.02,0.03
133,1,-0.98,-0.02,0.03
135,1,-0.98,-0.02,0.03
137,1,-0.98,-0.02,0.03
138,1,-0.98,-0.02,0.03
140,1,-0.98,-0.02,0.03
142,1,-0.98,-0.02,0.02
143,1,-0.98,-0.02,0.02
145,1,-0.98,-0.02,0.02
147,1,-0.98,-0.02,0.02
148,1,-0.98,-0.02,0.02
150,1,-0.98,-0.02,0.02
152,1,-0.99,-0.01,0.03
153,1,-0.99,-0.01,0.03
155,1,-0.99,-0.01,0.03
157,1,-0.99,-0.01,0.03
158,1,-0.99,-0.01,0.03
160,1,-0.99,-0.01,0.03
162,1,-0.99,-0.02,0.03
163,1,-0.99,-0.02,0.03
165,1,-0.99,-0.02,0.03
167,1,-0.99,-0.02,0.03
168,1,-0.99,-0.02,0.03
170,1,-0.99,-0.02,0.03
172,1,-1.0,-0.02,0.02
174,1,-1.0,-0.02,0.02
175,1,-1.0,-0.02,0.02
177,1,-1.0,-0.02,0.02
179,1,-1.0,-0.02,0.02
180,1,-1.0,-0.02,0.02
182,1,-0.99,-0.01,0.02
184,1,-0.99,-0.01,0.02
185,1,-0.99,-0.01,0.02
187,1,-0.99,-0.01,0.02
189,1,-0.99,-0.01,0.02
190,1,-0.99,-0.01,0.03
192,1,-1.0,-0.01,0.03
194,1,-1.0,-0.01,0.03
195,1,-1.0,-0.01,0.03
197,1,-1.0,-0.01,0.03
199,1,-1.0,-0.01,0.03
200,1,-1.12,0.01,0.08
202,1,-1.03,0.01,0.08
204,1,-1.03,0.01,0.08
205,1,-1.03,0.01,0.08
207,1,-1.03,0.01,0.08
209,1,-1.03,0.01,0.08
210,1,-1.09,0.01,0.16
212,1,-1.09,0.01,0.16
214,1,-1.09,0.01,0.16
215,1,-1.09,0.01,0.16
217,1,-1.09,0.01,0.16
219,1,-1.09,0.01,0.16
220,1,-1.21,0.03,0.33
222,1,-1.21,0.03,0.33
223,1,-1.21,0.03,0.33
225,1,-1.21,0.03,0.33
227,1,-1.21,0.03,0.33
228,1,-1.21,0.03,0.33
230,1,-1.36,0.03,0.56
232,1,-1.36,0.03,0.56
234,1,-1.36,0.03,0.56
235,1,-1.36,0.03,0.56
237,1,-1.36,0.03,0.56
238,1,-1.36,0.03,0.56
240,1,-1.56,-0.04,0.75
242,1,-1.56,-0.04,0.75
243,1,-1.56,-0.04,0.75
245,1,-1.56,-0.04,0.75
247,1,-1.56,-0.04,0.75
248,1,-1.56,-0.04,0.75
250,1,-1.76,-0.11,0.84
252,1,-1.76,-0.11,0.84
254,1,-1.76,-0.11,0.84
255,1,-1.76,-0.11,0.84
257,1,-1.76,-0.11,0.84
259,1,-1.76,-0.11,0.88
260,1,-1.9,-0.08,0.88
262,1,-1.9,-0.08,0.88
264,1,-1.9,-0.08,0.88
265,1,-1.9,-0.08,0.88
267,1,-1.9,-0.08,0.88
269,1,-1.89,-0.01,0.85
270,1,-1.89,-0.01,0.85
272,1,-1.89,-0.01,0.85
274,1,-1.89,-0.01,0.85
275,1,-1.89,-0.01,0.85
277,1,-1.89,-0.01,0.85
279,1,-1.74,0.09,0.74
280,1,-1.74,0.09,0.74
282,1,-1.74,0.09,0.74
284,1,-1.74,0.09,0.74
285,1,-1.74,0.09,0.74
