t,l,x,y,z
0,1,-0.98,-0.11,0.02
1,1,-0.98,-0.11,0.02
3,1,-0.98,-0.11,0.02
5,1,-0.98,-0.11,0.02
6,1,-0.98,-0.11,0.01
8,1,-0.98,-0.11,0.01
10,1,-0.98,-0.11,0.01
11,1,-0.98,-0.11,0.01
13,1,-0.98,-0.11,0.01
15,1,-0.98,-0.11,0.01
16,1,-0.98,-0.11,-0.01
18,1,-0.98,-0.11,-0.01
20,1,-0.98,-0.11,-0.01
21,1,-0.98,-0.11,-0.01
23,1,-0.98,-0.11,-0.01
25,1,-0.98,-0.11,-0.01
26,1,-0.97,-0.11,-0.01
28,1,-0.97,-0.11,-0.01
30,1,-0.97,-0.11,-0.01
31,1,-0.97,-0.11,-0.01
33,1,-0.97,-0.11,-0.01
35,1,-0.97,-0.11,-0.02
36,1,-0.98,-0.11,-0.02
38,1,-0.98,-0.11,-0.02
40,1,-0.98,-0.11,-0.02
41,1,-0.98,-0.11,-0.02
43,1,-0.98,-0.11,-0.02
45,1,-0.98,-0.11,-0.01
46,1,-0.98,-0.11,-0.01
48,1,-0.98,-0.11,-0.01
50,1,-0.98,-0.11,-0.01
51,1,-0.98,-0.11,-0.01
53,1,-0.98,-0.11,-0.01
55,1,-0.97,-0.11,0.01
56,1,-0.97,-0.11,0.01
58,1,-0.97,-0.11,0.01
60,1,-0.97,-0.11,0.01
61,1,-0.97,-0.11,0.01
63,1,-0.97,-0.11,0.01
65,1,-0.96,-0.1,0.02
66,1,-0.96,-0.1,0.02
68,1,-0.96,-0.1,0.02
70,1,-0.96,-0.1,0.02
71,1,-0.96,-0.1,0.02
73,1,-0.96,-0.1,0.02
75,1,-0.97,-0.11,0.02
76,1,-0.97,-0.11,0.02
78,1,-0.97,-0.11,0.02
80,1,-0.97,-0.11,0.02
81,1,-0.97,-0.11,0.02
83,1,-0.97,-0.11,0.02
84,1,-0.98,-0.11,0.02
86,1,-0.98,-0.11,0.02
88,1,-0.98,-0.11,0.02
89,1,-0.98,-0.11,0.02
91,1,-0.98,-0.11,0.02
93,1,-0.98,-0.11,0.02
94,1,-0.97,-0.11,0.02
96,1,-0.97,-0.11,0.02
98,1,-0.97,-0.11,0.02
99,1,-0.97,-0.11,0.02
101,1,-0.97,-0.11,0.02
103,1,-0.97,-0.11,0.02
104,1,-0.97,-0.1,0.02
106,1,-0.97,-0.1,0.02
108,1,-0.97,-0.1,0.02
109,1,-0.97,-0.1,0.02
111,1,-0.97,-0.1,0.02
113,1,-0.98,-0.11,0.01
114,1,-0.98,-0.11,0.01
116,1,-0.98,-0.11,0.01
118,1,-0.98,-0.11,0.01
119,1,-0.98,-0.11,0.01
121,1,-0.98,-0.11,0.01
123,1,-0.98,-0.11,-0.0
124,1,-0.98,-0.11,-0.0
126,1,-0.98,-0.11,-0.0
128,1,-0.98,-0.11,-0.0
130,1,-0.98,-0.11,-0.0
131,1,-0.98,-0.11,-0.0
133,1,-0.98,-0.11,-0.01
135,1,-0.98,-0.11,-0.01
136,1,-0.98,-0.11,-0.01
138,1,-0.98,-0.11,-0.01
140,1,-0.98,-0.11,-0.01
141,1,-0.98,-0.11,-0.01
143,1,-0.97,-0.11,-0.01
145,1,-0.97,-0.11,-0.01
146,1,-0.97,-0.11,-0.01
148,1,-0.97,-0.11,-0.01
150,1,-0.97,-0.11,-0.01
151,1,-0.97,-0.11,-0.01
153,1,-0.97,-0.11,0.0
155,1,-0.97,-0.11,0.0
156,1,-0.97,-0.11,0.0
158,1,-0.97,-0.11,0.0
160,1,-0.97,-0.11,0.0
161,1,-0.97,-0.11,0.02
163,1,-0.97,-0.1,0.02
165,1,-0.97,-0.1,0.02
166,1,-0.97,-0.1,0.02
168,1,-0.97,-0.1,0.02
170,1,-0.97,-0.1,0.02
171,1,-0.97,-0.12,0.03
173,1,-0.98,-0.12,0.03
175,1,-0.98,-0.12,0.03
176,1,-0.98,-0.12,0.03
178,1,-0.98,-0.12,0.03
180,1,-0.98,-0.12,0.03
181,1,-0.98,-0.12,0.03
183,1,-0.98,-0.12,0.03
185,1,-0.98,-0.12,0.03
186,1,-0.98,-0.12,0.03
188,1,-0.98,-0.12,0.03
190,1,-0.98,-0.12,0.03
191,1,-0.97,-0.11,0.02
193,1,-0.97,-0.11,0.02
195,1,-0.97,-0.11,0.02
196,1,-0.97,-0.11,0.02
198,1,-0.97,-0.11,0.02
200,1,-0.97,-0.11,0.02
201,1,-0.97,-0.1,0.01
203,1,-0.97,-0.1,0.01
205,1,-0.97,-0.1,0.01
206,1,-0.97,-0.1,0.01
208,1,-0.97,-0.1,0.01
210,1,-0.97,-0.1,0.01
211,1,-0.97,-0.1,-0.01
213,1,-0.97,-0.1,-0.01
215,1,-0.97,-0.1,-0.01
216,1,-0.97,-0.1,-0.01
218,1,-0.97,-0.1,-0.01
220,1,-0.97,-0.1,-0.01
221,1,-0.98,-0.11,-0.02
223,1,-0.98,-0.11,-0.02
225,1,-0.98,-0.11,-0.02
226,1,-0.98,-0.11,-0.02
228,1,-0.98,-0.11,-0.02
230,1,-0.98,-0.11,-0.02
231,1,-0.98,-0.11,-0.02
233,1,-0.98,-0.11,-0.02
235,1,-0.98,-0.11,-0.02
236,1,-0.98,-0.11,-0.02
238,1,-0.98,-0.11,-0.02
240,1,-0.98,-0.11,-0.02
241,1,-0.97,-0.11,-0.02
243,1,-0.97,-0.11,-0.02
245,1,-0.97,-0.11,-0.02
246,1,-0.97,-0.11,-0.02
248,1,-0.97,-0.11,-0.02
250,1,-0.97,-0.1,-0.01
252,1,-0.97,-0.1,-0.01
