t,l,x,y,z
0,1,-0.98,0.05,-0.02
2,1,-0.98,0.05,-0.01
3,1,-0.98,0.05,-0.01
5,1,-0.98,0.05,-0.01
7,1,-0.98,0.05,-0.01
8,1,-0.98,0.05,-0.01
10,1,-0.98,0.05,-0.01
12,1,-0.98,0.05,-0.01
13,1,-0.98,0.05,-0.01
15,1,-0.98,0.05,-0.01
17,1,-0.98,0.05,-0.01
18,1,-0.98,0.05,-0.01
20,1,-0.98,0.05,-0.01
22,1,-0.98,0.06,-0.02
23,1,-0.98,0.06,-0.02
25,1,-0.98,0.06,-0.02
27,1,-0.98,0.06,-0.02
28,1,-0.98,0.06,-0.02
30,1,-0.98,0.07,-0.03
32,1,-0.98,0.07,-0.03
33,1,-0.98,0.07,-0.03
35,1,-0.98,0.07,-0.03
37,1,-0.98,0.07,-0.03
38,1,-0.98,0.07,-0.03
40,1,-0.98,0.09,-0.05
42,1,-0.98,0.09,-0.05
43,1,-0.98,0.09,-0.05
45,1,-0.98,0.09,-0.05
47,1,-0.98,0.09,-0.05
48,1,-0.98,0.09,-0.05
50,1,-0.98,0.09,-0.04
52,1,-0.98,0.09,-0.04
53,1,-0.98,0.09,-0.04
55,1,-0.98,0.09,-0.04
57,1,-0.98,0.09,-0.04
58,1,-0.98,0.09,-0.04
60,1,-0.99,0.09,-0.03
62,1,-0.99,0.09,-0.03
63,1,-0.99,0.09,-0.03
65,1,-0.99,0.09,-0.03
67,1,-0.99,0.09,-0.03
68,1,-0.99,0.09,-0.03
70,1,-0.99,0.09,-0.04
72,1,-0.99,0.09,-0.04
73,1,-0.99,0.09,-0.04
75,1,-0.99,0.09,-0.04
77,1,-0.99,0.09,-0.04
78,1,-0.99,0.09,-0.04
80,1,-0.98,0.08,-0.04
82,1,-0.98,0.08,-0.04
83,1,-0.98,0.08,-0.04
85,1,-0.98,0.08,-0.04
87,1,-0.98,0.08,-0.04
88,1,-0.98,0.08,-0.04
90,1,-0.98,0.07,-0.02
92,1,-0.98,0.07,-0.02
93,1,-0.98,0.07,-0.02
95,1,-0.98,0.07,-0.02
97,1,-0.98,0.07,-0.02
98,1,-0.98,0.07,-0.0
100,1,-1.0,0.06,-0.0
102,1,-1.0,0.06,-0.0
