t,l,x,y,z
0,1,-0.89,-0.16,0.25
2,1,-0.89,-0.16,0.25
3,1,-0.92,-0.18,0.22
5,1,-0.92,-0.18,0.22
7,1,-0.92,-0.18,0.22
8,1,-0.92,-0.18,0.22
10,1,-0.92,-0.18,0.22
12,1,-0.92,-0.18,0.22
13,1,-0.96,-0.2,0.16
15,1,-0.96,-0.2,0.16
17,1,-0.96,-0.2,0.16
18,1,-0.96,-0.2,0.16
20,1,-0.96,-0.2,0.16
22,1,-0.96,-0.2,0.16
23,1,-0.96,-0.22,0.1
25,1,-0.96,-0.22,0.1
27,1,-0.96,-0.22,0.1
28,1,-0.96,-0.22,0.1
30,1,-0.96,-0.22,0.1
32,1,-0.96,-0.22,0.06
33,1,-0.97,-0.21,0.06
35,1,-0.97,-0.21,0.06
37,1,-0.97,-0.21,0.06
38,1,-0.97,-0.21,0.06
40,1,-0.97,-0.21,0.06
42,1,-0.97,-0.21,0.05
43,1,-0.98,-0.21,0.05
45,1,-0.98,-0.21,0.05
47,1,-0.98,-0.21,0.05
48,1,-0.98,-0.21,0.05
50,1,-0.98,-0.21,0.05
52,1,-0.98,-0.18,0.06
53,1,-0.98,-0.18,0.06
55,1,-0.98,-0.18,0.06
57,1,-0.98,-0.18,0.06
58,1,-0.98,-0.18,0.06
60,1,-0.98,-0.18,0.06
62,1,-0.93,-0.17,0.06
63,1,-0.93,-0.17,0.06
65,1,-0.93,-0.17,0.06
67,1,-0.93,-0.17,0.06
68,1,-0.93,-0.17,0.06
70,1,-0.93,-0.17,0.06
72,1,-0.91,-0.17,0.03
73,1,-0.91,-0.17,0.03
75,1,-0.91,-0.17,0.03
77,1,-0.91,-0.17,0.03
78,1,-0.91,-0.17,0.03
80,1,-0.91,-0.17,0.03
82,1,-0.93,-0.19,0.02
83,1,-0.93,-0.19,0.02
85,1,-0.93,-0.19,0.02
87,1,-0.93,-0.19,0.02
88,1,-0.93,-0.19,0.02
90,1,-0.93,-0.19,0.02
92,1,-0.96,-0.22,0.02
93,1,-0.96,-0.22,0.02
95,1,-0.96,-0.22,0.02
97,1,-0.96,-0.22,0.02
98,1,-0.96,-0.22,0.02
100,1,-0.96,-0.22,0.04
102,1,-0.98,-0.23,0.04
103,1,-0.98,-0.23,0.04
105,1,-0.98,-0.23,0.04
107,1,-0.98,-0.23,0.04
108,1,-0.98,-0.23,0.04
110,1,-0.98,-0.23,0.07
112,1,-0.98,-0.23,0.07
113,1,-0.98,-0.23,0.07
115,1,-0.98,-0.23,0.07
117,1,-0.98,-0.23,0.07
118,1,-0.98,-0.23,0.07
120,1,-0.96,-0.22,0.08
122,1,-0.96,-0.22,0.08
123,1,-0.96,-0.22,0.08
125,1,-0.96,-0.22,0.08
127,1,-0.96,-0.22,0.08
128,1,-0.96,-0.22,0.08
130,1,-0.94,-0.19,0.09
132,1,-0.94,-0.19,0.09
133,1,-0.94,-0.19,0.09
135,1,-0.94,-0.19,0.09
137,1,-0.94,-0.19,0.09
138,1,-0.94,-0.19,0.09
140,1,-0.94,-0.19,0.09
142,1,-0.94,-0.19,0.09
143,1,-0.94,-0.19,0.09
145,1,-0.94,-0.19,0.09
147,1,-0.94,-0.19,0.09
148,1,-0.94,-0.19,0.09
150,1,-0.95,-0.2,0.11
152,1,-0.95,-0.2,0.11
153,1,-0.95,-0.2,0.11
155,1,-0.95,-0.2,0.11
157,1,-0.95,-0.2,0.11
158,1,-0.95,-0.2,0.11
160,1,-0.96,-0.21,0.09
162,1,-0.96,-0.21,0.09
163,1,-0.96,-0.21,0.09
165,1,-0.96,-0.21,0.09
167,1,-0.96,-0.21,0.09
168,1,-0.96,-0.21,0.09
170,1,-0.95,-0.22,0.09
172,1,-0.95,-0.22,0.09
173,1,-0.95,-0.22,0.09
175,1,-0.95,-0.22,0.09
177,1,-0.95,-0.22,0.09
178,1,-0.95,-0.23,0.1
180,1,-0.97,-0.23,0.1
182,1,-0.97,-0.23,0.1
183,1,-0.97,-0.23,0.1
185,1,-0.97,-0.23,0.1
187,1,-0.97,-0.23,0.1
188,1,-0.96,-0.24,0.11
190,1,-0.96,-0.24,0.11
192,1,-0.96,-0.24,0.11
193,1,-0.96,-0.24,0.11
195,1,-0.96,-0.24,0.11
197,1,-0.96,-0.24,0.11
