t,l,x,y,z
0,1,-0.97,0.11,0.09
1,1,-0.97,0.11,0.09
3,1,-0.97,0.11,0.09
5,1,-0.98,0.11,0.09
6,1,-0.98,0.11,0.09
8,1,-0.98,0.11,0.09
10,1,-0.98,0.11,0.09
11,1,-0.98,0.11,0.09
13,1,-0.98,0.11,0.09
15,1,-0.98,0.11,0.08
16,1,-0.98,0.11,0.08
18,1,-0.98,0.11,0.08
20,1,-0.98,0.11,0.08
21,1,-0.98,0.11,0.08
23,1,-0.98,0.11,0.08
25,1,-0.98,0.12,0.07
26,1,-0.98,0.12,0.07
28,1,-0.98,0.12,0.07
29,1,-0.98,0.12,0.07
31,1,-0.98,0.12,0.07
33,1,-0.98,0.12,0.07
34,1,-0.98,0.12,0.05
36,1,-0.98,0.12,0.05
38,1,-0.98,0.12,0.05
39,1,-0.98,0.12,0.05
41,1,-0.98,0.12,0.05
43,1,-0.98,0.12,0.05
44,1,-0.97,0.13,0.05
46,1,-0.97,0.13,0.05
48,1,-0.97,0.13,0.05
49,1,-0.97,0.13,0.05
51,1,-0.97,0.13,0.05
53,1,-0.97,0.13,0.05
54,1,-0.97,0.14,0.04
56,1,-0.97,0.14,0.04
58,1,-0.97,0.14,0.04
59,1,-0.97,0.14,0.04
61,1,-0.97,0.14,0.04
63,1,-0.97,0.14,0.04
64,1,-0.97,0.14,0.05
66,1,-0.97,0.14,0.05
68,1,-0.97,0.14,0.05
69,1,-0.97,0.14,0.05
71,1,-0.97,0.14,0.05
73,1,-0.97,0.14,0.05
74,1,-0.98,0.15,0.05
76,1,-0.98,0.15,0.05
77,1,-0.98,0.15,0.05
79,1,-0.98,0.15,0.05
81,1,-0.98,0.15,0.05
82,1,-0.98,0.15,0.05
84,1,-0.98,0.14,0.05
86,1,-0.98,0.14,0.05
87,1,-0.98,0.14,0.05
89,1,-0.98,0.14,0.05
91,1,-0.98,0.14,0.05
92,1,-0.98,0.14,0.06
94,1,-0.97,0.13,0.06
96,1,-0.97,0.13,0.06
97,1,-0.97,0.13,0.06
99,1,-0.97,0.13,0.06
101,1,-0.97,0.13,0.06
102,1,-0.97,0.13,0.07
104,1,-0.98,0.13,0.07
106,1,-0.98,0.13,0.07
107,1,-0.98,0.13,0.07
109,1,-0.98,0.13,0.07
111,1,-0.98,0.13,0.07
112,1,-0.98,0.12,0.06
114,1,-0.98,0.12,0.06
116,1,-0.98,0.12,0.06
117,1,-0.98,0.12,0.06
119,1,-0.98,0.12,0.06
121,1,-0.98,0.12,0.06
122,1,-0.97,0.11,0.07
124,1,-0.97,0.11,0.07
126,1,-0.97,0.11,0.07
127,1,-0.97,0.11,0.07
129,1,-0.97,0.11,0.07
131,1,-0.97,0.11,0.07
132,1,-0.97,0.11,0.07
134,1,-0.97,0.11,0.07
136,1,-0.97,0.11,0.07
137,1,-0.97,0.11,0.07
139,1,-0.97,0.11,0.07
141,1,-0.97,0.11,0.07
142,1,-0.97,0.11,0.07
144,1,-0.97,0.11,0.07
146,1,-0.97,0.11,0.07
147,1,-0.97,0.11,0.07
149,1,-0.97,0.11,0.07
151,1,-0.97,0.11,0.07
152,1,-0.98,0.12,0.07
154,1,-0.98,0.12,0.07
156,1,-0.98,0.12,0.07
157,1,-0.98,0.12,0.07
159,1,-0.98,0.12,0.07
160,1,-0.98,0.12,0.07
162,1,-0.97,0.12,0.06
164,1,-0.97,0.12,0.06
165,1,-0.97,0.12,0.06
167,1,-0.97,0.12,0.06
169,1,-0.97,0.12,0.06
170,1,-0.97,0.12,0.06
172,1,-0.98,0.13,0.06
174,1,-0.98,0.13,0.06
175,1,-0.98,0.13,0.06
177,1,-0.98,0.13,0.06
179,1,-0.98,0.13,0.06
180,1,-0.98,0.14,0.05
182,1,-0.97,0.14,0.05
184,1,-0.97,0.14,0.05
185,1,-0.97,0.14,0.05
187,1,-0.97,0.14,0.05
189,1,-0.97,0.14,0.05
190,1,-0.97,0.14,0.03
192,1,-0.97,0.14,0.03
194,1,-0.97,0.14,0.03
195,1,-0.97,0.14,0.03
197,1,-0.97,0.14,0.03
199,1,-0.97,0.14,0.03
200,1,-0.97,0.17,0.03
202,1,-0.97,0.17,0.03
203,1,-0.97,0.17,0.03
205,1,-0.97,0.17,0.03
207,1,-0.97,0.17,0.03
208,1,-0.97,0.17,0.03
210,1,-0.98,0.18,0.05
212,1,-0.98,0.18,0.05
213,1,-0.98,0.18,0.05
215,1,-0.98,0.18,0.05
217,1,-0.98,0.18,0.05
