t,l,x,y,z
0,1,-0.97,-0.14,-0.02
1,1,-0.97,-0.14,-0.02
3,1,-0.97,-0.14,-0.02
5,1,-0.97,-0.14,-0.02
6,1,-0.97,-0.14,-0.02
8,1,-0.97,-0.14,-0.02
10,1,-0.97,-0.14,-0.02
11,1,-0.97,-0.14,-0.02
13,1,-0.97,-0.14,-0.02
15,1,-0.97,-0.14,-0.02
16,1,-0.97,-0.14,-0.02
18,1,-0.97,-0.14,-0.02
20,1,-0.97,-0.14,-0.02
21,1,-0.97,-0.13,-0.03
23,1,-0.97,-0.13,-0.03
25,1,-0.97,-0.13,-0.03
27,1,-0.97,-0.13,-0.03
28,1,-0.97,-0.13,-0.03
30,1,-0.97,-0.13,-0.03
31,1,-0.97,-0.14,-0.02
33,1,-0.97,-0.14,-0.02
35,1,-0.97,-0.14,-0.02
36,1,-0.97,-0.14,-0.02
38,1,-0.97,-0.14,-0.02
40,1,-0.97,-0.14,-0.01
41,1,-0.97,-0.13,-0.01
43,1,-0.97,-0.13,-0.01
45,1,-0.97,-0.13,-0.01
46,1,-0.97,-0.13,-0.01
48,1,-0.97,-0.13,-0.01
50,1,-0.97,-0.13,-0.01
52,1,-0.97,-0.13,-0.01
53,1,-0.97,-0.13,-0.01
55,1,-0.97,-0.13,-0.01
57,1,-0.97,-0.13,-0.01
58,1,-0.97,-0.13,-0.01
60,1,-0.97,-0.14,0.0
62,1,-0.97,-0.14,0.0
63,1,-0.97,-0.14,0.0
65,1,-0.97,-0.14,0.0
66,1,-0.97,-0.14,0.0
68,1,-0.97,-0.14,0.0
70,1,-0.97,-0.14,0.01
71,1,-0.97,-0.14,0.01
73,1,-0.97,-0.14,0.01
75,1,-0.97,-0.14,0.01
76,1,-0.97,-0.14,0.01
78,1,-0.97,-0.14,0.01
80,1,-0.97,-0.14,-0.0
81,1,-0.97,-0.14,-0.0
83,1,-0.97,-0.14,-0.0
85,1,-0.97,-0.14,-0.0
86,1,-0.97,-0.14,-0.0
88,1,-0.97,-0.14,-0.0
90,1,-0.97,-0.14,-0.01
91,1,-0.97,-0.14,-0.01
93,1,-0.97,-0.14,-0.01
95,1,-0.97,-0.14,-0.01
96,1,-0.97,-0.14,-0.01
98,1,-0.97,-0.14,-0.01
100,1,-0.97,-0.14,-0.02
