t,l,x,y,z
0,1,-1.03,0.08,0.04
1,1,-1.03,0.08,0.04
3,1,-1.03,0.08,0.04
5,1,-1.03,0.08,0.04
6,1,-1.03,0.07,0.08
8,1,-1.03,0.07,0.08
9,1,-1.03,0.07,0.08
11,1,-1.03,0.07,0.08
13,1,-1.03,0.07,0.08
14,1,-1.03,0.07,0.08
16,1,-1.02,0.07,0.04
18,1,-1.02,0.07,0.04
19,1,-1.02,0.07,0.04
21,1,-1.02,0.07,0.04
23,1,-1.02,0.07,0.04
24,1,-1.02,0.07,0.04
26,1,-1.01,0.09,0.04
28,1,-1.01,0.09,0.04
29,1,-1.01,0.09,0.04
31,1,-1.01,0.09,0.04
33,1,-1.01,0.09,0.04
34,1,-0.88,0.05,0.05
36,1,-0.99,0.05,0.05
38,1,-0.99,0.05,0.05
39,1,-0.99,0.05,0.05
41,1,-0.99,0.05,0.05
43,1,-0.99,0.05,0.05
44,1,-0.99,0.05,0.02
46,1,-0.99,0.05,0.02
48,1,-0.99,0.05,0.02
49,1,-0.99,0.05,0.02
51,1,-0.99,0.05,0.02
53,1,-0.99,0.05,0.02
54,1,-0.98,0.04,0.02
56,1,-0.98,0.04,0.02
58,1,-0.98,0.04,0.02
59,1,-0.98,0.04,0.02
61,1,-0.98,0.04,0.02
63,1,-0.98,0.04,0.02
64,1,-0.97,0.03,0.02
66,1,-0.97,0.03,0.02
68,1,-0.97,0.03,0.02
69,1,-0.97,0.03,0.02
71,1,-0.97,0.03,0.02
73,1,-0.97,0.03,0.02
74,1,-0.97,0.03,0.02
76,1,-0.97,0.03,0.02
78,1,-0.97,0.03,0.02
79,1,-0.97,0.03,0.02
81,1,-0.97,0.03,0.02
83,1,-0.97,0.03,0.02
84,1,-0.97,0.05,0.0
86,1,-0.97,0.05,0.0
88,1,-0.97,0.05,0.0
89,1,-0.97,0.05,0.0
91,1,-0.97,0.05,0.0
92,1,-0.97,0.05,0.0
94,1,-0.97,0.05,0.01
96,1,-0.97,0.05,0.01
97,1,-0.97,0.05,0.01
99,1,-0.97,0.05,0.01
101,1,-0.97,0.05,0.01
102,1,-0.97,0.05,0.01
104,1,-0.99,0.05,0.04
106,1,-0.99,0.05,0.04
107,1,-0.99,0.05,0.04
109,1,-0.99,0.05,0.04
111,1,-0.99,0.05,0.04
112,1,-0.99,0.05,0.04
114,1,-1.02,0.06,0.04
115,1,-1.02,0.06,0.04
117,1,-1.02,0.06,0.04
119,1,-1.02,0.06,0.04
120,1,-1.02,0.06,0.04
122,1,-1.02,0.06,0.01
124,1,-1.0,0.07,0.01
125,1,-1.0,0.07,0.01
127,1,-1.0,0.07,0.01
129,1,-1.0,0.07,0.01
130,1,-1.0,0.07,0.01
132,1,-1.0,0.05,0.02
134,1,-0.97,0.05,0.02
135,1,-0.97,0.05,0.02
137,1,-0.97,0.05,0.02
139,1,-0.97,0.05,0.02
140,1,-0.97,0.05,0.02
142,1,-0.97,0.04,0.04
144,1,-0.97,0.04,0.04
145,1,-0.97,0.04,0.04
147,1,-0.97,0.04,0.04
149,1,-0.97,0.04,0.04
150,1,-0.97,0.04,0.04
152,1,-0.99,0.03,0.05
154,1,-0.99,0.03,0.05
155,1,-0.99,0.03,0.05
157,1,-0.99,0.03,0.05
159,1,-0.99,0.03,0.05
160,1,-0.99,0.03,0.05
162,1,-0.98,0.02,0.07
163,1,-0.98,0.02,0.07
165,1,-0.98,0.02,0.07
167,1,-0.98,0.02,0.07
168,1,-0.98,0.02,0.07
170,1,-0.98,0.02,0.07
172,1,-0.97,0.01,0.08
173,1,-0.97,0.01,0.08
175,1,-0.97,0.01,0.08
177,1,-0.97,0.01,0.08
178,1,-0.97,0.01,0.08
180,1,-0.97,0.01,0.08
182,1,-0.96,0.02,0.05
183,1,-0.96,0.02,0.05
185,1,-0.96,0.02,0.05
187,1,-0.96,0.02,0.05
188,1,-0.96,0.02,0.05
190,1,-0.96,0.02,0.05
191,1,-0.96,0.04,0.01
193,1,-0.96,0.04,0.01
195,1,-0.96,0.04,0.01
196,1,-0.96,0.04,0.01
198,1,-0.96,0.04,0.01
200,1,-0.96,0.04,0.01
201,1,-0.95,0.06,-0.01
203,1,-0.95,0.06,-0.01
205,1,-0.95,0.06,-0.01
206,1,-0.95,0.06,-0.01
208,1,-0.95,0.06,-0.01
210,1,-0.95,0.06,0.12
211,1,-0.98,0.04,0.0
213,1,-0.98,0.04,0.0
215,1,-0.98,0.04,0.0
216,1,-0.98,0.04,0.0
218,1,-0.98,0.04,0.0
220,1,-0.98,0.04,0.03
221,1,-1.0,0.04,0.03
223,1,-1.0,0.04,0.03
225,1,-1.0,0.04,0.03
226,1,-1.0,0.04,0.03
228,1,-1.0,0.04,0.03
230,1,-1.0,0.04,0.06
231,1,-1.01,0.05,0.06
233,1,-1.01,0.05,0.06
234,1,-1.01,0.05,0.06
236,1,-1.01,0.05,0.06
238,1,-1.01,0.05,0.06
239,1,-1.01,0.03,0.07
241,1,-1.0,0.03,0.07
243,1,-1.0,0.03,0.07
244,1,-1.0,0.03,0.07
246,1,-1.0,0.03,0.07
248,1,-1.0,0.03,0.07
249,1,-0.88,0.04,0.07
251,1,-0.99,0.04,0.07
252,1,-0.99,0.04,0.07
254,1,-0.99,0.04,0.07
256,1,-0.99,0.04,0.07
257,1,-0.99,0.04,0.07
259,1,-0.98,0.03,0.04
261,1,-0.98,0.03,0.04
262,1,-0.98,0.03,0.04
