t,l,x,y,z
0,1,-0.95,-0.1,0.08
2,1,-0.95,-0.1,0.08
3,1,-0.95,-0.1,0.08
5,1,-0.95,-0.1,0.08
7,1,-0.94,-0.08,0.08
8,1,-0.94,-0.08,0.08
10,1,-0.94,-0.08,0.08
12,1,-0.94,-0.08,0.08
13,1,-0.94,-0.08,0.08
15,1,-0.94,-0.08,0.1
17,1,-0.94,-0.1,0.1
18,1,-0.94,-0.1,0.1
20,1,-0.94,-0.1,0.1
22,1,-0.94,-0.1,0.1
23,1,-0.94,-0.1,0.1
25,1,-0.94,-0.12,0.13
27,1,-0.95,-0.12,0.13
28,1,-0.95,-0.12,0.13
30,1,-0.95,-0.12,0.13
32,1,-0.95,-0.12,0.13
33,1,-0.95,-0.12,0.13
35,1,-0.96,-0.15,0.16
37,1,-0.96,-0.15,0.16
38,1,-0.96,-0.15,0.16
40,1,-0.96,-0.15,0.16
42,1,-0.96,-0.15,0.16
43,1,-0.96,-0.15,0.16
45,1,-0.96,-0.18,0.19
47,1,-0.96,-0.18,0.19
48,1,-0.96,-0.18,0.19
50,1,-0.96,-0.18,0.19
52,1,-0.96,-0.18,0.19
53,1,-0.96,-0.18,0.19
55,1,-0.97,-0.19,0.22
57,1,-0.97,-0.19,0.22
58,1,-0.97,-0.19,0.22
60,1,-0.97,-0.19,0.22
62,1,-0.97,-0.19,0.22
63,1,-0.97,-0.19,0.22
65,1,-0.97,-0.2,0.25
67,1,-0.97,-0.2,0.25
68,1,-0.97,-0.2,0.25
70,1,-0.97,-0.2,0.25
72,1,-0.97,-0.2,0.25
73,1,-0.97,-0.2,0.25
75,1,-0.96,-0.2,0.27
77,1,-0.96,-0.2,0.27
78,1,-0.96,-0.2,0.27
80,1,-0.96,-0.2,0.27
82,1,-0.96,-0.2,0.27
83,1,-0.96,-0.2,0.28
85,1,-0.96,-0.19,0.28
87,1,-0.96,-0.19,0.28
88,1,-0.96,-0.19,0.28
90,1,-0.96,-0.19,0.28
92,1,-0.96,-0.19,0.28
94,1,-0.95,-0.17,0.29
95,1,-0.95,-0.17,0.29
97,1,-0.95,-0.17,0.29
99,1,-0.95,-0.17,0.29
100,1,-0.95,-0.17,0.29
102,1,-0.95,-0.17,0.29
104,1,-0.95,-0.16,0.29
105,1,-0.95,-0.16,0.29
107,1,-0.95,-0.16,0.29
109,1,-0.95,-0.16,0.29
110,1,-0.95,-0.16,0.29
112,1,-0.95,-0.16,0.29
114,1,-0.94,-0.14,0.26
115,1,-0.94,-0.14,0.26
117,1,-0.94,-0.14,0.26
119,1,-0.94,-0.14,0.26
120,1,-0.94,-0.14,0.26
122,1,-0.94,-0.14,0.26
124,1,-0.94,-0.12,0.21
125,1,-0.94,-0.12,0.21
127,1,-0.94,-0.12,0.21
129,1,-0.94,-0.12,0.21
