t,l,x,y,z
0,1,-0.98,-0.07,0.1
1,1,-0.98,-0.07,0.1
3,1,-0.98,-0.07,0.1
5,1,-0.98,-0.07,0.1
7,1,-0.98,-0.09,0.13
8,1,-0.97,-0.09,0.13
10,1,-0.97,-0.09,0.13
12,1,-0.97,-0.09,0.13
13,1,-0.97,-0.09,0.13
15,1,-0.97,-0.09,0.13
17,1,-0.96,-0.12,0.15
18,1,-0.96,-0.12,0.15
20,1,-0.96,-0.12,0.15
22,1,-0.96,-0.12,0.15
23,1,-0.96,-0.12,0.15
25,1,-0.96,-0.12,0.15
27,1,-0.97,-0.14,0.18
29,1,-0.97,-0.14,0.18
30,1,-0.97,-0.14,0.18
32,1,-0.97,-0.14,0.18
34,1,-0.97,-0.14,0.18
35,1,-0.97,-0.14,0.18
37,1,-0.98,-0.14,0.19
39,1,-0.98,-0.14,0.19
40,1,-0.98,-0.14,0.19
42,1,-0.98,-0.14,0.19
44,1,-0.98,-0.14,0.19
45,1,-0.98,-0.14,0.19
47,1,-0.96,-0.13,0.17
49,1,-0.96,-0.13,0.17
50,1,-0.96,-0.13,0.17
52,1,-0.96,-0.13,0.17
53,1,-0.96,-0.13,0.17
55,1,-0.96,-0.01,0.15
57,1,-0.95,-0.11,0.15
59,1,-0.95,-0.11,0.15
60,1,-0.95,-0.11,0.15
62,1,-0.95,-0.11,0.15
64,1,-0.95,-0.11,0.15
65,1,-0.97,-0.09,0.13
67,1,-0.97,-0.09,0.13
69,1,-0.97,-0.09,0.13
70,1,-0.97,-0.09,0.13
72,1,-0.97,-0.09,0.13
74,1,-0.97,-0.09,0.13
75,1,-0.99,-0.07,0.12
77,1,-0.99,-0.07,0.12
79,1,-0.99,-0.07,0.12
80,1,-0.99,-0.07,0.12
82,1,-0.99,-0.07,0.12
84,1,-0.99,-0.07,0.12
85,1,-0.99,-0.06,0.1
87,1,-0.99,-0.06,0.1
89,1,-0.99,-0.06,0.1
90,1,-0.99,-0.06,0.1
92,1,-0.99,-0.06,0.1
93,1,-0.99,-0.06,0.1
95,1,-0.97,-0.07,0.1
97,1,-0.97,-0.07,0.1
98,1,-0.97,-0.07,0.1
100,1,-0.97,-0.07,0.1
102,1,-0.97,-0.07,0.1
104,1,-0.97,-0.07,0.1
105,1,-0.95,-0.08,0.1
107,1,-0.95,-0.08,0.1
109,1,-0.95,-0.08,0.1
110,1,-0.95,-0.08,0.1
112,1,-0.95,-0.08,0.1
114,1,-0.95,-0.08,0.1
115,1,-0.96,-0.08,0.11
117,1,-0.96,-0.08,0.11
118,1,-0.96,-0.08,0.11
120,1,-0.96,-0.08,0.11
122,1,-0.96,-0.08,0.11
