t,l,x,y,z
0,1,-0.96,-0.07,0.13
2,1,-0.96,-0.07,0.13
3,1,-0.98,-0.06,0.14
5,1,-0.98,-0.06,0.14
7,1,-0.98,-0.06,0.14
8,1,-0.98,-0.06,0.14
10,1,-0.98,-0.06,0.14
12,1,-0.98,-0.06,0.14
13,1,-0.97,-0.05,0.16
15,1,-0.97,-0.05,0.16
17,1,-0.97,-0.05,0.16
18,1,-0.97,-0.05,0.16
20,1,-0.97,-0.05,0.16
22,1,-0.97,-0.05,0.16
23,1,-0.96,-0.05,0.15
25,1,-0.96,-0.05,0.15
27,1,-0.96,-0.05,0.15
28,1,-0.96,-0.05,0.15
30,1,-0.96,-0.05,0.15
32,1,-0.96,-0.05,0.14
33,1,-0.96,-0.05,0.14
35,1,-0.96,-0.05,0.14
37,1,-0.96,-0.05,0.14
38,1,-0.96,-0.05,0.14
40,1,-0.96,-0.05,0.14
42,1,-0.97,-0.06,0.14
43,1,-0.97,-0.06,0.14
45,1,-0.97,-0.06,0.14
47,1,-0.97,-0.06,0.14
48,1,-0.97,-0.06,0.14
50,1,-0.97,-0.06,0.14
52,1,-0.97,-0.06,0.13
53,1,-0.97,-0.06,0.13
55,1,-0.97,-0.06,0.13
57,1,-0.97,-0.06,0.13
58,1,-0.97,-0.06,0.13
60,1,-0.97,-0.06,0.13
62,1,-0.97,-0.06,0.12
63,1,-0.97,-0.06,0.12
65,1,-0.97,-0.06,0.12
67,1,-0.97,-0.06,0.12
68,1,-0.97,-0.06,0.12
70,1,-0.97,-0.06,0.12
72,1,-0.97,-0.06,0.12
73,1,-0.97,-0.06,0.12
75,1,-0.97,-0.06,0.12
77,1,-0.97,-0.06,0.12
78,1,-0.97,-0.06,0.12
80,1,-0.97,-0.06,0.12
82,1,-0.98,-0.05,0.13
83,1,-0.98,-0.05,0.13
85,1,-0.98,-0.05,0.13
87,1,-0.98,-0.05,0.13
88,1,-0.98,-0.05,0.13
90,1,-0.98,-0.05,0.13
92,1,-0.98,-0.06,0.14
93,1,-0.98,-0.06,0.14
