t,l,x,y,z
0,1,-0.98,-0.02,0.13
1,1,-0.98,-0.02,0.13
3,1,-0.98,-0.02,0.13
5,1,-0.98,-0.02,0.13
6,1,-0.98,-0.03,0.15
8,1,-0.98,-0.03,0.15
10,1,-0.98,-0.03,0.15
11,1,-0.98,-0.03,0.15
13,1,-0.98,-0.03,0.15
15,1,-0.98,-0.03,0.15
16,1,-0.97,-0.04,0.15
18,1,-0.97,-0.04,0.15
20,1,-0.97,-0.04,0.15
21,1,-0.97,-0.04,0.15
23,1,-0.97,-0.04,0.15
25,1,-0.97,-0.04,0.16
27,1,-0.98,-0.03,0.16
28,1,-0.98,-0.03,0.16
30,1,-0.98,-0.03,0.16
32,1,-0.98,-0.03,0.16
33,1,-0.98,-0.03,0.16
35,1,-0.98,-0.03,0.15
37,1,-0.98,-0.03,0.15
38,1,-0.98,-0.03,0.15
40,1,-0.98,-0.03,0.15
42,1,-0.98,-0.03,0.15
43,1,-0.98,-0.03,0.15
45,1,-0.97,-0.01,0.13
47,1,-0.97,-0.01,0.13
48,1,-0.97,-0.01,0.13
50,1,-0.97,-0.01,0.13
52,1,-0.97,-0.01,0.13
53,1,-0.97,-0.01,0.13
55,1,-0.98,-0.01,0.13
57,1,-0.98,-0.01,0.13
58,1,-0.98,-0.01,0.13
60,1,-0.98,-0.01,0.13
62,1,-0.98,-0.01,0.13
63,1,-0.98,-0.01,0.13
65,1,-0.98,-0.0,0.12
67,1,-0.98,-0.0,0.12
68,1,-0.98,-0.0,0.12
70,1,-0.98,-0.0,0.12
72,1,-0.98,-0.0,0.12
73,1,-0.98,-0.0,0.12
75,1,-0.98,-0.0,0.12
77,1,-0.98,-0.0,0.12
78,1,-0.98,-0.0,0.12
80,1,-0.98,-0.0,0.12
82,1,-0.98,-0.0,0.12
83,1,-0.98,-0.0,0.12
85,1,-0.98,-0.01,0.13
87,1,-0.98,-0.01,0.13
88,1,-0.98,-0.01,0.13
90,1,-0.98,-0.01,0.13
92,1,-0.98,-0.01,0.13
93,1,-0.98,-0.01,0.14
95,1,-0.97,-0.01,0.14
97,1,-0.97,-0.01,0.14
98,1,-0.97,-0.01,0.14
100,1,-0.97,-0.01,0.14
102,1,-0.97,-0.01,0.14
103,1,-0.97,-0.01,0.15
105,1,-0.97,-0.01,0.15
107,1,-0.97,-0.01,0.15
108,1,-0.97,-0.01,0.15
110,1,-0.97,-0.01,0.15
112,1,-0.97,-0.01,0.15
113,1,-0.98,-0.01,0.15
115,1,-0.98,-0.01,0.15
117,1,-0.98,-0.01,0.15
118,1,-0.98,-0.01,0.15
120,1,-0.98,-0.01,0.15
122,1,-0.98,-0.01,0.15
123,1,-0.97,-0.02,0.15
125,1,-0.97,-0.02,0.15
127,1,-0.97,-0.02,0.15
128,1,-0.97,-0.02,0.15
130,1,-0.97,-0.02,0.15
132,1,-0.97,-0.02,0.15
133,1,-0.98,-0.03,0.15
135,1,-0.98,-0.03,0.15
137,1,-0.98,-0.03,0.15
138,1,-0.98,-0.03,0.15
140,1,-0.98,-0.03,0.15
142,1,-0.98,-0.03,0.15
143,1,-0.97,-0.02,0.14
145,1,-0.97,-0.02,0.14
147,1,-0.97,-0.02,0.14
148,1,-0.97,-0.02,0.14
150,1,-0.97,-0.02,0.14
152,1,-0.97,-0.02,0.14
153,1,-0.97,-0.03,0.14
155,1,-0.97,-0.03,0.14
157,1,-0.97,-0.03,0.14
158,1,-0.97,-0.03,0.14
160,1,-0.97,-0.03,0.14
162,1,-0.97,-0.03,0.14
163,1,-0.97,-0.02,0.14
165,1,-0.97,-0.02,0.14
167,1,-0.97,-0.02,0.14
168,1,-0.97,-0.02,0.14
170,1,-0.97,-0.02,0.14
172,1,-0.97,-0.01,0.12
173,1,-0.97,-0.01,0.12
175,1,-0.97,-0.01,0.12
177,1,-0.97,-0.01,0.12
178,1,-0.97,-0.01,0.12
180,1,-0.97,-0.01,0.12
182,1,-0.96,-0.01,0.11
183,1,-0.96,-0.01,0.11
185,1,-0.96,-0.01,0.11
187,1,-0.96,-0.01,0.11
188,1,-0.96,-0.01,0.11
190,1,-0.96,-0.01,0.11
192,1,-0.97,-0.01,0.12
193,1,-0.97,-0.01,0.12
195,1,-0.97,-0.01,0.12
197,1,-0.97,-0.01,0.12
198,1,-0.97,-0.01,0.12
200,1,-0.97,-0.01,0.12
202,1,-0.97,-0.01,0.11
203,1,-0.97,-0.01,0.11
205,1,-0.97,-0.01,0.11
207,1,-0.97,-0.01,0.11
209,1,-0.97,-0.01,0.11
210,1,-0.97,-0.01,0.11
212,1,-0.97,-0.01,0.11
213,1,-0.97,-0.01,0.11
215,1,-0.97,-0.01,0.11
217,1,-0.97,-0.01,0.11
219,1,-0.97,-0.01,0.11
220,1,-0.97,-0.01,0.13
222,1,-0.97,-0.01,0.13
224,1,-0.97,-0.01,0.13
225,1,-0.97,-0.01,0.13
227,1,-0.97,-0.01,0.13
229,1,-0.97,-0.01,0.13
230,1,-0.97,-0.01,0.14
