t,l,x,y,z
0,1,-0.97,-0.16,0.02
2,1,-0.97,-0.16,0.02
4,1,-0.97,-0.16,0.02
5,1,-0.97,-0.16,0.02
7,1,-0.96,-0.15,0.02
9,1,-0.96,-0.15,0.02
10,1,-0.96,-0.15,0.02
12,1,-0.96,-0.15,0.02
14,1,-0.96,-0.15,0.02
15,1,-0.96,-0.15,0.02
17,1,-0.97,-0.16,-0.0
19,1,-0.97,-0.16,-0.0
20,1,-0.97,-0.16,-0.0
22,1,-0.97,-0.16,-0.0
24,1,-0.97,-0.16,-0.0
25,1,-0.97,-0.16,0.12
27,1,-0.97,-0.17,0.02
29,1,-0.97,-0.17,0.02
30,1,-0.97,-0.17,0.02
32,1,-0.97,-0.17,0.02
34,1,-0.97,-0.17,0.02
35,1,-0.97,-0.17,0.02
37,1,-0.97,-0.17,0.02
39,1,-0.97,-0.17,0.02
40,1,-0.97,-0.17,0.02
42,1,-0.97,-0.17,0.02
44,1,-0.97,-0.17,0.02
45,1,-0.98,-0.17,0.03
47,1,-0.98,-0.17,0.03
49,1,-0.98,-0.17,0.03
50,1,-0.98,-0.17,0.03
52,1,-0.98,-0.17,0.03
54,1,-0.98,-0.17,0.03
55,1,-0.98,-0.17,0.04
57,1,-0.98,-0.17,0.04
59,1,-0.98,-0.17,0.04
60,1,-0.98,-0.17,0.04
62,1,-0.98,-0.17,0.04
64,1,-0.98,-0.17,0.04
65,1,-0.96,-0.15,0.04
67,1,-0.96,-0.15,0.04
69,1,-0.96,-0.15,0.04
70,1,-0.96,-0.15,0.04
72,1,-0.96,-0.15,0.04
74,1,-0.96,-0.15,0.04
75,1,-0.96,-0.14,0.04
77,1,-0.96,-0.14,0.04
79,1,-0.96,-0.14,0.04
80,1,-0.96,-0.14,0.04
82,1,-0.96,-0.14,0.04
84,1,-0.96,-0.14,0.04
85,1,-0.97,-0.15,0.03
87,1,-0.97,-0.15,0.03
89,1,-0.97,-0.15,0.03
90,1,-0.97,-0.15,0.03
92,1,-0.97,-0.15,0.03
94,1,-0.97,-0.15,0.03
95,1,-0.97,-0.15,0.01
97,1,-0.97,-0.15,0.01
99,1,-0.97,-0.15,0.01
100,1,-0.97,-0.15,0.01
102,1,-0.97,-0.15,0.01
104,1,-0.97,-0.15,-0.01
105,1,-0.97,-0.15,-0.01
107,1,-0.97,-0.15,-0.01
109,1,-0.97,-0.15,-0.01
110,1,-0.97,-0.15,-0.01
112,1,-0.97,-0.15,-0.01
114,1,-0.97,-0.14,-0.01
115,1,-0.96,-0.14,-0.01
117,1,-0.96,-0.14,-0.01
119,1,-0.96,-0.14,-0.01
120,1,-0.96,-0.14,-0.01
122,1,-0.96,-0.14,-0.01
124,1,-0.97,-0.16,0.0
125,1,-0.97,-0.16,0.0
127,1,-0.97,-0.16,0.0
129,1,-0.97,-0.16,0.0
130,1,-0.97,-0.16,0.0
132,1,-0.97,-0.16,0.0
134,1,-0.96,-0.16,0.01
135,1,-0.96,-0.16,0.01
137,1,-0.96,-0.16,0.01
139,1,-0.96,-0.16,0.01
140,1,-0.96,-0.16,0.01
142,1,-0.96,-0.16,0.01
144,1,-0.96,-0.16,0.02
145,1,-0.96,-0.16,0.02
147,1,-0.96,-0.16,0.02
149,1,-0.96,-0.16,0.02
150,1,-0.96,-0.16,0.02
152,1,-0.96,-0.16,0.02
154,1,-0.97,-0.16,0.04
155,1,-0.97,-0.16,0.04
157,1,-0.97,-0.16,0.04
159,1,-0.97,-0.16,0.04
160,1,-0.97,-0.16,0.04
162,1,-0.97,-0.16,0.04
164,1,-0.97,-0.17,0.05
165,1,-0.97,-0.17,0.05
167,1,-0.97,-0.17,0.05
169,1,-0.97,-0.17,0.05
170,1,-0.97,-0.17,0.05
172,1,-0.97,-0.17,0.06
174,1,-0.99,-0.18,0.06
175,1,-0.99,-0.18,0.06
177,1,-0.99,-0.18,0.06
179,1,-0.99,-0.18,0.06
180,1,-0.99,-0.18,0.06
182,1,-0.99,-0.17,0.05
184,1,-0.98,-0.17,0.05
185,1,-0.98,-0.17,0.05
187,1,-0.98,-0.17,0.05
189,1,-0.98,-0.17,0.05
190,1,-0.98,-0.17,0.05
192,1,-0.97,-0.17,0.04
194,1,-0.97,-0.17,0.04
195,1,-0.97,-0.17,0.04
197,1,-0.97,-0.17,0.04
199,1,-0.97,-0.17,0.04
200,1,-0.97,-0.17,0.04
202,1,-0.96,-0.16,0.03
204,1,-0.96,-0.16,0.03
205,1,-0.96,-0.16,0.03
207,1,-0.96,-0.16,0.03
209,1,-0.96,-0.16,0.03
210,1,-0.96,-0.16,0.03
212,1,-0.96,-0.15,0.02
214,1,-0.96,-0.15,0.02
215,1,-0.96,-0.15,0.02
217,1,-0.96,-0.15,0.02
219,1,-0.96,-0.15,0.02
220,1,-0.96,-0.15,0.02
222,1,-0.97,-0.15,0.02
224,1,-0.97,-0.15,0.02
225,1,-0.97,-0.15,0.02
227,1,-0.97,-0.15,0.02
229,1,-0.97,-0.15,0.02
230,1,-0.97,-0.15,0.02
232,1,-0.97,-0.14,0.02
234,1,-0.97,-0.14,0.02
235,1,-0.97,-0.14,0.02
237,1,-0.97,-0.14,0.02
239,1,-0.97,-0.14,0.02
240,1,-0.97,-0.14,0.02
242,1,-0.97,-0.14,0.02
244,1,-0.97,-0.14,0.02
245,1,-0.97,-0.14,0.02
247,1,-0.97,-0.14,0.02
249,1,-0.97,-0.14,0.02
250,1,-0.97,-0.17,0.01
252,1,-0.98,-0.17,0.01
254,1,-0.98,-0.17,0.01
255,1,-0.98,-0.17,0.01
257,1,-0.98,-0.17,0.01
259,1,-0.98,-0.17,0.01
260,1,-0.98,-0.21,-0.02
262,1,-0.98,-0.21,-0.02
264,1,-0.98,-0.21,-0.02
265,1,-0.98,-0.21,-0.02
267,1,-0.98,-0.21,-0.02
