t,l,x,y,z
0,1,-0.98,0.01,-0.07
2,1,-0.98,0.01,-0.07
4,1,-0.98,0.01,-0.07
5,1,-0.98,0.01,-0.07
7,1,-0.98,0.01,-0.07
9,1,-0.98,-0.0,-0.06
10,1,-0.98,-0.0,-0.06
12,1,-0.98,-0.0,-0.06
14,1,-0.98,-0.0,-0.06
15,1,-0.98,-0.0,-0.06
17,1,-0.98,-0.0,-0.05
19,1,-0.98,-0.02,-0.05
20,1,-0.98,-0.02,-0.05
22,1,-0.98,-0.02,-0.05
24,1,-0.98,-0.02,-0.05
25,1,-0.98,-0.02,-0.05
27,1,-0.98,-0.03,-0.03
29,1,-0.98,-0.03,-0.03
30,1,-0.98,-0.03,-0.03
32,1,-0.98,-0.03,-0.03
34,1,-0.98,-0.03,-0.03
35,1,-0.98,-0.03,-0.03
37,1,-0.98,-0.05,-0.01
39,1,-0.98,-0.05,-0.01
40,1,-0.98,-0.05,-0.01
42,1,-0.98,-0.05,-0.01
44,1,-0.98,-0.05,-0.01
45,1,-0.98,-0.05,-0.01
47,1,-0.99,-0.05,0.0
49,1,-0.99,-0.05,0.0
50,1,-0.99,-0.05,0.0
52,1,-0.99,-0.05,0.0
54,1,-0.99,-0.05,0.0
55,1,-0.99,-0.05,0.0
57,1,-0.99,-0.05,-0.0
59,1,-0.99,-0.05,-0.0
60,1,-0.99,-0.05,-0.0
62,1,-0.99,-0.05,-0.0
64,1,-0.99,-0.05,-0.0
65,1,-0.99,-0.05,-0.0
67,1,-0.98,-0.04,-0.02
69,1,-0.98,-0.04,-0.02
71,1,-0.98,-0.04,-0.02
72,1,-0.98,-0.04,-0.02
74,1,-0.98,-0.04,-0.02
76,1,-0.98,-0.04,-0.04
77,1,-0.97,-0.02,-0.04
79,1,-0.97,-0.02,-0.04
81,1,-0.97,-0.02,-0.04
82,1,-0.97,-0.02,-0.04
84,1,-0.97,-0.02,-0.04
86,1,-0.97,0.0,-0.06
87,1,-0.97,0.0,-0.06
89,1,-0.97,0.0,-0.06
90,1,-0.97,0.0,-0.06
92,1,-0.97,0.0,-0.06
94,1,-0.97,0.0,-0.06
95,1,-0.98,0.01,-0.07
97,1,-0.98,0.01,-0.07
99,1,-0.98,0.01,-0.07
100,1,-0.98,0.01,-0.07
102,1,-0.98,0.01,-0.07
104,1,-0.98,0.01,-0.07
105,1,-0.98,0.01,-0.08
107,1,-0.98,0.01,-0.08
109,1,-0.98,0.01,-0.08
110,1,-0.98,0.01,-0.08
112,1,-0.98,0.01,-0.08
114,1,-0.98,0.01,-0.08
115,1,-0.98,0.0,-0.08
117,1,-0.98,0.0,-0.08
119,1,-0.98,0.0,-0.08
120,1,-0.98,0.0,-0.08
122,1,-0.98,0.0,-0.08
124,1,-0.98,0.0,-0.08
125,1,-0.98,-0.02,-0.07
127,1,-0.98,-0.02,-0.07
