t,l,x,y,z
0,1,-0.98,0.03,0.06
2,1,-0.98,0.03,0.06
4,1,-0.98,0.03,0.06
5,1,-0.98,0.03,0.06
7,1,-0.98,0.03,0.06
9,1,-0.98,0.03,0.06
10,1,-0.98,0.03,0.06
12,1,-0.98,0.03,0.06
14,1,-0.98,0.03,0.06
15,1,-0.98,0.03,0.06
17,1,-0.98,0.03,0.06
19,1,-0.98,0.03,0.06
20,1,-0.98,0.03,0.06
22,1,-0.98,0.03,0.06
23,1,-0.98,0.03,0.06
25,1,-0.98,0.03,0.06
27,1,-0.98,0.03,0.06
28,1,-0.98,0.03,0.06
30,1,-0.98,0.03,0.05
32,1,-0.98,0.03,0.05
33,1,-0.98,0.03,0.05
35,1,-0.98,0.03,0.05
37,1,-0.98,0.03,0.05
38,1,-0.98,0.03,0.05
40,1,-0.98,0.02,0.04
42,1,-0.98,0.02,0.04
43,1,-0.98,0.02,0.04
45,1,-0.98,0.02,0.04
46,1,-0.98,0.02,0.04
48,1,-0.98,0.02,0.04
50,1,-0.98,0.01,0.05
51,1,-0.98,0.01,0.05
53,1,-0.98,0.01,0.05
55,1,-0.98,0.01,0.05
56,1,-0.98,0.01,0.05
58,1,-0.98,0.01,0.05
60,1,-0.99,0.01,0.09
61,1,-0.99,0.01,0.09
63,1,-0.99,0.01,0.09
65,1,-0.99,0.01,0.09
66,1,-0.99,0.01,0.09
68,1,-0.99,0.01,0.09
70,1,-0.98,0.02,0.1
71,1,-0.98,0.02,0.1
73,1,-0.98,0.02,0.1
75,1,-0.98,0.02,0.1
76,1,-0.98,0.02,0.1
78,1,-0.98,0.02,0.1
80,1,-0.98,0.03,0.1
81,1,-0.98,0.03,0.1
83,1,-0.98,0.03,0.1
85,1,-0.98,0.03,0.1
86,1,-0.98,0.03,0.1
88,1,-0.98,0.03,0.1
90,1,-0.98,0.03,0.1
91,1,-0.98,0.03,0.1
93,1,-0.98,0.03,0.1
95,1,-0.98,0.03,0.1
96,1,-0.98,0.03,0.1
98,1,-0.98,0.04,0.09
100,1,-0.98,0.04,0.09
101,1,-0.98,0.04,0.09
103,1,-0.98,0.04,0.09
105,1,-0.98,0.04,0.09
106,1,-0.98,0.04,0.09
108,1,-0.97,0.04,0.09
110,1,-0.97,0.04,0.09
111,1,-0.97,0.04,0.09
113,1,-0.97,0.04,0.09
115,1,-0.97,0.04,0.09
116,1,-0.97,0.04,0.09
118,1,-0.98,0.04,0.06
120,1,-0.98,0.04,0.06
121,1,-0.98,0.04,0.06
123,1,-0.98,0.04,0.06
125,1,-0.98,0.04,0.06
126,1,-0.98,0.04,0.06
128,1,-0.99,0.03,0.04
130,1,-0.99,0.03,0.04
131,1,-0.99,0.03,0.04
133,1,-0.99,0.03,0.04
134,1,-0.99,0.03,0.04
136,1,-0.99,0.03,0.04
138,1,-0.98,0.02,0.05
139,1,-0.98,0.02,0.05
141,1,-0.98,0.02,0.05
143,1,-0.98,0.02,0.05
144,1,-0.98,0.02,0.05
146,1,-0.98,0.02,0.05
148,1,-0.99,0.02,0.03
149,1,-0.99,0.02,0.03
151,1,-0.99,0.02,0.03
153,1,-0.99,0.02,0.03
154,1,-0.99,0.02,0.03
156,1,-0.99,0.02,0.03
158,1,-0.98,0.02,0.03
159,1,-0.98,0.02,0.03
161,1,-0.98,0.02,0.03
163,1,-0.98,0.02,0.03
164,1,-0.98,0.02,0.03
166,1,-0.98,0.02,0.04
168,1,-0.98,0.02,0.04
169,1,-0.98,0.02,0.04
171,1,-0.98,0.02,0.04
173,1,-0.98,0.02,0.04
174,1,-0.98,0.02,0.04
176,1,-0.98,0.03,0.07
178,1,-0.98,0.03,0.07
179,1,-0.98,0.03,0.07
181,1,-0.98,0.03,0.07
183,1,-0.98,0.03,0.07
184,1,-0.98,0.03,0.07
186,1,-0.99,0.02,0.09
188,1,-0.99,0.02,0.09
189,1,-0.99,0.02,0.09
191,1,-0.99,0.02,0.09
193,1,-0.99,0.02,0.09
194,1,-0.99,0.02,0.09
196,1,-0.98,0.02,0.1
198,1,-0.98,0.02,0.1
199,1,-0.98,0.02,0.1
201,1,-0.98,0.02,0.1
203,1,-0.98,0.02,0.1
204,1,-0.98,0.02,0.1
206,1,-0.98,0.03,0.1
208,1,-0.98,0.03,0.1
209,1,-0.98,0.03,0.1
211,1,-0.98,0.03,0.1
213,1,-0.98,0.03,0.1
214,1,-0.98,0.03,0.1
216,1,-0.97,0.03,0.1
218,1,-0.97,0.03,0.1
219,1,-0.97,0.03,0.1
221,1,-0.97,0.03,0.1
223,1,-0.97,0.03,0.1
224,1,-0.97,0.03,0.1
226,1,-0.97,0.04,0.1
228,1,-0.97,0.04,0.1
229,1,-0.97,0.04,0.1
231,1,-0.97,0.04,0.1
233,1,-0.97,0.04,0.1
234,1,-0.97,0.04,0.1
236,1,-0.98,0.03,0.1
238,1,-0.98,0.03,0.1
239,1,-0.98,0.03,0.1
241,1,-0.98,0.03,0.1
243,1,-0.98,0.03,0.1
244,1,-0.98,0.03,0.1
246,1,-0.98,0.03,0.1
248,1,-0.98,0.03,0.1
249,1,-0.98,0.03,0.1
251,1,-0.98,0.03,0.1
253,1,-0.98,0.03,0.1
254,1,-0.98,0.02,0.1
256,1,-0.98,0.02,0.1
258,1,-0.98,0.02,0.1
259,1,-0.98,0.02,0.1
261,1,-0.98,0.02,0.1
263,1,-0.98,0.02,0.1
264,1,-0.98,0.01,0.09
266,1,-0.98,0.01,0.09
268,1,-0.98,0.01,0.09
269,1,-0.98,0.01,0.09
271,1,-0.98,0.01,0.09
273,1,-0.98,0.01,0.09
274,1,-0.97,0.01,0.09
276,1,-0.97,0.01,0.09
278,1,-0.97,0.01,0.09
279,1,-0.97,0.01,0.09
281,1,-0.97,0.01,0.09
283,1,-0.97,0.01,0.09
284,1,-0.99,0.01,0.06
286,1,-0.99,0.01,0.06
288,1,-0.99,0.01,0.06
289,1,-0.99,0.01,0.06
291,1,-0.99,0.01,0.06
293,1,-0.99,0.01,0.06
294,1,-0.98,0.01,0.04
296,1,-0.98,0.01,0.04
298,1,-0.98,0.01,0.04
299,1,-0.98,0.01,0.04
301,1,-0.98,0.01,0.04
303,1,-0.98,0.01,0.03
304,1,-0.98,0.02,0.03
306,1,-0.98,0.02,0.03
308,1,-0.98,0.02,0.03
309,1,-0.98,0.02,0.03
311,1,-0.98,0.02,0.03
313,1,-0.98,0.03,0.02
