t,l,x,y,z
0,1,-0.99,-0.06,0.03
1,1,-0.99,-0.06,0.03
3,1,-0.99,-0.06,0.03
5,1,-0.99,-0.03,0.02
6,1,-0.99,-0.03,0.02
8,1,-0.99,-0.03,0.02
10,1,-0.99,-0.03,0.02
11,1,-0.99,-0.03,0.02
13,1,-0.99,-0.03,0.02
15,1,-0.99,0.0,-0.02
16,1,-0.99,0.0,-0.02
18,1,-0.99,0.0,-0.02
20,1,-0.99,0.0,-0.02
21,1,-0.99,0.0,-0.02
23,1,-0.99,0.0,-0.02
25,1,-0.96,0.03,-0.03
26,1,-0.96,0.03,-0.03
28,1,-0.96,0.03,-0.03
30,1,-0.96,0.03,-0.03
31,1,-0.96,0.03,-0.03
33,1,-0.96,0.03,-0.03
35,1,-0.99,0.06,-0.04
36,1,-0.99,0.06,-0.04
38,1,-0.99,0.06,-0.04
40,1,-0.99,0.06,-0.04
41,1,-0.99,0.06,-0.04
43,1,-0.99,0.06,-0.04
45,1,-0.97,0.05,-0.05
46,1,-0.97,0.05,-0.05
48,1,-0.97,0.05,-0.05
50,1,-0.97,0.05,-0.05
51,1,-0.97,0.05,-0.05
53,1,-0.97,0.02,-0.02
55,1,-0.98,0.02,-0.02
56,1,-0.98,0.02,-0.02
58,1,-0.98,0.02,-0.02
60,1,-0.98,0.02,-0.02
61,1,-0.98,0.02,-0.02
63,1,-0.99,-0.02,0.0
65,1,-0.99,-0.02,0.0
66,1,-0.99,-0.02,0.0
68,1,-0.99,-0.02,0.0
70,1,-0.99,-0.02,0.0
71,1,-0.99,-0.02,0.0
73,1,-0.99,-0.05,0.02
75,1,-0.99,-0.05,0.02
76,1,-0.99,-0.05,0.02
78,1,-0.99,-0.05,0.02
80,1,-0.99,-0.05,0.02
81,1,-0.99,-0.05,0.02
83,1,-0.99,-0.07,0.02
85,1,-0.99,-0.07,0.02
86,1,-0.99,-0.07,0.02
88,1,-0.99,-0.07,0.02
90,1,-0.99,-0.07,0.02
91,1,-0.99,-0.07,0.02
93,1,-0.99,-0.06,0.02
95,1,-0.99,-0.06,0.02
96,1,-0.99,-0.06,0.02
98,1,-0.99,-0.06,0.02
100,1,-0.99,-0.06,0.02
101,1,-0.99,-0.06,0.02
