t,l,x,y,z
0,1,-0.98,0.07,0.17
1,1,-0.98,0.07,0.17
3,1,-0.98,0.07,0.17
5,1,-0.98,0.07,0.12
7,1,-0.98,0.07,0.12
8,1,-0.98,0.07,0.12
10,1,-0.98,0.07,0.12
12,1,-0.98,0.07,0.12
13,1,-0.98,0.07,0.12
15,1,-0.98,0.05,0.07
17,1,-0.98,0.05,0.07
18,1,-0.98,0.05,0.07
20,1,-0.98,0.05,0.07
22,1,-0.98,0.05,0.07
23,1,-0.98,0.05,0.07
25,1,-0.98,0.04,0.03
27,1,-0.98,0.04,0.03
28,1,-0.98,0.04,0.03
30,1,-0.98,0.04,0.03
32,1,-0.98,0.04,0.03
34,1,-0.98,0.04,0.03
35,1,-0.99,0.03,0.01
37,1,-0.99,0.03,0.01
39,1,-0.99,0.03,0.01
40,1,-0.99,0.03,0.01
42,1,-0.99,0.03,0.01
43,1,-0.99,0.03,0.01
45,1,-0.99,0.02,-0.01
47,1,-0.99,0.02,-0.01
48,1,-0.99,0.02,-0.01
50,1,-0.99,0.02,-0.01
52,1,-0.99,0.02,-0.01
53,1,-0.99,0.02,-0.01
55,1,-1.0,0.02,-0.01
57,1,-1.0,0.02,-0.01
58,1,-1.0,0.02,-0.01
60,1,-1.0,0.02,-0.01
62,1,-1.0,0.02,-0.01
63,1,-1.0,0.02,0.01
65,1,-1.0,0.01,0.01
66,1,-1.0,0.01,0.01
68,1,-1.0,0.01,0.01
70,1,-1.0,0.01,0.01
71,1,-1.0,0.01,0.01
73,1,-1.0,0.01,0.0
75,1,-0.99,0.02,0.0
76,1,-0.99,0.02,0.0
78,1,-0.99,0.02,0.0
80,1,-0.99,0.02,0.0
81,1,-0.99,0.02,0.0
83,1,-0.99,0.04,-0.01
85,1,-0.99,0.04,-0.01
86,1,-0.99,0.04,-0.01
88,1,-0.99,0.04,-0.01
90,1,-0.99,0.04,-0.01
91,1,-0.99,0.04,-0.01
93,1,-0.98,0.06,-0.0
95,1,-0.98,0.06,-0.0
96,1,-0.98,0.06,-0.0
98,1,-0.98,0.06,-0.0
100,1,-0.98,0.06,-0.0
101,1,-0.98,0.06,-0.0
103,1,-0.98,0.06,0.03
105,1,-0.98,0.06,0.03
106,1,-0.98,0.06,0.03
108,1,-0.98,0.06,0.03
109,1,-0.98,0.06,0.03
111,1,-0.98,0.06,0.03
113,1,-0.98,0.06,0.06
114,1,-0.98,0.06,0.06
116,1,-0.98,0.06,0.06
118,1,-0.98,0.06,0.06
119,1,-0.98,0.06,0.06
121,1,-0.98,0.06,0.06
123,1,-0.98,0.05,0.09
124,1,-0.98,0.05,0.09
126,1,-0.98,0.05,0.09
128,1,-0.98,0.05,0.09
129,1,-0.98,0.05,0.09
131,1,-0.98,0.05,0.09
133,1,-0.98,0.05,0.11
134,1,-0.98,0.05,0.11
136,1,-0.98,0.05,0.11
138,1,-0.98,0.05,0.11
139,1,-0.98,0.05,0.11
141,1,-0.98,0.05,0.11
143,1,-0.98,0.05,0.1
144,1,-0.98,0.05,0.1
146,1,-0.98,0.05,0.1
148,1,-0.98,0.05,0.1
149,1,-0.98,0.05,0.1
151,1,-0.98,0.05,0.08
153,1,-0.98,0.04,0.08
154,1,-0.98,0.04,0.08
156,1,-0.98,0.04,0.08
158,1,-0.98,0.04,0.08
159,1,-0.98,0.04,0.08
161,1,-0.98,0.03,0.06
163,1,-0.99,0.03,0.06
164,1,-0.99,0.03,0.06
166,1,-0.99,0.03,0.06
168,1,-0.99,0.03,0.06
169,1,-0.99,0.03,0.06
171,1,-0.98,0.02,0.04
173,1,-0.98,0.02,0.04
174,1,-0.98,0.02,0.04
176,1,-0.98,0.02,0.04
178,1,-0.98,0.02,0.04
179,1,-0.98,0.02,0.04
181,1,-0.99,0.02,0.03
183,1,-0.99,0.02,0.03
184,1,-0.99,0.02,0.03
186,1,-0.99,0.02,0.03
188,1,-0.99,0.02,0.03
189,1,-0.99,0.02,0.03
191,1,-0.98,0.04,0.02
193,1,-0.98,0.04,0.02
194,1,-0.98,0.04,0.02
196,1,-0.98,0.04,0.02
198,1,-0.98,0.04,0.02
199,1,-0.98,0.04,0.02
201,1,-0.99,0.04,0.01
202,1,-0.99,0.04,0.01
204,1,-0.99,0.04,0.01
206,1,-0.99,0.04,0.01
207,1,-0.99,0.04,0.01
209,1,-0.99,0.04,0.01
211,1,-0.99,0.04,-0.0
212,1,-0.99,0.04,-0.0
214,1,-0.99,0.04,-0.0
216,1,-0.99,0.04,-0.0
217,1,-0.99,0.04,-0.0
219,1,-0.99,0.04,-0.0
221,1,-0.98,0.05,-0.01
222,1,-0.98,0.05,-0.01
224,1,-0.98,0.05,-0.01
226,1,-0.98,0.05,-0.01
227,1,-0.98,0.05,-0.01
229,1,-0.98,0.05,-0.01
231,1,-0.99,0.05,-0.0
232,1,-0.99,0.05,-0.0
234,1,-0.99,0.05,-0.0
236,1,-0.99,0.05,-0.0
237,1,-0.99,0.05,-0.0
239,1,-0.99,0.05,0.04
241,1,-0.97,0.06,0.04
242,1,-0.97,0.06,0.04
244,1,-0.97,0.06,0.04
246,1,-0.97,0.06,0.04
247,1,-0.97,0.06,0.04
249,1,-0.97,0.06,0.15
251,1,-0.98,0.04,0.15
252,1,-0.98,0.04,0.15
254,1,-0.98,0.04,0.15
256,1,-0.98,0.04,0.15
257,1,-0.98,0.04,0.15
259,1,-0.99,0.04,0.2
261,1,-0.99,0.04,0.2
262,1,-0.99,0.04,0.2
264,1,-0.99,0.04,0.2
266,1,-0.99,0.04,0.2
267,1,-0.99,0.04,0.2
269,1,-0.98,0.05,0.2
271,1,-0.98,0.05,0.2
272,1,-0.98,0.05,0.2
274,1,-0.98,0.05,0.2
276,1,-0.98,0.05,0.2
277,1,-0.98,0.05,0.2
279,1,-0.99,0.05,0.18
281,1,-0.99,0.05,0.18
283,1,-0.99,0.05,0.18
284,1,-0.99,0.05,0.18
286,1,-0.99,0.05,0.18
288,1,-0.99,0.05,0.18
289,1,-0.98,0.05,0.14
291,1,-0.98,0.05,0.14
293,1,-0.98,0.05,0.14
294,1,-0.98,0.05,0.14
296,1,-0.98,0.05,0.14
298,1,-0.98,0.05,0.09
299,1,-0.98,0.05,0.09
301,1,-0.98,0.05,0.09
303,1,-0.98,0.05,0.09
304,1,-0.98,0.05,0.09
306,1,-0.98,0.05,0.09
308,1,-0.98,0.05,0.01
309,1,-0.98,0.05,0.01
311,1,-0.98,0.05,0.01
313,1,-0.98,0.05,0.01
314,1,-0.98,0.05,0.01
316,1,-0.98,0.05,0.01
318,1,-0.98,0.05,-0.05
319,1,-0.98,0.05,-0.05
321,1,-0.98,0.05,-0.05
323,1,-0.98,0.05,-0.05
324,1,-0.98,0.05,-0.05
326,1,-0.98,0.05,-0.05
328,1,-0.99,0.04,-0.09
329,1,-0.99,0.04,-0.09
331,1,-0.99,0.04,-0.09
333,1,-0.99,0.04,-0.09
334,1,-0.99,0.04,-0.09
336,1,-0.99,0.04,-0.09
338,1,-0.99,0.03,-0.12
339,1,-0.99,0.03,-0.12
341,1,-0.99,0.03,-0.12
343,1,-0.99,0.03,-0.12
344,1,-0.99,0.03,-0.12
346,1,-0.99,0.03,-0.12
348,1,-0.99,0.03,-0.08
349,1,-0.99,0.03,-0.08
351,1,-0.99,0.03,-0.08
353,1,-0.99,0.03,-0.08
354,1,-0.99,0.03,-0.08
356,1,-0.99,0.03,-0.08
357,1,-0.99,0.02,-0.04
359,1,-0.99,0.02,-0.04
361,1,-0.99,0.02,-0.04
362,1,-0.99,0.02,-0.04
364,1,-0.99,0.02,-0.04
366,1,-0.99,0.02,0.0
368,1,-0.98,0.03,0.0
369,1,-0.98,0.03,0.0
371,1,-0.98,0.03,0.0
373,1,-0.98,0.03,0.0
374,1,-0.98,0.03,0.0
376,1,-0.99,0.04,0.09
378,1,-0.99,0.04,0.09
379,1,-0.99,0.04,0.09
