t,l,x,y,z
0,1,-0.98,-0.07,0.07
1,1,-0.98,-0.07,0.07
3,1,-0.98,-0.07,0.07
5,1,-0.98,-0.07,0.07
6,1,-0.98,-0.07,0.07
8,1,-0.98,-0.07,0.07
10,1,-0.98,-0.07,0.07
11,1,-0.98,-0.07,0.07
13,1,-0.98,-0.07,0.07
15,1,-0.97,-0.07,0.06
16,1,-0.97,-0.07,0.06
18,1,-0.97,-0.07,0.06
20,1,-0.97,-0.07,0.06
21,1,-0.97,-0.07,0.06
23,1,-0.97,-0.07,0.06
25,1,-0.98,-0.07,0.08
26,1,-0.98,-0.07,0.08
28,1,-0.98,-0.07,0.08
30,1,-0.98,-0.07,0.08
31,1,-0.98,-0.07,0.08
33,1,-0.98,-0.07,0.08
35,1,-0.99,-0.07,0.08
36,1,-0.99,-0.07,0.08
38,1,-0.99,-0.07,0.08
40,1,-0.99,-0.07,0.08
41,1,-0.99,-0.07,0.08
43,1,-0.99,-0.07,0.07
45,1,-0.98,-0.07,0.07
46,1,-0.98,-0.07,0.07
48,1,-0.98,-0.07,0.07
50,1,-0.98,-0.07,0.07
51,1,-0.98,-0.07,0.07
53,1,-0.96,-0.07,0.08
55,1,-0.96,-0.07,0.08
56,1,-0.96,-0.07,0.08
58,1,-0.96,-0.07,0.08
60,1,-0.96,-0.07,0.08
61,1,-0.96,-0.07,0.08
63,1,-0.96,-0.08,0.07
65,1,-0.96,-0.08,0.07
66,1,-0.96,-0.08,0.07
68,1,-0.96,-0.08,0.07
70,1,-0.96,-0.08,0.07
71,1,-0.96,-0.08,0.07
73,1,-0.98,-0.07,0.07
75,1,-0.98,-0.07,0.07
76,1,-0.98,-0.07,0.07
78,1,-0.98,-0.07,0.07
80,1,-0.98,-0.07,0.07
81,1,-0.98,-0.07,0.07
83,1,-0.98,-0.07,0.08
85,1,-0.98,-0.07,0.08
86,1,-0.98,-0.07,0.08
88,1,-0.98,-0.07,0.08
90,1,-0.98,-0.07,0.08
91,1,-0.98,-0.07,0.08
93,1,-0.98,-0.07,0.08
95,1,-0.98,-0.07,0.08
96,1,-0.98,-0.07,0.08
98,1,-0.98,-0.07,0.08
100,1,-0.98,-0.07,0.08
101,1,-0.98,-0.07,0.08
103,1,-0.98,-0.07,0.08
105,1,-0.98,-0.07,0.08
106,1,-0.98,-0.07,0.08
108,1,-0.98,-0.07,0.08
110,1,-0.98,-0.07,0.08
111,1,-0.98,-0.07,0.07
113,1,-0.97,-0.07,0.07
115,1,-0.97,-0.07,0.07
116,1,-0.97,-0.07,0.07
118,1,-0.97,-0.07,0.07
120,1,-0.97,-0.07,0.07
121,1,-0.97,-0.07,0.07
123,1,-0.97,-0.07,0.07
125,1,-0.97,-0.07,0.07
126,1,-0.97,-0.07,0.07
128,1,-0.97,-0.07,0.07
130,1,-0.97,-0.07,0.07
131,1,-0.97,-0.07,0.08
133,1,-0.97,-0.07,0.08
135,1,-0.97,-0.07,0.08
136,1,-0.97,-0.07,0.08
138,1,-0.97,-0.07,0.08
140,1,-0.97,-0.07,0.08
141,1,-0.98,-0.07,0.08
143,1,-0.98,-0.07,0.08
145,1,-0.98,-0.07,0.08
146,1,-0.98,-0.07,0.08
148,1,-0.98,-0.07,0.08
150,1,-0.98,-0.07,0.08
151,1,-0.97,-0.07,0.07
153,1,-0.97,-0.07,0.07
155,1,-0.97,-0.07,0.07
156,1,-0.97,-0.07,0.07
158,1,-0.97,-0.07,0.07
160,1,-0.97,-0.07,0.07
161,1,-0.97,-0.08,0.06
163,1,-0.97,-0.08,0.06
165,1,-0.97,-0.08,0.06
166,1,-0.97,-0.08,0.06
168,1,-0.97,-0.08,0.06
170,1,-0.97,-0.08,0.06
171,1,-0.97,-0.07,0.07
173,1,-0.97,-0.07,0.07
175,1,-0.97,-0.07,0.07
176,1,-0.97,-0.07,0.07
178,1,-0.97,-0.07,0.07
180,1,-0.97,-0.07,0.08
181,1,-0.98,-0.07,0.08
183,1,-0.98,-0.07,0.08
185,1,-0.98,-0.07,0.08
186,1,-0.98,-0.07,0.08
188,1,-0.98,-0.07,0.08
190,1,-0.99,-0.07,0.08
191,1,-0.99,-0.07,0.08
193,1,-0.99,-0.07,0.08
195,1,-0.99,-0.07,0.08
196,1,-0.99,-0.07,0.08
198,1,-0.99,-0.07,0.08
200,1,-0.98,-0.07,0.08
201,1,-0.98,-0.07,0.08
203,1,-0.98,-0.07,0.08
205,1,-0.98,-0.07,0.08
206,1,-0.98,-0.07,0.08
208,1,-0.98,-0.07,0.08
210,1,-0.96,-0.07,0.07
211,1,-0.96,-0.07,0.07
213,1,-0.96,-0.07,0.07
215,1,-0.96,-0.07,0.07
216,1,-0.96,-0.07,0.07
218,1,-0.96,-0.07,0.07
220,1,-0.97,-0.07,0.08
221,1,-0.97,-0.07,0.08
223,1,-0.97,-0.07,0.08
225,1,-0.97,-0.07,0.08
226,1,-0.97,-0.07,0.08
228,1,-0.97,-0.07,0.08
230,1,-0.99,-0.07,0.09
231,1,-0.99,-0.07,0.09
233,1,-0.99,-0.07,0.09
235,1,-0.99,-0.07,0.09
236,1,-0.99,-0.07,0.09
238,1,-0.99,-0.07,0.09
240,1,-0.98,-0.07,0.08
241,1,-0.98,-0.07,0.08
243,1,-0.98,-0.07,0.08
245,1,-0.98,-0.07,0.08
246,1,-0.98,-0.07,0.08
248,1,-0.98,-0.07,0.08
250,1,-0.97,-0.08,0.08
251,1,-0.97,-0.08,0.08
253,1,-0.97,-0.08,0.08
255,1,-0.97,-0.08,0.08
256,1,-0.97,-0.08,0.08
258,1,-0.97,-0.07,0.08
259,1,-0.96,-0.07,0.08
261,1,-0.96,-0.07,0.08
263,1,-0.96,-0.07,0.08
264,1,-0.96,-0.07,0.08
266,1,-0.96,-0.07,0.08
268,1,-0.98,-0.07,0.07
269,1,-0.98,-0.07,0.07
271,1,-0.98,-0.07,0.07
273,1,-0.98,-0.07,0.07
274,1,-0.98,-0.07,0.07
276,1,-0.98,-0.07,0.07
278,1,-0.97,-0.07,0.07
279,1,-0.97,-0.07,0.07
281,1,-0.97,-0.07,0.07
283,1,-0.97,-0.07,0.07
284,1,-0.97,-0.07,0.07
286,1,-0.97,-0.07,0.07
288,1,-0.97,-0.07,0.07
289,1,-0.97,-0.07,0.07
291,1,-0.97,-0.07,0.07
293,1,-0.97,-0.07,0.07
294,1,-0.97,-0.07,0.07
296,1,-0.97,-0.07,0.07
298,1,-0.98,-0.08,0.08
299,1,-0.98,-0.08,0.08
301,1,-0.98,-0.08,0.08
303,1,-0.98,-0.08,0.08
304,1,-0.98,-0.08,0.08
306,1,-0.98,-0.08,0.08
308,1,-0.98,-0.07,0.08
309,1,-0.98,-0.07,0.08
311,1,-0.98,-0.07,0.08
313,1,-0.98,-0.07,0.08
314,1,-0.98,-0.07,0.08
316,1,-0.98,-0.07,0.08
318,1,-0.97,-0.07,0.07
319,1,-0.97,-0.07,0.07
321,1,-0.97,-0.07,0.07
323,1,-0.97,-0.07,0.07
324,1,-0.97,-0.07,0.07
326,1,-0.97,-0.07,0.07
328,1,-0.98,-0.07,0.07
329,1,-0.98,-0.07,0.07
331,1,-0.98,-0.07,0.07
333,1,-0.98,-0.07,0.07
334,1,-0.98,-0.07,0.07
336,1,-0.98,-0.06,0.07
338,1,-0.97,-0.06,0.07
339,1,-0.97,-0.06,0.07
341,1,-0.97,-0.06,0.07
342,1,-0.97,-0.06,0.07
344,1,-0.97,-0.06,0.07
346,1,-0.97,-0.06,0.07
347,1,-0.97,-0.06,0.07
349,1,-0.97,-0.06,0.07
351,1,-0.97,-0.06,0.07
352,1,-0.97,-0.06,0.07
354,1,-0.97,-0.06,0.07
356,1,-0.97,-0.06,0.07
357,1,-0.97,-0.06,0.07
359,1,-0.97,-0.06,0.07
361,1,-0.97,-0.06,0.07
362,1,-0.97,-0.06,0.07
364,1,-0.97,-0.06,0.07
366,1,-0.98,-0.07,0.07
367,1,-0.98,-0.07,0.07
369,1,-0.98,-0.07,0.07
371,1,-0.98,-0.07,0.07
372,1,-0.98,-0.07,0.07
374,1,-0.98,-0.07,0.07
376,1,-0.98,-0.07,0.08
377,1,-0.98,-0.07,0.08
379,1,-0.98,-0.07,0.08
381,1,-0.98,-0.07,0.08
382,1,-0.98,-0.07,0.08
384,1,-0.98,-0.07,0.08
386,1,-0.98,-0.07,0.08
387,1,-0.98,-0.07,0.08
389,1,-0.98,-0.07,0.08
391,1,-0.98,-0.07,0.08
392,1,-0.98,-0.07,0.08
394,1,-0.98,-0.07,0.08
396,1,-0.98,-0.08,0.08
397,1,-0.98,-0.08,0.08
399,1,-0.98,-0.08,0.08
401,1,-0.98,-0.08,0.08
402,1,-0.98,-0.08,0.08
404,1,-0.98,-0.08,0.08
406,1,-0.97,-0.08,0.08
407,1,-0.97,-0.08,0.08
409,1,-0.97,-0.08,0.08
411,1,-0.97,-0.08,0.08
412,1,-0.97,-0.08,0.08
414,1,-0.97,-0.08,0.08
416,1,-0.97,-0.08,0.08
417,1,-0.97,-0.08,0.08
419,1,-0.97,-0.08,0.08
421,1,-0.97,-0.08,0.08
422,1,-0.97,-0.08,0.08
424,1,-0.97,-0.07,0.08
426,1,-0.96,-0.07,0.08
427,1,-0.96,-0.07,0.08
429,1,-0.96,-0.07,0.08
431,1,-0.96,-0.07,0.08
432,1,-0.96,-0.07,0.08
434,1,-0.97,-0.06,0.07
436,1,-0.97,-0.06,0.07
437,1,-0.97,-0.06,0.07
439,1,-0.97,-0.06,0.07
441,1,-0.97,-0.06,0.07
442,1,-0.97,-0.06,0.07
444,1,-0.97,-0.06,0.07
446,1,-0.97,-0.06,0.07
447,1,-0.97,-0.06,0.07
449,1,-0.97,-0.06,0.07
451,1,-0.97,-0.06,0.07
452,1,-0.97,-0.06,0.07
454,1,-0.98,-0.06,0.07
456,1,-0.98,-0.06,0.07
457,1,-0.98,-0.06,0.07
459,1,-0.98,-0.06,0.07
461,1,-0.98,-0.06,0.07
462,1,-0.98,-0.06,0.07
464,1,-0.97,-0.07,0.08
466,1,-0.97,-0.07,0.08
467,1,-0.97,-0.07,0.08
469,1,-0.97,-0.07,0.08
471,1,-0.97,-0.07,0.08
472,1,-0.97,-0.07,0.08
474,1,-0.98,-0.07,0.08
476,1,-0.98,-0.07,0.08
477,1,-0.98,-0.07,0.08
479,1,-0.98,-0.07,0.08
481,1,-0.98,-0.07,0.08
482,1,-0.98,-0.07,0.08
484,1,-0.98,-0.07,0.08
486,1,-0.98,-0.07,0.08
487,1,-0.98,-0.07,0.08
489,1,-0.98,-0.07,0.08
491,1,-0.98,-0.07,0.08
492,1,-0.98,-0.07,0.09
494,1,-0.98,-0.07,0.09
496,1,-0.98,-0.07,0.09
497,1,-0.98,-0.07,0.09
499,1,-0.98,-0.07,0.09
501,1,-0.98,-0.07,0.09
502,1,-0.98,-0.07,0.08
504,1,-0.98,-0.07,0.08
506,1,-0.98,-0.07,0.08
507,1,-0.98,-0.07,0.08
509,1,-0.98,-0.07,0.08
511,1,-0.98,-0.07,0.08
512,1,-0.97,-0.06,0.08
514,1,-0.97,-0.06,0.08
516,1,-0.97,-0.06,0.08
517,1,-0.97,-0.06,0.08
519,1,-0.97,-0.06,0.08
521,1,-0.97,-0.06,0.08
522,1,-0.97,-0.07,0.07
524,1,-0.97,-0.07,0.07
526,1,-0.97,-0.07,0.07
527,1,-0.97,-0.07,0.07
529,1,-0.97,-0.07,0.07
531,1,-0.97,-0.07,0.07
532,1,-0.98,-0.06,0.07
534,1,-0.98,-0.06,0.07
536,1,-0.98,-0.06,0.07
537,1,-0.98,-0.06,0.07
539,1,-0.98,-0.06,0.07
541,1,-0.98,-0.06,0.07
542,1,-0.97,-0.06,0.06
544,1,-0.97,-0.06,0.06
546,1,-0.97,-0.06,0.06
547,1,-0.97,-0.06,0.06
549,1,-0.97,-0.06,0.06
551,1,-0.97,-0.06,0.06
552,1,-0.97,-0.06,0.07
554,1,-0.97,-0.06,0.07
556,1,-0.97,-0.06,0.07
557,1,-0.97,-0.06,0.07
559,1,-0.97,-0.06,0.07
561,1,-0.97,-0.07,0.07
562,1,-0.97,-0.07,0.07
564,1,-0.97,-0.07,0.07
566,1,-0.97,-0.07,0.07
567,1,-0.97,-0.07,0.07
569,1,-0.97,-0.07,0.07
571,1,-0.97,-0.08,0.08
572,1,-0.97,-0.08,0.08
574,1,-0.97,-0.08,0.08
576,1,-0.97,-0.08,0.08
577,1,-0.97,-0.08,0.08
579,1,-0.97,-0.08,0.08
581,1,-0.98,-0.08,0.09
582,1,-0.98,-0.08,0.09
584,1,-0.98,-0.08,0.09
586,1,-0.98,-0.08,0.09
587,1,-0.98,-0.08,0.09
589,1,-0.98,-0.08,0.09
591,1,-0.97,-0.08,0.08
592,1,-0.97,-0.08,0.08
594,1,-0.97,-0.08,0.08
596,1,-0.97,-0.08,0.08
597,1,-0.97,-0.08,0.08
599,1,-0.97,-0.08,0.08
601,1,-0.97,-0.08,0.08
602,1,-0.97,-0.08,0.08
604,1,-0.97,-0.08,0.08
606,1,-0.97,-0.08,0.08
607,1,-0.97,-0.08,0.08
609,1,-0.97,-0.08,0.08
611,1,-0.98,-0.07,0.08
612,1,-0.98,-0.07,0.08
614,1,-0.98,-0.07,0.08
616,1,-0.98,-0.07,0.08
617,1,-0.98,-0.07,0.08
619,1,-0.98,-0.07,0.08
621,1,-0.97,-0.06,0.07
622,1,-0.97,-0.06,0.07
624,1,-0.97,-0.06,0.07
626,1,-0.97,-0.06,0.07
627,1,-0.97,-0.06,0.07
629,1,-0.97,-0.06,0.07
631,1,-0.97,-0.06,0.07
632,1,-0.97,-0.06,0.07
634,1,-0.97,-0.06,0.07
636,1,-0.97,-0.06,0.07
637,1,-0.97,-0.06,0.07
639,1,-0.98,-0.07,0.07
641,1,-0.98,-0.07,0.07
642,1,-0.98,-0.07,0.07
644,1,-0.98,-0.07,0.07
646,1,-0.98,-0.07,0.07
647,1,-0.98,-0.07,0.07
649,1,-0.97,-0.07,0.07
651,1,-0.97,-0.07,0.07
652,1,-0.97,-0.07,0.07
654,1,-0.97,-0.07,0.07
656,1,-0.97,-0.07,0.07
657,1,-0.97,-0.07,0.07
659,1,-0.97,-0.07,0.08
661,1,-0.97,-0.07,0.08
662,1,-0.97,-0.07,0.08
664,1,-0.97,-0.07,0.08
666,1,-0.97,-0.07,0.08
667,1,-0.97,-0.07,0.08
669,1,-0.98,-0.09,0.09
671,1,-0.98,-0.09,0.09
672,1,-0.98,-0.09,0.09
674,1,-0.98,-0.09,0.09
676,1,-0.98,-0.09,0.09
677,1,-0.98,-0.09,0.09
679,1,-0.98,-0.08,0.09
681,1,-0.98,-0.08,0.09
682,1,-0.98,-0.08,0.09
684,1,-0.98,-0.08,0.09
686,1,-0.98,-0.08,0.09
687,1,-0.98,-0.08,0.09
689,1,-0.97,-0.08,0.08
691,1,-0.97,-0.08,0.08
692,1,-0.97,-0.08,0.08
694,1,-0.97,-0.08,0.08
696,1,-0.97,-0.08,0.08
697,1,-0.97,-0.08,0.08
699,1,-0.97,-0.07,0.08
701,1,-0.97,-0.07,0.08
702,1,-0.97,-0.07,0.08
704,1,-0.97,-0.07,0.08
706,1,-0.97,-0.07,0.08
707,1,-0.97,-0.07,0.08
709,1,-0.97,-0.07,0.08
711,1,-0.97,-0.07,0.08
712,1,-0.97,-0.07,0.08
714,1,-0.97,-0.07,0.08
716,1,-0.97,-0.07,0.08
717,1,-0.98,-0.06,0.07
719,1,-0.98,-0.06,0.07
721,1,-0.98,-0.06,0.07
722,1,-0.98,-0.06,0.07
724,1,-0.98,-0.06,0.07
726,1,-0.98,-0.06,0.07
727,1,-0.97,-0.07,0.07
729,1,-0.97,-0.07,0.07
731,1,-0.97,-0.07,0.07
732,1,-0.97,-0.07,0.07
734,1,-0.97,-0.07,0.07
736,1,-0.97,-0.07,0.07
737,1,-0.96,-0.08,0.07
739,1,-0.96,-0.08,0.07
741,1,-0.96,-0.08,0.07
742,1,-0.96,-0.08,0.07
744,1,-0.96,-0.08,0.07
746,1,-0.96,-0.08,0.07
747,1,-0.97,-0.07,0.07
749,1,-0.97,-0.07,0.07
751,1,-0.97,-0.07,0.07
752,1,-0.97,-0.07,0.07
754,1,-0.97,-0.07,0.07
756,1,-0.97,-0.07,0.07
757,1,-0.99,-0.07,0.08
759,1,-0.99,-0.07,0.08
761,1,-0.99,-0.07,0.08
762,1,-0.99,-0.07,0.08
764,1,-0.99,-0.07,0.08
766,1,-0.99,-0.07,0.07
767,1,-0.98,-0.08,0.07
769,1,-0.98,-0.08,0.07
771,1,-0.98,-0.08,0.07
772,1,-0.98,-0.08,0.07
774,1,-0.98,-0.08,0.07
776,1,-0.98,-0.08,0.07
777,1,-0.97,-0.08,0.07
779,1,-0.97,-0.08,0.07
781,1,-0.97,-0.08,0.07
782,1,-0.97,-0.08,0.07
784,1,-0.97,-0.08,0.07
786,1,-0.96,-0.07,0.07
787,1,-0.96,-0.07,0.07
789,1,-0.96,-0.07,0.07
791,1,-0.96,-0.07,0.07
792,1,-0.96,-0.07,0.07
794,1,-0.96,-0.07,0.07
796,1,-0.97,-0.07,0.08
797,1,-0.97,-0.07,0.08
799,1,-0.97,-0.07,0.08
801,1,-0.97,-0.07,0.08
802,1,-0.97,-0.07,0.08
804,1,-0.97,-0.07,0.08
806,1,-0.99,-0.07,0.08
807,1,-0.99,-0.07,0.08
809,1,-0.99,-0.07,0.08
811,1,-0.99,-0.07,0.08
812,1,-0.99,-0.07,0.08
814,1,-0.99,-0.07,0.08
816,1,-0.98,-0.07,0.08
817,1,-0.98,-0.07,0.08
