t,l,x,y,z
0,1,-0.98,-0.09,0.08
1,1,-0.98,-0.09,0.09
3,1,-0.98,-0.09,0.09
5,1,-0.98,-0.09,0.09
6,1,-0.98,-0.09,0.09
8,1,-0.98,-0.09,0.09
10,1,-0.98,-0.09,0.09
11,1,-0.97,-0.09,0.08
13,1,-0.97,-0.09,0.08
15,1,-0.97,-0.09,0.08
16,1,-0.97,-0.09,0.08
18,1,-0.97,-0.09,0.08
20,1,-0.97,-0.09,0.08
21,1,-0.97,-0.08,0.07
23,1,-0.97,-0.08,0.07
25,1,-0.97,-0.08,0.07
26,1,-0.97,-0.08,0.07
28,1,-0.97,-0.08,0.07
30,1,-0.97,-0.08,0.07
31,1,-0.97,-0.07,0.07
33,1,-0.97,-0.07,0.07
35,1,-0.97,-0.07,0.07
36,1,-0.97,-0.07,0.07
38,1,-0.97,-0.07,0.07
40,1,-0.97,-0.08,0.07
41,1,-0.97,-0.08,0.07
43,1,-0.97,-0.08,0.07
45,1,-0.97,-0.08,0.07
46,1,-0.97,-0.08,0.07
48,1,-0.97,-0.08,0.07
50,1,-0.97,-0.09,0.07
51,1,-0.97,-0.09,0.07
53,1,-0.97,-0.09,0.07
54,1,-0.97,-0.09,0.07
56,1,-0.97,-0.09,0.07
58,1,-0.97,-0.09,0.07
60,1,-0.97,-0.09,0.06
61,1,-0.97,-0.09,0.06
63,1,-0.97,-0.09,0.06
65,1,-0.97,-0.09,0.06
66,1,-0.97,-0.09,0.06
68,1,-0.97,-0.09,0.06
70,1,-0.97,-0.09,0.06
71,1,-0.97,-0.09,0.06
73,1,-0.97,-0.09,0.06
75,1,-0.97,-0.09,0.06
76,1,-0.97,-0.09,0.06
78,1,-0.97,-0.09,0.06
80,1,-0.97,-0.09,0.06
81,1,-0.97,-0.09,0.06
83,1,-0.97,-0.09,0.06
85,1,-0.97,-0.09,0.06
86,1,-0.97,-0.09,0.06
88,1,-0.97,-0.09,0.06
90,1,-0.98,-0.09,0.07
91,1,-0.98,-0.09,0.07
93,1,-0.98,-0.09,0.07
95,1,-0.98,-0.09,0.07
96,1,-0.98,-0.09,0.07
98,1,-0.98,-0.09,0.07
100,1,-0.97,-0.09,0.08
101,1,-0.97,-0.09,0.08
103,1,-0.97,-0.09,0.08
105,1,-0.97,-0.09,0.08
106,1,-0.97,-0.09,0.08
108,1,-0.97,-0.08,0.09
110,1,-0.98,-0.08,0.09
111,1,-0.98,-0.08,0.09
113,1,-0.98,-0.08,0.09
115,1,-0.98,-0.08,0.09
116,1,-0.98,-0.08,0.09
118,1,-0.97,-0.08,0.09
120,1,-0.97,-0.08,0.09
121,1,-0.97,-0.08,0.09
123,1,-0.97,-0.08,0.09
125,1,-0.97,-0.08,0.09
126,1,-0.97,-0.08,0.09
128,1,-0.97,-0.09,0.09
129,1,-0.97,-0.09,0.09
131,1,-0.97,-0.09,0.09
133,1,-0.97,-0.09,0.09
134,1,-0.97,-0.09,0.09
136,1,-0.97,-0.09,0.09
138,1,-0.97,-0.08,0.09
139,1,-0.97,-0.08,0.09
141,1,-0.97,-0.08,0.09
143,1,-0.97,-0.08,0.09
144,1,-0.97,-0.08,0.09
146,1,-0.97,-0.08,0.09
148,1,-0.98,-0.08,0.08
150,1,-0.98,-0.08,0.08
151,1,-0.98,-0.08,0.08
153,1,-0.98,-0.08,0.08
155,1,-0.98,-0.08,0.08
156,1,-0.98,-0.08,0.08
158,1,-0.97,-0.08,0.08
160,1,-0.97,-0.08,0.08
161,1,-0.97,-0.08,0.08
163,1,-0.97,-0.08,0.08
165,1,-0.97,-0.08,0.08
166,1,-0.97,-0.08,0.08
168,1,-0.97,-0.08,0.08
170,1,-0.97,-0.08,0.08
171,1,-0.97,-0.08,0.08
173,1,-0.97,-0.08,0.08
174,1,-0.97,-0.08,0.08
176,1,-0.97,-0.08,0.08
178,1,-0.98,-0.09,0.08
179,1,-0.98,-0.09,0.08
181,1,-0.98,-0.09,0.08
183,1,-0.98,-0.09,0.08
184,1,-0.98,-0.09,0.08
186,1,-0.98,-0.09,0.08
188,1,-0.98,-0.09,0.08
189,1,-0.98,-0.09,0.08
191,1,-0.98,-0.09,0.08
193,1,-0.98,-0.09,0.08
194,1,-0.98,-0.09,0.08
196,1,-0.98,-0.1,0.07
198,1,-0.97,-0.1,0.07
199,1,-0.97,-0.1,0.07
201,1,-0.97,-0.1,0.07
203,1,-0.97,-0.1,0.07
204,1,-0.97,-0.1,0.07
206,1,-0.97,-0.09,0.08
208,1,-0.97,-0.09,0.08
209,1,-0.97,-0.09,0.08
211,1,-0.97,-0.09,0.08
213,1,-0.97,-0.09,0.08
214,1,-0.97,-0.09,0.08
216,1,-0.98,-0.09,0.09
218,1,-0.98,-0.09,0.09
219,1,-0.98,-0.09,0.09
221,1,-0.98,-0.09,0.09
223,1,-0.98,-0.09,0.09
224,1,-0.98,-0.09,0.09
226,1,-0.97,-0.09,0.09
228,1,-0.97,-0.09,0.09
229,1,-0.97,-0.09,0.09
231,1,-0.97,-0.09,0.09
233,1,-0.97,-0.09,0.09
234,1,-0.97,-0.09,0.09
236,1,-0.98,-0.08,0.08
238,1,-0.98,-0.08,0.08
239,1,-0.98,-0.08,0.08
241,1,-0.98,-0.08,0.08
243,1,-0.98,-0.08,0.08
244,1,-0.98,-0.08,0.08
246,1,-0.98,-0.09,0.07
248,1,-0.98,-0.09,0.07
249,1,-0.98,-0.09,0.07
251,1,-0.98,-0.09,0.07
252,1,-0.98,-0.09,0.07
254,1,-0.98,-0.09,0.07
256,1,-0.97,-0.07,0.06
258,1,-0.97,-0.07,0.06
259,1,-0.97,-0.07,0.06
261,1,-0.97,-0.07,0.06
263,1,-0.97,-0.07,0.06
264,1,-0.97,-0.08,0.06
266,1,-0.97,-0.08,0.06
268,1,-0.97,-0.08,0.06
269,1,-0.97,-0.08,0.06
271,1,-0.97,-0.08,0.06
273,1,-0.97,-0.08,0.06
274,1,-0.97,-0.08,0.06
276,1,-0.97,-0.08,0.06
278,1,-0.97,-0.08,0.06
279,1,-0.97,-0.08,0.06
281,1,-0.97,-0.08,0.06
283,1,-0.97,-0.08,0.06
284,1,-0.97,-0.09,0.06
286,1,-0.97,-0.09,0.06
288,1,-0.97,-0.09,0.06
289,1,-0.97,-0.09,0.06
291,1,-0.97,-0.09,0.06
293,1,-0.97,-0.09,0.06
294,1,-0.98,-0.09,0.07
296,1,-0.98,-0.09,0.07
298,1,-0.98,-0.09,0.07
299,1,-0.98,-0.09,0.07
301,1,-0.98,-0.09,0.07
303,1,-0.98,-0.09,0.07
304,1,-0.98,-0.08,0.09
306,1,-0.98,-0.08,0.09
308,1,-0.98,-0.08,0.09
309,1,-0.98,-0.08,0.09
311,1,-0.98,-0.08,0.09
313,1,-0.98,-0.08,0.09
314,1,-0.97,-0.08,0.09
316,1,-0.97,-0.08,0.09
318,1,-0.97,-0.08,0.09
319,1,-0.97,-0.08,0.09
321,1,-0.97,-0.08,0.09
323,1,-0.97,-0.08,0.09
324,1,-0.97,-0.08,0.09
326,1,-0.97,-0.08,0.09
328,1,-0.97,-0.08,0.09
329,1,-0.97,-0.08,0.09
331,1,-0.97,-0.08,0.09
333,1,-0.97,-0.08,0.09
334,1,-0.97,-0.08,0.09
336,1,-0.97,-0.08,0.09
338,1,-0.97,-0.08,0.09
339,1,-0.97,-0.08,0.09
341,1,-0.97,-0.08,0.09
343,1,-0.98,-0.08,0.1
344,1,-0.98,-0.08,0.1
346,1,-0.98,-0.08,0.1
348,1,-0.98,-0.08,0.1
349,1,-0.98,-0.08,0.1
351,1,-0.98,-0.08,0.1
353,1,-0.98,-0.08,0.1
354,1,-0.98,-0.08,0.1
356,1,-0.98,-0.08,0.1
358,1,-0.98,-0.08,0.1
359,1,-0.98,-0.08,0.1
361,1,-0.98,-0.08,0.1
363,1,-0.97,-0.08,0.09
364,1,-0.97,-0.08,0.09
366,1,-0.97,-0.08,0.09
368,1,-0.97,-0.08,0.09
369,1,-0.97,-0.08,0.09
371,1,-0.97,-0.08,0.09
373,1,-0.97,-0.08,0.07
374,1,-0.97,-0.08,0.07
376,1,-0.97,-0.08,0.07
378,1,-0.97,-0.08,0.07
379,1,-0.97,-0.08,0.07
381,1,-0.97,-0.08,0.07
383,1,-0.96,-0.08,0.07
384,1,-0.96,-0.08,0.07
386,1,-0.96,-0.08,0.07
388,1,-0.96,-0.08,0.07
389,1,-0.96,-0.08,0.07
391,1,-0.96,-0.08,0.07
393,1,-0.97,-0.08,0.07
394,1,-0.97,-0.08,0.07
396,1,-0.97,-0.08,0.07
398,1,-0.97,-0.08,0.07
399,1,-0.97,-0.08,0.07
401,1,-0.97,-0.08,0.08
402,1,-0.98,-0.09,0.08
404,1,-0.98,-0.09,0.08
406,1,-0.98,-0.09,0.08
407,1,-0.98,-0.09,0.08
409,1,-0.98,-0.09,0.08
411,1,-0.98,-0.09,0.08
412,1,-0.98,-0.09,0.08
414,1,-0.98,-0.09,0.08
