t,l,x,y,z
0,1,-0.95,-0.1,0.26
1,1,-0.95,-0.1,0.26
3,1,-0.95,-0.1,0.26
5,1,-0.95,-0.1,0.26
6,1,-0.95,-0.11,0.25
8,1,-0.95,-0.11,0.25
10,1,-0.95,-0.11,0.25
12,1,-0.95,-0.11,0.25
13,1,-0.95,-0.11,0.25
15,1,-0.95,-0.11,0.25
17,1,-0.95,-0.1,0.25
18,1,-0.95,-0.1,0.25
20,1,-0.95,-0.1,0.25
22,1,-0.95,-0.1,0.25
23,1,-0.95,-0.1,0.25
25,1,-0.95,-0.1,0.25
27,1,-0.94,-0.1,0.26
28,1,-0.94,-0.1,0.26
30,1,-0.94,-0.1,0.26
32,1,-0.94,-0.1,0.26
33,1,-0.94,-0.1,0.26
35,1,-0.94,-0.1,0.26
37,1,-0.95,-0.09,0.26
38,1,-0.95,-0.09,0.26
40,1,-0.95,-0.09,0.26
42,1,-0.95,-0.09,0.26
44,1,-0.95,-0.09,0.26
45,1,-0.95,-0.1,0.26
47,1,-0.95,-0.1,0.26
49,1,-0.95,-0.1,0.26
50,1,-0.95,-0.1,0.26
52,1,-0.95,-0.1,0.26
54,1,-0.95,-0.1,0.26
55,1,-0.95,-0.09,0.26
57,1,-0.95,-0.09,0.26
59,1,-0.95,-0.09,0.26
60,1,-0.95,-0.09,0.26
62,1,-0.95,-0.09,0.26
64,1,-0.95,-0.09,0.26
65,1,-0.95,-0.09,0.26
67,1,-0.95,-0.09,0.26
69,1,-0.95,-0.09,0.26
71,1,-0.95,-0.09,0.26
72,1,-0.95,-0.09,0.26
74,1,-0.95,-0.09,0.26
76,1,-0.95,-0.1,0.25
77,1,-0.95,-0.1,0.25
79,1,-0.95,-0.1,0.25
81,1,-0.95,-0.1,0.25
82,1,-0.95,-0.1,0.25
84,1,-0.95,-0.1,0.25
86,1,-0.94,-0.09,0.25
88,1,-0.94,-0.09,0.25
89,1,-0.94,-0.09,0.25
91,1,-0.94,-0.09,0.25
93,1,-0.94,-0.09,0.25
94,1,-0.94,-0.09,0.25
96,1,-0.94,-0.09,0.25
98,1,-0.94,-0.09,0.25
99,1,-0.94,-0.09,0.25
101,1,-0.94,-0.09,0.25
103,1,-0.94,-0.09,0.25
104,1,-0.94,-0.09,0.26
106,1,-0.94,-0.09,0.26
108,1,-0.94,-0.09,0.26
109,1,-0.94,-0.09,0.26
111,1,-0.94,-0.09,0.26
113,1,-0.94,-0.09,0.26
115,1,-0.95,-0.09,0.26
116,1,-0.95,-0.09,0.26
118,1,-0.95,-0.09,0.26
120,1,-0.95,-0.09,0.26
121,1,-0.95,-0.09,0.26
123,1,-0.95,-0.09,0.26
125,1,-0.95,-0.09,0.26
126,1,-0.95,-0.09,0.26
128,1,-0.95,-0.09,0.26
129,1,-0.95,-0.09,0.26
131,1,-0.95,-0.09,0.26
133,1,-0.95,-0.09,0.26
135,1,-0.95,-0.09,0.27
136,1,-0.95,-0.09,0.27
138,1,-0.95,-0.09,0.27
140,1,-0.95,-0.09,0.27
141,1,-0.95,-0.09,0.27
143,1,-0.95,-0.09,0.26
145,1,-0.94,-0.09,0.26
146,1,-0.94,-0.09,0.26
148,1,-0.94,-0.09,0.26
150,1,-0.94,-0.09,0.26
151,1,-0.94,-0.09,0.26
153,1,-0.94,-0.1,0.25
155,1,-0.94,-0.1,0.25
156,1,-0.94,-0.1,0.25
158,1,-0.94,-0.1,0.25
160,1,-0.94,-0.1,0.25
162,1,-0.94,-0.1,0.25
163,1,-0.94,-0.1,0.26
165,1,-0.94,-0.1,0.26
166,1,-0.94,-0.1,0.26
168,1,-0.94,-0.1,0.26
170,1,-0.94,-0.1,0.26
172,1,-0.94,-0.1,0.26
173,1,-0.96,-0.1,0.26
175,1,-0.96,-0.1,0.26
177,1,-0.96,-0.1,0.26
178,1,-0.96,-0.1,0.26
180,1,-0.96,-0.1,0.26
181,1,-0.96,-0.1,0.26
183,1,-0.95,-0.1,0.25
185,1,-0.95,-0.1,0.25
187,1,-0.95,-0.1,0.25
188,1,-0.95,-0.1,0.25
190,1,-0.95,-0.1,0.25
192,1,-0.95,-0.1,0.27
193,1,-0.95,-0.1,0.27
195,1,-0.95,-0.1,0.27
197,1,-0.95,-0.1,0.27
198,1,-0.95,-0.1,0.27
200,1,-0.95,-0.1,0.27
202,1,-0.95,-0.1,0.26
204,1,-0.95,-0.1,0.26
205,1,-0.95,-0.1,0.26
207,1,-0.95,-0.1,0.26
209,1,-0.95,-0.1,0.26
210,1,-0.95,-0.1,0.26
212,1,-0.95,-0.09,0.26
214,1,-0.95,-0.09,0.26
215,1,-0.95,-0.09,0.26
217,1,-0.95,-0.09,0.26
219,1,-0.95,-0.09,0.26
220,1,-0.95,-0.09,0.26
222,1,-0.94,-0.08,0.26
224,1,-0.94,-0.08,0.26
225,1,-0.94,-0.08,0.26
227,1,-0.94,-0.08,0.26
229,1,-0.94,-0.08,0.26
230,1,-0.94,-0.08,0.26
232,1,-0.95,-0.09,0.26
234,1,-0.95,-0.09,0.26
235,1,-0.95,-0.09,0.26
237,1,-0.95,-0.09,0.26
239,1,-0.95,-0.09,0.26
241,1,-0.95,-0.09,0.25
242,1,-0.95,-0.09,0.25
244,1,-0.95,-0.09,0.25
246,1,-0.95,-0.09,0.25
247,1,-0.95,-0.09,0.25
249,1,-0.95,-0.09,0.25
251,1,-0.95,-0.09,0.25
252,1,-0.95,-0.09,0.25
254,1,-0.95,-0.09,0.25
256,1,-0.95,-0.09,0.25
257,1,-0.95,-0.09,0.25
259,1,-0.95,-0.09,0.25
261,1,-0.94,-0.09,0.24
262,1,-0.94,-0.09,0.24
264,1,-0.94,-0.09,0.24
266,1,-0.94,-0.09,0.24
267,1,-0.94,-0.09,0.24
269,1,-0.94,-0.09,0.24
271,1,-0.95,-0.1,0.25
273,1,-0.95,-0.1,0.25
274,1,-0.95,-0.1,0.25
276,1,-0.95,-0.1,0.25
278,1,-0.95,-0.1,0.25
279,1,-0.95,-0.1,0.25
281,1,-0.94,-0.1,0.26
283,1,-0.94,-0.1,0.26
284,1,-0.94,-0.1,0.26
286,1,-0.94,-0.1,0.26
288,1,-0.94,-0.1,0.26
289,1,-0.94,-0.1,0.26
291,1,-0.94,-0.1,0.26
293,1,-0.94,-0.1,0.26
294,1,-0.94,-0.1,0.26
296,1,-0.94,-0.1,0.26
298,1,-0.94,-0.1,0.26
299,1,-0.94,-0.1,0.26
301,1,-0.94,-0.1,0.26
303,1,-0.94,-0.1,0.26
304,1,-0.94,-0.1,0.26
306,1,-0.94,-0.1,0.26
308,1,-0.94,-0.1,0.26
309,1,-0.94,-0.09,0.26
311,1,-0.94,-0.09,0.26
313,1,-0.94,-0.09,0.26
314,1,-0.94,-0.09,0.26
316,1,-0.94,-0.09,0.26
318,1,-0.94,-0.09,0.26
319,1,-0.94,-0.09,0.26
321,1,-0.94,-0.09,0.26
