t,l,x,y,z
0,1,-0.95,-0.12,0.08
2,1,-0.95,-0.12,0.08
4,1,-0.95,-0.12,0.08
5,1,-0.95,-0.12,0.08
7,1,-0.95,-0.12,0.08
9,1,-0.95,-0.12,0.08
10,1,-0.96,-0.12,0.08
12,1,-0.96,-0.12,0.08
14,1,-0.96,-0.12,0.08
15,1,-0.96,-0.12,0.08
17,1,-0.96,-0.12,0.08
19,1,-0.96,-0.12,0.08
20,1,-0.96,-0.13,0.09
22,1,-0.96,-0.13,0.09
24,1,-0.96,-0.13,0.09
25,1,-0.96,-0.13,0.09
27,1,-0.96,-0.13,0.09
29,1,-0.96,-0.13,0.09
30,1,-0.96,-0.14,0.11
32,1,-0.96,-0.14,0.11
34,1,-0.96,-0.14,0.11
35,1,-0.96,-0.14,0.11
37,1,-0.96,-0.14,0.11
39,1,-0.96,-0.14,0.14
40,1,-0.97,-0.17,0.14
42,1,-0.97,-0.17,0.14
44,1,-0.97,-0.17,0.14
46,1,-0.97,-0.17,0.14
47,1,-0.97,-0.17,0.14
49,1,-0.95,-0.19,0.16
51,1,-0.95,-0.19,0.16
52,1,-0.95,-0.19,0.16
54,1,-0.95,-0.19,0.16
56,1,-0.95,-0.19,0.16
57,1,-0.95,-0.19,0.16
59,1,-0.96,-0.21,0.18
61,1,-0.96,-0.21,0.18
62,1,-0.96,-0.21,0.18
64,1,-0.96,-0.21,0.18
66,1,-0.96,-0.21,0.18
67,1,-0.96,-0.21,0.18
69,1,-0.97,-0.21,0.19
71,1,-0.97,-0.21,0.19
72,1,-0.97,-0.21,0.19
74,1,-0.97,-0.21,0.19
76,1,-0.97,-0.21,0.19
77,1,-0.97,-0.21,0.19
79,1,-0.95,-0.2,0.18
81,1,-0.95,-0.2,0.18
82,1,-0.95,-0.2,0.18
84,1,-0.95,-0.2,0.18
86,1,-0.95,-0.2,0.18
87,1,-0.95,-0.2,0.18
89,1,-0.95,-0.19,0.16
91,1,-0.95,-0.19,0.16
92,1,-0.95,-0.19,0.16
94,1,-0.95,-0.19,0.16
96,1,-0.95,-0.19,0.16
97,1,-0.95,-0.19,0.14
99,1,-0.96,-0.17,0.14
101,1,-0.96,-0.17,0.14
102,1,-0.96,-0.17,0.14
104,1,-0.96,-0.17,0.14
106,1,-0.96,-0.17,0.14
107,1,-0.95,-0.15,0.12
109,1,-0.95,-0.15,0.12
111,1,-0.95,-0.15,0.12
112,1,-0.95,-0.15,0.12
114,1,-0.95,-0.15,0.12
116,1,-0.95,-0.15,0.12
117,1,-0.95,-0.14,0.1
119,1,-0.95,-0.14,0.1
121,1,-0.95,-0.14,0.1
122,1,-0.95,-0.14,0.1
124,1,-0.95,-0.14,0.1
126,1,-0.95,-0.14,0.1
127,1,-0.96,-0.13,0.09
129,1,-0.96,-0.13,0.09
131,1,-0.96,-0.13,0.09
132,1,-0.96,-0.13,0.09
134,1,-0.96,-0.13,0.09
136,1,-0.96,-0.13,0.09
137,1,-0.96,-0.13,0.09
139,1,-0.96,-0.13,0.09
141,1,-0.96,-0.13,0.09
142,1,-0.96,-0.13,0.09
144,1,-0.96,-0.13,0.09
146,1,-0.96,-0.13,0.09
147,1,-0.96,-0.13,0.1
149,1,-0.96,-0.13,0.1
151,1,-0.96,-0.13,0.1
152,1,-0.96,-0.13,0.1
154,1,-0.96,-0.13,0.1
156,1,-0.96,-0.13,0.1
157,1,-0.96,-0.15,0.12
159,1,-0.96,-0.15,0.12
161,1,-0.96,-0.15,0.12
162,1,-0.96,-0.15,0.12
164,1,-0.96,-0.15,0.12
166,1,-0.96,-0.15,0.13
167,1,-0.96,-0.17,0.13
169,1,-0.96,-0.17,0.13
171,1,-0.96,-0.17,0.13
172,1,-0.96,-0.17,0.13
174,1,-0.96,-0.17,0.13
176,1,-0.96,-0.18,0.14
177,1,-0.96,-0.18,0.14
179,1,-0.96,-0.18,0.14
181,1,-0.96,-0.18,0.14
182,1,-0.96,-0.18,0.14
184,1,-0.96,-0.18,0.14
186,1,-0.97,-0.19,0.15
187,1,-0.97,-0.19,0.15
189,1,-0.97,-0.19,0.15
191,1,-0.97,-0.19,0.15
192,1,-0.97,-0.19,0.15
194,1,-0.97,-0.19,0.15
196,1,-0.96,-0.2,0.14
197,1,-0.96,-0.2,0.14
199,1,-0.96,-0.2,0.14
201,1,-0.96,-0.2,0.14
202,1,-0.96,-0.2,0.14
204,1,-0.96,-0.2,0.14
206,1,-0.96,-0.19,0.15
207,1,-0.96,-0.19,0.15
209,1,-0.96,-0.19,0.15
211,1,-0.96,-0.19,0.15
212,1,-0.96,-0.19,0.15
214,1,-0.96,-0.19,0.15
216,1,-0.95,-0.18,0.15
217,1,-0.95,-0.18,0.15
219,1,-0.95,-0.18,0.15
