t,l,x,y,z
0,1,-0.98,0.1,0.06
2,1,-0.98,0.1,0.06
4,1,-0.98,0.1,0.06
5,1,-0.98,0.1,0.06
7,1,-0.97,0.11,0.06
9,1,-0.97,0.11,0.06
10,1,-0.97,0.11,0.06
12,1,-0.97,0.11,0.06
14,1,-0.97,0.11,0.06
15,1,-0.97,0.11,0.06
17,1,-0.98,0.1,0.05
19,1,-0.98,0.1,0.05
20,1,-0.98,0.1,0.05
22,1,-0.98,0.1,0.05
24,1,-0.98,0.1,0.05
25,1,-0.98,0.1,0.05
27,1,-0.98,0.1,0.03
29,1,-0.98,0.1,0.03
30,1,-0.98,0.1,0.03
32,1,-0.98,0.1,0.03
34,1,-0.98,0.1,0.03
35,1,-0.98,0.1,0.03
37,1,-0.98,0.09,0.0
39,1,-0.98,0.09,0.0
40,1,-0.98,0.09,0.0
42,1,-0.98,0.09,0.0
43,1,-0.98,0.09,0.0
45,1,-0.98,0.09,0.0
47,1,-0.98,0.08,-0.03
48,1,-0.98,0.08,-0.03
50,1,-0.98,0.08,-0.03
52,1,-0.98,0.08,-0.03
53,1,-0.98,0.08,-0.03
55,1,-0.98,0.08,-0.03
57,1,-0.98,0.07,-0.05
58,1,-0.98,0.07,-0.05
60,1,-0.98,0.07,-0.05
62,1,-0.98,0.07,-0.05
63,1,-0.98,0.07,-0.05
65,1,-0.98,0.07,-0.05
67,1,-0.98,0.06,-0.06
68,1,-0.98,0.06,-0.06
70,1,-0.98,0.06,-0.06
72,1,-0.98,0.06,-0.06
73,1,-0.98,0.06,-0.06
75,1,-0.98,0.06,-0.05
77,1,-0.99,0.07,-0.05
78,1,-0.99,0.07,-0.05
80,1,-0.99,0.07,-0.05
82,1,-0.99,0.07,-0.05
83,1,-0.99,0.07,-0.05
85,1,-0.99,0.07,-0.03
86,1,-0.99,0.07,-0.03
88,1,-0.99,0.07,-0.03
90,1,-0.99,0.07,-0.03
91,1,-0.99,0.07,-0.03
93,1,-0.99,0.07,-0.03
95,1,-0.98,0.08,0.0
96,1,-0.98,0.08,0.0
98,1,-0.98,0.08,0.0
100,1,-0.98,0.08,0.0
101,1,-0.98,0.08,0.0
103,1,-0.98,0.08,0.0
105,1,-0.99,0.1,0.03
106,1,-0.99,0.1,0.03
108,1,-0.99,0.1,0.03
110,1,-0.99,0.1,0.03
111,1,-0.99,0.1,0.03
113,1,-0.99,0.1,0.03
115,1,-0.97,0.11,0.06
116,1,-0.97,0.11,0.06
118,1,-0.97,0.11,0.06
120,1,-0.97,0.11,0.06
121,1,-0.97,0.11,0.06
123,1,-0.97,0.11,0.06
125,1,-0.97,0.12,0.07
126,1,-0.97,0.12,0.07
128,1,-0.97,0.12,0.07
130,1,-0.97,0.12,0.07
131,1,-0.97,0.12,0.07
133,1,-0.97,0.12,0.07
135,1,-0.97,0.11,0.07
136,1,-0.97,0.11,0.07
138,1,-0.97,0.11,0.07
139,1,-0.97,0.11,0.07
141,1,-0.97,0.11,0.07
143,1,-0.97,0.11,0.07
144,1,-0.98,0.1,0.05
146,1,-0.98,0.1,0.05
148,1,-0.98,0.1,0.05
149,1,-0.98,0.1,0.05
151,1,-0.98,0.1,0.05
153,1,-0.98,0.1,0.05
154,1,-0.97,0.09,0.02
156,1,-0.97,0.09,0.02
158,1,-0.97,0.09,0.02
159,1,-0.97,0.09,0.02
161,1,-0.97,0.09,0.02
163,1,-0.97,0.09,-0.02
164,1,-0.98,0.07,-0.02
166,1,-0.98,0.07,-0.02
168,1,-0.98,0.07,-0.02
169,1,-0.98,0.07,-0.02
171,1,-0.98,0.07,-0.02
173,1,-0.99,0.07,-0.05
174,1,-0.99,0.07,-0.05
176,1,-0.99,0.07,-0.05
178,1,-0.99,0.07,-0.05
179,1,-0.99,0.07,-0.05
181,1,-0.99,0.07,-0.05
183,1,-0.99,0.06,-0.06
184,1,-0.99,0.06,-0.06
186,1,-0.99,0.06,-0.06
188,1,-0.99,0.06,-0.06
189,1,-0.99,0.06,-0.06
191,1,-0.99,0.06,-0.06
193,1,-0.98,0.06,-0.06
194,1,-0.98,0.06,-0.06
196,1,-0.98,0.06,-0.06
198,1,-0.98,0.06,-0.06
199,1,-0.98,0.06,-0.06
201,1,-0.98,0.06,-0.06
203,1,-0.99,0.07,-0.04
204,1,-0.99,0.07,-0.04
206,1,-0.99,0.07,-0.04
208,1,-0.99,0.07,-0.04
209,1,-0.99,0.07,-0.04
211,1,-0.99,0.07,-0.04
213,1,-0.99,0.08,-0.01
214,1,-0.99,0.08,-0.01
216,1,-0.99,0.08,-0.01
218,1,-0.99,0.08,-0.01
219,1,-0.99,0.08,-0.01
221,1,-0.99,0.08,-0.01
223,1,-0.98,0.09,0.02
224,1,-0.98,0.09,0.02
226,1,-0.98,0.09,0.02
228,1,-0.98,0.09,0.02
