t,l,x,y,z
0,1,-0.97,0.12,-0.01
2,1,-0.97,0.12,-0.01
4,1,-0.97,0.12,-0.01
5,1,-0.97,0.12,-0.01
7,1,-0.97,0.1,0.0
9,1,-0.97,0.1,0.0
10,1,-0.97,0.1,0.0
12,1,-0.97,0.1,0.0
14,1,-0.97,0.1,0.0
15,1,-0.97,0.1,0.0
17,1,-0.98,0.09,0.0
19,1,-0.98,0.09,0.0
20,1,-0.98,0.09,0.0
22,1,-0.98,0.09,0.0
24,1,-0.98,0.09,0.0
25,1,-0.98,0.09,0.0
27,1,-0.98,0.08,0.02
29,1,-0.98,0.08,0.02
30,1,-0.98,0.08,0.02
32,1,-0.98,0.08,0.02
34,1,-0.98,0.08,0.02
35,1,-0.98,0.08,0.02
37,1,-0.99,0.08,0.03
39,1,-0.99,0.08,0.03
40,1,-0.99,0.08,0.03
42,1,-0.99,0.08,0.03
44,1,-0.99,0.08,0.03
45,1,-0.99,0.08,0.04
47,1,-0.99,0.08,0.04
49,1,-0.99,0.08,0.04
50,1,-0.99,0.08,0.04
52,1,-0.99,0.08,0.04
54,1,-0.99,0.08,0.04
55,1,-0.99,0.09,0.04
57,1,-0.98,0.09,0.04
59,1,-0.98,0.09,0.04
60,1,-0.98,0.09,0.04
62,1,-0.98,0.09,0.04
64,1,-0.98,0.09,0.04
65,1,-0.98,0.09,0.04
67,1,-0.98,0.09,0.04
69,1,-0.98,0.09,0.04
70,1,-0.98,0.09,0.04
72,1,-0.98,0.09,0.04
73,1,-0.98,0.09,0.04
75,1,-0.98,0.09,0.04
77,1,-0.98,0.09,0.04
78,1,-0.98,0.09,0.04
80,1,-0.98,0.09,0.04
82,1,-0.98,0.09,0.04
83,1,-0.98,0.09,0.04
85,1,-0.98,0.09,0.03
87,1,-0.98,0.09,0.03
88,1,-0.98,0.09,0.03
90,1,-0.98,0.09,0.03
92,1,-0.98,0.09,0.03
93,1,-0.98,0.09,0.03
95,1,-0.98,0.1,0.02
97,1,-0.98,0.1,0.02
98,1,-0.98,0.1,0.02
100,1,-0.98,0.1,0.02
101,1,-0.98,0.1,0.02
103,1,-0.98,0.1,0.02
105,1,-0.98,0.11,0.01
106,1,-0.98,0.11,0.01
108,1,-0.98,0.11,0.01
110,1,-0.98,0.11,0.01
111,1,-0.98,0.11,0.01
113,1,-0.98,0.11,0.01
115,1,-0.98,0.12,0.0
116,1,-0.98,0.12,0.0
118,1,-0.98,0.12,0.0
120,1,-0.98,0.12,0.0
121,1,-0.98,0.12,0.0
123,1,-0.98,0.12,0.0
124,1,-0.97,0.12,-0.0
126,1,-0.97,0.12,-0.0
128,1,-0.97,0.12,-0.0
129,1,-0.97,0.12,-0.0
131,1,-0.97,0.12,-0.0
133,1,-0.97,0.12,-0.0
135,1,-0.97,0.12,-0.0
136,1,-0.97,0.12,-0.0
138,1,-0.97,0.12,-0.0
140,1,-0.97,0.12,-0.0
141,1,-0.97,0.12,-0.0
143,1,-0.97,0.12,-0.0
145,1,-0.97,0.12,-0.01
146,1,-0.97,0.12,-0.01
148,1,-0.97,0.12,-0.01
150,1,-0.97,0.12,-0.01
151,1,-0.97,0.12,-0.01
