t,l,x,y,z
0,1,-0.98,-0.09,-0.03
1,1,-0.98,-0.09,-0.03
3,1,-0.98,-0.09,-0.03
5,1,-0.98,-0.09,-0.03
6,1,-0.98,-0.08,-0.05
8,1,-0.98,-0.08,-0.05
10,1,-0.98,-0.08,-0.05
11,1,-0.98,-0.08,-0.05
13,1,-0.98,-0.08,-0.05
15,1,-0.98,-0.08,-0.06
16,1,-0.97,-0.08,-0.06
18,1,-0.97,-0.08,-0.06
20,1,-0.97,-0.08,-0.06
21,1,-0.97,-0.08,-0.06
23,1,-0.97,-0.08,-0.06
25,1,-0.97,-0.07,-0.06
26,1,-0.97,-0.07,-0.06
28,1,-0.97,-0.07,-0.06
30,1,-0.97,-0.07,-0.06
31,1,-0.97,-0.07,-0.06
33,1,-0.97,-0.07,-0.06
35,1,-0.96,-0.07,-0.05
36,1,-0.96,-0.07,-0.05
38,1,-0.96,-0.07,-0.05
40,1,-0.96,-0.07,-0.05
41,1,-0.96,-0.07,-0.05
43,1,-0.96,-0.07,-0.05
45,1,-0.97,-0.07,-0.04
46,1,-0.97,-0.07,-0.04
48,1,-0.97,-0.07,-0.04
50,1,-0.97,-0.07,-0.04
51,1,-0.97,-0.07,-0.04
53,1,-0.97,-0.07,-0.04
55,1,-0.97,-0.07,-0.03
56,1,-0.97,-0.07,-0.03
58,1,-0.97,-0.07,-0.03
60,1,-0.97,-0.07,-0.03
61,1,-0.97,-0.07,-0.03
63,1,-0.97,-0.07,-0.03
65,1,-0.97,-0.07,-0.02
66,1,-0.97,-0.07,-0.02
68,1,-0.97,-0.07,-0.02
70,1,-0.97,-0.07,-0.02
71,1,-0.97,-0.07,-0.02
73,1,-0.97,-0.07,-0.02
75,1,-0.98,-0.08,-0.0
76,1,-0.98,-0.08,-0.0
78,1,-0.98,-0.08,-0.0
80,1,-0.98,-0.08,-0.0
81,1,-0.98,-0.08,-0.0
83,1,-0.98,-0.08,-0.0
85,1,-0.98,-0.09,-0.0
86,1,-0.98,-0.09,-0.0
88,1,-0.98,-0.09,-0.0
90,1,-0.98,-0.09,-0.0
91,1,-0.98,-0.09,-0.0
