t,l,x,y,z
0,1,-0.98,-0.03,-0.02
2,1,-0.98,-0.03,-0.02
3,1,-0.98,-0.03,-0.02
5,1,-0.98,-0.03,-0.03
7,1,-0.98,-0.03,-0.03
8,1,-0.98,-0.03,-0.03
10,1,-0.98,-0.03,-0.03
12,1,-0.98,-0.03,-0.03
13,1,-0.98,-0.03,-0.03
15,1,-0.98,-0.03,-0.03
17,1,-0.98,-0.03,-0.03
18,1,-0.98,-0.03,-0.03
20,1,-0.98,-0.03,-0.03
22,1,-0.98,-0.03,-0.03
23,1,-0.98,-0.03,-0.03
25,1,-0.98,-0.02,-0.04
27,1,-0.98,-0.02,-0.04
28,1,-0.98,-0.02,-0.04
30,1,-0.98,-0.02,-0.04
32,1,-0.98,-0.02,-0.04
33,1,-0.98,-0.02,-0.04
35,1,-0.98,-0.02,-0.03
37,1,-0.98,-0.02,-0.03
38,1,-0.98,-0.02,-0.03
40,1,-0.98,-0.02,-0.03
42,1,-0.98,-0.02,-0.03
43,1,-0.98,-0.02,-0.03
45,1,-0.98,-0.03,-0.03
47,1,-0.98,-0.03,-0.03
48,1,-0.98,-0.03,-0.03
50,1,-0.98,-0.03,-0.03
52,1,-0.98,-0.03,-0.03
53,1,-0.98,-0.03,-0.03
55,1,-0.98,-0.03,-0.02
57,1,-0.98,-0.03,-0.02
58,1,-0.98,-0.03,-0.02
60,1,-0.98,-0.03,-0.02
62,1,-0.98,-0.03,-0.02
63,1,-0.98,-0.03,-0.01
65,1,-0.98,-0.03,-0.01
67,1,-0.98,-0.03,-0.01
68,1,-0.98,-0.03,-0.01
70,1,-0.98,-0.03,-0.01
72,1,-0.98,-0.03,-0.01
73,1,-0.98,-0.03,-0.01
75,1,-0.98,-0.03,-0.01
77,1,-0.98,-0.03,-0.01
78,1,-0.98,-0.03,-0.01
80,1,-0.98,-0.03,-0.01
82,1,-0.98,-0.03,-0.01
83,1,-0.98,-0.03,-0.02
85,1,-0.98,-0.03,-0.02
87,1,-0.98,-0.03,-0.02
89,1,-0.98,-0.03,-0.02
90,1,-0.98,-0.03,-0.02
92,1,-0.98,-0.03,-0.02
94,1,-0.98,-0.03,-0.02
95,1,-0.98,-0.03,-0.02
97,1,-0.98,-0.03,-0.02
99,1,-0.98,-0.03,-0.02
100,1,-0.98,-0.03,-0.02
102,1,-0.98,-0.03,-0.02
104,1,-0.98,-0.03,-0.03
105,1,-0.98,-0.03,-0.03
107,1,-0.98,-0.03,-0.03
109,1,-0.98,-0.03,-0.03
110,1,-0.98,-0.03,-0.03
