t,l,x,y,z
0,1,-0.97,-0.09,0.05
2,1,-0.97,-0.09,0.05
3,1,-0.97,-0.09,0.05
5,1,-0.97,-0.09,0.05
7,1,-0.97,-0.09,0.05
8,1,-0.97,-0.09,0.05
10,1,-0.97,-0.09,0.05
12,1,-0.97,-0.09,0.05
13,1,-0.97,-0.09,0.05
15,1,-0.97,-0.08,0.06
17,1,-0.97,-0.08,0.06
18,1,-0.97,-0.08,0.06
20,1,-0.97,-0.08,0.06
22,1,-0.97,-0.08,0.06
23,1,-0.97,-0.09,0.06
25,1,-0.97,-0.09,0.06
27,1,-0.97,-0.09,0.06
28,1,-0.97,-0.09,0.06
30,1,-0.97,-0.09,0.06
32,1,-0.97,-0.09,0.06
33,1,-0.97,-0.09,0.06
35,1,-0.97,-0.09,0.06
37,1,-0.97,-0.09,0.06
38,1,-0.97,-0.09,0.06
40,1,-0.97,-0.09,0.06
42,1,-0.97,-0.09,0.06
43,1,-0.97,-0.09,0.06
45,1,-0.97,-0.09,0.06
47,1,-0.97,-0.09,0.06
48,1,-0.97,-0.09,0.06
50,1,-0.97,-0.09,0.06
52,1,-0.97,-0.09,0.06
53,1,-0.97,-0.08,0.06
55,1,-0.97,-0.08,0.06
57,1,-0.97,-0.08,0.06
58,1,-0.97,-0.08,0.06
60,1,-0.97,-0.08,0.06
62,1,-0.97,-0.08,0.06
63,1,-0.97,-0.08,0.07
65,1,-0.97,-0.08,0.07
67,1,-0.97,-0.08,0.07
68,1,-0.97,-0.08,0.07
70,1,-0.97,-0.08,0.07
72,1,-0.97,-0.08,0.07
73,1,-0.97,-0.08,0.06
75,1,-0.97,-0.08,0.06
77,1,-0.97,-0.08,0.06
78,1,-0.97,-0.08,0.06
80,1,-0.97,-0.08,0.06
82,1,-0.97,-0.08,0.06
83,1,-0.97,-0.09,0.06
85,1,-0.97,-0.09,0.06
87,1,-0.97,-0.09,0.06
88,1,-0.97,-0.09,0.06
90,1,-0.97,-0.09,0.06
92,1,-0.97,-0.09,0.06
93,1,-0.97,-0.08,0.06
95,1,-0.97,-0.08,0.06
97,1,-0.97,-0.08,0.06
98,1,-0.97,-0.08,0.06
100,1,-0.97,-0.08,0.06
102,1,-0.98,-0.08,0.05
103,1,-0.98,-0.08,0.05
105,1,-0.98,-0.08,0.05
107,1,-0.98,-0.08,0.05
108,1,-0.98,-0.08,0.05
110,1,-0.98,-0.08,0.05
112,1,-0.97,-0.08,0.05
113,1,-0.97,-0.08,0.05
115,1,-0.97,-0.08,0.05
117,1,-0.97,-0.08,0.05
118,1,-0.97,-0.08,0.05
120,1,-0.97,-0.08,0.05
122,1,-0.97,-0.08,0.05
123,1,-0.97,-0.08,0.05
125,1,-0.97,-0.08,0.05
127,1,-0.97,-0.08,0.05
128,1,-0.97,-0.08,0.05
130,1,-0.97,-0.08,0.05
132,1,-0.97,-0.08,0.05
133,1,-0.97,-0.08,0.05
135,1,-0.97,-0.08,0.05
137,1,-0.97,-0.08,0.05
138,1,-0.97,-0.08,0.05
140,1,-0.97,-0.08,0.05
142,1,-0.97,-0.09,0.06
143,1,-0.97,-0.09,0.06
145,1,-0.97,-0.09,0.06
147,1,-0.97,-0.09,0.06
148,1,-0.97,-0.09,0.06
150,1,-0.97,-0.09,0.06
152,1,-0.97,-0.09,0.05
153,1,-0.97,-0.09,0.05
155,1,-0.97,-0.09,0.05
157,1,-0.97,-0.09,0.05
158,1,-0.97,-0.09,0.05
160,1,-0.97,-0.09,0.05
162,1,-0.99,-0.09,0.05
163,1,-0.99,-0.09,0.05
165,1,-0.99,-0.09,0.05
167,1,-0.99,-0.09,0.05
168,1,-0.99,-0.09,0.05
170,1,-0.98,-0.09,0.06
172,1,-0.98,-0.09,0.06
173,1,-0.98,-0.09,0.06
175,1,-0.98,-0.09,0.06
177,1,-0.98,-0.09,0.06
178,1,-0.98,-0.09,0.06
180,1,-0.97,-0.08,0.06
182,1,-0.97,-0.08,0.06
183,1,-0.97,-0.08,0.06
185,1,-0.97,-0.08,0.06
187,1,-0.97,-0.08,0.06
188,1,-0.97,-0.08,0.06
190,1,-0.97,-0.08,0.06
192,1,-0.97,-0.08,0.06
193,1,-0.97,-0.08,0.06
195,1,-0.97,-0.08,0.06
197,1,-0.97,-0.08,0.06
198,1,-0.97,-0.08,0.06
200,1,-0.98,-0.09,0.06
202,1,-0.98,-0.09,0.06
203,1,-0.98,-0.09,0.06
205,1,-0.98,-0.09,0.06
207,1,-0.98,-0.09,0.06
208,1,-0.98,-0.09,0.06
210,1,-0.99,-0.09,0.06
212,1,-0.99,-0.09,0.06
213,1,-0.99,-0.09,0.06
215,1,-0.99,-0.09,0.06
217,1,-0.99,-0.09,0.06
218,1,-0.99,-0.09,0.06
220,1,-0.97,-0.09,0.06
222,1,-0.97,-0.09,0.06
223,1,-0.97,-0.09,0.06
225,1,-0.97,-0.09,0.06
227,1,-0.97,-0.09,0.06
228,1,-0.97,-0.09,0.06
230,1,-0.98,-0.08,0.06
232,1,-0.98,-0.08,0.06
233,1,-0.98,-0.08,0.06
235,1,-0.98,-0.08,0.06
236,1,-0.98,-0.08,0.06
238,1,-0.98,-0.08,0.05
240,1,-0.98,-0.06,0.05
241,1,-0.98,-0.06,0.05
243,1,-0.98,-0.06,0.05
245,1,-0.98,-0.06,0.05
246,1,-0.98,-0.06,0.05
248,1,-0.97,-0.04,0.06
250,1,-0.97,-0.04,0.06
251,1,-0.97,-0.04,0.06
253,1,-0.97,-0.04,0.06
255,1,-0.97,-0.04,0.06
256,1,-0.97,-0.04,0.06
258,1,-0.94,-0.02,0.07
260,1,-0.94,-0.02,0.07
261,1,-0.94,-0.02,0.07
263,1,-0.94,-0.02,0.07
265,1,-0.94,-0.02,0.07
266,1,-0.94,-0.02,0.07
268,1,-0.93,-0.02,0.11
270,1,-0.93,-0.02,0.11
271,1,-0.93,-0.02,0.11
273,1,-0.93,-0.02,0.11
275,1,-0.93,-0.02,0.11
276,1,-0.93,-0.02,0.11
278,1,-0.94,-0.04,0.14
280,1,-0.94,-0.04,0.14
281,1,-0.94,-0.04,0.14
283,1,-0.94,-0.04,0.14
285,1,-0.94,-0.04,0.14
286,1,-0.94,-0.04,0.14
288,1,-0.96,-0.08,0.14
290,1,-0.96,-0.08,0.14
291,1,-0.96,-0.08,0.14
293,1,-0.96,-0.08,0.14
295,1,-0.96,-0.08,0.14
296,1,-0.96,-0.08,0.14
298,1,-0.98,-0.1,0.11
300,1,-0.98,-0.1,0.11
301,1,-0.98,-0.1,0.11
303,1,-0.98,-0.1,0.11
305,1,-0.98,-0.1,0.11
306,1,-0.98,-0.1,0.11
308,1,-0.98,-0.15,0.12
310,1,-0.98,-0.15,0.12
311,1,-0.98,-0.15,0.12
313,1,-0.98,-0.15,0.12
315,1,-0.98,-0.15,0.12
317,1,-1.09,-0.25,0.17
318,1,-1.09,-0.25,0.17
320,1,-1.09,-0.25,0.17
322,1,-1.09,-0.25,0.17
323,1,-1.09,-0.25,0.17
325,1,-1.09,-0.25,0.17
327,1,-1.35,-0.45,0.2
328,1,-1.35,-0.45,0.2
330,1,-1.35,-0.45,0.2
332,1,-1.35,-0.45,0.2
333,1,-1.35,-0.45,0.2
335,1,-1.35,-0.45,0.2
337,1,-1.56,-0.55,0.04
338,1,-1.56,-0.55,0.04
340,1,-1.56,-0.55,0.04
342,1,-1.56,-0.55,0.04
343,1,-1.56,-0.55,0.04
345,1,-1.56,-0.55,0.04
347,1,-1.8,-0.59,-0.47
348,1,-1.8,-0.59,-0.47
350,1,-1.8,-0.59,-0.47
352,1,-1.8,-0.59,-0.47
354,1,-1.8,-0.59,-0.47
355,1,-1.8,-0.59,-1.6
357,1,-2.13,-0.78,-1.59
359,1,-2.13,-0.78,-1.59
360,1,-2.13,-0.78,-1.59
362,1,-2.13,-0.78,-1.59
364,1,-2.13,-0.78,-1.59
365,1,-2.44,-0.79,-3.09
367,1,-2.44,-0.79,-3.09
369,1,-2.44,-0.79,-3.09
370,1,-2.44,-0.79,-3.09
372,1,-2.44,-0.79,-3.09
374,1,-2.44,-0.79,-3.09
375,1,-2.42,-0.4,-4.25
377,1,-2.42,-0.4,-4.25
379,1,-2.42,-0.4,-4.25
380,1,-2.42,-0.4,-4.25
382,1,-2.42,-0.4,-4.25
384,1,-2.42,-0.4,-4.25
385,1,-2.02,-0.28,-4.44
387,1,-2.02,-0.28,-4.44
389,1,-2.02,-0.28,-4.44
391,1,-2.02,-0.28,-4.44
392,1,-2.02,-0.28,-4.44
394,1,-2.02,-0.28,-4.44
396,1,-1.44,-0.31,-3.63
397,1,-1.44,-0.31,-3.63
399,1,-1.44,-0.31,-3.63
401,1,-1.44,-0.31,-3.63
402,1,-1.44,-0.31,-3.63
404,1,-1.44,-0.31,-2.63
406,1,-1.01,-0.15,-2.64
407,1,-1.01,-0.15,-2.64
409,1,-1.01,-0.15,-2.64
411,1,-1.01,-0.15,-2.64
412,1,-1.01,-0.15,-2.64
414,1,-0.64,0.16,-1.87
416,1,-0.63,0.16,-1.87
417,1,-0.63,0.16,-1.87
419,1,-0.63,0.16,-1.87
421,1,-0.63,0.16,-1.87
422,1,-0.63,0.16,-1.87
424,1,-0.3,0.4,-1.39
426,1,-0.3,0.4,-1.39
427,1,-0.3,0.4,-1.39
429,1,-0.3,0.4,-1.39
431,1,-0.3,0.4,-1.39
433,1,-0.3,0.4,-1.39
434,1,-0.01,0.46,-1.04
436,1,-0.01,0.46,-1.04
438,1,-0.01,0.46,-1.04
439,1,-0.01,0.46,-1.04
441,1,-0.01,0.46,-1.04
443,1,-0.01,0.46,-1.04
444,1,0.15,0.37,-0.7
446,1,0.15,0.37,-0.7
448,1,0.15,0.37,-0.7
449,1,0.15,0.37,-0.7
451,1,0.15,0.37,-0.7
453,1,0.15,0.37,-0.7
454,1,0.3,0.21,-0.38
456,1,0.3,0.21,-0.38
458,1,0.3,0.21,-0.38
460,1,0.3,0.21,-0.38
461,1,0.3,0.21,-0.38
463,1,0.3,0.1,-0.19
465,1,0.52,0.1,-0.19
