t,l,x,y,z
0,1,-0.98,0.0,0.07
2,1,-0.98,0.0,0.07
4,1,-0.98,0.0,0.07
5,1,-0.98,0.0,0.07
7,1,-0.98,0.0,0.07
9,1,-0.98,0.01,0.06
10,1,-0.98,0.01,0.06
12,1,-0.98,0.01,0.06
14,1,-0.98,0.01,0.06
15,1,-0.98,0.01,0.06
17,1,-0.98,0.01,0.06
18,1,-0.98,0.01,0.04
20,1,-0.98,0.01,0.04
22,1,-0.98,0.01,0.04
23,1,-0.98,0.01,0.04
25,1,-0.98,0.01,0.04
27,1,-0.98,0.01,0.04
28,1,-0.97,0.02,0.04
30,1,-0.97,0.02,0.04
32,1,-0.97,0.02,0.04
33,1,-0.97,0.02,0.04
35,1,-0.97,0.02,0.04
37,1,-0.97,0.02,0.04
38,1,-0.98,0.01,0.04
40,1,-0.98,0.01,0.04
42,1,-0.98,0.01,0.04
43,1,-0.98,0.01,0.04
45,1,-0.98,0.01,0.04
46,1,-0.98,0.01,0.04
48,1,-0.99,0.01,0.06
50,1,-0.99,0.01,0.06
51,1,-0.99,0.01,0.06
53,1,-0.99,0.01,0.06
55,1,-0.99,0.01,0.06
56,1,-0.99,0.01,0.06
58,1,-0.98,0.01,0.07
60,1,-0.98,0.01,0.07
61,1,-0.98,0.01,0.07
63,1,-0.98,0.01,0.07
65,1,-0.98,0.01,0.07
66,1,-0.98,0.01,0.07
68,1,-0.98,0.01,0.07
70,1,-0.98,0.01,0.07
71,1,-0.98,0.01,0.07
73,1,-0.98,0.01,0.07
75,1,-0.98,0.01,0.07
76,1,-0.98,0.01,0.07
78,1,-0.98,0.01,0.07
80,1,-0.98,0.01,0.07
81,1,-0.98,0.01,0.07
83,1,-0.98,0.01,0.07
85,1,-0.98,0.01,0.07
86,1,-0.98,0.01,0.07
88,1,-0.97,0.01,0.07
90,1,-0.97,0.01,0.07
91,1,-0.97,0.01,0.07
93,1,-0.97,0.01,0.07
94,1,-0.97,0.01,0.07
96,1,-0.97,0.01,0.05
98,1,-0.98,0.01,0.05
99,1,-0.98,0.01,0.05
101,1,-0.98,0.01,0.05
103,1,-0.98,0.01,0.05
104,1,-0.98,0.01,0.05
106,1,-0.98,0.02,0.05
108,1,-0.98,0.02,0.05
109,1,-0.98,0.02,0.05
111,1,-0.98,0.02,0.05
113,1,-0.98,0.02,0.05
114,1,-0.98,0.02,0.05
116,1,-0.98,0.02,0.05
118,1,-0.98,0.02,0.05
119,1,-0.98,0.02,0.05
121,1,-0.98,0.02,0.05
123,1,-0.98,0.02,0.05
124,1,-0.98,0.02,0.05
126,1,-0.98,0.01,0.05
128,1,-0.98,0.01,0.05
129,1,-0.98,0.01,0.05
131,1,-0.98,0.01,0.05
133,1,-0.98,0.01,0.05
134,1,-0.98,0.01,0.05
136,1,-0.98,0.01,0.06
138,1,-0.98,0.01,0.06
139,1,-0.98,0.01,0.06
141,1,-0.98,0.01,0.06
143,1,-0.98,0.01,0.06
144,1,-0.98,0.01,0.06
146,1,-0.99,0.01,0.06
147,1,-0.99,0.01,0.06
149,1,-0.99,0.01,0.06
151,1,-0.99,0.01,0.06
152,1,-0.99,0.01,0.06
154,1,-0.99,0.01,0.06
156,1,-0.98,0.01,0.06
157,1,-0.98,0.01,0.06
159,1,-0.98,0.01,0.06
161,1,-0.98,0.01,0.06
162,1,-0.98,0.01,0.06
164,1,-0.98,0.01,0.06
166,1,-0.98,0.01,0.06
167,1,-0.98,0.01,0.06
169,1,-0.98,0.01,0.06
171,1,-0.98,0.01,0.06
172,1,-0.98,0.01,0.06
174,1,-0.98,0.01,0.06
176,1,-0.98,0.01,0.05
177,1,-0.98,0.01,0.05
179,1,-0.98,0.01,0.05
181,1,-0.98,0.01,0.05
182,1,-0.98,0.01,0.05
184,1,-0.98,0.01,0.05
186,1,-0.98,0.01,0.05
187,1,-0.98,0.01,0.05
189,1,-0.98,0.01,0.05
191,1,-0.98,0.01,0.05
192,1,-0.98,0.01,0.05
194,1,-0.98,0.01,0.05
195,1,-0.98,0.01,0.05
197,1,-0.98,0.01,0.05
199,1,-0.98,0.01,0.05
200,1,-0.98,0.01,0.05
202,1,-0.98,0.01,0.05
204,1,-0.98,0.01,0.06
205,1,-0.98,0.01,0.06
207,1,-0.98,0.01,0.06
209,1,-0.98,0.01,0.06
210,1,-0.98,0.01,0.06
212,1,-0.98,0.01,0.06
214,1,-0.98,0.0,0.06
215,1,-0.98,0.0,0.06
217,1,-0.98,0.0,0.06
219,1,-0.98,0.0,0.06
220,1,-0.98,0.0,0.06
222,1,-0.98,0.0,0.06
224,1,-0.98,0.01,0.06
225,1,-0.98,0.01,0.06
227,1,-0.98,0.01,0.06
229,1,-0.98,0.01,0.06
230,1,-0.98,0.01,0.06
232,1,-0.98,0.01,0.06
234,1,-0.98,0.0,0.06
235,1,-0.98,0.0,0.06
237,1,-0.98,0.0,0.06
239,1,-0.98,0.0,0.06
240,1,-0.98,0.0,0.06
242,1,-0.98,0.0,0.06
243,1,-0.98,0.01,0.06
245,1,-0.98,0.01,0.06
247,1,-0.98,0.01,0.06
248,1,-0.98,0.01,0.06
250,1,-0.98,0.01,0.06
252,1,-0.98,0.01,0.06
253,1,-0.98,0.0,0.06
255,1,-0.98,0.0,0.06
257,1,-0.98,0.0,0.06
258,1,-0.98,0.0,0.06
260,1,-0.98,0.0,0.06
262,1,-0.98,0.0,0.06
263,1,-0.98,0.02,0.06
265,1,-0.98,0.02,0.06
267,1,-0.98,0.02,0.06
268,1,-0.98,0.02,0.06
270,1,-0.98,0.02,0.06
272,1,-0.98,0.02,0.06
273,1,-0.98,0.01,0.06
275,1,-0.98,0.01,0.06
277,1,-0.98,0.01,0.06
278,1,-0.98,0.01,0.06
280,1,-0.98,0.01,0.06
282,1,-0.98,0.01,0.06
283,1,-0.99,0.02,0.06
285,1,-0.99,0.02,0.06
286,1,-0.99,0.02,0.06
288,1,-0.99,0.02,0.06
290,1,-0.99,0.02,0.06
291,1,-0.99,0.02,0.06
293,1,-0.97,0.01,0.06
295,1,-0.97,0.01,0.06
296,1,-0.97,0.01,0.06
298,1,-0.97,0.01,0.06
300,1,-0.97,0.01,0.06
301,1,-0.97,0.02,0.05
303,1,-0.98,0.02,0.05
305,1,-0.98,0.02,0.05
306,1,-0.98,0.02,0.05
308,1,-0.98,0.02,0.05
310,1,-0.98,0.02,0.05
311,1,-0.98,0.02,0.05
313,1,-0.98,0.02,0.05
315,1,-0.98,0.02,0.05
316,1,-0.98,0.02,0.05
318,1,-0.98,0.02,0.05
319,1,-0.98,0.02,0.05
321,1,-0.98,0.01,0.05
323,1,-0.98,0.01,0.05
324,1,-0.98,0.01,0.05
326,1,-0.98,0.01,0.05
328,1,-0.98,0.01,0.05
329,1,-0.98,0.01,0.05
331,1,-0.99,0.02,0.04
333,1,-0.99,0.02,0.04
334,1,-0.99,0.02,0.04
336,1,-0.99,0.02,0.04
338,1,-0.99,0.02,0.04
339,1,-0.99,0.02,0.04
341,1,-0.99,0.01,0.03
343,1,-0.99,0.01,0.03
344,1,-0.99,0.01,0.03
346,1,-0.99,0.01,0.03
348,1,-0.99,0.01,0.03
349,1,-0.99,0.01,0.03
351,1,-0.98,0.03,0.02
352,1,-0.98,0.03,0.02
354,1,-0.98,0.03,0.02
356,1,-0.98,0.03,0.02
357,1,-0.98,0.03,0.02
359,1,-0.98,0.03,0.02
361,1,-1.03,0.11,0.08
362,1,-1.03,0.11,0.08
364,1,-1.03,0.11,0.08
366,1,-1.03,0.11,0.08
367,1,-1.03,0.11,0.08
369,1,-1.03,0.11,0.08
371,1,-1.06,0.15,0.16
372,1,-1.06,0.15,0.16
374,1,-1.06,0.15,0.16
376,1,-1.06,0.15,0.16
377,1,-1.06,0.15,0.16
379,1,-1.06,0.15,0.16
381,1,-1.1,0.15,0.27
382,1,-1.1,0.15,0.27
384,1,-1.1,0.15,0.27
386,1,-1.1,0.15,0.27
387,1,-1.1,0.15,0.27
389,1,-1.1,0.15,0.41
391,1,-1.18,0.12,0.41
392,1,-1.18,0.12,0.41
394,1,-1.18,0.12,0.41
396,1,-1.18,0.12,0.41
397,1,-1.18,0.12,0.41
399,1,-1.18,0.03,0.55
401,1,-1.24,0.03,0.55
402,1,-1.24,0.03,0.55
404,1,-1.24,0.03,0.55
406,1,-1.24,0.03,0.55
407,1,-1.24,0.03,0.55
409,1,-1.4,0.08,0.77
411,1,-1.4,0.08,0.77
412,1,-1.4,0.08,0.77
414,1,-1.4,0.08,0.77
416,1,-1.4,0.08,0.77
417,1,-1.4,0.08,0.77
419,1,-1.24,0.04,0.78
421,1,-1.24,0.04,0.78
422,1,-1.24,0.04,0.78
424,1,-1.24,0.04,0.78
426,1,-1.24,0.04,0.78
427,1,-1.24,0.04,0.78
429,1,-1.31,0.11,0.92
431,1,-1.31,0.11,0.92
432,1,-1.31,0.11,0.92
434,1,-1.31,0.11,0.92
436,1,-1.31,0.11,0.92
438,1,-1.31,0.11,0.92
439,1,-1.39,0.09,0.85
441,1,-1.39,0.09,0.85
443,1,-1.39,0.09,0.85
444,1,-1.39,0.09,0.85
446,1,-1.39,0.09,0.85
448,1,-1.39,0.09,0.85
449,1,-1.63,0.08,0.79
451,1,-1.63,0.08,0.79
452,1,-1.63,0.08,0.79
454,1,-1.63,0.08,0.79
456,1,-1.63,0.08,0.79
457,1,-1.63,0.08,0.75
459,1,-1.91,0.11,0.75
461,1,-1.91,0.11,0.75
462,1,-1.91,0.11,0.75
464,1,-1.91,0.11,0.75
466,1,-1.91,0.11,0.75
467,1,-2.04,0.08,0.81
469,1,-2.02,0.08,0.81
471,1,-2.02,0.08,0.81
472,1,-2.02,0.08,0.81
474,1,-2.02,0.08,0.81
476,1,-2.02,0.08,0.81
477,1,-1.93,0.04,0.96
479,1,-1.93,0.04,0.96
481,1,-1.93,0.04,0.96
482,1,-1.93,0.04,0.96
484,1,-1.93,0.04,0.96
486,1,-1.93,0.04,0.96
487,1,-1.58,-0.03,1.13
489,1,-1.58,-0.03,1.13
491,1,-1.58,-0.03,1.13
492,1,-1.58,-0.03,1.13
494,1,-1.58,-0.03,1.13
496,1,-1.58,-0.03,1.13
