t,l,x,y,z
0,1,-0.97,-0.14,0.0
2,1,-0.97,-0.14,0.0
3,1,-0.97,-0.14,0.0
5,1,-0.97,-0.14,0.0
7,1,-0.97,-0.14,0.0
8,1,-0.97,-0.14,0.0
10,1,-0.97,-0.14,0.0
12,1,-0.97,-0.14,0.0
13,1,-0.97,-0.14,0.0
15,1,-0.97,-0.14,0.0
17,1,-0.97,-0.14,0.0
18,1,-0.97,-0.14,0.0
20,1,-0.97,-0.14,0.0
22,1,-0.97,-0.14,0.0
23,1,-0.97,-0.14,0.01
25,1,-0.97,-0.14,0.01
27,1,-0.97,-0.14,0.01
28,1,-0.97,-0.14,0.01
30,1,-0.97,-0.14,0.01
32,1,-0.97,-0.14,0.01
33,1,-0.97,-0.14,0.01
35,1,-0.97,-0.14,0.01
37,1,-0.97,-0.14,0.01
38,1,-0.97,-0.14,0.01
40,1,-0.97,-0.14,0.01
42,1,-0.97,-0.14,0.01
43,1,-0.96,-0.13,0.01
45,1,-0.96,-0.13,0.01
47,1,-0.96,-0.13,0.01
48,1,-0.96,-0.13,0.01
50,1,-0.96,-0.13,0.01
52,1,-0.96,-0.13,0.01
53,1,-0.96,-0.13,0.01
55,1,-0.96,-0.13,0.01
57,1,-0.96,-0.13,0.01
58,1,-0.96,-0.13,0.01
60,1,-0.96,-0.13,0.01
62,1,-0.96,-0.13,0.01
63,1,-0.97,-0.14,0.01
65,1,-0.97,-0.14,0.01
67,1,-0.97,-0.14,0.01
68,1,-0.97,-0.14,0.01
70,1,-0.97,-0.14,0.01
72,1,-0.97,-0.14,0.01
73,1,-0.97,-0.14,0.02
75,1,-0.97,-0.14,0.02
77,1,-0.97,-0.14,0.02
78,1,-0.97,-0.14,0.02
80,1,-0.97,-0.14,0.02
82,1,-0.97,-0.14,0.01
83,1,-0.96,-0.13,0.01
85,1,-0.96,-0.13,0.01
87,1,-0.96,-0.13,0.01
88,1,-0.96,-0.13,0.01
90,1,-0.96,-0.13,0.01
92,1,-0.97,-0.13,0.01
93,1,-0.97,-0.13,0.01
95,1,-0.97,-0.13,0.01
97,1,-0.97,-0.13,0.01
98,1,-0.97,-0.13,0.01
100,1,-0.97,-0.13,0.01
102,1,-0.97,-0.13,0.01
103,1,-0.97,-0.13,0.01
105,1,-0.97,-0.13,0.01
107,1,-0.97,-0.13,0.01
108,1,-0.97,-0.13,0.01
110,1,-0.97,-0.13,0.01
112,1,-0.97,-0.14,0.0
113,1,-0.97,-0.14,0.0
115,1,-0.97,-0.14,0.0
117,1,-0.97,-0.14,0.0
118,1,-0.97,-0.14,0.0
120,1,-0.97,-0.14,0.0
