t,l,x,y,z
0,1,-0.97,0.13,-0.07
1,1,-0.97,0.13,-0.07
3,1,-0.97,0.13,-0.07
5,1,-0.97,0.13,-0.07
6,1,-0.97,0.14,-0.07
8,1,-0.97,0.14,-0.07
10,1,-0.97,0.14,-0.07
11,1,-0.97,0.14,-0.07
13,1,-0.97,0.14,-0.07
15,1,-0.97,0.14,-0.07
16,1,-0.98,0.14,-0.07
18,1,-0.98,0.14,-0.07
20,1,-0.98,0.14,-0.07
21,1,-0.98,0.14,-0.07
23,1,-0.98,0.14,-0.07
25,1,-0.98,0.14,-0.07
27,1,-0.98,0.14,-0.06
28,1,-0.98,0.14,-0.06
30,1,-0.98,0.14,-0.06
32,1,-0.98,0.14,-0.06
33,1,-0.98,0.14,-0.06
35,1,-0.98,0.14,-0.06
37,1,-0.98,0.14,-0.06
38,1,-0.98,0.14,-0.06
40,1,-0.98,0.14,-0.06
42,1,-0.98,0.14,-0.06
43,1,-0.98,0.14,-0.06
45,1,-0.98,0.13,-0.06
47,1,-0.98,0.13,-0.06
48,1,-0.98,0.13,-0.06
50,1,-0.98,0.13,-0.06
52,1,-0.98,0.13,-0.06
53,1,-0.98,0.13,-0.06
55,1,-0.97,0.14,-0.06
57,1,-0.97,0.14,-0.06
58,1,-0.97,0.14,-0.06
60,1,-0.97,0.14,-0.06
62,1,-0.97,0.14,-0.06
63,1,-0.97,0.14,-0.06
65,1,-0.98,0.13,-0.06
67,1,-0.98,0.13,-0.06
68,1,-0.98,0.13,-0.06
70,1,-0.98,0.13,-0.06
71,1,-0.98,0.13,-0.06
73,1,-0.98,0.13,-0.06
75,1,-0.98,0.13,-0.05
76,1,-0.98,0.13,-0.05
78,1,-0.98,0.13,-0.05
80,1,-0.98,0.13,-0.05
81,1,-0.98,0.13,-0.05
83,1,-0.98,0.13,-0.05
85,1,-0.98,0.13,-0.06
86,1,-0.98,0.13,-0.06
88,1,-0.98,0.13,-0.06
90,1,-0.98,0.13,-0.06
91,1,-0.98,0.13,-0.06
93,1,-0.98,0.13,-0.06
95,1,-0.98,0.13,-0.06
96,1,-0.98,0.13,-0.06
98,1,-0.98,0.13,-0.06
100,1,-0.98,0.13,-0.06
101,1,-0.98,0.13,-0.06
103,1,-0.98,0.13,-0.06
105,1,-0.98,0.13,-0.05
106,1,-0.98,0.13,-0.05
108,1,-0.98,0.13,-0.05
110,1,-0.98,0.13,-0.05
111,1,-0.98,0.13,-0.05
113,1,-0.98,0.13,-0.05
115,1,-0.98,0.13,-0.06
116,1,-0.98,0.13,-0.06
118,1,-0.98,0.13,-0.06
120,1,-0.98,0.13,-0.06
121,1,-0.98,0.13,-0.06
123,1,-0.98,0.14,-0.06
125,1,-0.98,0.14,-0.06
126,1,-0.98,0.14,-0.06
128,1,-0.98,0.14,-0.06
130,1,-0.98,0.14,-0.06
