t,l,x,y,z
0,1,-0.93,-0.29,0.05
1,1,-0.93,-0.29,0.05
3,1,-0.93,-0.3,0.05
5,1,-0.93,-0.3,0.05
6,1,-0.93,-0.3,0.05
8,1,-0.93,-0.3,0.05
10,1,-0.93,-0.3,0.05
11,1,-0.93,-0.3,0.05
13,1,-0.94,-0.29,0.05
15,1,-0.94,-0.29,0.05
16,1,-0.94,-0.29,0.05
18,1,-0.94,-0.29,0.05
20,1,-0.94,-0.29,0.05
21,1,-0.94,-0.29,0.05
23,1,-0.93,-0.29,0.04
25,1,-0.93,-0.29,0.04
26,1,-0.93,-0.29,0.04
28,1,-0.93,-0.29,0.04
30,1,-0.93,-0.29,0.04
31,1,-0.93,-0.29,0.04
33,1,-0.93,-0.28,0.04
35,1,-0.93,-0.28,0.04
36,1,-0.93,-0.28,0.04
38,1,-0.93,-0.28,0.04
40,1,-0.93,-0.28,0.04
41,1,-0.93,-0.28,0.04
43,1,-0.93,-0.28,0.04
45,1,-0.93,-0.28,0.04
46,1,-0.93,-0.28,0.04
48,1,-0.93,-0.28,0.04
50,1,-0.93,-0.28,0.04
51,1,-0.93,-0.28,0.04
53,1,-0.94,-0.28,0.04
55,1,-0.94,-0.28,0.04
56,1,-0.94,-0.28,0.04
58,1,-0.94,-0.28,0.04
60,1,-0.94,-0.28,0.04
61,1,-0.93,-0.28,0.05
63,1,-0.93,-0.28,0.05
65,1,-0.93,-0.28,0.05
66,1,-0.93,-0.28,0.05
68,1,-0.93,-0.28,0.05
70,1,-0.93,-0.28,0.05
71,1,-0.93,-0.28,0.05
73,1,-0.93,-0.28,0.05
75,1,-0.93,-0.28,0.05
76,1,-0.93,-0.28,0.05
78,1,-0.93,-0.28,0.05
80,1,-0.93,-0.28,0.05
81,1,-0.94,-0.29,0.05
83,1,-0.94,-0.29,0.05
85,1,-0.94,-0.29,0.05
86,1,-0.94,-0.29,0.05
88,1,-0.94,-0.29,0.05
90,1,-0.94,-0.29,0.05
91,1,-0.93,-0.29,0.06
93,1,-0.93,-0.29,0.06
95,1,-0.93,-0.29,0.06
96,1,-0.93,-0.29,0.06
98,1,-0.93,-0.29,0.06
100,1,-0.93,-0.29,0.06
101,1,-0.93,-0.29,0.05
103,1,-0.93,-0.29,0.05
105,1,-0.93,-0.29,0.05
106,1,-0.93,-0.29,0.05
108,1,-0.93,-0.29,0.05
110,1,-0.93,-0.29,0.05
111,1,-0.93,-0.29,0.05
113,1,-0.93,-0.29,0.05
115,1,-0.93,-0.29,0.05
116,1,-0.93,-0.29,0.05
118,1,-0.93,-0.29,0.05
120,1,-0.93,-0.29,0.04
121,1,-0.93,-0.29,0.04
123,1,-0.93,-0.29,0.04
125,1,-0.93,-0.29,0.04
126,1,-0.93,-0.29,0.04
128,1,-0.93,-0.29,0.04
130,1,-0.93,-0.29,0.05
131,1,-0.93,-0.29,0.05
133,1,-0.93,-0.29,0.05
135,1,-0.93,-0.29,0.05
136,1,-0.93,-0.29,0.05
138,1,-0.93,-0.29,0.05
140,1,-0.93,-0.29,0.05
141,1,-0.93,-0.29,0.05
143,1,-0.93,-0.29,0.05
145,1,-0.93,-0.29,0.05
146,1,-0.93,-0.29,0.05
148,1,-0.93,-0.29,0.05
150,1,-0.93,-0.29,0.05
151,1,-0.93,-0.29,0.05
153,1,-0.93,-0.29,0.05
155,1,-0.93,-0.29,0.05
156,1,-0.93,-0.29,0.05
158,1,-0.93,-0.29,0.05
160,1,-0.93,-0.29,0.05
161,1,-0.93,-0.29,0.05
163,1,-0.93,-0.29,0.05
165,1,-0.93,-0.29,0.05
166,1,-0.93,-0.29,0.05
168,1,-0.93,-0.29,0.05
170,1,-0.93,-0.29,0.05
171,1,-0.93,-0.29,0.05
173,1,-0.93,-0.29,0.05
175,1,-0.93,-0.29,0.05
176,1,-0.93,-0.29,0.05
178,1,-0.93,-0.29,0.05
180,1,-0.94,-0.29,0.05
181,1,-0.94,-0.29,0.05
183,1,-0.94,-0.29,0.05
185,1,-0.94,-0.29,0.05
186,1,-0.94,-0.29,0.05
188,1,-0.94,-0.29,0.06
190,1,-0.92,-0.3,0.06
191,1,-0.92,-0.3,0.06
193,1,-0.92,-0.3,0.06
195,1,-0.92,-0.3,0.06
196,1,-0.92,-0.3,0.06
198,1,-0.93,-0.3,0.06
200,1,-0.93,-0.3,0.06
201,1,-0.93,-0.3,0.06
203,1,-0.93,-0.3,0.06
205,1,-0.93,-0.3,0.06
206,1,-0.93,-0.3,0.06
208,1,-0.93,-0.3,0.05
210,1,-0.93,-0.3,0.05
211,1,-0.93,-0.3,0.05
213,1,-0.93,-0.3,0.05
215,1,-0.93,-0.3,0.05
216,1,-0.93,-0.3,0.05
218,1,-0.93,-0.3,0.06
220,1,-0.93,-0.3,0.06
221,1,-0.93,-0.3,0.06
223,1,-0.93,-0.3,0.06
225,1,-0.93,-0.3,0.06
226,1,-0.93,-0.3,0.06
228,1,-0.93,-0.3,0.06
230,1,-0.93,-0.3,0.06
231,1,-0.93,-0.3,0.06
233,1,-0.93,-0.3,0.06
235,1,-0.93,-0.3,0.06
236,1,-0.93,-0.3,0.06
238,1,-0.93,-0.3,0.06
240,1,-0.93,-0.3,0.06
241,1,-0.93,-0.3,0.06
243,1,-0.93,-0.3,0.06
245,1,-0.93,-0.3,0.06
246,1,-0.93,-0.3,0.06
248,1,-0.93,-0.3,0.06
250,1,-0.93,-0.3,0.06
251,1,-0.93,-0.3,0.06
253,1,-0.93,-0.3,0.06
255,1,-0.93,-0.3,0.06
256,1,-0.93,-0.3,0.06
258,1,-0.93,-0.29,0.06
260,1,-0.93,-0.29,0.06
261,1,-0.93,-0.29,0.06
263,1,-0.93,-0.29,0.06
265,1,-0.93,-0.29,0.06
266,1,-0.93,-0.29,0.05
268,1,-0.93,-0.29,0.05
270,1,-0.93,-0.29,0.05
271,1,-0.93,-0.29,0.05
273,1,-0.93,-0.29,0.05
275,1,-0.93,-0.29,0.05
276,1,-0.94,-0.29,0.06
278,1,-0.94,-0.29,0.06
280,1,-0.94,-0.29,0.06
281,1,-0.94,-0.29,0.06
283,1,-0.94,-0.29,0.06
285,1,-0.94,-0.29,0.06
286,1,-0.93,-0.3,0.06
288,1,-0.93,-0.3,0.06
290,1,-0.93,-0.3,0.06
291,1,-0.93,-0.3,0.06
293,1,-0.93,-0.3,0.06
294,1,-0.93,-0.3,0.06
296,1,-0.93,-0.3,0.06
298,1,-0.93,-0.3,0.06
300,1,-0.93,-0.3,0.06
301,1,-0.93,-0.3,0.06
303,1,-0.93,-0.3,0.06
305,1,-0.93,-0.3,0.06
306,1,-0.94,-0.3,0.06
308,1,-0.94,-0.3,0.06
310,1,-0.94,-0.3,0.06
311,1,-0.94,-0.3,0.06
313,1,-0.94,-0.3,0.06
315,1,-0.94,-0.3,0.06
316,1,-0.93,-0.29,0.05
318,1,-0.93,-0.29,0.05
320,1,-0.93,-0.29,0.05
321,1,-0.93,-0.29,0.05
323,1,-0.93,-0.29,0.05
325,1,-0.93,-0.29,0.05
326,1,-0.93,-0.29,0.05
328,1,-0.93,-0.29,0.05
330,1,-0.93,-0.29,0.05
331,1,-0.93,-0.29,0.05
333,1,-0.93,-0.29,0.05
335,1,-0.93,-0.29,0.05
336,1,-0.93,-0.29,0.05
338,1,-0.93,-0.29,0.05
340,1,-0.93,-0.29,0.05
341,1,-0.93,-0.29,0.05
343,1,-0.93,-0.29,0.05
345,1,-0.93,-0.29,0.05
346,1,-0.93,-0.29,0.05
348,1,-0.93,-0.29,0.05
350,1,-0.93,-0.29,0.05
351,1,-0.93,-0.29,0.05
353,1,-0.93,-0.29,0.05
355,1,-0.93,-0.28,0.05
356,1,-0.93,-0.28,0.05
358,1,-0.93,-0.28,0.05
360,1,-0.93,-0.28,0.05
361,1,-0.93,-0.28,0.05
363,1,-0.93,-0.28,0.05
365,1,-0.93,-0.29,0.05
366,1,-0.93,-0.29,0.05
368,1,-0.93,-0.29,0.05
370,1,-0.93,-0.29,0.05
371,1,-0.93,-0.29,0.05
373,1,-0.93,-0.29,0.05
375,1,-0.93,-0.28,0.05
377,1,-0.93,-0.28,0.05
378,1,-0.93,-0.28,0.05
380,1,-0.93,-0.28,0.05
382,1,-0.93,-0.28,0.05
383,1,-0.93,-0.29,0.05
385,1,-0.94,-0.29,0.05
387,1,-0.94,-0.29,0.05
388,1,-0.94,-0.29,0.05
390,1,-0.94,-0.29,0.05
392,1,-0.94,-0.29,0.05
393,1,-0.93,-0.29,0.05
395,1,-0.93,-0.29,0.05
397,1,-0.93,-0.29,0.05
398,1,-0.93,-0.29,0.05
400,1,-0.93,-0.29,0.05
402,1,-0.93,-0.29,0.05
403,1,-0.93,-0.29,0.06
405,1,-0.93,-0.29,0.06
407,1,-0.93,-0.29,0.06
408,1,-0.93,-0.29,0.06
410,1,-0.93,-0.29,0.06
412,1,-0.93,-0.29,0.06
413,1,-0.93,-0.29,0.05
415,1,-0.93,-0.29,0.05
417,1,-0.93,-0.29,0.05
418,1,-0.93,-0.29,0.05
420,1,-0.93,-0.29,0.05
422,1,-0.93,-0.29,0.05
423,1,-0.93,-0.29,0.05
425,1,-0.93,-0.29,0.05
427,1,-0.93,-0.29,0.05
428,1,-0.93,-0.29,0.05
430,1,-0.93,-0.29,0.05
432,1,-0.93,-0.29,0.05
433,1,-0.93,-0.28,0.05
435,1,-0.93,-0.28,0.05
