t,l,x,y,z
0,1,-0.97,0.15,0.02
2,1,-0.97,0.15,0.02
3,1,-0.97,0.15,0.02
5,1,-0.97,0.15,0.02
7,1,-0.97,0.15,0.02
8,1,-0.97,0.15,0.02
10,1,-0.97,0.15,0.02
12,1,-0.98,0.15,0.02
13,1,-0.98,0.15,0.02
15,1,-0.98,0.15,0.02
17,1,-0.98,0.15,0.02
18,1,-0.98,0.15,0.02
20,1,-0.98,0.15,0.02
22,1,-0.98,0.15,0.03
23,1,-0.98,0.15,0.03
25,1,-0.98,0.15,0.03
26,1,-0.98,0.15,0.03
28,1,-0.98,0.15,0.03
30,1,-0.98,0.15,0.03
31,1,-0.98,0.15,0.02
33,1,-0.98,0.15,0.02
35,1,-0.98,0.15,0.02
36,1,-0.98,0.15,0.02
38,1,-0.98,0.15,0.02
40,1,-0.98,0.15,0.02
41,1,-0.97,0.15,0.02
43,1,-0.97,0.15,0.02
45,1,-0.97,0.15,0.02
46,1,-0.97,0.15,0.02
48,1,-0.97,0.15,0.02
50,1,-0.97,0.15,0.02
51,1,-0.97,0.15,0.02
53,1,-0.97,0.15,0.02
55,1,-0.97,0.15,0.02
56,1,-0.97,0.15,0.02
58,1,-0.97,0.15,0.02
60,1,-0.97,0.15,0.02
61,1,-0.97,0.15,0.02
63,1,-0.97,0.15,0.02
64,1,-0.97,0.15,0.02
66,1,-0.97,0.15,0.02
68,1,-0.97,0.15,0.02
69,1,-0.97,0.15,0.02
71,1,-0.97,0.15,0.01
73,1,-0.97,0.15,0.01
74,1,-0.97,0.15,0.01
76,1,-0.97,0.15,0.01
78,1,-0.97,0.15,0.01
79,1,-0.97,0.15,0.01
81,1,-0.97,0.15,0.01
83,1,-0.97,0.15,0.01
84,1,-0.97,0.15,0.01
86,1,-0.97,0.15,0.01
88,1,-0.97,0.15,0.01
89,1,-0.97,0.15,0.01
91,1,-0.97,0.15,0.02
93,1,-0.97,0.15,0.02
94,1,-0.97,0.15,0.02
96,1,-0.97,0.15,0.02
98,1,-0.97,0.15,0.02
99,1,-0.97,0.15,0.02
101,1,-0.97,0.15,0.02
103,1,-0.97,0.15,0.02
104,1,-0.97,0.15,0.02
106,1,-0.97,0.15,0.02
108,1,-0.97,0.15,0.02
109,1,-0.98,0.15,0.02
111,1,-0.98,0.15,0.02
113,1,-0.98,0.15,0.02
114,1,-0.98,0.15,0.02
116,1,-0.98,0.15,0.02
118,1,-0.98,0.15,0.02
119,1,-0.98,0.15,0.02
121,1,-0.98,0.15,0.02
123,1,-0.98,0.15,0.02
124,1,-0.98,0.15,0.02
126,1,-0.98,0.15,0.02
128,1,-0.98,0.15,0.02
129,1,-0.98,0.15,0.02
131,1,-0.98,0.15,0.02
133,1,-0.98,0.15,0.02
134,1,-0.98,0.15,0.02
136,1,-0.98,0.15,0.02
138,1,-0.98,0.15,0.02
139,1,-0.98,0.15,0.02
141,1,-0.98,0.15,0.02
143,1,-0.98,0.15,0.02
144,1,-0.98,0.15,0.02
146,1,-0.98,0.15,0.02
148,1,-0.98,0.15,0.02
149,1,-0.97,0.14,0.02
151,1,-0.97,0.14,0.02
153,1,-0.97,0.14,0.02
154,1,-0.97,0.14,0.02
156,1,-0.97,0.14,0.02
158,1,-0.97,0.14,0.02
159,1,-0.96,0.15,0.02
161,1,-0.96,0.15,0.02
163,1,-0.96,0.15,0.02
164,1,-0.96,0.15,0.02
166,1,-0.96,0.15,0.02
168,1,-0.96,0.15,0.02
169,1,-0.97,0.16,0.02
171,1,-0.97,0.16,0.02
173,1,-0.97,0.16,0.02
174,1,-0.97,0.16,0.02
176,1,-0.97,0.16,0.02
178,1,-0.97,0.15,0.01
179,1,-0.98,0.15,0.01
181,1,-0.98,0.15,0.01
183,1,-0.98,0.15,0.01
184,1,-0.98,0.15,0.01
186,1,-0.98,0.15,0.01
