t,l,x,y,z
0,1,-0.98,0.05,0.06
1,1,-0.98,0.06,0.06
3,1,-0.98,0.06,0.06
5,1,-0.98,0.06,0.06
6,1,-0.98,0.06,0.06
8,1,-0.98,0.06,0.06
9,1,-0.98,0.06,0.06
11,1,-0.98,0.06,0.06
13,1,-0.98,0.06,0.06
14,1,-0.98,0.06,0.06
16,1,-0.98,0.06,0.06
18,1,-0.98,0.06,0.06
19,1,-0.98,0.06,0.06
21,1,-0.97,0.06,0.06
23,1,-0.97,0.06,0.06
24,1,-0.97,0.06,0.06
26,1,-0.97,0.06,0.06
28,1,-0.97,0.06,0.06
29,1,-0.97,0.06,0.06
31,1,-0.98,0.06,0.06
33,1,-0.98,0.06,0.06
34,1,-0.98,0.06,0.06
36,1,-0.98,0.06,0.06
38,1,-0.98,0.06,0.06
39,1,-0.98,0.05,0.06
41,1,-0.98,0.05,0.06
43,1,-0.98,0.05,0.06
44,1,-0.98,0.05,0.06
46,1,-0.98,0.05,0.06
48,1,-0.98,0.05,0.06
49,1,-0.98,0.05,0.06
51,1,-0.98,0.05,0.06
53,1,-0.98,0.05,0.06
54,1,-0.98,0.05,0.06
56,1,-0.98,0.05,0.06
58,1,-0.98,0.05,0.06
59,1,-0.98,0.05,0.07
61,1,-0.98,0.05,0.07
63,1,-0.98,0.05,0.07
64,1,-0.98,0.05,0.07
66,1,-0.98,0.05,0.07
68,1,-0.98,0.05,0.07
69,1,-0.98,0.04,0.07
71,1,-0.98,0.04,0.07
73,1,-0.98,0.04,0.07
74,1,-0.98,0.04,0.07
76,1,-0.98,0.04,0.07
78,1,-0.98,0.04,0.07
79,1,-0.98,0.04,0.07
81,1,-0.98,0.04,0.07
83,1,-0.98,0.04,0.07
84,1,-0.98,0.04,0.07
86,1,-0.98,0.04,0.07
88,1,-0.98,0.04,0.07
89,1,-0.98,0.04,0.07
91,1,-0.98,0.04,0.07
93,1,-0.98,0.04,0.07
94,1,-0.98,0.04,0.07
96,1,-0.98,0.04,0.07
98,1,-0.98,0.04,0.07
99,1,-0.98,0.05,0.07
101,1,-0.98,0.05,0.07
102,1,-0.98,0.05,0.07
104,1,-0.98,0.05,0.07
106,1,-0.98,0.05,0.07
107,1,-0.98,0.05,0.07
109,1,-0.98,0.04,0.07
111,1,-0.98,0.04,0.07
112,1,-0.98,0.04,0.07
114,1,-0.98,0.04,0.07
116,1,-0.98,0.04,0.07
117,1,-0.98,0.04,0.07
119,1,-0.98,0.05,0.07
121,1,-0.98,0.05,0.07
122,1,-0.98,0.05,0.07
124,1,-0.98,0.05,0.07
126,1,-0.98,0.05,0.07
127,1,-0.98,0.05,0.06
129,1,-0.98,0.05,0.06
131,1,-0.98,0.05,0.06
132,1,-0.98,0.05,0.06
134,1,-0.98,0.05,0.06
135,1,-0.98,0.05,0.06
137,1,-0.98,0.05,0.07
139,1,-0.98,0.05,0.07
140,1,-0.98,0.05,0.07
142,1,-0.98,0.05,0.07
144,1,-0.98,0.05,0.07
145,1,-0.98,0.05,0.07
147,1,-0.98,0.05,0.06
149,1,-0.98,0.05,0.06
150,1,-0.98,0.05,0.06
152,1,-0.98,0.05,0.06
154,1,-0.98,0.05,0.06
155,1,-0.98,0.05,0.06
157,1,-0.97,0.05,0.07
158,1,-0.97,0.05,0.07
160,1,-0.97,0.05,0.07
162,1,-0.97,0.05,0.07
163,1,-0.97,0.05,0.07
165,1,-0.97,0.05,0.07
167,1,-0.98,0.06,0.06
168,1,-0.98,0.06,0.06
170,1,-0.98,0.06,0.06
172,1,-0.98,0.06,0.06
173,1,-0.98,0.06,0.06
175,1,-0.98,0.06,0.06
177,1,-0.98,0.06,0.06
178,1,-0.98,0.06,0.06
180,1,-0.98,0.06,0.06
182,1,-0.98,0.06,0.06
183,1,-0.98,0.06,0.06
185,1,-0.98,0.06,0.06
186,1,-0.98,0.05,0.06
188,1,-0.98,0.05,0.06
190,1,-0.98,0.05,0.06
191,1,-0.98,0.05,0.06
193,1,-0.98,0.05,0.06
195,1,-0.98,0.05,0.06
196,1,-0.99,0.06,0.06
198,1,-0.99,0.06,0.06
200,1,-0.99,0.06,0.06
201,1,-0.99,0.06,0.06
203,1,-0.99,0.06,0.06
205,1,-0.99,0.06,0.06
206,1,-0.98,0.06,0.06
208,1,-0.98,0.06,0.06
210,1,-0.98,0.06,0.06
211,1,-0.98,0.06,0.06
213,1,-0.98,0.06,0.06
215,1,-0.98,0.06,0.06
216,1,-0.98,0.06,0.06
218,1,-0.98,0.06,0.06
220,1,-0.98,0.06,0.06
221,1,-0.98,0.06,0.06
223,1,-0.98,0.06,0.06
225,1,-0.98,0.06,0.06
226,1,-0.98,0.06,0.06
228,1,-0.98,0.06,0.06
230,1,-0.98,0.06,0.06
231,1,-0.98,0.06,0.06
