t,l,x,y,z
0,1,-0.97,-0.02,0.02
2,1,-0.97,-0.02,0.02
3,1,-0.97,-0.02,0.02
5,1,-0.97,-0.02,0.02
7,1,-0.97,-0.02,0.02
8,1,-0.97,-0.02,0.02
10,1,-0.97,-0.02,0.02
12,1,-0.97,-0.02,0.02
13,1,-0.97,-0.02,0.02
15,1,-0.97,-0.02,0.02
17,1,-0.98,-0.02,0.02
18,1,-0.98,-0.02,0.02
20,1,-0.98,-0.02,0.02
22,1,-0.98,-0.02,0.02
23,1,-0.98,-0.02,0.02
25,1,-0.98,-0.02,0.02
27,1,-0.98,-0.02,0.02
28,1,-0.98,-0.02,0.02
30,1,-0.98,-0.02,0.02
32,1,-0.98,-0.02,0.02
33,1,-0.98,-0.02,0.02
35,1,-0.98,-0.02,0.02
37,1,-0.98,-0.02,0.02
38,1,-0.98,-0.02,0.02
40,1,-0.98,-0.02,0.02
42,1,-0.98,-0.02,0.02
43,1,-0.98,-0.02,0.02
45,1,-0.98,-0.02,0.02
47,1,-0.98,-0.02,0.02
48,1,-0.98,-0.02,0.02
50,1,-0.98,-0.02,0.02
52,1,-0.98,-0.02,0.02
53,1,-0.98,-0.02,0.02
55,1,-0.98,-0.02,0.02
57,1,-0.97,-0.02,0.02
58,1,-0.97,-0.02,0.02
60,1,-0.97,-0.02,0.02
62,1,-0.97,-0.02,0.02
63,1,-0.97,-0.02,0.02
65,1,-0.97,-0.02,0.02
67,1,-0.97,-0.02,0.02
68,1,-0.97,-0.02,0.02
70,1,-0.97,-0.02,0.02
72,1,-0.97,-0.02,0.02
73,1,-0.97,-0.02,0.02
75,1,-0.98,-0.02,0.02
77,1,-0.98,-0.02,0.02
78,1,-0.98,-0.02,0.02
80,1,-0.98,-0.02,0.02
82,1,-0.98,-0.02,0.02
83,1,-0.98,-0.02,0.02
85,1,-0.98,-0.02,0.03
87,1,-0.98,-0.02,0.03
88,1,-0.98,-0.02,0.03
90,1,-0.98,-0.02,0.03
92,1,-0.98,-0.02,0.03
93,1,-0.98,-0.02,0.03
95,1,-0.99,-0.02,0.02
97,1,-0.99,-0.02,0.02
98,1,-0.99,-0.02,0.02
100,1,-0.99,-0.02,0.02
102,1,-0.99,-0.02,0.02
103,1,-0.99,-0.02,0.02
105,1,-0.98,-0.02,0.03
107,1,-0.98,-0.02,0.03
108,1,-0.98,-0.02,0.03
110,1,-0.98,-0.02,0.03
112,1,-0.98,-0.02,0.03
113,1,-0.98,-0.02,0.03
115,1,-0.98,-0.01,0.03
117,1,-0.98,-0.01,0.03
118,1,-0.98,-0.01,0.03
120,1,-0.98,-0.01,0.03
122,1,-0.98,-0.01,0.03
123,1,-0.98,-0.01,0.03
125,1,-0.97,-0.01,0.03
127,1,-0.97,-0.01,0.03
128,1,-0.97,-0.01,0.03
130,1,-0.97,-0.01,0.03
132,1,-0.97,-0.01,0.03
133,1,-0.97,-0.01,0.03
135,1,-0.97,-0.01,0.03
137,1,-0.97,-0.01,0.03
138,1,-0.97,-0.01,0.03
140,1,-0.97,-0.01,0.03
142,1,-0.97,-0.01,0.03
143,1,-0.98,-0.02,0.02
145,1,-0.98,-0.02,0.02
147,1,-0.98,-0.02,0.02
148,1,-0.98,-0.02,0.02
150,1,-0.98,-0.02,0.02
152,1,-0.98,-0.02,0.02
153,1,-0.98,-0.02,0.02
155,1,-0.98,-0.02,0.02
157,1,-0.98,-0.02,0.02
158,1,-0.98,-0.02,0.02
160,1,-0.98,-0.02,0.02
162,1,-0.98,-0.02,0.02
163,1,-1.0,-0.03,0.03
165,1,-1.0,-0.03,0.03
167,1,-1.0,-0.03,0.03
168,1,-1.0,-0.03,0.03
170,1,-1.0,-0.03,0.03
171,1,-1.0,-0.03,0.03
173,1,-0.99,-0.02,0.02
175,1,-0.99,-0.02,0.02
176,1,-0.99,-0.02,0.02
178,1,-0.99,-0.02,0.02
180,1,-0.99,-0.02,0.02
182,1,-0.99,-0.02,0.02
183,1,-0.98,-0.03,0.02
185,1,-0.98,-0.03,0.02
187,1,-0.98,-0.03,0.02
188,1,-0.98,-0.03,0.02
190,1,-0.98,-0.03,0.02
192,1,-0.98,-0.03,0.02
193,1,-0.98,-0.03,0.02
195,1,-0.98,-0.03,0.02
197,1,-0.98,-0.03,0.02
198,1,-0.98,-0.03,0.02
200,1,-0.98,-0.03,0.02
202,1,-0.98,-0.03,0.03
203,1,-0.98,-0.03,0.03
205,1,-0.98,-0.03,0.03
207,1,-0.98,-0.03,0.03
208,1,-0.98,-0.03,0.03
210,1,-0.98,-0.03,0.03
212,1,-0.98,-0.02,0.02
213,1,-0.98,-0.02,0.02
215,1,-0.98,-0.02,0.02
217,1,-0.98,-0.02,0.02
218,1,-0.98,-0.02,0.02
220,1,-0.98,-0.02,0.02
222,1,-0.99,-0.02,0.02
223,1,-0.99,-0.02,0.02
225,1,-0.99,-0.02,0.02
227,1,-0.99,-0.02,0.02
228,1,-0.99,-0.02,0.02
230,1,-0.99,-0.02,0.02
232,1,-0.98,-0.02,0.03
233,1,-0.98,-0.02,0.03
235,1,-0.98,-0.02,0.03
237,1,-0.98,-0.02,0.03
238,1,-0.98,-0.02,0.03
240,1,-0.98,-0.02,0.03
242,1,-0.97,-0.02,0.02
243,1,-0.97,-0.02,0.02
245,1,-0.97,-0.02,0.02
247,1,-0.97,-0.02,0.02
248,1,-0.97,-0.02,0.02
250,1,-0.97,-0.02,0.02
252,1,-0.97,-0.02,0.02
253,1,-0.97,-0.02,0.02
255,1,-0.97,-0.02,0.02
257,1,-0.97,-0.02,0.02
258,1,-0.97,-0.02,0.02
260,1,-0.97,-0.02,0.02
262,1,-0.97,-0.02,0.02
263,1,-0.97,-0.02,0.02
265,1,-0.97,-0.02,0.02
267,1,-0.97,-0.02,0.02
268,1,-0.97,-0.02,0.02
270,1,-0.97,-0.02,0.03
272,1,-0.98,-0.02,0.03
273,1,-0.98,-0.02,0.03
275,1,-0.98,-0.02,0.03
277,1,-0.98,-0.02,0.03
278,1,-0.98,-0.02,0.03
280,1,-0.98,-0.02,0.02
281,1,-0.98,-0.02,0.02
283,1,-0.98,-0.02,0.02
285,1,-0.98,-0.02,0.02
286,1,-0.98,-0.02,0.02
288,1,-0.98,-0.02,0.02
290,1,-0.98,-0.03,0.02
291,1,-0.98,-0.03,0.02
