t,l,x,y,z
0,1,-0.97,0.15,0.02
1,1,-0.97,0.15,0.02
3,1,-0.97,0.15,0.02
5,1,-0.97,0.15,0.02
6,1,-0.97,0.15,0.02
8,1,-0.97,0.15,0.02
10,1,-0.97,0.15,0.02
11,1,-0.97,0.15,0.02
13,1,-0.98,0.15,0.02
15,1,-0.98,0.15,0.02
16,1,-0.98,0.15,0.02
18,1,-0.98,0.15,0.02
20,1,-0.98,0.15,0.02
21,1,-0.98,0.15,0.02
23,1,-0.98,0.15,0.02
25,1,-0.98,0.15,0.02
26,1,-0.98,0.15,0.02
28,1,-0.98,0.15,0.02
29,1,-0.98,0.15,0.02
31,1,-0.97,0.15,0.02
33,1,-0.97,0.15,0.02
34,1,-0.97,0.15,0.02
36,1,-0.97,0.15,0.02
38,1,-0.97,0.15,0.02
39,1,-0.97,0.15,0.02
41,1,-0.97,0.15,0.02
43,1,-0.97,0.15,0.02
44,1,-0.97,0.15,0.02
46,1,-0.97,0.15,0.02
48,1,-0.97,0.15,0.02
49,1,-0.97,0.15,0.02
51,1,-0.97,0.15,0.02
53,1,-0.97,0.15,0.02
54,1,-0.97,0.15,0.02
56,1,-0.97,0.15,0.02
58,1,-0.97,0.15,0.02
59,1,-0.97,0.15,0.02
61,1,-0.97,0.15,0.02
63,1,-0.97,0.15,0.02
64,1,-0.97,0.15,0.02
66,1,-0.97,0.15,0.02
68,1,-0.97,0.15,0.02
69,1,-0.97,0.15,0.02
71,1,-0.97,0.15,0.02
73,1,-0.97,0.15,0.02
74,1,-0.97,0.15,0.02
76,1,-0.97,0.15,0.02
78,1,-0.97,0.15,0.02
79,1,-0.97,0.15,0.02
81,1,-0.97,0.16,0.02
83,1,-0.97,0.16,0.02
84,1,-0.97,0.16,0.02
86,1,-0.97,0.16,0.02
88,1,-0.97,0.16,0.02
89,1,-0.97,0.16,0.01
91,1,-0.98,0.16,0.01
93,1,-0.98,0.16,0.01
94,1,-0.98,0.16,0.01
96,1,-0.98,0.16,0.01
98,1,-0.98,0.16,0.01
100,1,-0.97,0.16,0.02
101,1,-0.97,0.16,0.02
103,1,-0.97,0.16,0.02
105,1,-0.97,0.16,0.02
106,1,-0.97,0.16,0.02
108,1,-0.97,0.16,0.02
110,1,-0.97,0.15,0.02
111,1,-0.97,0.15,0.02
113,1,-0.97,0.15,0.02
115,1,-0.97,0.15,0.02
116,1,-0.97,0.15,0.02
118,1,-0.97,0.15,0.02
120,1,-0.97,0.15,0.02
121,1,-0.97,0.15,0.02
123,1,-0.97,0.15,0.02
125,1,-0.97,0.15,0.02
126,1,-0.97,0.15,0.02
128,1,-0.97,0.15,0.02
130,1,-0.98,0.15,0.03
131,1,-0.98,0.15,0.03
133,1,-0.98,0.15,0.03
135,1,-0.98,0.15,0.03
136,1,-0.98,0.15,0.03
138,1,-0.98,0.15,0.03
140,1,-0.98,0.15,0.02
141,1,-0.98,0.15,0.02
143,1,-0.98,0.15,0.02
145,1,-0.98,0.15,0.02
146,1,-0.98,0.15,0.02
148,1,-0.98,0.15,0.02
150,1,-0.98,0.15,0.02
151,1,-0.98,0.15,0.02
153,1,-0.98,0.15,0.02
155,1,-0.98,0.15,0.02
156,1,-0.98,0.15,0.02
158,1,-0.98,0.15,0.02
160,1,-0.98,0.15,0.02
161,1,-0.98,0.15,0.02
163,1,-0.98,0.15,0.02
165,1,-0.98,0.15,0.02
166,1,-0.98,0.15,0.02
168,1,-0.97,0.15,0.01
170,1,-0.97,0.15,0.01
171,1,-0.97,0.15,0.01
173,1,-0.97,0.15,0.01
175,1,-0.97,0.15,0.01
176,1,-0.97,0.15,0.01
178,1,-0.97,0.15,0.01
180,1,-0.97,0.15,0.01
181,1,-0.97,0.15,0.01
183,1,-0.97,0.15,0.01
185,1,-0.97,0.15,0.01
186,1,-0.97,0.15,0.01
188,1,-0.97,0.15,0.02
190,1,-0.97,0.15,0.02
191,1,-0.97,0.15,0.02
193,1,-0.97,0.15,0.02
195,1,-0.97,0.15,0.02
196,1,-0.97,0.15,0.02
198,1,-0.97,0.16,0.02
200,1,-0.97,0.16,0.02
201,1,-0.97,0.16,0.02
203,1,-0.97,0.16,0.02
204,1,-0.97,0.16,0.02
206,1,-0.97,0.16,0.02
208,1,-0.97,0.15,0.02
209,1,-0.97,0.15,0.02
211,1,-0.97,0.15,0.02
213,1,-0.97,0.15,0.02
214,1,-0.97,0.15,0.02
216,1,-0.97,0.15,0.02
218,1,-0.97,0.15,0.02
219,1,-0.97,0.15,0.02
221,1,-0.97,0.15,0.02
223,1,-0.97,0.15,0.02
224,1,-0.97,0.15,0.02
226,1,-0.97,0.15,0.02
228,1,-0.97,0.15,0.02
229,1,-0.97,0.15,0.02
231,1,-0.97,0.15,0.02
233,1,-0.97,0.15,0.02
234,1,-0.97,0.15,0.02
236,1,-0.97,0.15,0.02
238,1,-0.97,0.15,0.02
239,1,-0.97,0.15,0.02
241,1,-0.97,0.15,0.02
243,1,-0.97,0.15,0.02
244,1,-0.97,0.15,0.02
246,1,-0.97,0.14,0.02
248,1,-0.97,0.14,0.02
249,1,-0.97,0.14,0.02
251,1,-0.97,0.14,0.02
253,1,-0.97,0.14,0.02
254,1,-0.97,0.14,0.02
256,1,-0.97,0.14,0.02
258,1,-0.97,0.14,0.02
259,1,-0.97,0.14,0.02
261,1,-0.97,0.14,0.02
263,1,-0.97,0.14,0.02
264,1,-0.97,0.14,0.02
266,1,-0.98,0.13,-0.0
268,1,-0.98,0.13,-0.0
269,1,-0.98,0.13,-0.0
271,1,-0.98,0.13,-0.0
273,1,-0.98,0.13,-0.0
274,1,-0.98,0.13,-0.0
276,1,-0.98,0.13,-0.01
278,1,-0.98,0.13,-0.01
279,1,-0.98,0.13,-0.01
281,1,-0.98,0.13,-0.01
283,1,-0.98,0.13,-0.01
284,1,-0.98,0.13,-0.01
286,1,-0.96,0.13,-0.02
288,1,-0.96,0.13,-0.02
289,1,-0.96,0.13,-0.02
291,1,-0.96,0.13,-0.02
293,1,-0.96,0.13,-0.02
294,1,-0.96,0.01,-0.02
296,1,-0.98,0.12,-0.02
298,1,-0.98,0.12,-0.02
299,1,-0.98,0.12,-0.02
301,1,-0.98,0.12,-0.02
303,1,-0.98,0.12,-0.02
305,1,-0.98,0.14,0.02
306,1,-0.98,0.14,0.02
308,1,-0.98,0.14,0.02
310,1,-0.98,0.14,0.02
311,1,-0.98,0.14,0.02
313,1,-0.98,0.14,0.02
315,1,-1.0,0.15,0.09
316,1,-1.0,0.15,0.09
318,1,-1.0,0.15,0.09
320,1,-1.0,0.15,0.09
321,1,-1.0,0.15,0.09
323,1,-1.0,0.15,0.09
325,1,-0.99,0.21,0.23
326,1,-0.99,0.21,0.23
328,1,-0.99,0.21,0.23
330,1,-0.99,0.21,0.23
331,1,-0.99,0.21,0.23
333,1,-0.99,0.21,0.23
335,1,-1.0,0.28,0.43
336,1,-1.0,0.28,0.43
338,1,-1.0,0.28,0.43
340,1,-1.0,0.28,0.43
342,1,-1.0,0.28,0.43
343,1,-1.0,0.28,0.69
345,1,-1.06,0.34,0.69
347,1,-1.06,0.34,0.69
348,1,-1.06,0.34,0.69
350,1,-1.06,0.34,0.69
352,1,-1.06,0.34,0.69
353,1,-1.31,0.35,0.9
355,1,-1.31,0.35,0.9
357,1,-1.31,0.35,0.9
358,1,-1.31,0.35,0.9
360,1,-1.31,0.35,0.9
362,1,-1.31,0.35,0.9
363,1,-1.6,0.51,1.21
365,1,-1.6,0.51,1.21
367,1,-1.6,0.51,1.21
368,1,-1.6,0.51,1.21
370,1,-1.6,0.51,1.21
372,1,-1.6,0.51,1.21
373,1,-1.5,0.24,0.86
375,1,-1.5,0.24,0.86
377,1,-1.5,0.24,0.86
378,1,-1.5,0.24,0.86
380,1,-1.5,0.24,0.86
382,1,-1.5,0.24,0.86
383,1,-1.6,0.2,0.64
385,1,-1.6,0.2,0.64
387,1,-1.6,0.2,0.64
388,1,-1.6,0.2,0.64
390,1,-1.6,0.2,0.64
392,1,-1.6,0.2,0.64
393,1,-1.67,0.22,0.57
395,1,-1.67,0.22,0.57
397,1,-1.67,0.22,0.57
398,1,-1.67,0.22,0.57
400,1,-1.67,0.22,0.57
402,1,-1.67,0.22,0.57
403,1,-1.7,0.17,0.58
405,1,-1.7,0.17,0.58
407,1,-1.7,0.17,0.58
408,1,-1.7,0.17,0.58
410,1,-1.7,0.17,0.58
412,1,-1.7,0.17,0.67
413,1,-1.68,0.18,0.67
415,1,-1.68,0.18,0.67
417,1,-1.68,0.18,0.67
418,1,-1.68,0.18,0.67
420,1,-1.68,0.18,0.67
422,1,-1.55,0.15,0.71
423,1,-1.55,0.15,0.71
425,1,-1.55,0.15,0.71
427,1,-1.55,0.15,0.71
428,1,-1.55,0.15,0.71
430,1,-1.55,0.15,0.71
432,1,-1.32,0.07,0.71
433,1,-1.32,0.07,0.71
435,1,-1.32,0.07,0.71
437,1,-1.32,0.07,0.71
438,1,-1.32,0.07,0.71
440,1,-1.32,0.07,0.71
442,1,-0.98,-0.12,0.67
443,1,-0.98,-0.12,0.67
445,1,-0.98,-0.12,0.67
447,1,-0.98,-0.12,0.67
449,1,-0.98,-0.12,0.67
450,1,-0.98,-0.12,0.67
452,1,-0.65,-0.32,0.69
454,1,-0.65,-0.32,0.69
455,1,-0.65,-0.32,0.69
457,1,-0.65,-0.32,0.69
459,1,-0.65,-0.32,0.69
460,1,-0.65,-0.32,0.82
462,1,-0.45,-0.44,0.76
464,1,-0.45,-0.44,0.76
465,1,-0.45,-0.44,0.76
467,1,-0.45,-0.44,0.76
469,1,-0.45,-0.44,0.76
470,1,-0.45,-0.44,0.86
472,1,-0.32,-0.49,0.86
474,1,-0.32,-0.49,0.86
475,1,-0.32,-0.49,0.86
477,1,-0.32,-0.49,0.86
479,1,-0.32,-0.49,0.86
480,1,-0.32,-0.46,0.91
482,1,-0.32,-0.46,0.91
484,1,-0.32,-0.46,0.91
485,1,-0.32,-0.46,0.91
487,1,-0.32,-0.46,0.91
489,1,-0.32,-0.46,0.91
491,1,-0.41,-0.41,0.94
492,1,-0.41,-0.41,0.94
494,1,-0.41,-0.41,0.94
496,1,-0.41,-0.41,0.94
497,1,-0.41,-0.41,0.94
499,1,-0.41,-0.41,0.94
501,1,-0.54,-0.27,0.94
502,1,-0.54,-0.27,0.94
504,1,-0.54,-0.27,0.94
506,1,-0.54,-0.27,0.94
507,1,-0.54,-0.27,0.94
509,1,-0.54,-0.27,0.94
511,1,-0.66,-0.12,0.85
512,1,-0.66,-0.12,0.85
514,1,-0.66,-0.12,0.85
516,1,-0.66,-0.12,0.85
517,1,-0.66,-0.12,0.85
519,1,-0.66,0.04,0.62
521,1,-0.71,0.04,0.62
523,1,-0.71,0.04,0.62
524,1,-0.71,0.04,0.62
526,1,-0.71,0.04,0.62
528,1,-0.71,0.04,0.62
529,1,-0.81,0.22,0.44
531,1,-0.81,0.22,0.44
533,1,-0.81,0.22,0.44
