t,l,x,y,z
0,1,-0.97,-0.02,-0.05
1,1,-0.97,-0.02,-0.05
3,1,-0.98,-0.03,-0.05
5,1,-0.98,-0.03,-0.05
6,1,-0.98,-0.03,-0.05
8,1,-0.98,-0.03,-0.05
10,1,-0.98,-0.03,-0.05
11,1,-0.98,-0.03,-0.05
13,1,-0.98,-0.02,-0.05
15,1,-0.98,-0.02,-0.05
16,1,-0.98,-0.02,-0.05
18,1,-0.98,-0.02,-0.05
20,1,-0.98,-0.02,-0.05
21,1,-0.98,-0.02,-0.05
23,1,-0.98,-0.02,-0.05
25,1,-0.98,-0.02,-0.05
26,1,-0.98,-0.02,-0.05
28,1,-0.98,-0.02,-0.05
30,1,-0.98,-0.02,-0.05
31,1,-0.98,-0.03,-0.05
33,1,-0.98,-0.03,-0.05
35,1,-0.98,-0.03,-0.05
36,1,-0.98,-0.03,-0.05
38,1,-0.98,-0.03,-0.05
40,1,-0.98,-0.03,-0.05
41,1,-0.98,-0.03,-0.06
43,1,-0.98,-0.03,-0.06
45,1,-0.98,-0.03,-0.06
46,1,-0.98,-0.03,-0.06
48,1,-0.98,-0.03,-0.06
50,1,-0.98,-0.03,-0.06
51,1,-0.99,-0.03,-0.07
53,1,-0.99,-0.03,-0.07
55,1,-0.99,-0.03,-0.07
56,1,-0.99,-0.03,-0.07
58,1,-0.99,-0.03,-0.07
60,1,-0.99,-0.03,-0.07
61,1,-0.98,-0.03,-0.07
63,1,-0.98,-0.03,-0.07
65,1,-0.98,-0.03,-0.07
66,1,-0.98,-0.03,-0.07
68,1,-0.98,-0.03,-0.07
70,1,-0.98,-0.03,-0.07
71,1,-0.98,-0.03,-0.07
73,1,-0.98,-0.03,-0.07
75,1,-0.98,-0.03,-0.07
76,1,-0.98,-0.03,-0.07
78,1,-0.98,-0.03,-0.07
80,1,-0.98,-0.03,-0.07
81,1,-0.98,-0.04,-0.07
83,1,-0.98,-0.04,-0.07
85,1,-0.98,-0.04,-0.07
86,1,-0.98,-0.04,-0.07
88,1,-0.98,-0.04,-0.07
90,1,-0.98,-0.03,-0.06
91,1,-0.98,-0.03,-0.06
93,1,-0.98,-0.03,-0.06
95,1,-0.98,-0.03,-0.06
96,1,-0.98,-0.03,-0.06
98,1,-0.98,-0.03,-0.06
100,1,-0.98,-0.03,-0.06
101,1,-0.98,-0.03,-0.06
103,1,-0.98,-0.03,-0.06
105,1,-0.98,-0.03,-0.06
106,1,-0.98,-0.03,-0.06
108,1,-0.98,-0.03,-0.06
110,1,-0.99,-0.03,-0.06
111,1,-0.99,-0.03,-0.06
113,1,-0.99,-0.03,-0.06
115,1,-0.99,-0.03,-0.06
116,1,-0.99,-0.03,-0.06
118,1,-0.99,-0.03,-0.06
120,1,-0.99,-0.03,-0.07
121,1,-0.99,-0.03,-0.07
123,1,-0.99,-0.03,-0.07
125,1,-0.99,-0.03,-0.07
126,1,-0.99,-0.03,-0.07
128,1,-0.99,-0.03,-0.07
130,1,-0.99,-0.04,-0.07
131,1,-0.99,-0.04,-0.07
133,1,-0.99,-0.04,-0.07
135,1,-0.99,-0.04,-0.07
136,1,-0.99,-0.04,-0.07
138,1,-0.99,-0.04,-0.07
140,1,-0.98,-0.03,-0.06
141,1,-0.98,-0.03,-0.06
143,1,-0.98,-0.03,-0.06
145,1,-0.98,-0.03,-0.06
146,1,-0.98,-0.03,-0.06
148,1,-0.98,-0.03,-0.06
150,1,-0.97,-0.03,-0.06
151,1,-0.97,-0.03,-0.06
153,1,-0.97,-0.03,-0.06
155,1,-0.97,-0.03,-0.06
156,1,-0.97,-0.03,-0.06
158,1,-0.97,-0.03,-0.05
160,1,-0.97,-0.03,-0.05
161,1,-0.97,-0.03,-0.05
163,1,-0.97,-0.03,-0.05
165,1,-0.97,-0.03,-0.05
166,1,-0.97,-0.03,-0.05
168,1,-0.98,-0.03,-0.05
170,1,-0.98,-0.03,-0.05
171,1,-0.98,-0.03,-0.05
173,1,-0.98,-0.03,-0.05
175,1,-0.98,-0.03,-0.05
176,1,-0.98,-0.03,-0.05
178,1,-0.98,-0.02,-0.05
180,1,-0.98,-0.02,-0.05
181,1,-0.98,-0.02,-0.05
183,1,-0.98,-0.02,-0.05
