t,l,x,y,z
0,1,-0.98,0.09,-0.05
2,1,-0.98,0.09,-0.05
3,1,-0.98,0.1,-0.06
5,1,-0.98,0.1,-0.06
7,1,-0.98,0.1,-0.06
9,1,-0.98,0.1,-0.06
10,1,-0.98,0.1,-0.06
12,1,-0.98,0.1,-0.06
14,1,-0.98,0.1,-0.06
15,1,-0.98,0.1,-0.06
17,1,-0.98,0.1,-0.06
19,1,-0.98,0.1,-0.06
20,1,-0.98,0.1,-0.06
22,1,-0.98,0.09,-0.06
24,1,-0.98,0.09,-0.06
25,1,-0.98,0.09,-0.06
27,1,-0.98,0.09,-0.06
29,1,-0.98,0.09,-0.06
30,1,-0.98,0.09,-0.06
32,1,-0.98,0.09,-0.05
33,1,-0.98,0.09,-0.05
35,1,-0.98,0.09,-0.05
37,1,-0.98,0.09,-0.05
39,1,-0.98,0.09,-0.05
40,1,-0.98,0.09,-0.05
42,1,-0.98,0.09,-0.05
44,1,-0.98,0.09,-0.05
45,1,-0.98,0.09,-0.05
47,1,-0.98,0.09,-0.05
49,1,-0.98,0.09,-0.05
50,1,-0.98,0.09,-0.05
52,1,-0.98,0.09,-0.05
54,1,-0.98,0.09,-0.05
55,1,-0.98,0.09,-0.05
57,1,-0.98,0.09,-0.05
59,1,-0.98,0.09,-0.05
60,1,-0.98,0.09,-0.05
62,1,-0.98,0.09,-0.05
64,1,-0.98,0.09,-0.05
65,1,-0.98,0.09,-0.05
67,1,-0.98,0.09,-0.05
69,1,-0.98,0.09,-0.05
70,1,-0.98,0.09,-0.05
72,1,-0.98,0.1,-0.06
74,1,-0.98,0.1,-0.06
75,1,-0.98,0.1,-0.06
77,1,-0.98,0.1,-0.06
79,1,-0.98,0.1,-0.06
80,1,-0.98,0.1,-0.06
82,1,-0.98,0.1,-0.06
84,1,-0.98,0.1,-0.06
85,1,-0.98,0.1,-0.06
87,1,-0.98,0.1,-0.06
89,1,-0.98,0.1,-0.06
90,1,-0.97,0.1,-0.06
92,1,-0.97,0.1,-0.06
94,1,-0.97,0.1,-0.06
95,1,-0.97,0.1,-0.06
97,1,-0.97,0.1,-0.06
99,1,-0.97,0.1,-0.06
100,1,-0.98,0.1,-0.06
102,1,-0.98,0.1,-0.06
104,1,-0.98,0.1,-0.06
105,1,-0.98,0.1,-0.06
107,1,-0.98,0.1,-0.06
109,1,-0.98,0.1,-0.06
110,1,-0.98,0.1,-0.05
112,1,-0.98,0.1,-0.05
114,1,-0.98,0.1,-0.05
115,1,-0.98,0.1,-0.05
117,1,-0.98,0.1,-0.05
119,1,-0.98,0.1,-0.05
120,1,-0.97,0.1,-0.06
122,1,-0.97,0.1,-0.06
124,1,-0.97,0.1,-0.06
125,1,-0.97,0.1,-0.06
127,1,-0.97,0.1,-0.06
129,1,-0.97,0.1,-0.06
130,1,-0.98,0.1,-0.05
132,1,-0.98,0.1,-0.05
134,1,-0.98,0.1,-0.05
136,1,-0.98,0.1,-0.05
137,1,-0.98,0.1,-0.05
139,1,-0.98,0.09,-0.05
140,1,-0.98,0.09,-0.05
142,1,-0.98,0.09,-0.05
144,1,-0.98,0.09,-0.05
145,1,-0.98,0.09,-0.05
147,1,-0.98,0.09,-0.05
149,1,-0.98,0.1,-0.05
150,1,-0.98,0.1,-0.05
152,1,-0.98,0.1,-0.05
154,1,-0.98,0.1,-0.05
155,1,-0.98,0.1,-0.05
157,1,-0.98,0.1,-0.05
159,1,-0.98,0.09,-0.05
160,1,-0.98,0.09,-0.05
162,1,-0.98,0.09,-0.05
164,1,-0.98,0.09,-0.05
165,1,-0.98,0.09,-0.05
167,1,-0.98,0.09,-0.05
169,1,-0.98,0.1,-0.06
170,1,-0.98,0.1,-0.06
172,1,-0.98,0.1,-0.06
174,1,-0.98,0.1,-0.06
175,1,-0.98,0.1,-0.06
177,1,-0.98,0.1,-0.06
179,1,-0.98,0.1,-0.06
180,1,-0.98,0.1,-0.06
182,1,-0.98,0.1,-0.06
184,1,-0.98,0.1,-0.06
185,1,-0.98,0.1,-0.06
187,1,-0.98,0.1,-0.06
188,1,-0.98,0.1,-0.06
190,1,-0.98,0.1,-0.06
192,1,-0.98,0.1,-0.06
194,1,-0.98,0.1,-0.06
195,1,-0.98,0.1,-0.06
197,1,-0.98,0.1,-0.06
199,1,-0.98,0.1,-0.06
200,1,-0.98,0.1,-0.06
202,1,-0.98,0.1,-0.06
203,1,-0.98,0.1,-0.06
205,1,-0.98,0.1,-0.06
207,1,-0.98,0.1,-0.06
208,1,-0.98,0.1,-0.05
210,1,-0.98,0.1,-0.05
212,1,-0.98,0.1,-0.05
213,1,-0.98,0.1,-0.05
215,1,-0.98,0.1,-0.05
217,1,-0.98,0.1,-0.05
218,1,-0.97,0.09,-0.05
220,1,-0.97,0.09,-0.05
222,1,-0.97,0.09,-0.05
223,1,-0.97,0.09,-0.05
225,1,-0.97,0.09,-0.05
227,1,-0.97,0.1,-0.06
228,1,-0.97,0.1,-0.06
230,1,-0.97,0.1,-0.06
232,1,-0.97,0.1,-0.06
233,1,-0.97,0.1,-0.06
235,1,-0.97,0.1,-0.06
