t,l,x,y,z
0,1,-0.99,-0.02,-0.02
1,1,-0.99,-0.02,-0.02
3,1,-0.99,-0.02,-0.02
5,1,-0.98,-0.02,-0.02
6,1,-0.98,-0.02,-0.02
8,1,-0.98,-0.02,-0.02
10,1,-0.98,-0.02,-0.02
11,1,-0.98,-0.02,-0.02
13,1,-0.98,-0.02,-0.02
15,1,-0.98,-0.02,-0.02
16,1,-0.98,-0.02,-0.02
18,1,-0.98,-0.02,-0.02
20,1,-0.98,-0.02,-0.02
21,1,-0.98,-0.02,-0.02
23,1,-0.98,-0.02,-0.02
25,1,-0.98,-0.02,-0.02
26,1,-0.98,-0.02,-0.02
28,1,-0.98,-0.02,-0.02
30,1,-0.98,-0.02,-0.02
31,1,-0.98,-0.02,-0.02
33,1,-0.98,-0.02,-0.02
35,1,-0.98,-0.02,-0.02
36,1,-0.98,-0.02,-0.02
38,1,-0.98,-0.02,-0.02
40,1,-0.98,-0.02,-0.02
41,1,-0.98,-0.02,-0.02
43,1,-0.98,-0.02,-0.01
45,1,-0.98,-0.02,-0.01
46,1,-0.98,-0.02,-0.01
48,1,-0.98,-0.02,-0.01
50,1,-0.98,-0.02,-0.01
51,1,-0.98,-0.02,-0.01
53,1,-0.97,-0.02,-0.0
55,1,-0.97,-0.02,-0.0
56,1,-0.97,-0.02,-0.0
58,1,-0.97,-0.02,-0.0
60,1,-0.97,-0.02,-0.0
62,1,-0.97,-0.02,-0.0
63,1,-0.98,-0.02,-0.0
65,1,-0.98,-0.02,-0.0
66,1,-0.98,-0.02,-0.0
68,1,-0.98,-0.02,-0.0
70,1,-0.98,-0.02,-0.0
71,1,-0.98,-0.02,-0.0
73,1,-0.99,-0.02,-0.0
75,1,-0.99,-0.02,-0.0
76,1,-0.99,-0.02,-0.0
78,1,-0.99,-0.02,-0.0
80,1,-0.99,-0.02,-0.0
81,1,-0.99,-0.02,-0.01
83,1,-0.99,-0.02,-0.01
85,1,-0.99,-0.02,-0.01
86,1,-0.99,-0.02,-0.01
88,1,-0.99,-0.02,-0.01
90,1,-0.99,-0.02,-0.01
91,1,-0.99,-0.03,-0.01
93,1,-0.99,-0.03,-0.01
95,1,-0.99,-0.03,-0.01
96,1,-0.99,-0.03,-0.01
98,1,-0.99,-0.03,-0.01
100,1,-0.99,-0.03,-0.01
101,1,-0.98,-0.03,-0.01
103,1,-0.98,-0.03,-0.01
105,1,-0.98,-0.03,-0.01
106,1,-0.98,-0.03,-0.01
108,1,-0.98,-0.03,-0.01
110,1,-0.98,-0.03,-0.01
111,1,-0.98,-0.02,-0.02
113,1,-0.98,-0.02,-0.02
115,1,-0.98,-0.02,-0.02
116,1,-0.98,-0.02,-0.02
118,1,-0.98,-0.02,-0.02
120,1,-0.98,-0.02,-0.02
121,1,-0.98,-0.02,-0.02
123,1,-0.98,-0.02,-0.02
125,1,-0.98,-0.02,-0.02
126,1,-0.98,-0.02,-0.02
128,1,-0.98,-0.02,-0.02
130,1,-0.98,-0.02,-0.02
131,1,-0.98,-0.02,-0.01
133,1,-0.98,-0.02,-0.01
135,1,-0.98,-0.02,-0.01
136,1,-0.98,-0.02,-0.01
138,1,-0.98,-0.02,-0.01
140,1,-0.98,-0.02,-0.01
141,1,-0.98,-0.02,-0.01
143,1,-0.98,-0.02,-0.01
145,1,-0.98,-0.02,-0.01
146,1,-0.98,-0.02,-0.01
148,1,-0.98,-0.02,-0.01
150,1,-0.98,-0.02,-0.01
151,1,-0.98,-0.02,-0.01
153,1,-0.98,-0.02,-0.01
155,1,-0.98,-0.02,-0.01
156,1,-0.98,-0.02,-0.01
158,1,-0.98,-0.02,-0.01
160,1,-0.99,-0.02,-0.01
161,1,-0.99,-0.02,-0.01
163,1,-0.99,-0.02,-0.01
165,1,-0.99,-0.02,-0.01
166,1,-0.99,-0.02,-0.01
168,1,-0.99,-0.02,-0.01
170,1,-0.98,-0.02,-0.0
171,1,-0.98,-0.02,-0.0
173,1,-0.98,-0.02,-0.0
175,1,-0.98,-0.02,-0.0
176,1,-0.98,-0.02,-0.0
178,1,-0.98,-0.02,-0.0
180,1,-0.97,-0.02,-0.01
181,1,-0.97,-0.02,-0.01
183,1,-0.97,-0.02,-0.01
185,1,-0.97,-0.02,-0.01
186,1,-0.97,-0.02,-0.01
188,1,-0.97,-0.02,-0.01
189,1,-0.98,-0.02,-0.01
