t,l,x,y,z
0,1,-0.98,0.14,-0.01
2,1,-0.98,0.14,-0.01
4,1,-0.98,0.14,-0.01
5,1,-0.98,0.14,-0.01
7,1,-0.98,0.14,-0.01
9,1,-0.98,0.14,-0.01
10,1,-0.98,0.14,-0.01
12,1,-0.98,0.14,-0.01
14,1,-0.98,0.14,-0.01
15,1,-0.97,0.14,-0.01
17,1,-0.97,0.14,-0.01
19,1,-0.97,0.14,-0.01
20,1,-0.97,0.14,-0.01
22,1,-0.97,0.14,-0.01
24,1,-0.97,0.14,-0.0
25,1,-0.98,0.13,-0.0
27,1,-0.98,0.13,-0.0
29,1,-0.98,0.13,-0.0
30,1,-0.98,0.13,-0.0
32,1,-0.98,0.13,-0.0
34,1,-0.98,0.14,-0.01
35,1,-0.97,0.14,-0.01
37,1,-0.97,0.14,-0.01
39,1,-0.97,0.14,-0.01
40,1,-0.97,0.14,-0.01
42,1,-0.97,0.14,-0.01
44,1,-0.98,0.13,-0.01
45,1,-0.98,0.13,-0.01
47,1,-0.98,0.13,-0.01
49,1,-0.98,0.13,-0.01
50,1,-0.98,0.13,-0.01
52,1,-0.98,0.13,-0.01
54,1,-0.98,0.14,-0.01
55,1,-0.98,0.14,-0.01
57,1,-0.98,0.14,-0.01
59,1,-0.98,0.14,-0.01
60,1,-0.98,0.14,-0.01
62,1,-0.98,0.14,-0.01
64,1,-0.97,0.14,-0.0
65,1,-0.97,0.14,-0.0
67,1,-0.97,0.14,-0.0
69,1,-0.97,0.14,-0.0
70,1,-0.97,0.14,-0.0
72,1,-0.97,0.14,-0.0
73,1,-0.97,0.14,-0.01
75,1,-0.97,0.14,-0.01
77,1,-0.97,0.14,-0.01
78,1,-0.97,0.14,-0.01
80,1,-0.97,0.14,-0.01
82,1,-0.97,0.14,-0.01
83,1,-0.97,0.14,-0.0
85,1,-0.97,0.14,-0.0
87,1,-0.97,0.14,-0.0
88,1,-0.97,0.14,-0.0
90,1,-0.97,0.14,-0.0
92,1,-0.97,0.14,-0.0
93,1,-0.98,0.14,-0.0
95,1,-0.98,0.14,-0.0
97,1,-0.98,0.14,-0.0
98,1,-0.98,0.14,-0.0
100,1,-0.98,0.14,-0.0
102,1,-0.98,0.14,-0.0
103,1,-0.97,0.14,-0.01
105,1,-0.97,0.14,-0.01
107,1,-0.97,0.14,-0.01
108,1,-0.97,0.14,-0.01
110,1,-0.97,0.14,-0.01
112,1,-0.97,0.14,-0.02
113,1,-0.98,0.14,-0.02
115,1,-0.98,0.14,-0.02
117,1,-0.98,0.14,-0.02
118,1,-0.98,0.14,-0.02
120,1,-0.98,0.14,-0.02
122,1,-0.97,0.14,-0.02
123,1,-0.97,0.14,-0.02
125,1,-0.97,0.14,-0.02
127,1,-0.97,0.14,-0.02
128,1,-0.97,0.14,-0.02
130,1,-0.97,0.14,-0.02
132,1,-0.97,0.14,-0.02
133,1,-0.97,0.14,-0.02
135,1,-0.97,0.14,-0.02
137,1,-0.97,0.14,-0.02
138,1,-0.97,0.14,-0.02
140,1,-0.97,0.14,-0.02
142,1,-0.97,0.15,-0.02
143,1,-0.97,0.15,-0.02
145,1,-0.97,0.15,-0.02
147,1,-0.97,0.15,-0.02
148,1,-0.97,0.15,-0.02
150,1,-0.97,0.15,-0.02
152,1,-0.97,0.15,-0.02
153,1,-0.97,0.15,-0.02
155,1,-0.97,0.15,-0.02
157,1,-0.97,0.15,-0.02
158,1,-0.97,0.15,-0.02
