t,l,x,y,z
0,1,-0.98,-0.02,-0.11
1,1,-0.98,-0.02,-0.11
3,1,-0.98,-0.02,-0.11
5,1,-0.98,-0.02,-0.11
6,1,-0.98,-0.02,-0.11
8,1,-0.98,-0.02,-0.11
10,1,-0.98,-0.02,-0.11
11,1,-0.98,-0.02,-0.11
13,1,-0.98,-0.02,-0.11
15,1,-0.98,-0.02,-0.1
16,1,-0.98,-0.02,-0.1
18,1,-0.98,-0.02,-0.1
20,1,-0.98,-0.02,-0.1
21,1,-0.98,-0.02,-0.1
23,1,-0.98,-0.02,-0.1
25,1,-0.98,-0.02,-0.1
26,1,-0.98,-0.02,-0.1
28,1,-0.98,-0.02,-0.1
30,1,-0.98,-0.02,-0.1
31,1,-0.98,-0.02,-0.1
33,1,-0.98,-0.02,-0.1
35,1,-0.97,-0.02,-0.11
36,1,-0.97,-0.02,-0.11
38,1,-0.97,-0.02,-0.11
40,1,-0.97,-0.02,-0.11
42,1,-0.97,-0.02,-0.11
43,1,-0.97,-0.02,-0.1
45,1,-0.98,-0.02,-0.1
47,1,-0.98,-0.02,-0.1
48,1,-0.98,-0.02,-0.1
50,1,-0.98,-0.02,-0.1
52,1,-0.98,-0.02,-0.1
53,1,-0.98,-0.02,-0.1
55,1,-0.98,-0.02,-0.1
57,1,-0.98,-0.02,-0.1
58,1,-0.98,-0.02,-0.1
60,1,-0.98,-0.02,-0.1
62,1,-0.98,-0.02,-0.1
63,1,-0.98,-0.02,-0.09
65,1,-0.98,-0.02,-0.09
67,1,-0.98,-0.02,-0.09
68,1,-0.98,-0.02,-0.09
70,1,-0.98,-0.02,-0.09
72,1,-0.98,-0.02,-0.09
73,1,-0.98,-0.02,-0.09
75,1,-0.98,-0.02,-0.09
77,1,-0.98,-0.02,-0.09
78,1,-0.98,-0.02,-0.09
80,1,-0.98,-0.02,-0.09
82,1,-0.98,-0.02,-0.09
83,1,-0.98,-0.03,-0.1
85,1,-0.98,-0.03,-0.1
87,1,-0.98,-0.03,-0.1
88,1,-0.98,-0.03,-0.1
90,1,-0.98,-0.03,-0.1
92,1,-0.98,-0.03,-0.1
93,1,-0.98,-0.02,-0.09
95,1,-0.98,-0.02,-0.09
97,1,-0.98,-0.02,-0.09
98,1,-0.98,-0.02,-0.09
100,1,-0.98,-0.02,-0.09
102,1,-0.98,-0.02,-0.11
103,1,-0.98,-0.02,-0.11
105,1,-0.98,-0.02,-0.11
107,1,-0.98,-0.02,-0.11
108,1,-0.98,-0.02,-0.11
110,1,-0.98,-0.02,-0.11
112,1,-0.98,-0.03,-0.1
114,1,-0.98,-0.03,-0.1
115,1,-0.98,-0.03,-0.1
117,1,-0.98,-0.03,-0.1
119,1,-0.98,-0.03,-0.1
120,1,-0.98,-0.03,-0.1
122,1,-0.97,-0.03,-0.14
124,1,-0.97,-0.03,-0.14
125,1,-0.97,-0.03,-0.14
127,1,-0.97,-0.03,-0.14
129,1,-0.97,-0.03,-0.14
130,1,-0.97,-0.03,-0.14
132,1,-0.97,-0.03,-0.13
134,1,-0.97,-0.03,-0.13
135,1,-0.97,-0.03,-0.13
137,1,-0.97,-0.03,-0.13
139,1,-0.97,-0.03,-0.13
141,1,-0.97,-0.03,-0.13
142,1,-0.97,-0.02,-0.14
144,1,-0.97,-0.02,-0.14
145,1,-0.97,-0.02,-0.14
147,1,-0.97,-0.02,-0.14
149,1,-0.97,-0.02,-0.14
150,1,-0.97,-0.02,-0.14
152,1,-0.97,-0.02,-0.15
154,1,-0.97,-0.02,-0.15
155,1,-0.97,-0.02,-0.15
157,1,-0.97,-0.02,-0.15
159,1,-0.97,-0.02,-0.15
161,1,-0.97,-0.03,-0.14
162,1,-0.97,-0.03,-0.14
164,1,-0.97,-0.03,-0.14
166,1,-0.97,-0.03,-0.14
167,1,-0.97,-0.03,-0.14
169,1,-0.97,-0.03,-0.14
171,1,-0.97,-0.02,-0.13
173,1,-0.97,-0.02,-0.13
174,1,-0.97,-0.02,-0.13
176,1,-0.97,-0.02,-0.13
177,1,-0.97,-0.02,-0.13
179,1,-0.97,-0.02,-0.13
181,1,-0.97,-0.02,-0.12
183,1,-0.97,-0.02,-0.12
184,1,-0.97,-0.02,-0.12
186,1,-0.97,-0.02,-0.12
188,1,-0.97,-0.02,-0.12
189,1,-0.97,-0.02,-0.12
191,1,-0.98,-0.02,-0.11
193,1,-0.98,-0.02,-0.11
194,1,-0.98,-0.02,-0.11
196,1,-0.98,-0.02,-0.11
198,1,-0.98,-0.02,-0.11
199,1,-0.98,-0.02,-0.11
201,1,-0.98,-0.02,-0.1
203,1,-0.98,-0.02,-0.1
204,1,-0.98,-0.02,-0.1
206,1,-0.98,-0.02,-0.1
208,1,-0.98,-0.02,-0.1
209,1,-0.98,-0.02,-0.09
211,1,-0.98,-0.02,-0.09
213,1,-0.98,-0.02,-0.09
214,1,-0.98,-0.02,-0.09
216,1,-0.98,-0.02,-0.09
218,1,-0.98,-0.02,-0.09
219,1,-0.98,-0.02,-0.08
221,1,-0.98,-0.02,-0.08
223,1,-0.98,-0.02,-0.08
224,1,-0.98,-0.02,-0.08
226,1,-0.98,-0.02,-0.08
228,1,-0.98,-0.02,-0.08
229,1,-0.98,-0.02,-0.09
231,1,-0.98,-0.02,-0.09
232,1,-0.98,-0.02,-0.09
234,1,-0.98,-0.02,-0.09
236,1,-0.98,-0.02,-0.09
237,1,-0.98,-0.02,-0.09
239,1,-0.98,-0.02,-0.1
241,1,-0.98,-0.02,-0.1
242,1,-0.98,-0.02,-0.1
244,1,-0.98,-0.02,-0.1
246,1,-0.98,-0.02,-0.1
247,1,-0.98,-0.02,-0.1
249,1,-0.97,-0.02,-0.11
251,1,-0.97,-0.02,-0.11
252,1,-0.97,-0.02,-0.11
254,1,-0.97,-0.02,-0.11
256,1,-0.97,-0.02,-0.11
258,1,-0.97,-0.02,-0.11
259,1,-0.97,-0.03,-0.12
261,1,-0.97,-0.03,-0.12
263,1,-0.97,-0.03,-0.12
264,1,-0.97,-0.03,-0.12
266,1,-0.97,-0.03,-0.12
268,1,-0.97,-0.03,-0.12
269,1,-0.97,-0.02,-0.13
271,1,-0.97,-0.02,-0.13
273,1,-0.97,-0.02,-0.13
274,1,-0.97,-0.02,-0.13
276,1,-0.97,-0.02,-0.13
278,1,-0.97,-0.02,-0.14
279,1,-0.97,-0.02,-0.14
281,1,-0.97,-0.02,-0.14
283,1,-0.97,-0.02,-0.14
284,1,-0.97,-0.02,-0.14
286,1,-0.97,-0.02,-0.14
288,1,-0.97,-0.02,-0.14
290,1,-0.97,-0.02,-0.14
291,1,-0.97,-0.02,-0.14
293,1,-0.97,-0.02,-0.14
294,1,-0.97,-0.02,-0.14
296,1,-0.97,-0.02,-0.14
298,1,-0.97,-0.02,-0.13
299,1,-0.97,-0.02,-0.13
301,1,-0.97,-0.02,-0.13
303,1,-0.97,-0.02,-0.13
305,1,-0.97,-0.02,-0.13
306,1,-0.97,-0.02,-0.13
308,1,-0.97,-0.02,-0.12
310,1,-0.97,-0.02,-0.12
311,1,-0.97,-0.02,-0.12
313,1,-0.97,-0.02,-0.12
315,1,-0.97,-0.02,-0.12
316,1,-0.97,-0.02,-0.12
318,1,-0.98,-0.02,-0.12
320,1,-0.98,-0.02,-0.12
321,1,-0.98,-0.02,-0.12
323,1,-0.98,-0.02,-0.12
325,1,-0.98,-0.02,-0.12
326,1,-0.98,-0.02,-0.11
328,1,-0.98,-0.02,-0.11
330,1,-0.98,-0.02,-0.11
331,1,-0.98,-0.02,-0.11
333,1,-0.98,-0.02,-0.11
335,1,-0.98,-0.02,-0.11
337,1,-0.98,-0.02,-0.1
338,1,-0.98,-0.02,-0.1
340,1,-0.98,-0.02,-0.1
341,1,-0.98,-0.02,-0.1
343,1,-0.98,-0.02,-0.1
345,1,-0.98,-0.02,-0.1
346,1,-0.97,-0.02,-0.1
348,1,-0.97,-0.02,-0.1
350,1,-0.97,-0.02,-0.1
351,1,-0.97,-0.02,-0.1
353,1,-0.97,-0.02,-0.1
355,1,-0.97,-0.02,-0.1
356,1,-0.98,-0.03,-0.1
358,1,-0.98,-0.03,-0.1
360,1,-0.98,-0.03,-0.1
362,1,-0.98,-0.03,-0.1
363,1,-0.98,-0.03,-0.1
365,1,-0.98,-0.03,-0.1
367,1,-0.97,-0.02,-0.11
368,1,-0.97,-0.02,-0.11
370,1,-0.97,-0.02,-0.11
372,1,-0.97,-0.02,-0.11
373,1,-0.97,-0.02,-0.11
375,1,-0.97,-0.02,-0.11
377,1,-0.98,-0.02,-0.1
378,1,-0.98,-0.02,-0.1
380,1,-0.98,-0.02,-0.1
382,1,-0.98,-0.02,-0.1
383,1,-0.98,-0.02,-0.1
385,1,-0.98,-0.02,-0.11
387,1,-0.98,-0.02,-0.11
389,1,-0.98,-0.02,-0.11
390,1,-0.98,-0.02,-0.11
392,1,-0.98,-0.02,-0.11
394,1,-0.98,-0.02,-0.11
395,1,-0.97,-0.02,-0.11
397,1,-0.97,-0.02,-0.11
399,1,-0.97,-0.02,-0.11
400,1,-0.97,-0.02,-0.11
402,1,-0.97,-0.02,-0.11
404,1,-0.97,-0.02,-0.11
405,1,-0.98,-0.02,-0.12
407,1,-0.98,-0.02,-0.12
409,1,-0.98,-0.02,-0.12
410,1,-0.98,-0.02,-0.12
412,1,-0.98,-0.02,-0.12
414,1,-0.98,-0.02,-0.12
415,1,-0.97,-0.02,-0.13
417,1,-0.97,-0.02,-0.13
419,1,-0.97,-0.02,-0.13
420,1,-0.97,-0.02,-0.13
422,1,-0.97,-0.02,-0.13
424,1,-0.97,-0.02,-0.13
425,1,-0.97,-0.02,-0.13
427,1,-0.97,-0.02,-0.13
429,1,-0.97,-0.02,-0.13
431,1,-0.97,-0.02,-0.13
432,1,-0.97,-0.02,-0.13
434,1,-0.97,-0.02,-0.13
435,1,-0.97,-0.02,-0.13
437,1,-0.97,-0.02,-0.13
439,1,-0.97,-0.02,-0.13
440,1,-0.97,-0.02,-0.13
442,1,-0.97,-0.02,-0.13
444,1,-0.97,-0.02,-0.12
445,1,-0.98,-0.02,-0.12
447,1,-0.98,-0.02,-0.12
449,1,-0.98,-0.02,-0.12
450,1,-0.98,-0.02,-0.12
452,1,-0.98,-0.02,-0.12
454,1,-0.97,-0.02,-0.12
455,1,-0.97,-0.02,-0.12
457,1,-0.97,-0.02,-0.12
459,1,-0.97,-0.02,-0.12
460,1,-0.97,-0.02,-0.12
