t,l,x,y,z
0,1,-0.98,0.06,-0.01
1,1,-0.98,0.06,-0.01
3,1,-0.98,0.06,-0.01
5,1,-0.98,0.06,-0.01
6,1,-0.98,0.06,-0.01
8,1,-0.98,0.06,-0.01
10,1,-0.98,0.06,-0.02
11,1,-0.98,0.06,-0.02
13,1,-0.98,0.06,-0.02
15,1,-0.98,0.06,-0.02
16,1,-0.98,0.06,-0.02
18,1,-0.98,0.06,-0.02
20,1,-0.98,0.07,-0.01
21,1,-0.98,0.07,-0.01
23,1,-0.98,0.07,-0.01
25,1,-0.98,0.07,-0.01
26,1,-0.98,0.07,-0.01
28,1,-0.98,0.07,-0.01
30,1,-0.98,0.07,-0.01
31,1,-0.98,0.07,-0.01
33,1,-0.98,0.07,-0.01
34,1,-0.98,0.07,-0.01
36,1,-0.98,0.07,-0.01
38,1,-0.98,0.07,-0.01
39,1,-0.99,0.07,-0.01
41,1,-0.99,0.07,-0.01
43,1,-0.99,0.07,-0.01
44,1,-0.99,0.07,-0.01
46,1,-0.99,0.07,-0.01
48,1,-0.99,0.07,-0.01
49,1,-0.98,0.06,0.01
51,1,-0.98,0.06,0.01
53,1,-0.98,0.06,0.01
54,1,-0.98,0.06,0.01
56,1,-0.98,0.06,0.01
58,1,-0.98,0.06,0.01
59,1,-0.98,0.06,0.01
61,1,-0.98,0.06,0.01
63,1,-0.98,0.06,0.01
64,1,-0.98,0.06,0.01
66,1,-0.98,0.06,0.01
68,1,-0.98,0.06,0.01
69,1,-0.98,0.05,0.01
71,1,-0.98,0.05,0.01
73,1,-0.98,0.05,0.01
74,1,-0.98,0.05,0.01
76,1,-0.98,0.05,0.01
78,1,-0.99,0.06,0.01
79,1,-0.99,0.06,0.01
81,1,-0.99,0.06,0.01
83,1,-0.99,0.06,0.01
84,1,-0.99,0.06,0.01
86,1,-0.99,0.06,0.01
88,1,-0.98,0.07,-0.01
89,1,-0.98,0.07,-0.01
91,1,-0.98,0.07,-0.01
93,1,-0.98,0.07,-0.01
94,1,-0.98,0.07,-0.01
96,1,-0.98,0.07,-0.01
97,1,-0.98,0.07,-0.01
99,1,-0.98,0.07,-0.01
101,1,-0.98,0.07,-0.01
102,1,-0.98,0.07,-0.01
104,1,-0.98,0.07,-0.01
106,1,-0.98,0.07,-0.01
107,1,-0.98,0.07,-0.01
109,1,-0.98,0.07,-0.01
111,1,-0.98,0.07,-0.01
112,1,-0.98,0.07,-0.01
114,1,-0.98,0.07,-0.01
116,1,-0.98,0.07,-0.01
117,1,-0.98,0.07,-0.01
119,1,-0.98,0.07,-0.01
121,1,-0.98,0.07,-0.01
122,1,-0.98,0.07,-0.01
124,1,-0.98,0.07,-0.01
126,1,-0.98,0.07,-0.01
127,1,-0.98,0.07,-0.01
129,1,-0.98,0.07,-0.01
131,1,-0.98,0.07,-0.01
132,1,-0.98,0.07,-0.01
134,1,-0.98,0.07,-0.01
136,1,-0.98,0.07,-0.01
137,1,-0.97,0.07,-0.01
139,1,-0.97,0.07,-0.01
141,1,-0.97,0.07,-0.01
142,1,-0.97,0.07,-0.01
144,1,-0.97,0.07,-0.01
146,1,-0.97,0.07,-0.01
147,1,-0.98,0.06,-0.01
149,1,-0.98,0.06,-0.01
151,1,-0.98,0.06,-0.01
152,1,-0.98,0.06,-0.01
154,1,-0.98,0.06,-0.01
155,1,-0.98,0.06,0.0
157,1,-0.99,0.06,0.0
159,1,-0.99,0.06,0.0
160,1,-0.99,0.06,0.0
162,1,-0.99,0.06,0.0
164,1,-0.99,0.06,0.0
165,1,-0.99,0.06,0.0
167,1,-0.99,0.05,0.0
169,1,-0.99,0.05,0.0
170,1,-0.99,0.05,0.0
172,1,-0.99,0.05,0.0
174,1,-0.99,0.05,0.0
175,1,-0.98,0.04,0.0
177,1,-0.98,0.04,0.0
179,1,-0.98,0.04,0.0
180,1,-0.98,0.04,0.0
182,1,-0.98,0.04,0.0
184,1,-0.98,0.04,0.0
185,1,-0.99,0.04,-0.01
187,1,-0.99,0.04,-0.01
189,1,-0.99,0.04,-0.01
190,1,-0.99,0.04,-0.01
192,1,-0.99,0.04,-0.01
194,1,-0.99,0.04,-0.01
195,1,-0.99,0.04,-0.02
197,1,-0.99,0.04,-0.02
199,1,-0.99,0.04,-0.02
200,1,-0.99,0.04,-0.02
202,1,-0.99,0.04,-0.02
204,1,-0.99,0.04,-0.02
205,1,-0.99,0.03,-0.07
207,1,-0.99,0.03,-0.07
209,1,-0.99,0.03,-0.07
210,1,-0.99,0.03,-0.07
212,1,-0.99,0.03,-0.07
214,1,-0.99,0.03,-0.07
215,1,-1.0,0.06,-0.14
217,1,-1.0,0.06,-0.14
218,1,-1.0,0.06,-0.14
220,1,-1.0,0.06,-0.14
222,1,-1.0,0.06,-0.14
223,1,-1.0,0.06,-0.14
225,1,-1.01,0.11,-0.17
227,1,-1.01,0.11,-0.17
229,1,-1.01,0.11,-0.17
230,1,-1.01,0.11,-0.17
232,1,-1.01,0.11,-0.17
234,1,-1.01,0.23,-0.08
235,1,-1.04,0.17,-0.08
237,1,-1.04,0.17,-0.08
239,1,-1.04,0.17,-0.08
240,1,-1.04,0.17,-0.08
242,1,-1.04,0.17,-0.08
244,1,-1.05,0.27,0.19
245,1,-1.05,0.27,0.19
247,1,-1.05,0.27,0.19
249,1,-1.05,0.27,0.19
250,1,-1.05,0.27,0.19
252,1,-1.05,0.27,0.19
254,1,-1.15,0.35,0.55
