t,l,x,y,z
0,1,-0.98,-0.08,0.07
2,1,-0.98,-0.08,0.07
4,1,-0.98,-0.08,0.07
5,1,-0.98,-0.09,0.04
7,1,-0.98,-0.09,0.04
9,1,-0.98,-0.09,0.04
10,1,-0.98,-0.09,0.04
12,1,-0.98,-0.09,0.04
14,1,-0.98,-0.09,0.04
15,1,-0.98,-0.11,0.03
17,1,-0.98,-0.11,0.03
19,1,-0.98,-0.11,0.03
20,1,-0.98,-0.11,0.03
22,1,-0.98,-0.11,0.03
24,1,-0.98,-0.11,0.03
25,1,-0.97,-0.12,0.02
27,1,-0.97,-0.12,0.02
29,1,-0.97,-0.12,0.02
30,1,-0.97,-0.12,0.02
32,1,-0.97,-0.12,0.02
34,1,-0.97,-0.12,0.02
35,1,-0.97,-0.13,0.03
37,1,-0.97,-0.13,0.03
39,1,-0.97,-0.13,0.03
40,1,-0.97,-0.13,0.03
42,1,-0.97,-0.13,0.03
44,1,-0.97,-0.13,0.03
45,1,-0.98,-0.12,0.04
47,1,-0.98,-0.12,0.04
49,1,-0.98,-0.12,0.04
50,1,-0.98,-0.12,0.04
52,1,-0.98,-0.12,0.04
54,1,-0.98,-0.12,0.06
55,1,-0.97,-0.11,0.06
57,1,-0.97,-0.11,0.06
59,1,-0.97,-0.11,0.06
60,1,-0.97,-0.11,0.06
62,1,-0.97,-0.11,0.06
64,1,-0.97,-0.11,0.06
65,1,-0.97,-0.11,0.06
67,1,-0.97,-0.11,0.06
69,1,-0.97,-0.11,0.06
70,1,-0.97,-0.11,0.06
72,1,-0.97,-0.11,0.06
74,1,-0.97,-0.12,0.06
75,1,-0.97,-0.12,0.06
77,1,-0.97,-0.12,0.06
79,1,-0.97,-0.12,0.06
80,1,-0.97,-0.12,0.06
82,1,-0.97,-0.12,0.06
84,1,-0.97,-0.12,0.03
85,1,-0.97,-0.12,0.03
87,1,-0.97,-0.12,0.03
88,1,-0.97,-0.12,0.03
90,1,-0.97,-0.12,0.03
92,1,-0.97,-0.12,0.03
93,1,-0.96,-0.13,0.02
95,1,-0.96,-0.13,0.02
97,1,-0.96,-0.13,0.02
98,1,-0.96,-0.13,0.02
100,1,-0.96,-0.13,0.02
102,1,-0.96,-0.13,0.02
103,1,-0.97,-0.14,-0.0
105,1,-0.97,-0.14,-0.0
107,1,-0.97,-0.14,-0.0
108,1,-0.97,-0.14,-0.0
110,1,-0.97,-0.14,-0.0
112,1,-0.97,-0.14,-0.0
114,1,-0.97,-0.13,-0.01
115,1,-0.97,-0.13,-0.01
117,1,-0.97,-0.13,-0.01
119,1,-0.97,-0.13,-0.01
120,1,-0.97,-0.13,-0.01
122,1,-0.97,-0.13,0.12
125,1,-0.98,-0.13,0.0
127,1,-0.98,-0.13,0.0
128,1,-0.98,-0.13,0.0
130,1,-0.98,-0.13,0.0
132,1,-0.98,-0.13,0.0
133,1,-0.97,-0.11,0.02
135,1,-0.97,-0.11,0.02
137,1,-0.97,-0.11,0.02
138,1,-0.97,-0.11,0.02
140,1,-0.97,-0.11,0.02
142,1,-0.97,-0.11,0.04
143,1,-0.97,-0.11,0.04
145,1,-0.97,-0.11,0.04
147,1,-0.97,-0.11,0.04
148,1,-0.97,-0.11,0.04
150,1,-0.97,-0.11,0.04
153,1,-0.97,-0.1,0.04
155,1,-0.97,-0.1,0.04
157,1,-0.97,-0.1,0.04
158,1,-0.97,-0.1,0.04
160,1,-0.97,-0.1,0.04
162,1,-0.97,-0.09,0.04
164,1,-0.97,-0.09,0.04
165,1,-0.97,-0.09,0.04
167,1,-0.97,-0.09,0.04
169,1,-0.97,-0.09,0.04
170,1,-0.97,-0.09,0.04
172,1,-0.98,-0.09,0.03
174,1,-0.98,-0.09,0.03
175,1,-0.98,-0.09,0.03
177,1,-0.98,-0.09,0.03
179,1,-0.98,-0.09,0.03
180,1,-0.98,-0.09,0.03
183,1,-0.97,-0.09,0.05
184,1,-0.97,-0.09,0.05
186,1,-0.97,-0.09,0.05
188,1,-0.97,-0.09,0.05
189,1,-0.97,-0.09,0.05
191,1,-0.97,-0.09,0.05
193,1,-0.97,-0.09,0.05
195,1,-0.97,-0.09,0.05
196,1,-0.97,-0.09,0.05
198,1,-0.97,-0.09,0.05
200,1,-0.97,-0.09,0.05
201,1,-0.97,-0.07,0.05
203,1,-0.97,-0.07,0.05
205,1,-0.97,-0.07,0.05
206,1,-0.97,-0.07,0.05
209,1,-0.97,-0.07,0.05
210,1,-0.98,-0.07,0.06
212,1,-0.98,-0.07,0.06
215,1,-0.98,-0.07,0.06
216,1,-0.98,-0.07,0.06
218,1,-0.98,-0.07,0.06
219,1,-0.98,-0.07,0.06
221,1,-0.98,-0.06,0.05
223,1,-0.98,-0.06,0.05
224,1,-0.98,-0.06,0.05
226,1,-0.98,-0.06,0.05
228,1,-0.98,-0.06,0.05
230,1,-0.98,-0.07,0.04
231,1,-0.98,-0.07,0.04
235,1,-0.98,-0.07,0.04
237,1,-0.98,-0.07,0.04
239,1,-0.98,-0.07,0.04
